"Condition","stable_fraction","selected_q","selection","maxStableRuns","bestGridQ","GoverA","slope","completion","class"
"sb_cf_fixed_packet_lam5_M4","0.666666666666667","0.000447213595499958","neighbor_stable","3","0.000447213595499958","1.015","-6.4","1","eval_or_selector_mismatch"
"sf_cf_fixed_packet_lam5_M5","0.333333333333333","0.4","neighbor_stable","3","0.5","1","-0.1","1","eval_or_selector_mismatch"
"sb_cf_fixed_packet_lam5_M5","0","NaN","no_stable_q","0","0.000334370152488211","0.899","30.3","0.887","capacity_limited_in_scan"
"sb_cf_fixed_packet_lam5_M6","0","NaN","no_stable_q","0","0.000149534878122122","0.825","40.9","0.714","capacity_limited_in_scan"
"sb_cf_fixed_packet_lam10_M2","0","NaN","no_stable_q","2","0.0005","1.007","3.9","1","near_critical_or_short_window"
"sb_cf_fixed_packet_lam10_M3","0","NaN","no_stable_q","0","0.0002","0.766","113","0.662","capacity_limited_in_scan"
"s7_busy_fixed_packet_lam10_M3","0.666666666666667","0.5","neighbor_stable","3","0.5","1.003","2.1","1","eval_or_selector_mismatch"
"sb_cf_fixed_packet_lam10_M4","0","NaN","no_stable_q","0","0.000149534878122122","0.583","179.4","0.458","capacity_limited_in_scan"
"sf_cf_fixed_packet_lam10_M5","0","NaN","no_stable_q","0","0.05","0.865","77.2","0.797","capacity_limited_in_scan"
"sb_cf_fixed_packet_lam10_M5","0","NaN","no_stable_q","0","0.00014142135623731","0.444","253.7","0.313","capacity_limited_in_scan"
"s7_busy_fixed_packet_lam10_M5","0","NaN","no_stable_q","2","0.1","0.996","6.1","1","near_critical_or_short_window"
"sf_cf_fixed_packet_lam10_M6","0","NaN","no_stable_q","0","0.0334370152488211","0.717","132.5","0.621","capacity_limited_in_scan"
"sb_cf_fixed_packet_lam10_M6","0","NaN","no_stable_q","0","0.0001","0.384","282.5","0.242","capacity_limited_in_scan"
"s7_busy_fixed_packet_lam10_M6","0","NaN","no_stable_q","2","0.1","0.976","32.4","0.971","near_critical_or_short_window"
"sf_cf_fixed_packet_lam15_M2","0.666666666666667","0.2","self_stable_fallback","3","0.1","0.997","6.4","1","eval_or_selector_mismatch"
"sb_cf_fixed_packet_lam15_M2","0","NaN","no_stable_q","0","0.000447213595499958","0.834","102","0.753","capacity_limited_in_scan"
"sb_cb_fixed_packet_lam15_M2","0.333333333333333","0.0875","neighbor_stable","3","0.1","0.999","0.6","1","eval_or_selector_mismatch"
"sf_cf_fixed_packet_lam15_M3","0","NaN","no_stable_q","4","0.05","0.982","-1.7","1","eval_or_selector_mismatch"
"sb_cf_fixed_packet_lam15_M3","0","NaN","no_stable_q","0","0.0002","0.561","237.8","0.447","capacity_limited_in_scan"
"sb_cb_fixed_packet_lam15_M3","0.666666666666667","0.02","neighbor_stable","3","0.0223606797749979","0.999","1.6","1","eval_or_selector_mismatch"
"sf_cf_fixed_packet_lam15_M4","0","NaN","no_stable_q","0","0.0334370152488211","0.776","140.9","0.691","capacity_limited_in_scan"
"sb_cf_fixed_packet_lam15_M4","0","NaN","no_stable_q","0","0.00014142135623731","0.42","319.9","0.29","capacity_limited_in_scan"
"s7_busy_fixed_packet_lam15_M4","0","NaN","no_stable_q","0","0.0707106781186548","0.909","39.7","0.855","capacity_limited_in_scan"
"sf_cf_fixed_packet_lam15_M5","0","NaN","no_stable_q","0","0.025","0.649","203.4","0.536","capacity_limited_in_scan"
"sb_cf_fixed_packet_lam15_M5","0","NaN","no_stable_q","0","0.00014142135623731","0.318","388.5","0.181","capacity_limited_in_scan"
"s7_busy_fixed_packet_lam15_M5","0","NaN","no_stable_q","0","0.05","0.804","89.6","0.729","capacity_limited_in_scan"
"sf_cf_fixed_packet_lam15_M6","0","NaN","no_stable_q","0","0.0223606797749979","0.536","258.3","0.403","capacity_limited_in_scan"
"sf_cb_fixed_packet_lam15_M6","0","NaN","no_stable_q","2","0.05","0.963","14.1","0.966","near_critical_or_short_window"
"sb_cf_fixed_packet_lam15_M6","0","NaN","no_stable_q","0","0.0001","0.274","419.4","0.135","capacity_limited_in_scan"
"sb_cb_fixed_packet_lam15_M6","0","NaN","no_stable_q","2","0.002","0.949","16.4","0.96","near_critical_or_short_window"
"s7_busy_fixed_packet_lam15_M6","0","NaN","no_stable_q","0","0.05","0.725","161.9","0.634","capacity_limited_in_scan"
"sb_cf_fixed_payload_lam5_M3","0.666666666666667","0.0149534878122122","neighbor_stable","3","0.02","1","0.1","1","eval_or_selector_mismatch"
"sb_cf_fixed_payload_lam5_M6","0","NaN","no_stable_q","2","0.02","0.677","9.9","0.667","near_critical_or_short_window"
"sb_cf_fixed_payload_lam10_M3","0.666666666666667","0.005","self_stable_fallback","3","0.005","1","-0.5","1","eval_or_selector_mismatch"
"sb_cf_fixed_payload_lam10_M5","0.666666666666667","0.00299069756244244","self_stable_fallback","3","0.00299069756244244","1","-0.1","1","eval_or_selector_mismatch"
"sf_cf_fixed_payload_lam15_M4","0.666666666666667","0.4","neighbor_stable","3","0.5","0.998","-0.1","1","eval_or_selector_mismatch"
"sb_cf_fixed_payload_lam15_M4","0.666666666666667","0.00223606797749979","self_stable_fallback","3","0.00223606797749979","0.995","-0.2","1","eval_or_selector_mismatch"
"sb_cf_fixed_payload_lam15_M5","0.666666666666667","0.001","self_stable_fallback","3","0.001","1.003","0.3","1","eval_or_selector_mismatch"
"sb_cf_fixed_payload_lam15_M6","0","NaN","no_stable_q","2","0.000707106781186547","1.009","-2.8","0.997","near_critical_or_short_window"
