protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,condition_elapsed_s,timeout_exceeded
sb_cf,fixed_packet,5,5,4,792,0.000447213595499958,neighbor_stable,0.000299069756244244,0.000668740304976422,0,1,0.666666666666667,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,43178.530597681,21213.6624323942,NaN,NaN,NaN,NaN,NaN,NaN,29617.5,16051.308109885,133737.15,93836.958925597,214541.91,108384.90836262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203.666666666667,31.2580473968789,198.666666666667,27.3631273932776,814.666666666667,125.032189587515,794.666666666667,109.45250957311,NaN,NaN,0.157344,0.0216715968954759,8.75783033333333,4.8651646423493,8.492889,4.74611692285499,0.264941333333333,0.119700641253652,6.98851808024029,51.4988511766174,1,0,NaN,NaN,0.853458921228469,0.0677258658477529,406.333333333333,198.14534652012,138.666666666667,145.472371350064,1.67728786127461,0.66294423906658,126456,137949.938103535,87792,88751.0439713246,126456,137949.938103535,74249.3333333333,71035.3211735395,107597.333333333,110702.076753606,25.037403,0
sf_cf,fixed_packet,5,5,5,990,0.4,neighbor_stable,0.2,0.5,0,1,0.333333333333333,203.666666666667,31.2580473968789,116.333333333333,254.018517843498,87.3333333333333,257.696612627221,91.3333333333333,274.216999770187,NaN,NaN,NaN,NaN,NaN,NaN,4565.29329219745,3815.98512045876,NaN,NaN,NaN,NaN,NaN,NaN,3012.75,1057.79154428654,14290.425,25721.487902557,21443.625,60064.834559869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203.666666666667,31.2580473968789,117.333333333333,254.455420955344,1018.33333333333,156.290236984394,586.666666666667,1272.27710477672,NaN,NaN,0.116153333333333,0.251892274832373,38.8659003333333,145.544047498537,33.3609303333333,127.679291940974,5.50497,17.9279838663577,118.299106299106,280.493545370034,0.574500768049155,1.28276573987299,NaN,NaN,0.577962183377944,1.19339107639577,15404.6666666667,37245.4194222232,78,175.725310116057,1.68949044585987,2.40770440064457,1149390,2547457.09573292,1149390,2547457.09573292,15087930,37106088.0590646,448213.333333333,1225766.85525425,5388816.66666667,18179766.2620501,1.0732408,0
sb_cf,fixed_packet,5,5,5,990,NaN,no_stable_q,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.0152637,0
sb_cf,fixed_packet,5,5,6,1188,NaN,no_stable_q,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.4857119,0
sb_cf,fixed_packet,10,10,2,396,NaN,no_stable_q,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.3881807,0
sb_cf,fixed_packet,10,10,3,594,NaN,no_stable_q,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.2148312,0
s7_busy,fixed_packet,10,10,3,594,0.5,neighbor_stable,0.2,0.6,0,1,0.666666666666667,383,29.2875516860096,257.333333333333,519.566968501496,125.666666666667,540.700026371849,125.666666666667,540.700026371849,NaN,NaN,NaN,NaN,NaN,NaN,8992.89279162582,23724.863742022,NaN,NaN,NaN,NaN,NaN,NaN,7137,20188.2931699385,20038.2,45964.5236408053,23577.24,42508.3383656488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,383,29.2875516860096,260.333333333333,506.577342553537,1149,87.8626550580287,781,1519.73202766061,NaN,NaN,0.154568333333333,0.301206516475413,63.3576626666667,266.939280068861,63.2030943333333,267.240301694676,0.154568333333333,0.301206516475413,130.16913016913,560.602843902315,0.680237489397795,1.37582703911412,NaN,NaN,0.734509267698112,0.718379416875645,85001.3333333333,360559.566175937,645.666666666667,267.207475115938,15.6730815011903,55.8344583582598,5585727,23522499.6253049,456393,1743891.28176134,5585727,23522499.6253049,235393,826628.258740225,2631822,10888512.1966269,187.73183,0
sb_cf,fixed_packet,10,10,4,792,NaN,no_stable_q,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.6679015,0
sf_cf,fixed_packet,10,10,5,990,NaN,no_stable_q,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4890053,0
sb_cf,fixed_packet,10,10,5,990,NaN,no_stable_q,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.5829827,0
