protocol,load_mode,lambda_base,q,tune_stable_fraction,tune_mean_delay_us,tune_mean_p95_us,tune_mean_collision_waste_us
sf_cb,fixed_packet,5,0.05,1,4447.31796116505,12527.375,380
sf_cb,fixed_packet,5,0.1,1,2257.11226756623,6113.37499999999,95
sf_cb,fixed_packet,5,0.2,1,1343.91949152542,3581.25,570
sf_cb,fixed_packet,5,0.5,1,690.72219022544,1401.25,475
sf_cb,fixed_packet,5,1,0,NaN,NaN,184205
sb_cf,fixed_packet,5,0.0001,1,78695.9368445345,259040.833333333,2633.33333333333
sb_cf,fixed_packet,5,0.0002,1,31073.6605753745,97615.0833333333,3155
sb_cf,fixed_packet,5,0.0005,1,11017.8207523041,28435.6666666667,2196.66666666667
sb_cf,fixed_packet,5,0.001,1,5730.7505073401,17724.0833333333,2580
sb_cf,fixed_packet,5,0.002,1,2886.57895993326,8187.58333333333,2046.66666666667
sb_cf,fixed_packet,5,0.005,1,1344.13472197093,3891.91666666667,2900
sb_cf,fixed_packet,5,0.01,1,790.528440642605,1988.58333333333,3730
sf_cb,fixed_packet,10,0.05,1,4916.82332732597,13548,1330
sf_cb,fixed_packet,10,0.1,1,2539.51199594503,7224.5,1425
sf_cb,fixed_packet,10,0.2,1,1428.36351092588,3369.125,1995
sf_cb,fixed_packet,10,0.5,1,741.416563415184,1570.625,1615
sf_cb,fixed_packet,10,1,0,NaN,NaN,346655
sb_cf,fixed_packet,10,0.0001,1,117709.244834592,330972.5,10258.3333333333
sb_cf,fixed_packet,10,0.0002,1,43132.0546943983,128177.416666667,12243.3333333333
sb_cf,fixed_packet,10,0.0005,1,13817.7744072754,39118.25,12540
sb_cf,fixed_packet,10,0.001,1,6354.10749381083,19033.1666666667,10313.3333333333
sb_cf,fixed_packet,10,0.002,1,3229.70967283666,9632.41666666667,11645
sb_cf,fixed_packet,10,0.005,1,1435.36758881737,3989.08333333333,11786.6666666667
sb_cf,fixed_packet,10,0.01,1,824.778397141748,2240.41666666667,13795
sf_cb,fixed_packet,15,0.025,1,11536.0050943136,32756.625,2945
sf_cb,fixed_packet,15,0.05,1,5302.01824315021,15492.25,3800
sf_cb,fixed_packet,15,0.1,1,2684.85784111249,7308.25,2660
sf_cb,fixed_packet,15,0.2,1,1573.62598099959,4263.5,4465
sb_cf,fixed_packet,15,0.0001,1,203448.113685643,588164.916666666,18243.3333333333
sb_cf,fixed_packet,15,0.0002,1,54961.2036464567,175285.416666667,22378.3333333333
sb_cf,fixed_packet,15,0.0005,1,15632.2336942628,45570.25,25561.6666666667
sb_cf,fixed_packet,15,0.001,1,7361.62306449741,21754.0833333333,27831.6666666667
sb_cf,fixed_packet,15,0.002,1,3654.86555314831,11046.4166666667,27471.6666666667
sb_cf,fixed_packet,15,0.005,1,1662.30415880538,4759.25,32413.3333333333
sb_cf,fixed_packet,15,0.01,0.333333333333333,1315.21968365554,3678,565416.666666667
sf_cb,fixed_payload,5,0.05,1,4248.78077651515,11988.5,95
sf_cb,fixed_payload,5,0.1,1,2239.51278409091,6210,190
sf_cb,fixed_payload,5,0.2,1,1365.1709280303,3450.75,1330
sf_cb,fixed_payload,5,0.5,1,689.609375,1446.75,760
sf_cb,fixed_payload,5,1,0,NaN,NaN,356725
sb_cf,fixed_payload,5,0.0001,1,71039.7096672731,212717,2855
sb_cf,fixed_payload,5,0.0002,1,30823.9277793421,90264.5833333333,2651.66666666667
