protocol,M,q,stage,n_runs,mean_throughput,se_throughput,mean_completed_pkt_s,mean_collision_fraction,mean_jain_fairness,selected
sf_cf,0.1,0.025,coarse,1,0.3915,0,21750,0.2745,0.921610169491525,1
sf_cb,0.1,0.025,coarse,1,0.0315,0,1750,0.2178,0.368975903614458,1
sb_cf,0.1,0.001,coarse,1,0.0828,0,4600,0.0099,0.700662251655629,0
sb_cf,0.1,0.00547722557505166,fine,1,0.2169,0,12050,0.1197,0.892455439459127,0
sb_cf,0.1,0.01,coarse,1,0.243,0,13500,0.2646,0.888157894736842,1
sb_cf,0.1,0.03,coarse,1,0.1017,0,5650,0.72585,0.692462039045553,0
sb_cb,0.1,0.001,coarse,1,0.0315,0,1750,0.0207,0.519067796610169,0
sb_cb,0.1,0.00316227766016838,fine,1,0.0486,0,2700,0.07875,0.639473684210526,1
sb_cb,0.1,0.005,coarse,1,0.0459,0,2550,0.1216,0.48890977443609,0
sb_cb,0.1,0.01,coarse,1,0.0396,0,2200,0.24615,0.456603773584906,0
s7_clean,0.1,0.0005,fine,1,0.0288,0,1600,0.00315,0.512,0
s7_clean,0.1,0.00353553390593274,fine,1,0.0639,0,3550,0.0063,0.536276595744681,0
s7_clean,0.1,0.005,coarse,1,0.0657,0,3650,0.0126,0.557426778242678,1
s7_clean,0.1,0.025,coarse,1,0.0648,0,3600,0.11655,0.68936170212766,0
s7_clean,0.1,0.1,coarse,1,0.0144,0,800,0.5229,0.213333333333333,0
s7_busy,0.1,0.001,coarse,1,0.0036,0,200,0.08505,0.1,0
s7_busy,0.1,0.00707106781186547,fine,1,0.0207,0,1150,0.1197,0.456034482758621,0
s7_busy,0.1,0.01,coarse,1,0.027,0,1500,0.126,0.489130434782609,1
s7_busy,0.1,0.05,coarse,1,0.0225,0,1250,0.34965,0.294811320754717,0
sf_cf,1,0.025,coarse,1,0.3366,0,1700,0.3366,0.498275862068966,1
sf_cb,1,0.025,coarse,1,0.3069,0,1550,0.1782,0.436818181818182,1
sb_cf,1,0.0001,fine,1,0.0891,0,450,0,0.135,0
sb_cf,1,0.001,coarse,1,0.1782,0,900,0.3609,0.253125,1
sb_cf,1,0.01,coarse,1,0,0,0,0.99595,NaN,0
sb_cf,1,0.03,coarse,1,0,0,0,0.9982,NaN,0
sb_cb,1,0.001,coarse,1,0.2772,0,1400,0.01035,0.392,0
sb_cb,1,0.00316227766016838,fine,1,0.3069,0,1550,0.09855,0.421491228070175,0
sb_cb,1,0.005,coarse,1,0.3366,0,1700,0.11565,0.535185185185185,1
sb_cb,1,0.01,coarse,1,0.2079,0,1050,0.2808,0.380172413793103,0
s7_clean,1,0.0005,fine,1,0.198,0,1000,0,0.3125,0
s7_clean,1,0.00353553390593274,fine,1,0.4158,0,2100,0.0063,0.6125,0
s7_clean,1,0.005,coarse,1,0.4356,0,2200,0.0063,0.590243902439024,1
s7_clean,1,0.025,coarse,1,0.4158,0,2100,0.09135,0.565384615384615,0
s7_clean,1,0.1,coarse,1,0.0891,0,450,0.5103,0.184090909090909,0
s7_busy,1,0.001,coarse,1,0.0198,0,100,0.04095,0.05,0
s7_busy,1,0.01,coarse,1,0.1188,0,600,0.09135,0.257142857142857,0
s7_busy,1,0.0316227766016838,fine,1,0.1782,0,900,0.17325,0.289285714285714,0
s7_busy,1,0.05,coarse,1,0.1881,0,950,0.20475,0.311206896551724,1
s7_busy,1,0.1,fine,1,0.0891,0,450,0.43155,0.225,0
