protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,1,0.3951,0,0.3951,0,21950,0,1995.45454545455,0,NaN,0.900060713618532,0.2601,NaN,NaN,0.3278554,0
sf_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,1,0.0342,0,0.0342,0,1900,0,172.727272727273,0,NaN,0.5640625,0.198,NaN,NaN,0.0523317,0
sb_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.01,maximum_effective_payload_throughput,0,1,0.25795,0,0.25795,0,14300,0,1300,0,NaN,0.811468253968254,0.261,NaN,NaN,0.5324542,0
sb_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.00316227766016838,maximum_effective_payload_throughput,0,1,0.0468,0,0.0468,0,2600,0,236.363636363636,0,NaN,0.625925925925926,0.08415,NaN,NaN,3.2442837,0
s7_clean,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.005,maximum_effective_payload_throughput,0,1,0.0639,0,0.0639,0,3550,0,322.727272727273,0,NaN,0.626990049751244,0.0315,0,0,0.5045723,0
s7_busy,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.01,maximum_effective_payload_throughput,0,1,0.027,0,0.027,0,1500,0,136.363636363636,0,NaN,0.489130434782609,0.10395,2300,0.0414,1.4649636,0
sf_cf,saturation_throughput,1,198,198,22,1,0,0.025,fixed_theoretical_q,0,1,0.4059,0,0.4059,0,2050,0,2050,0,NaN,0.494411764705882,0.2574,NaN,NaN,0.0329214,0
sf_cb,saturation_throughput,1,198,198,22,1,0,0.025,fixed_theoretical_q,0,1,0.2871,0,0.2871,0,1450,0,1450,0,NaN,0.429081632653061,0.1881,NaN,NaN,0.0127305,0
sb_cf,saturation_throughput,1,198,198,22,1,0,0.001,maximum_effective_payload_throughput,0,1,0.2079,0,0.2079,0,1050,0,1050,0,NaN,0.408333333333333,0.3573,NaN,NaN,0.2881466,0
sb_cb,saturation_throughput,1,198,198,22,1,0,0.005,maximum_effective_payload_throughput,0,1,0.2376,0,0.2376,0,1200,0,1200,0,NaN,0.423529411764706,0.20475,NaN,NaN,3.3613111,0
s7_clean,saturation_throughput,1,198,198,22,1,0,0.005,maximum_effective_payload_throughput,0,1,0.4455,0,0.4455,0,2250,0,2250,0,NaN,0.568820224719101,0.00945,0,0,0.4244624,0
s7_busy,saturation_throughput,1,198,198,22,1,0,0.05,maximum_effective_payload_throughput,0,1,0.1584,0,0.1584,0,800,0,800,0,NaN,0.290909090909091,0.26775,1000,0.198,1.6635749,0
