protocol,load_mode,lambda_base,M,selected_q,selected_stable_fraction,checkpoint_found,q_min,q_max,q_count,max_tune_stable_fraction,q_at_max_stable_fraction,any_all_tune_stable,max_mean_goodput,q_at_max_mean_goodput,offered_mean_at_best_goodput,n_eval
sb_cf,fixed_packet,10,4,NaN,0,1,0.0001,0.01,7,0.666666666666667,0.0002,0,301.666666666667,0.0002,396.333333333333,0
sb_cb,fixed_packet,10,4,0.03,0.4,1,0.005,0.1,12,1,0.005,1,413.166666666667,0.01,412.166666666667,5
sb_cf,fixed_packet,10,5,NaN,0,1,0.0001,0.01,7,0,0.0001,0,246,0.0001,396.333333333333,0
sb_cf,fixed_packet,10,6,NaN,0,1,0.0001,0.01,7,0,0.0001,0,202.333333333333,0.0001,396.333333333333,0
sf_cf,fixed_packet,15,2,0.2,0.8,1,0.025,0.2,9,1,0.025,1,609.666666666667,0.125,609.444444444444,5
sb_cf,fixed_packet,15,3,NaN,0,1,0.0001,0.01,7,0,0.0001,0,401.333333333333,0.0002,587.666666666667,0
sf_cb,fixed_packet,15,4,0.2,0.8,1,0.025,0.5,9,1,0.025,1,608.666666666667,0.15,609.444444444444,5
sb_cf,fixed_packet,15,4,NaN,0,1,0.0001,0.01,7,0,0.0001,0,306.666666666667,0.0001,587.666666666667,0
sf_cf,fixed_packet,15,5,NaN,0,1,0.005,0.5,7,0,0.005,0,402,0.025,587.666666666667,0
sb_cf,fixed_packet,15,5,NaN,0,1,0.0001,0.01,7,0,0.0001,0,244,0.0001,587.666666666667,0
sf_cf,fixed_packet,15,6,NaN,0,1,0.005,0.5,7,0,0.005,0,315.333333333333,0.025,587.666666666667,0
sb_cf,fixed_packet,15,6,NaN,0,1,0.0001,0.01,7,0,0.0001,0,208.333333333333,0.0001,587.666666666667,0
s7_busy,fixed_packet,15,6,NaN,0,1,0.005,0.5,7,0,0.005,0,428,0.05,587.666666666667,0
sb_cb,fixed_payload,15,1,0.1,0.5,1,0.0005,0.2,9,1,0.0005,1,602.666666666667,0.0005,595.666666666667,2
sb_cf,fixed_payload,15,4,0.002,0.5,1,0.0001,0.01,7,1,0.0001,1,138.666666666667,0.0001,135.333333333333,2
