protocol,load_mode,lambda_base,M,best_q,q,tuning_stable_fraction,mean_delay_us,mean_p95_us,mean_collision_waste_us,rate_screen_rejected_fraction,mean_arrival_rate_pkt_s,mean_goodput_pkt_s,mean_completion_ratio,mean_backlog_slope_pkt_s,mean_final_backlog
sb_cf,fixed_packet,10,2,0.002,0.0001,1,176342.365724971,524644.5,40961.6666666667,0,396.333333333333,353.333333333333,1,21.6088016088016,0
sb_cf,fixed_packet,10,2,0.002,0.0002,1,56782.546672912,161156.916666667,54688.3333333333,0,396.333333333333,395.333333333333,1,-18.032994032994,0
sb_cf,fixed_packet,10,2,0.002,0.0005,1,17911.3572370884,52717.5,59853.3333333333,0,396.333333333333,397.333333333333,1,-6.38431838431839,0
sb_cf,fixed_packet,10,2,0.002,0.001,1,8941.32650243875,28067.25,65118.3333333333,0,396.333333333333,395,1,-5.37486137486137,0
sb_cf,fixed_packet,10,2,0.002,0.002,1,5722.26472038707,20112.0833333333,93363.3333333333,0,396.333333333333,395.333333333333,1,-2.82315082315082,0
sb_cf,fixed_packet,10,2,0.002,0.005,0,NaN,NaN,1014500,0.666666666666667,396.333333333333,147,0.371919916610951,302.975106975107,252.333333333333
sb_cf,fixed_packet,10,2,0.002,0.01,0,NaN,NaN,1019461.66666667,1,396.333333333333,32.3333333333333,0.0764381402679275,395.934543934544,407
sf_cb,fixed_packet,10,3,0.5,0.005,1,106696.60542729,319192.25,4813.33333333333,0,396.333333333333,379,1,0.00766800766800084,0
sf_cb,fixed_packet,10,3,0.5,0.01,1,34381.2598186645,98134.9166666666,4306.66666666667,0,396.333333333333,398,1,-9.15369715369716,0
sf_cb,fixed_packet,10,3,0.5,0.025,1,13006.3870846873,37681.3333333333,5636.66666666667,0,396.333333333333,395,1,-2.65220265220265,0
sf_cb,fixed_packet,10,3,0.5,0.05,1,6161.17223250466,16583.25,5130,0,396.333333333333,396.333333333333,1,-0.776196776196776,0
sf_cb,fixed_packet,10,3,0.5,0.1,1,3279.30548187644,8757.25,3863.33333333333,0,396.333333333333,396.666666666667,1,-0.301056301056301,0
sf_cb,fixed_packet,10,3,0.5,0.2,1,2084.84933145779,4834.41666666666,5763.33333333333,0,396.333333333333,396.666666666667,1,-0.497340497340497,0
sf_cb,fixed_packet,10,3,0.5,0.5,1,1496.10053129717,2849.5,15010,0,396.333333333333,396.666666666667,1,-0.172664172664173,0
sf_cb,fixed_packet,10,4,0.5,0.005,1,120726.345779411,352009.5,4116.66666666667,0,396.333333333333,380.333333333333,1,-1.87943387943388,0
sf_cb,fixed_packet,10,4,0.5,0.01,1,44442.5390941774,131615.083333333,5320,0,396.333333333333,398.666666666667,1,-15.2469592469593,0
sf_cb,fixed_packet,10,4,0.5,0.025,1,14305.0327606743,39275.9166666667,5446.66666666667,0,396.333333333333,399.666666666667,1,-5.91585791585792,0
sf_cb,fixed_packet,10,4,0.5,0.05,1,7387.80353029243,20354.5833333333,5383.33333333333,0,396.333333333333,395,1,-2.44141444141444,0
