protocol,load_mode,lambda_base,M,q,tune_stable_fraction,mean_arrival_rate,mean_goodput_rate,mean_completion_ratio,mean_final_backlog,mean_backlog_slope,mean_conditional_delay_us
sb_cf,fixed_packet,10,4,0.0001,0.333333333333333,396.333333333333,294.333333333333,0.75708901931846,97.3333333333333,92.2837802837803,241311.466584328
sb_cf,fixed_packet,10,4,0.0002,0.666666666666667,396.333333333333,301.666666666667,0.888100866824271,47.3333333333333,101.442433442433,214936.331916644
sb_cf,fixed_packet,10,4,0.0005,0,396.333333333333,106.333333333333,0.215813359703568,316.666666666667,313.062157062157,245794.53066154
sb_cf,fixed_packet,10,4,0.001,0,396.333333333333,22,0.0418188421554137,409.333333333333,380.44542044542,226667.792983599
sb_cf,fixed_packet,10,4,0.002,0,396.333333333333,3.66666666666667,0.00472813238770686,447,394.229714229714,175689.166666667
sb_cf,fixed_packet,10,4,0.005,0,396.333333333333,0,0,460.666666666667,395.934543934544,NaN
sb_cf,fixed_packet,10,4,0.01,0,396.333333333333,0,0,464.333333333333,395.934543934544,NaN
sb_cb,fixed_packet,10,4,0.005,1,412.166666666667,412.833333333333,1,0,0.129417532354383,3066.59292628484
sb_cb,fixed_packet,10,4,0.0075,1,412.166666666667,412.5,1,0,0.158995539748885,2483.92297693715
sb_cb,fixed_packet,10,4,0.01,1,412.166666666667,413.166666666667,1,0,-0.0187760046940012,2211.86094183319
sb_cb,fixed_packet,10,4,0.0125,1,412.166666666667,412.666666666667,1,0,0.123149530787383,2071.99972252764
sb_cb,fixed_packet,10,4,0.015,1,412.166666666667,412.5,1,0,0.361712090428023,1989.8749717458
sb_cb,fixed_packet,10,4,0.02,0.666666666666667,412.166666666667,395.333333333333,0.957079823505816,35.6666666666667,20.1073545268386,1788.2009956133
sb_cb,fixed_packet,10,4,0.025,1,412.166666666667,412.333333333333,1,0,0.273366568341642,1780.85428348575
sb_cb,fixed_packet,10,4,0.03,1,412.166666666667,412.333333333333,1,0,0.0981050245262562,1669.74705253625
sb_cb,fixed_packet,10,4,0.04,0.666666666666667,412.166666666667,322.833333333333,0.78379462494986,179.666666666667,139.829605957401,1683.85306286957
sb_cb,fixed_packet,10,4,0.05,1,412.166666666667,412.5,1,0,0.340755585188896,1705.70881081084
sb_cb,fixed_packet,10,4,0.075,0.333333333333333,412.166666666667,135.333333333333,0.333333333333333,658.666666666667,275.929047482262,1642.97163995068
sb_cb,fixed_packet,10,4,0.1,0.333333333333333,412.166666666667,234.166666666667,0.568023016851623,422.333333333333,223.638498409625,1667.99095786942
sb_cf,fixed_packet,10,5,0.0001,0,396.333333333333,246,0.498748966014185,200.333333333333,149.252261252261,250359.335622497
sb_cf,fixed_packet,10,5,0.0002,0,396.333333333333,204.666666666667,0.411837438547745,234.333333333333,217.73196973197,238343.578848182
sb_cf,fixed_packet,10,5,0.0005,0,396.333333333333,48,0.0755177738214689,394,362.034042034042,325507.351875533
sb_cf,fixed_packet,10,5,0.001,0,396.333333333333,6.66666666666667,0.00566276320853263,441.666666666667,390.510122510123,508128
sb_cf,fixed_packet,10,5,0.002,0,396.333333333333,0.333333333333333,0.000879507475813544,462,395.138847138847,827390
sb_cf,fixed_packet,10,5,0.005,0,396.333333333333,0,0,466.666666666667,395.934543934544,NaN
sb_cf,fixed_packet,10,5,0.01,0,396.333333333333,0,0,465.333333333333,395.934543934544,NaN
sb_cf,fixed_packet,10,6,0.0001,0,396.333333333333,202.333333333333,0.397840218988609,242,193.593733593734,277294.905526279
sb_cf,fixed_packet,10,6,0.0002,0,396.333333333333,136.333333333333,0.244715061385405,305.666666666667,287.352591352591,280790.577017345
sb_cf,fixed_packet,10,6,0.0005,0,396.333333333333,27,0.0351289472848199,428,369.73640973641,380304.240740741
sb_cf,fixed_packet,10,6,0.001,0,396.333333333333,3.66666666666667,0.00236406619385343,462.333333333333,392.224368224368,492970
sb_cf,fixed_packet,10,6,0.002,0,396.333333333333,0,0,467.666666666667,395.934543934544,NaN
sb_cf,fixed_packet,10,6,0.005,0,396.333333333333,0,0,471.333333333333,395.934543934544,NaN
sb_cf,fixed_packet,10,6,0.01,0,396.333333333333,0,0,473,395.934543934544,NaN
sf_cf,fixed_packet,15,2,0.025,1,609.444444444444,607.222222222222,1,0,4.08208830541722,31399.0834157414
sf_cf,fixed_packet,15,2,0.04,1,609.444444444444,608.444444444444,1,0,0.827308240071285,16089.7672378428
sf_cf,fixed_packet,15,2,0.05,1,609.444444444444,608.888888888889,1,0,0.188436169085501,12277.9352466487
sf_cf,fixed_packet,15,2,0.06,1,609.444444444444,608.444444444444,1,0,0.392459154717684,10053.0660668292
sf_cf,fixed_packet,15,2,0.075,1,609.444444444444,608.555555555556,1,0,-0.401388489043166,8091.99944612688
sf_cf,fixed_packet,15,2,0.1,1,609.444444444444,609,1,0,-0.12139616163661,5980.47506223807
sf_cf,fixed_packet,15,2,0.125,1,609.444444444444,609.666666666667,1,0,-0.036446374419968,4950.07531756651
sf_cf,fixed_packet,15,2,0.15,1,609.444444444444,608.777777777778,1,0,0.302017811335312,4061.48287146943
sf_cf,fixed_packet,15,2,0.2,1,609.444444444444,609.333333333333,1,0,0.207123578569287,3171.38782647153
sb_cf,fixed_packet,15,3,0.0001,0,587.666666666667,366.333333333333,0.515283475124618,285,218.449854449855,260714.648918999
sb_cf,fixed_packet,15,3,0.0002,0,587.666666666667,401.333333333333,0.588910107530547,241,189.168065168065,221397.981009731
sb_cf,fixed_packet,15,3,0.0005,0,587.666666666667,216.333333333333,0.288998484557368,421.666666666667,421.324017324017,249116.366457498
sb_cf,fixed_packet,15,3,0.001,0,587.666666666667,52,0.046626282248125,616.333333333333,548.761640761641,408628.216348068
sb_cf,fixed_packet,15,3,0.002,0,587.666666666667,5,0.000562113546936481,686.333333333333,594.680930680931,807305
sb_cf,fixed_packet,15,3,0.005,0,587.666666666667,0,0,699.666666666667,600.897652897653,NaN
sb_cf,fixed_packet,15,3,0.01,0,587.666666666667,0,0,692.333333333333,600.897652897653,NaN
sf_cb,fixed_packet,15,4,0.025,1,609.444444444444,607.333333333333,1,0,-0.413320342220781,27463.4277237242
sf_cb,fixed_packet,15,4,0.05,1,609.444444444444,608.555555555556,1,0,0.184734094600084,11987.4439176652
sf_cb,fixed_packet,15,4,0.075,1,609.444444444444,607.555555555556,1,0,0.622168661722444,8138.09897433931
sf_cb,fixed_packet,15,4,0.1,1,609.444444444444,608.555555555556,1,0,0.54379946782957,6305.33843511122
sf_cb,fixed_packet,15,4,0.15,1,609.444444444444,608.666666666667,1,0,-0.0106801493348315,4618.36428501484
sf_cb,fixed_packet,15,4,0.2,1,609.444444444444,608.666666666667,1,0,-0.0883128987014332,4250.760829824
sf_cb,fixed_packet,15,4,0.3,0,609.444444444444,58.6666666666667,0.0940306360157388,1729.66666666667,609.962455329161,3327.23574730354
sf_cb,fixed_packet,15,4,0.4,0,609.444444444444,31.5555555555556,0.0512820512820513,1860,609.962455329161,2583.16901408451
sf_cb,fixed_packet,15,4,0.5,0,609.444444444444,0,0,2032,609.962455329161,NaN
sb_cf,fixed_packet,15,4,0.0001,0,587.666666666667,306.666666666667,0.391384782303218,359,292.105724105724,299498.742339632
sb_cf,fixed_packet,15,4,0.0002,0,587.666666666667,284,0.370093638409884,374,317.708133708134,295305.622744337
sb_cf,fixed_packet,15,4,0.0005,0,587.666666666667,81.3333333333333,0.0713805550891535,588,525.066389066389,380620.510185185
sb_cf,fixed_packet,15,4,0.001,0,587.666666666667,15.6666666666667,0.00798939973407416,674.333333333333,585.293741293741,444855.333333333
sb_cf,fixed_packet,15,4,0.002,0,587.666666666667,1.66666666666667,0,697.666666666667,599.192823192823,NaN
sb_cf,fixed_packet,15,4,0.005,0,587.666666666667,0,0,707.333333333333,600.897652897653,NaN
sb_cf,fixed_packet,15,4,0.01,0,587.666666666667,0,0,708.666666666667,600.897652897653,NaN
sf_cf,fixed_packet,15,5,0.005,0,587.666666666667,181.333333333333,0.151598400277732,510,421.767745767746,480066.579076393
sf_cf,fixed_packet,15,5,0.01,0,587.666666666667,280,0.33728313565287,394.666666666667,324.144732144732,332870.296643256
sf_cf,fixed_packet,15,5,0.025,0,587.666666666667,402,0.577127418978448,248.333333333333,197.752305752306,228710.213631079
sf_cf,fixed_packet,15,5,0.05,0,587.666666666667,328.333333333333,0.457858579862563,318.666666666667,289.923493923494,261045.177816755
sf_cf,fixed_packet,15,5,0.1,0,587.666666666667,71.6666666666667,0.056124878341725,584.666666666667,546.710778710779,415708.362601626
sf_cf,fixed_packet,15,5,0.2,0,587.666666666667,0.333333333333333,0,683,600.897652897653,NaN
sf_cf,fixed_packet,15,5,0.5,0,587.666666666667,0,0,692.666666666667,600.897652897653,NaN
sb_cf,fixed_packet,15,5,0.0001,0,587.666666666667,244,0.281597432713721,427.666666666667,363.960415960416,368737.083622348
sb_cf,fixed_packet,15,5,0.0002,0,587.666666666667,182.333333333333,0.199438094881306,483.333333333333,425.602253602254,368664.976501137
sb_cf,fixed_packet,15,5,0.0005,0,587.666666666667,39.6666666666667,0.0245377951258237,646.333333333333,567.888007888008,456868.867102396
sb_cf,fixed_packet,15,5,0.001,0,587.666666666667,5,0.000585823081429408,691,595.473231473232,863430
sb_cf,fixed_packet,15,5,0.002,0,587.666666666667,0.333333333333333,0,702.666666666667,600.101956101956,NaN
sb_cf,fixed_packet,15,5,0.005,0,587.666666666667,0,0,708.333333333333,600.897652897653,NaN
