protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,condition_elapsed_s,timeout_exceeded,result_source,rerun_replaced
sb_cf,fixed_packet,10,10,2,380,0.002,0.5,375.5,57.1779213127861,353.5,336.714425508629,22,279.536504195843,22,279.536504195843,NaN,NaN,NaN,NaN,NaN,NaN,83284.0776396266,987052.240605022,NaN,NaN,NaN,NaN,NaN,NaN,4425,16518.0661570271,522744.75,6393981.4052748,599871.325,7214993.77726809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,375.5,57.1779213127861,322,736.959874698132,751,114.355842625572,644,1473.91974939626,NaN,NaN,0.1223,0.280807124669461,9.864815,98.3004093829893,9.2375075,93.4874578564855,0.6273075,4.81295152650377,113.397437397437,1380.15518345266,0.940700808625337,0.753467666296073,NaN,NaN,0.882726800148977,0.47930282595413,5754.5,62254.0501048879,4129,48982.4192579535,13.5684773861259,150.535804527697,2020202.5,23747420.1692329,692915,7561589.50054492,2020202.5,23747420.1692329,197087.5,1635320.31505752,505007.5,5093758.65117323,52.612579,0,corrected_q_rerun,1
sf_cb,fixed_packet,10,10,3,570,0.5,0.5,375.5,57.1779213127861,349.5,273.183401827756,26,330.361323140542,26,330.361323140542,NaN,NaN,NaN,NaN,NaN,NaN,1385.38280274144,1120.68108673018,NaN,NaN,NaN,NaN,NaN,NaN,1057.5,95.2965355213102,2991.625,1262.67909565735,5584.69999999993,14514.2976701314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,375.5,57.1779213127861,349.5,273.183401827756,1126.5,171.533763938358,1048.5,819.550205483268,NaN,NaN,0.199215,0.155714539041821,2.366475,23.9539912927313,2.16726,24.1097058317731,0.199215,0.155714539041821,36.960270960271,464.486223117382,0.931578947368421,0.869371903001426,NaN,NaN,0.914971443406023,0.0490501724888155,39048.5,489195.235445094,151,1080.02740257485,1.44870488462297,3.44093313125288,573990,7194253.12162211,573990,7194253.12162211,7335520,93001413.759815,72940,849536.84866064,575650,7154990.94898733,2.0283048,0,corrected_q_rerun,1
sf_cb,fixed_packet,10,10,4,760,0.5,0.5,375.5,57.1779213127861,234.5,1734.39694648785,141,1791.57486780063,141,1791.57486780063,NaN,NaN,NaN,NaN,NaN,NaN,1744.02868694648,654.134696848178,NaN,NaN,NaN,NaN,NaN,NaN,1340,63.5310236808735,3685.25,2169.58445870182,9478.64999999999,37558.9058898955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,375.5,57.1779213127861,235,1740.75004885593,1502,228.711685251145,940,6963.00019542373,NaN,NaN,0.178255,1.31858639649653,52.35547,657.259760773311,52.177215,658.578347169807,0.178255,1.31858639649653,188.832206832207,2390.02829403018,0.628947368421053,4.7146707047385,NaN,NaN,0.800859748803828,1.50895680498008,86557.5,1092219.00601921,90,76.2372284170482,1.55795148247978,3.80158686176655,879700,11025555.0357209,879700,11025555.0357209,16384175,207854767.831832,377035,4684460.03110921,6393290,81002690.5033505,1.7872912,0,corrected_q_rerun,1
sb_cf,fixed_packet,10,10,4,760,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.5379528,0,corrected_q_rerun,1
sb_cf,fixed_packet,10,10,5,950,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.5633322,0,corrected_q_rerun,1
sb_cf,fixed_packet,10,10,6,1140,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.0857553,0,corrected_q_rerun,1
sf_cf,fixed_packet,15,15,2,380,0.2,0.5,603.5,95.2965355213102,410,2363.35408092849,193.5,2458.6506164498,193.5,2458.6506164498,NaN,NaN,NaN,NaN,NaN,NaN,11335.4094259348,98327.7758587343,NaN,NaN,NaN,NaN,NaN,NaN,2516.25,4208.93031885787,17866.75,87205.8596555508,341334.449999997,4072668.34395686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,603.5,95.2965355213102,411.5,2357.00097856041,1207,190.59307104262,823,4714.00195712081,NaN,NaN,0.15625,0.895660371852954,63.82745,783.76279865769,61.15232,754.511971796589,2.67513,29.2508268611004,298.030312030312,3796.73937028769,0.683306055646481,4.02397809566253,NaN,NaN,0.912202579390286,0.477925318420539,17702,209626.96573741,1202.5,10387.3223718228,5.83191514860978,53.1874359926584,891480,10313372.2602583,891480,10313372.2602583,6520420,80594948.3933666,377890,3966241.80839693,2518880,30146487.2329534,2.1951232,0,corrected_q_rerun,1
sf_cf,fixed_packet,15,15,3,570,0.1,0,603.5,95.2965355213102,276,1092.73360731102,327.5,997.437071789714,328.5,1010.14327652589,NaN,NaN,NaN,NaN,NaN,NaN,600637.415600465,3086794.28868987,NaN,NaN,NaN,NaN,NaN,NaN,496131.25,5269024.86275284,1410274,2512855.28585433,1583002.7,2124557.48097824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,603.5,95.2965355213102,187,864.021922059879,1810.5,285.889606563931,561,2592.06576617964,NaN,NaN,0.10659,0.492492495574131,200.222175,847.951050778542,196.801065,842.299076787797,3.42111,5.65197399074523,495.509391509392,177.562324100531,0.455631652368765,1.73871332123684,NaN,NaN,0.817511049835773,0.501058088190213,13375.5,12966.6819332663,9519,4370.9344292441,39.6279150915964,168.771577645609,1816305,1568009.19546764,1816305,1568009.19546764,7391475,7934198.95443325,834130,1079137.96824332,3314520,6144466.48631936,1.1774373,0,corrected_q_rerun,1
sb_cf,fixed_packet,15,15,3,570,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.4806336,0,corrected_q_rerun,1
s7_busy,fixed_packet,15,15,3,570,0.2,0.5,603.5,95.2965355213102,419.5,2242.64513593483,184,2337.94167145614,184,2337.94167145614,NaN,NaN,NaN,NaN,NaN,NaN,115559.454739415,1248413.03426313,NaN,NaN,NaN,NaN,NaN,NaN,14512.5,47476.7339967167,669261.275,7792330.04903732,850862.665,9654617.10624957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,603.5,95.2965355213102,406.5,2496.76923065833,1810.5,285.889606563931,1219.5,7490.30769197498,NaN,NaN,0.231809,1.4286221295118,78.116745,855.060705989031,77.884936,856.489328118542,0.231809,1.4286221295118,287.027435027435,3670.64279215209,0.698854337152209,3.82641844755506,NaN,NaN,0.894352299878102,0.653891684152442,57545,651675.828508928,30291,333080.450954083,120.685734112188,1433.83332634463,3922569,43865300.2493728,619636.5,5837579.8764289,3922569,43865300.2493728,293853.5,2093010.51585927,1674384,16448067.6751355,166.4476812,0,corrected_q_rerun,1
