protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded,fixed_M_baseline
sf_cb,fixed_packet,15,15,1,162.5,0.528840463202608,0.661825303382485,self_stable,0.625732474567597,0.7,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,710.086242240547,93.2847983492585,5.48374380810869,5.272404548184,704.602498432438,89.162759164325,710.086242240547,93.2847983492585,544,34.6223212423016,1600.275,456.138381112964,3563.01833333333,3542.74397073818,544,34.6223212423016,1600.275,456.138381112964,3563.01833333333,3542.74397073818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,589,38.803471516211,589,38.803471516211,588,38.803471516211,589,38.803471516211,588,38.803471516211,NaN,NaN,0.0955833333333333,0.00616244340253593,0,0,0,0,0.0955833333333333,0.00616244340253593,0.268110522720412,0.486245657796019,1,0,1.88184861989515e+15,123251864579183,0.952048360313531,0.0319380605851751,936.666666666667,227.625285623699,204.666666666667,237.872670576944,1.35051885875282,0.432353486603298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,5.1725083,0,0
sb_cb,fixed_packet,15,15,1,162.5,0.528840463202608,0.528840463202608,self_stable,0.0005,0.8,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,500.032319631541,93.963790153875,7.92719718688522,12.932614826908,492.105122444656,82.5909691923919,500.032319631541,93.963790153875,370,0,1165.9,500.394442876354,2979.91,2157.46035044768,370,0,1165.9,500.394442876354,2979.91,2157.46035044768,0,0,40.4146472586063,3.28912274523499,0,0,73.8246466023753,35.3774424666964,52.865828583674,44.1837349116963,162.5,0,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588.333333333333,39.6166099442618,589,38.803471516211,588.333333333333,39.6166099442618,NaN,NaN,0.0956868333333333,0.00637599232174057,0.294215666666667,0.0468658828497634,0.196253833333333,0.0464112005355495,0.0979618333333333,0.00647017229104322,-0.0146360146360147,0.386736297794145,1,0,0.000729849297622323,0.00145407341551052,0.951910306596561,0.0314196979083245,978.666666666667,343.802625083412,218.666666666667,168.744703409544,1.37260165911172,0.300935615815023,3673.33333333333,4606.80598203629,NaN,NaN,3673.33333333333,4606.80598203629,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,347.3070376,0,0
unslotted,fixed_packet,15,15,1,162.5,0.387298334620742,0.249804953296681,self_stable,0.0005,0.387298334620742,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,466.564582510736,51.0540076434213,4.88603758161549,11.8333491707459,461.67854492912,39.3771804201979,466.564582510736,51.0540076434213,343.376885396816,0.616386944462924,1004.924983645,87.9790502539104,2717.67292368413,1584.40095362138,343.376885396816,0.616386944462924,1004.924983645,87.9790502539104,2717.67292368413,1584.40095362138,0,0,0,0,26.9940620487027,3.61281839315135,49.7947489327838,10.4174841669781,59.8897339476336,29.1611937382068,162.5,0,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588.666666666667,40.4642573805096,589,38.803471516211,588.666666666667,40.4642573805096,NaN,NaN,0.0957087823235232,0.00636007555809352,0.274779449111154,0.0372305309001326,0.175766500120964,0.0298656306756852,0.0990129489901899,0.0097474436749851,0.0901542519469121,0.319202592554932,1,0,0.000619072474806855,0.00139973114910783,0.952188811980908,0.0324680863214691,1079,464.228115897501,256,107.336598134771,1.43452554386255,0.174789551321826,4872,6460.24442096678,NaN,NaN,4872,6460.24442096678,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,67.457926,0,0
s7_clean,fixed_packet,15,15,1,162.5,0.830312652444971,0.830312652444971,self_stable,0.0004,0.963492483998996,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,321.774805291001,20.8669435017598,1.72495186152519,3.10475648763299,320.049853429476,17.8346569047641,321.774805291001,20.8669435017598,281.900000000023,0,524.899999999967,59.1516954696897,910.039999999936,528.027652291736,281.900000000023,0,524.899999999967,59.1516954696897,910.039999999936,528.027652291736,0.0490445131393837,0.102108979996278,36.5955626362355,2.69936635864392,2.1941394637097,0.669140644080098,28.9443443498607,8.21470941874392,6.36676246653059,6.62138689149715,83.3999999999998,2.49620856803274e-14,162.5,0,0,0,589,38.803471516211,589,38.803471516211,589,39.0412886854702,589,38.803471516211,589,39.0412886854702,NaN,NaN,0.0957066333333333,0.00632894086304498,0.189418433333301,0.0073800431993305,0.0937117999999678,0.00784122516382557,0.0957066333333333,0.00632894086304498,0.0276280276280276,0.155023077963939,1,0,0.000683768057384619,0.0016205801186483,0.952595731926886,0.0324679956962755,764,108.024292931025,44.6666666666667,43.6200246756756,1.07634007753634,0.0793931281954095,1602,2858.20175231265,765.4,1303.67104530206,1602,2858.20175231265,587.399999999189,566.693667078924,1192.59999999837,1164.65465883996,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,33.6879017,0,0
s7_busy,fixed_packet,15,15,1,162.5,0.528840463202608,0.528840463202608,self_stable,0.004,0.827677252914336,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,1064.94515546158,66.5472074390038,16.1208090620381,21.1613904321056,1048.82434639954,73.7699570891377,1064.94515546158,66.5472074390038,782.899999999985,51.6318327569101,2734.54999999991,257.774058043083,4098.64999999995,492.148318685291,782.899999999985,51.6318327569101,2734.54999999991,257.774058043083,4098.64999999995,492.148318685291,0.0971130245885572,0.0837006156136969,73.3440590720266,7.74894576799233,17.3719931268575,2.90472740714898,615.602518628803,44.1796860486998,96.5086625472651,19.0077081485459,83.3999999999998,2.49620856803274e-14,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588.333333333333,39.6166099442618,589,38.803471516211,588.333333333333,39.6166099442618,NaN,NaN,0.0956041666666667,0.00643769911594254,0.626746499999968,0.0525159241915949,0.531142333333301,0.0484016582044268,0.0956041666666667,0.00643769911594254,0.136904136904137,0.874616194639392,1,0,0.00093717304622573,0.00150590273141348,0.951910306596561,0.0314196979083245,1530.66666666667,148.848017097078,681.666666666667,147.410777495871,2.15717820800078,0.227910169646833,88101.0999999994,6617.4858151984,39667.2999999999,3017.18650129351,88101.0999999994,6617.4858151984,33036.7999999666,3720.39708102711,73051.1999999264,7563.2544320984,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,156.1602361,0,0
sf_cb,fixed_packet,15,15,2,325,0.793725393319377,0.8,self_stable,0.001,0.827677252914336,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,20.6666666666667,12.5032189587515,0,0,0.964922461384698,0.0206248558601787,20.6666666666667,12.5032189587515,35688.1390188618,16626.5769424359,2337.78354086899,8863.03385332769,33350.3554779928,7856.57373443052,35688.1390188618,16626.5769424359,1402.66666666667,872.037015831356,156380.983333333,27188.042920324,352584.101666666,420322.285652878,1402.66666666667,872.037015831356,156380.983333333,27188.042920324,352584.101666666,420322.285652878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,589,38.803471516211,568.333333333333,38.5908481541098,580.666666666667,27.3631273932776,1178,77.606943032422,580.666666666667,27.3631273932776,NaN,NaN,0.0943916666666667,0.00432693602403886,0,0,0,0,0.0943916666666667,0.00432693602403886,0.460695812660833,2.06710631255091,1,0,9.15426445069276e+16,4.72430917111844e+16,0.947573869714538,0.034691800494756,6292.66666666667,25242.3057442807,5906.66666666667,25179.8477760051,10.6530852283132,43.3433434529961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,5,0,28.4166666666667,1.92954240770549,2.0346467,0,0
sb_cb,fixed_packet,15,15,2,325,0.9,0.9,self_stable,0.0006,0.928317766722556,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,20.6666666666667,12.5032189587515,0,0,0.964922461384698,0.0206248558601787,20.6666666666667,12.5032189587515,31640.3032449627,2596.4587824205,240.354335061522,318.831538288105,31399.9489099012,2278.03799666744,31640.3032449627,2596.4587824205,964.333333333333,115.814734410405,147377.2,15181.0496263751,249407.38,63936.0088790536,964.333333333333,115.814734410405,147377.2,15181.0496263751,249407.38,63936.0088790536,0,0,19.161726127209,3.61317040213998,0,0,31070.0385473505,2101.43954103247,69.5348971822979,175.134704464751,78.713739241154,1.62409809874677,162.5,0,0,0,589,38.803471516211,568.333333333333,38.5908481541098,584.666666666667,31.5527866848294,1178,77.606943032422,584.666666666667,31.5527866848294,NaN,NaN,0.095055,0.00493191666899538,20.7143453333333,1.59119194056267,20.6187486666667,1.59631228352504,0.0955966666666667,0.00539803729697601,5.11750511750512,4.4214633437327,1,0,0.131947154773505,0.0570058574926854,0.949193921940164,0.0288694546623964,632.333333333333,748.386770216281,269.333333333333,672.72601874485,0.967316759210134,1.22262173666553,4166.33333333333,10771.1435124376,NaN,NaN,4166.33333333333,10771.1435124376,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,5,0,28.4166666666667,1.92954240770549,43.8778337,0,0
unslotted,fixed_packet,15,15,2,325,0.861773876012753,0.861773876012753,self_stable,0.0004,0.963492483998996,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,20.6666666666667,12.5032189587515,0,0,0.964922461384698,0.0206248558601787,20.6666666666667,12.5032189587515,31475.5705139534,2109.94760064962,147.589137327002,84.7997102640876,31327.9813766264,2073.4083348216,31475.5705139534,2109.94760064962,942.043725406712,111.178856999571,147226.861319722,14770.8756943757,249399.209223693,64081.1525006936,942.043725406712,111.178856999571,147226.861319722,14770.8756943757,249399.209223693,64081.1525006936,0,0,0,0,3.30000251690096,1.65724922108325,31051.4775570884,2047.66432622757,31.9900777799868,46.3845202672028,78.713739241154,1.62409809874677,162.5,0,0,0,589,38.803471516211,568.333333333333,38.5908481541098,585,30.1185691082462,1178,77.606943032422,585,30.1185691082462,NaN,NaN,0.0950852565079879,0.00493224409875055,20.6245169559404,1.34007372717089,20.5282400327658,1.34438384916993,0.0962769231746545,0.0056569603126615,6.71229871229871,9.73920856084177,1,0,0.13266682260303,0.0587554578400688,0.94967579600014,0.028691191794932,507,262.155985405179,123.333333333333,177.234710060254,0.703068038851438,0.309119069931895,2300.66666666667,3731.21501849532,NaN,NaN,2300.66666666667,3731.21501849532,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,5,0,28.4166666666667,1.92954240770549,10.6472818,0,0
s7_clean,fixed_packet,15,15,2,325,0.963492483998996,0.963492483998996,self_stable,0.0005,0.963492483998996,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,20.6666666666667,12.5032189587515,0,0,0.964922461384698,0.0206248558601787,20.6666666666667,12.5032189587515,31400.3739888406,2262.09933464059,196.63748234888,142.536412229873,31203.7365064917,2119.56368256226,31400.3739888406,2262.09933464059,750.399999999907,38.7238745677451,147175.55,14800.3893260514,249299.09,63913.7932694862,750.399999999907,38.7238745677451,147175.55,14800.3893260514,249299.09,63913.7932694862,3.16197129755864,0.100871469318206,24.6587309283031,29.6550119277182,0.211067520935188,0.0874802562918832,30909.7166332311,2016.90857062911,20.0881035137759,73.3671864312417,40.3983129397677,0.833537116526022,162.5,0,0,0,589,38.803471516211,568.333333333333,38.5908481541098,585,30.1185691082462,1178,77.606943032422,585,30.1185691082462,NaN,NaN,0.0951258666666667,0.00491710550819168,20.5775942,1.40886284667922,20.4824683333333,1.41346901103632,0.0951258666666667,0.00491710550819168,6.44037844037844,10.063764203999,1,0,0.13277893904937,0.0584338066584954,0.94967579600014,0.028691191794932,475.666666666667,486.931124727019,133.333333333333,483.388773713981,0.725256792008916,0.872206233168181,3577.8,12983.058428109,1397.3,4806.87766440053,3577.8,12983.058428109,1388.40000000004,4768.59232398089,3560.00000000043,12906.4802581693,1,0,1,0,1,0,0,0,5,0,28.4166666666667,1.92954240770549,54.3128249,0,0
s7_busy,fixed_packet,15,15,2,325,0.661825303382485,0.661825303382485,self_stable,0.002,0.9,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,568.333333333333,38.5908481541098,20.6666666666667,12.5032189587515,0,0,0.964922461384698,0.0206248558601787,20.6666666666667,12.5032189587515,31896.8050400295,1964.19899286435,448.061614816582,41.026363710499,31448.7434252129,1995.0772004868,31896.8050400295,1964.19899286435,2148.23333333332,428.606150438407,147637.1,15417.8377548664,250205.54,64458.5996807642,2148.23333333332,428.606150438407,147637.1,15417.8377548664,250205.54,64458.5996807642,3.17147977995117,0.0545675560735882,32.5731560964801,4.36438326259978,4.37067395888211,0.720206418749331,31123.2263924807,2010.01848781584,39.5017228968924,10.1013319398693,40.3983129397677,0.833537116526022,162.5,0,0,0,589,38.803471516211,568.333333333333,38.5908481541098,584,30.2208395862713,1178,77.606943032422,584,30.2208395862713,NaN,NaN,0.0949512,0.00500894158518157,20.8667099333333,1.24191393208277,20.7717587333333,1.24664220497881,0.0949512,0.00500894158518157,6.51331451331451,9.58779987382914,1,0,0.131258459035077,0.0590809007056309,0.94942556998037,0.0297893745283632,665.333333333333,84.6552923243344,269.666666666667,85.3449845144187,0.958034002837651,0.128364213605876,116251.799999997,11013.1914364955,53791.5999999983,4881.3463237938,116251.799999997,11013.1914364955,26504.1999999724,2604.81000704714,57663.0999999398,6636.73656276368,1,0,1,0,1,0,0,0,5,0,28.4166666666667,1.92954240770549,140.2037172,0,0
