protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded
sf_cb,fixed_packet,30,30,1,162.5,0.1200936955176,0.144224957030741,self_stable,0.02,0.2,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,3121.24413666965,557.241769283622,266.624453286831,127.273448099501,2854.61968338281,477.328844870611,3121.24413666965,557.241769283622,2132.08333333333,495.031966434515,9228.86666666666,2020.79030863618,15473.3616666667,6039.19436712464,2132.08333333333,495.031966434515,9228.86666666666,2020.79030863618,15473.3616666667,6039.19436712464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1225,95.469778634281,1224.66666666667,108.461370754149,1225,95.469778634281,NaN,NaN,0.1990625,0.0155138390280706,0,0,0,0,0.1990625,0.0155138390280706,0.777769283750959,2.75056662472278,1,0,1.72143272802802e+16,3.44004642628128e+15,0.969167454576653,0.034360295023206,2254,465.064814892808,653,278.876960278828,1.53331479106049,0.221407914253298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00302803590672377,0.00666342723614265,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,4.9043391,0
sb_cb,fixed_packet,30,30,1,162.5,0.06,0.07,self_stable,0.07,0.07,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,964.509539601972,399.129898613431,36.3741142931546,87.1742988056047,928.135425308818,311.982789348289,964.509539601972,399.129898613431,628,12.9079581892484,2468.5,1248.82410845009,7092.28,13085.939522789,628,12.9079581892484,2468.5,1248.82410845009,7092.28,13085.939522789,0,0,69.0327777931779,21.3666427811662,0,0,469.690916936489,223.072552211821,64.4117305791511,68.9989778323939,162.5,0,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.33333333333,107.173581810895,1224.66666666667,108.461370754149,1224.33333333333,107.173581810895,NaN,NaN,0.198954166666667,0.0174157070442704,1.17657166666667,0.375372866337822,0.971225833333333,0.388210533578474,0.205345833333333,0.0129322249489262,0.290419305656221,1.88414031938191,1,0,0.000476660119894023,0.00103147151152435,0.969097439218551,0.0339097080020058,2202,486.085515321253,632.333333333333,580.248699013236,1.521350009822,0.53010125207957,9526.5,7838.71603360879,NaN,NaN,9526.5,7838.71603360879,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00079874762521506,0.00197629124967186,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,1530.6778037,0
unslotted,fixed_packet,30,30,1,162.5,0.03,0.03,self_stable,0.0007,0.0369862238859465,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,1085.27809874918,187.996896033429,23.9663373199982,21.2947720328319,1061.31176142918,171.714184498475,1085.27809874918,187.996896033429,765.470756985383,57.4216006998746,3013.38959462194,1194.1736779218,5040.48823193546,2842.92248238358,765.470756985383,57.4216006998746,3013.38959462194,1194.1736779218,5040.48823193546,2842.92248238358,0,0,0,0,665.458496156757,158.468134363534,19.7463630798534,14.386954224345,51.1069021925728,24.975939212171,162.5,0,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1225,106.644468844112,1224.66666666667,108.461370754149,1225,106.644468844112,NaN,NaN,0.1990625,0.0173297261871682,1.32699523949225,0.120998743240991,1.12343690615891,0.13208040804494,0.203558333333333,0.0142852880971481,0.426107347891799,1.19626028165136,1,0,0.000341607380925389,0.00044918683113702,0.969016129201666,0.0338571389522641,2075.33333333333,55.8976985801088,523,190.356929697242,1.42888581431904,0.196280990822865,7888,1661.22100985683,NaN,NaN,7888,1661.22100985683,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.000817253919047612,7.37086446631795e-05,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,106.3780204,0
s7_clean,fixed_packet,30,30,1,162.5,0.5,0.5,self_stable,0.0006,0.9,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,385.62467434535,16.8497340416371,3.50076507198104,0.955037456537438,382.123909273369,16.2316815103613,385.62467434535,16.8497340416371,299.899999999907,0,782.899999999975,164.797778177784,1427.74999999998,108.669140124568,299.899999999907,0,782.899999999975,164.797778177784,1427.74999999998,108.669140124568,0.0800440386890049,0.0435182425049777,37.5794537465174,1.64725010900528,9.85020291425066,0.850093487165515,79.9340190898074,10.1193843996514,8.78018948410435,4.04060762032471,83.4000000000004,9.33995722750812e-14,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.062369877195,1224.66666666667,108.461370754149,1224.66666666667,108.062369877195,NaN,NaN,0.199026666666667,0.0176127275984001,0.4722928666666,0.0478973432276233,0.273266199999933,0.0328528648273128,0.199026666666667,0.0176127275984001,0.122312122312122,0.289764946883931,1,0,0.000174069326382381,0.000397768782287945,0.969071091030079,0.0338009683870979,1640.66666666667,134.449770326099,129,62.4996410246101,1.10527805136816,0.0484485326178021,4521.2,1363.05885776938,2171.6,727.57857660063,4521.2,1363.05885776938,1646.49999999843,880.753013779389,3444.29999999665,1668.74041535646,1,0,1,0,1,0,0.0005335659757852,0.00114793658427433,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,42.8045254,0
s7_busy,fixed_packet,30,30,1,162.5,0.134164078649987,0.175078203371357,self_stable,0.02,0.175078203371357,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,4991.10799863405,1412.72092635347,671.105344166878,337.977066797792,4320.00265446717,1113.95318375108,4991.10799863405,1412.72092635347,3329.9,1128.17326819808,15157.2499999999,4239.28284224323,23352.7099999999,8556.68125142242,3329.9,1128.17326819808,15157.2499999999,4239.28284224323,23352.7099999999,8556.68125142242,0.823037368924029,0.272379805218825,107.377929415127,33.1187893827898,185.527493611477,58.260525239264,3600.38244956512,941.151282463936,179.991744506517,81.2384421919019,83.4000000000004,9.33995722750812e-14,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1223.33333333333,91.1490123377233,1224.66666666667,108.461370754149,1223.33333333333,91.1490123377233,NaN,NaN,0.1987768,0.0148756273660245,6.103067,2.0355264113239,5.9042902,2.02626288504402,0.1987768,0.0148756273660245,7.11514311514312,14.8830898598986,1,0,0.0077066597377571,0.0175197185519741,0.968664321507778,0.0338721845015308,4887.66666666667,948.154503740272,2648.33333333333,1316.36408294225,3.15817439456255,0.974082040670287,175018.499999996,25548.7832718555,71992.0999999964,7266.10515087541,175018.499999996,25548.7832718555,57938.9999999361,13917.6593915615,138724.299999845,40774.0274758633,1,0,1,0,1,0,0.00488751012965826,0.0098805084301027,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,228.5387664,0
sf_cf,fixed_packet,30,30,1,162.5,0.20800838230519,0.3,self_stable,0.3,0.3,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,1181.07208755688,100.803218036797,29.7698525495721,9.08666467814734,1151.30223500731,96.2399612611531,1181.07208755688,100.803218036797,861.916666666667,67.9864894614198,3222.86666666666,327.875509021255,5077.98666666666,1892.61572951991,861.916666666667,67.9864894614198,3222.86666666666,327.875509021255,5077.98666666666,1892.61572951991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1225,106.296714215405,1224.66666666667,108.461370754149,1225,106.296714215405,NaN,NaN,0.1990625,0.0172732160600033,0,0,0,0,0.1990625,0.0172732160600033,0.589423231426975,0.0273724929283756,1,0,6.51880358523177e+15,1.08869472402595e+15,0.968610714160618,0.0343704370914368,2027.66666666667,266.397952217859,452.666666666667,201.909107643236,1.36847814761746,0.138402794030026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00135081989483281,0.00107540329281122,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,2.6059439,0
sf_cb,fixed_packet,35,35,1,162.5,0.0963492483998996,0.1200936955176,self_stable,0.02,0.144224957030741,0,1,1,0,0,0,1,NaN,1,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,0,0,0,0,1,0,0,0,6732.3122482141,8722.32826428114,1794.02505814463,4771.77244433966,4938.28719006947,3955.61602118248,6732.3122482141,8722.32826428114,3708.08333333333,2295.32697481128,24372.9,45477.685328823,39398.29,75746.0686712855,3708.08333333333,2295.32697481128,24372.9,45477.685328823,39398.29,75746.0686712855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1430,30.2208395862713,1432.66666666667,23.6102010885463,1430,30.2208395862713,NaN,NaN,0.232408333333333,0.00505383658669471,0,0,0,0,0.232408333333333,0.00505383658669471,-10.1537724162097,32.8370361402921,1,0,4.33516612720675e+16,5.54646834422934e+16,0.980541982433198,0.0114247323032335,3590.33333333333,2611.04066207927,1682,2578.52537199406,2.17679340850215,1.82278690340958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00325530233633839,0.00954869609793015,14,0,71.6333333333333,1.18051005442732,4.5585203,0
sb_cb,fixed_packet,35,35,1,162.5,0.0341995189335339,0.052414827884178,self_stable,0.0489897948556636,0.052414827884178,0,1,1,0,0,0,1,NaN,1,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,0,0,0,0,1,0,0,0,1516.89275976565,553.503260701117,93.1465842111416,148.736816006602,1423.74617555451,407.911207691343,1516.89275976565,553.503260701117,952,141.987540081732,4390.9,2018.15802451718,9718.02999999991,8713.47430326563,952,141.987540081732,4390.9,2018.15802451718,9718.02999999991,8713.47430326563,0,0,105.435163925444,34.4855228511807,0,0,908.909488230156,320.039813286149,84.4015233989056,53.3887952941276,162.5,0,162.5,0,0,0,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,24.5079206918534,1432.66666666667,23.6102010885463,1432.66666666667,24.5079206918534,NaN,NaN,0.232826666666667,0.00375411984764529,2.17974833333333,0.833196033383976,1.93917583333333,0.824846984016481,0.2405725,0.00835404293878582,-1.23365323365323,4.60490494671042,1,0,0.00704712654518862,0.0141148767601207,0.979968380430384,0.00938397590901725,3003.33333333333,584.349946863059,1017,591.224775396578,1.70954035863956,0.405940162486253,16940.8333333333,7918.03867256455,NaN,NaN,16940.8333333333,7918.03867256455,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00326184097963857,0.00437828289946697,14,0,71.6333333333333,1.18051005442732,1750.7455558,0
unslotted,fixed_packet,35,35,1,162.5,0.02,0.03,self_stable,0.0007,0.0316227766016838,0,1,1,0,0,0,1,NaN,1,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,0,0,0,0,1,0,0,0,1653.8004243724,253.60045827481,101.061523605486,69.9555861545827,1552.73890076691,183.84222939653,1653.8004243724,253.60045827481,1123.29898800554,128.818344294185,4687.51538312687,567.308576470061,7958.97402487346,4793.50349949728,1123.29898800554,128.818344294185,4687.51538312687,567.308576470061,7958.97402487346,4793.50349949728,0,0,0,0,1423.27248200173,209.839663850785,-259.609137301455,48.1583941720128,64.0755560666412,24.1719366295641,162.5,0,162.5,0,0,0,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1430.66666666667,26.7933954527238,1432.66666666667,23.6102010885463,1430.66666666667,26.7933954527238,NaN,NaN,0.232491400673914,0.00438830307028297,2.36902680219185,0.415159182606114,2.13144373485127,0.409527115656001,0.237583067340581,0.00677506375199058,-0.85960085960086,4.93463402631344,1,0,0.00300856224508245,0.00602121638948978,0.979878383031543,0.0101587353262804,2660.66666666667,306.590635316569,795,337.404066770844,1.5545486766225,0.226668982753447,12373.3333333333,3609.25640489787,NaN,NaN,12373.3333333333,3609.25640489787,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00185944607316026,0.0065653942275257,14,0,71.6333333333333,1.18051005442732,166.8419355,0
s7_clean,fixed_packet,35,35,1,162.5,0.56079315911044,0.56079315911044,self_stable,0.0006,0.8,0,1,1,0,0,0,1,NaN,1,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,0,0,0,0,1,0,0,0,431.460494753051,39.5808916574294,4.40157227187409,7.25645120205294,427.058922481177,33.096338257742,431.460494753051,39.5808916574294,299.899999999907,0,980.149999999931,116.452748753688,1814.50999999995,367.350670634032,299.899999999907,0,980.149999999931,116.452748753688,1814.50999999995,367.350670634032,0.0793896254342642,0.0667639295851645,41.4150886102804,3.18770783927062,8.48532603497314,0.940658355477154,112.990342031153,21.1904186486714,18.1887761793349,7.81925981750498,83.4000000000005,2.49620856803274e-14,162.5,0,0,0,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1431,21.2244819130793,1432.66666666667,23.6102010885463,1431,21.2244819130793,NaN,NaN,0.2326039,0.00363023641755617,0.617460233333254,0.0652314486623515,0.384856333333254,0.0617268986548442,0.2326039,0.00363023641755617,-0.254308254308254,0.877351913235352,1,0,0.00123110541823733,0.00266275522787103,0.980224972314032,0.00943663570366684,2096.66666666667,129.802633435241,312.666666666667,139.340714645199,1.21809084147884,0.0937561129197242,10154.9,2796.22022279344,4690.29999999998,1078.35782867592,10154.9,2796.22022279344,3800.29999999646,1567.23350492817,8312.59999999224,3568.29870565669,1,0,1,0,1,0,0.00116015755688111,0.00264566676396256,14,0,71.6333333333333,1.18051005442732,45.8187663,0
