protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded
sf_cb,fixed_packet,2,2,1,162.5,0.948683298050514,1,self_stable,0.01,1,1,1,1,0,0,0,1,NaN,1,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,0,0,0,0,1,0,0,0,470.588970984376,241.872390515246,0,0,470.588970984376,241.872390515246,470.588970984376,241.872390515246,400.666666666667,18.8095871778349,869.491666666664,1374.72093482132,2103.59333333333,5287.71115174396,400.666666666667,18.8095871778349,869.491666666664,1374.72093482132,2103.59333333333,5287.71115174396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,NaN,NaN,0.0109958333333333,0.00233060356194762,0,0,0,0,0.0109958333333333,0.00233060356194762,0.00280196312730658,0.0794058665567814,1,0,141724527273660,39841892528390.2,0.625951767460393,0.0588368692089423,105.333333333333,54.5002679101598,20.6666666666667,76.3779774646817,1.33417994304626,1.26043607136258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,3.38333333333333,0.717108788291577,3.1752332,0
sb_cb,fixed_packet,2,2,1,162.5,0.98259319385269,1,self_stable,0.0005,1,1,1,1,0,0,0,1,NaN,1,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,0,0,0,0,1,0,0,0,2066.47887323944,3749.71333347707,0,0,2066.47887323944,3749.71333347707,2066.47887323944,3749.71333347707,361,0,7548.10000000002,30764.9641067188,49584.2200000001,106650.718445305,361,0,7548.10000000002,30764.9641067188,49584.2200000001,106650.718445305,0,0,39.6453474948049,8.47860738427347,0,0,395.723312552913,868.136856962744,1306.11021319172,2873.20758032111,162.5,0,162.5,0,0,0,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,NaN,NaN,0.0109958333333333,0.00233060356194762,0.138046666666667,0.257227082699026,0.126996666666667,0.257463053671388,0.01105,0.00245544321638455,0.325427660943326,1.46741970596762,1,0,8.52411066107845e-17,1.84210162313819e-16,0.625951767460393,0.0588368692089423,679,1327.07602884115,594.333333333333,1350.88754827749,9.92195797737243,19.6243403140998,8613,19572.2202458083,NaN,NaN,8613,19572.2202458083,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,3.38333333333333,0.717108788291577,13.8648943,0
unslotted,fixed_packet,2,2,1,162.5,0.98259319385269,1,self_stable,0.0006,1,1,1,1,0,0,0,1,NaN,1,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,0,0,0,0,1,0,0,0,437.713232279638,298.655488473817,0,0,437.713232279638,298.655488473817,437.713232279638,298.655488473817,326.82472464939,0.684571750805871,556.109152163651,954.476246314481,3789.75619179943,8730.02303215368,326.82472464939,0.684571750805871,556.109152163651,954.476246314481,3789.75619179943,8730.02303215368,0,0,0,0,3.90233391232642,2.95274379583911,11.1184968378759,29.8422097575915,97.692401529436,265.918224738539,162.5,0,162.5,0,0,0,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,NaN,NaN,0.0109958333333333,0.00233060356194762,0.0291901888592288,0.0140262518280097,0.0181401888592288,0.015793055475305,0.01105,0.00209754320575286,0.0276939601757494,0.119738664743298,1,0,0,0,0.625951767460393,0.0588368692089423,128.333333333333,82.7756037114835,43.6666666666667,111.933308389708,1.68429154159932,1.84691506238942,628.333333333333,1604.54161030566,NaN,NaN,628.333333333333,1604.54161030566,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,3.38333333333333,0.717108788291577,7.1884834,0
s7_clean,fixed_packet,2,2,1,162.5,0.948683298050514,0.948683298050514,self_stable,0.0001,1,0,1,1,0,0,0,1,NaN,1,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,0,0,0,0,1,0,0,0,294.733294851019,43.6687233065808,0,0,294.733294851019,43.6687233065808,294.733294851019,43.6687233065808,281.899999999907,0,301.549999999969,46.7946865820062,714.109999999955,1387.57476004817,281.899999999907,0,301.549999999969,46.7946865820062,714.109999999955,1387.57476004817,0,0,35.8579234972678,7.99399960718479,0.752943892865389,0.945240786376939,7.66505041170585,16.652285967314,4.55737704918033,19.6088108011533,83.4,2.49620856803274e-14,162.5,0,0,0,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,NaN,NaN,0.0109958333333333,0.00233060356194762,0.0198762333333297,0.00145626486468776,0.00888039999999634,0.000943733692336333,0.0109958333333333,0.00233060356194762,-0.00450000450000451,0.044615535240343,1,0,1.15096344758687e-16,4.95219601960151e-16,0.625951767460393,0.0588368692089423,88,21.6562104947161,3.33333333333333,14.3421757658315,1.05464480874317,0.235117635505435,89,382.936092947702,44.5,191.468046473851,89,382.936092947702,44.4999999999224,191.468046473517,88.9999999998448,382.936092947034,1,0,1,0,1,0,0,0,0,0,3.38333333333333,0.717108788291577,20.155905,0
s7_busy,fixed_packet,2,2,1,162.5,0.98259319385269,0.98259319385269,self_stable,0.005,0.98259319385269,0,1,1,0,0,0,1,NaN,1,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,0,0,0,0,1,0,0,0,1057.56312629872,1929.44511108737,0,0,1057.56312629872,1929.44511108737,1057.56312629872,1929.44511108737,524.899999999946,124.479840814481,5879.44999999993,19574.0054719065,10291.1599999999,34975.2073200774,524.899999999946,124.479840814481,5879.44999999993,19574.0054719065,10291.1599999999,34975.2073200774,0,0,106.283691218348,209.028187789447,0.492495959362734,0.516962224286797,527.579296544239,1207.49762987161,177.307642576772,512.733848871761,83.4,2.49620856803274e-14,162.5,0,0,0,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,NaN,NaN,0.0109958333333333,0.00233060356194762,0.0685722333333297,0.108959963963586,0.0575763999999963,0.111290561173017,0.0109958333333333,0.00233060356194762,0.134660134660135,0.532601173414984,1,0,1.06962471743222e-16,2.30113162336123e-16,0.625951767460393,0.0588368692089423,235,373.687309295091,134.333333333333,365.027392329667,3.12599091818672,6.1478878761602,60110.6000000007,12964.4652947576,27501.0000000005,3697.66390867791,60110.6000000007,12964.4652947576,22935.2999999759,3996.68622562249,50098.0999999467,12933.889751398,1,0,1,0,1,0,0,0,0,0,3.38333333333333,0.717108788291577,60.0982605,0
sf_cf,fixed_packet,2,2,1,162.5,0.9,1,self_stable,0.004,1,1,1,1,0,0,0,1,NaN,1,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,0,0,0,0,1,0,0,0,301.010159316555,146.992172537333,0,0,301.010159316555,146.992172537333,301.010159316555,146.992172537333,253.333333333333,10.5636720931297,752.149999999997,1196.75530423549,1315.57666666667,2817.53748860553,253.333333333333,10.5636720931297,752.149999999997,1196.75530423549,1315.57666666667,2817.53748860553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,NaN,NaN,0.0109958333333333,0.00233060356194762,0,0,0,0,0.0109958333333333,0.00233060356194762,-0.00146240459962822,0.0780447492803042,1,0,90740026492136.5,24866580856273.9,0.625951767460393,0.0588368692089423,98.3333333333333,26.0933018006614,13.6666666666667,46.4960862856869,1.2194258446856,0.76950333508049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,3.38333333333333,0.717108788291577,2.1265494,0
sb_cf,fixed_packet,2,2,1,162.5,0.1,1,self_stable,0.0006,1,1,1,1,0,0,0,1,NaN,1,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,0,0,0,0,1,0,0,0,477.763911336874,582.502026950099,0,0,477.763911336874,582.502026950099,477.763911336874,582.502026950099,246.5,34.1512473023708,845.449999999996,1692.06100681068,5781.77,15242.7330227343,246.5,34.1512473023708,845.449999999996,1692.06100681068,5781.77,15242.7330227343,0,0,58.621411529285,71.1053609751974,0,0,138.966635880859,173.764404453093,117.67586392673,339.841798778517,0,0,162.5,0,0,0,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,67.6666666666667,14.3421757658315,NaN,NaN,0.0109958333333333,0.00233060356194762,0.0324638333333333,0.0427485784467668,0.0324638333333333,0.0427485784467668,0,0,0.0153470347063616,0.0496189074145319,1,0,0,0,0.625951767460393,0.0588368692089423,136.666666666667,135.387404464925,49.6666666666667,150.209900622476,1.72415916262603,2.09133414632933,8450,24048.1699754195,NaN,NaN,8450,24048.1699754195,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,3.38333333333333,0.717108788291577,635.0986283,0
sf_cb,fixed_packet,3,3,1,162.5,0.91594365362043,0.96548938460563,self_stable,0.01,0.98259319385269,0,1,1,0,0,0,1,NaN,1,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,0,0,0,0,1,0,0,0,461.291813597809,192.656431096141,0,0,461.291813597809,192.656431096141,461.291813597809,192.656431096141,413.916666666667,30.4010995171532,563.475,95.6913699343599,2217.74333333333,6989.31087610488,413.916666666667,30.4010995171532,563.475,95.6913699343599,2217.74333333333,6989.31087610488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,NaN,NaN,0.0190125,0.00252093319361435,0,0,0,0,0.0190125,0.00252093319361435,0.0188562612755498,0.0273933737078523,1,0,241991168177561,78264553804668.1,0.7513255041084,0.101286526590792,166.666666666667,97.6848528909701,26.3333333333333,113.303188550069,1.23511904761905,1.01163561205419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,1,0,5.85,0.775671751881339,2.3577854,0
sb_cb,fixed_packet,3,3,1,162.5,1,1,self_stable,0.0004,1,1,1,1,0,0,0,1,NaN,1,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,0,0,0,0,1,0,0,0,365.983337507514,11.0583408607425,0,0,365.983337507514,11.0583408607425,365.983337507514,11.0583408607425,361,0,372.1,47.7594453002186,565.24,519.760827304253,361,0,372.1,47.7594453002186,565.24,519.760827304253,0,0,36.1694324784612,0.383213246573611,0,0,2.87731708742403,5.99124857774403,1.93658794162826,6.63547320632276,162.5,0,162.5,0,0,0,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,NaN,NaN,0.0190125,0.00252093319361435,0.042831,0.00656324227255136,0.0237643333333333,0.00386021619026869,0.0190666666666667,0.00274774107559619,0.037338061955587,0.0478135547587843,1,0,5.04232441986384e-17,2.16953709294095e-16,0.7513255041084,0.101286526590792,141.666666666667,31.0600007521514,1.33333333333333,3.79458303359676,1.01104070660522,0.0303916540932487,14.5,36.0199968203798,NaN,NaN,14.5,36.0199968203798,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,1,0,5.85,0.775671751881339,9.924298,0
unslotted,fixed_packet,3,3,1,162.5,1,1,self_stable,0.0009,1,1,1,1,0,0,0,1,NaN,1,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,0,0,0,0,1,0,0,0,328.632200460829,9.06539416538567,0,0,328.632200460829,9.06539416538567,328.632200460829,9.06539416538567,325,0,325.3,1.29079581892489,497.053333333333,476.817030795861,325,0,325.3,1.29079581892489,497.053333333333,476.817030795861,0,0,0,0,0,0,1.56926843317972,3.53239389492417,2.06293202764977,7.17304482852858,162.5,0,162.5,0,0,0,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,117,15.5134350376268,NaN,NaN,0.0190125,0.00252093319361435,0.038461,0.00594583849010611,0.0193943333333333,0.0032247538634843,0.0190666666666667,0.00274774107559619,0.0359331962787763,0.0549990485461341,1,0,6.28471764431091e-17,2.70409575279989e-16,0.7513255041084,0.101286526590792,142,32.4843157420742,1.66666666666667,5.17114501254226,1.01372887864823,0.0413762121679307,19.3333333333333,55.021453987153,NaN,NaN,19.3333333333333,55.021453987153,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,1,0,5.85,0.775671751881339,1.097777,0
