protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded,fixed_M_baseline
sf_cb,fixed_packet,30,30,1,162.5,0.1200936955176,0.144224957030741,self_stable,0.004,0.20800838230519,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,3121.24413666965,557.241769283622,266.624453286831,127.273448099501,2854.61968338281,477.328844870611,3121.24413666965,557.241769283622,2132.08333333333,495.031966434515,9228.86666666666,2020.79030863618,15473.3616666667,6039.19436712464,2132.08333333333,495.031966434515,9228.86666666666,2020.79030863618,15473.3616666667,6039.19436712464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1225,95.469778634281,1224.66666666667,108.461370754149,1225,95.469778634281,NaN,NaN,0.1990625,0.0155138390280706,0,0,0,0,0.1990625,0.0155138390280706,0.777769283750959,2.75056662472278,1,0,1.72143272802802e+16,3.44004642628128e+15,0.969167454576653,0.034360295023206,2254,465.064814892808,653,278.876960278828,1.53331479106049,0.221407914253298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,4.324177,0,0
sb_cb,fixed_packet,30,30,1,162.5,0.06,0.07,self_stable,0.07,0.07,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,964.509539601972,399.129898613431,36.3741142931546,87.1742988056047,928.135425308818,311.982789348289,964.509539601972,399.129898613431,628,12.9079581892484,2468.5,1248.82410845009,7092.28,13085.939522789,628,12.9079581892484,2468.5,1248.82410845009,7092.28,13085.939522789,0,0,69.0327777931779,21.3666427811662,0,0,469.690916936489,223.072552211821,64.4117305791511,68.9989778323939,162.5,0,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.33333333333,107.173581810895,1224.66666666667,108.461370754149,1224.33333333333,107.173581810895,NaN,NaN,0.198954166666667,0.0174157070442704,1.17657166666667,0.375372866337822,0.971225833333333,0.388210533578474,0.205345833333333,0.0129322249489262,0.290419305656221,1.88414031938191,1,0,0.000476660119894023,0.00103147151152435,0.969097439218551,0.0339097080020058,2202,486.085515321253,632.333333333333,580.248699013236,1.521350009822,0.53010125207957,9526.5,7838.71603360879,NaN,NaN,9526.5,7838.71603360879,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,1548.7309505,0,0
unslotted,fixed_packet,30,30,1,162.5,0.03,0.03,self_stable,0.0007,0.0369862238859465,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,1085.27809874918,187.996896033429,23.9663373199982,21.2947720328319,1061.31176142918,171.714184498475,1085.27809874918,187.996896033429,765.470756985383,57.4216006998746,3013.38959462194,1194.1736779218,5040.48823193546,2842.92248238358,765.470756985383,57.4216006998746,3013.38959462194,1194.1736779218,5040.48823193546,2842.92248238358,0,0,0,0,665.458496156757,158.468134363534,19.7463630798534,14.386954224345,51.1069021925728,24.975939212171,162.5,0,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1225,106.644468844112,1224.66666666667,108.461370754149,1225,106.644468844112,NaN,NaN,0.1990625,0.0173297261871682,1.32699523949225,0.120998743240991,1.12343690615891,0.13208040804494,0.203558333333333,0.0142852880971481,0.426107347891799,1.19626028165136,1,0,0.000341607380925389,0.00044918683113702,0.969016129201666,0.0338571389522641,2075.33333333333,55.8976985801088,523,190.356929697242,1.42888581431904,0.196280990822865,7888,1661.22100985683,NaN,NaN,7888,1661.22100985683,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,114.7211488,0,0
s7_clean,fixed_packet,30,30,1,162.5,0.5,0.5,self_stable,0.0006,0.9,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,385.62467434535,16.8497340416371,3.50076507198104,0.955037456537438,382.123909273369,16.2316815103613,385.62467434535,16.8497340416371,299.899999999907,0,782.899999999975,164.797778177784,1427.74999999998,108.669140124568,299.899999999907,0,782.899999999975,164.797778177784,1427.74999999998,108.669140124568,0.0800440386890049,0.0435182425049777,37.5794537465174,1.64725010900528,9.85020291425066,0.850093487165515,79.9340190898074,10.1193843996514,8.78018948410435,4.04060762032471,83.4000000000004,9.33995722750812e-14,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.062369877195,1224.66666666667,108.461370754149,1224.66666666667,108.062369877195,NaN,NaN,0.199026666666667,0.0176127275984001,0.4722928666666,0.0478973432276233,0.273266199999933,0.0328528648273128,0.199026666666667,0.0176127275984001,0.122312122312122,0.289764946883931,1,0,0.000174069326382381,0.000397768782287945,0.969071091030079,0.0338009683870979,1640.66666666667,134.449770326099,129,62.4996410246101,1.10527805136816,0.0484485326178021,4521.2,1363.05885776938,2171.6,727.57857660063,4521.2,1363.05885776938,1646.49999999843,880.753013779389,3444.29999999665,1668.74041535646,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,42.4300709,0,0
s7_busy,fixed_packet,30,30,1,162.5,0.134164078649987,0.175078203371357,self_stable,0.02,0.175078203371357,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,4991.10799863405,1412.72092635347,671.105344166878,337.977066797792,4320.00265446717,1113.95318375108,4991.10799863405,1412.72092635347,3329.9,1128.17326819808,15157.2499999999,4239.28284224323,23352.7099999999,8556.68125142242,3329.9,1128.17326819808,15157.2499999999,4239.28284224323,23352.7099999999,8556.68125142242,0.823037368924029,0.272379805218825,107.377929415127,33.1187893827898,185.527493611477,58.260525239264,3600.38244956512,941.151282463936,179.991744506517,81.2384421919019,83.4000000000004,9.33995722750812e-14,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1223.33333333333,91.1490123377233,1224.66666666667,108.461370754149,1223.33333333333,91.1490123377233,NaN,NaN,0.1987768,0.0148756273660245,6.103067,2.0355264113239,5.9042902,2.02626288504402,0.1987768,0.0148756273660245,7.11514311514312,14.8830898598986,1,0,0.0077066597377571,0.0175197185519741,0.968664321507778,0.0338721845015308,4887.66666666667,948.154503740272,2648.33333333333,1316.36408294225,3.15817439456255,0.974082040670287,175018.499999996,25548.7832718555,71992.0999999964,7266.10515087541,175018.499999996,25548.7832718555,57938.9999999361,13917.6593915615,138724.299999845,40774.0274758633,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,232.4450779,0,0
sf_cb,fixed_packet,30,30,2,325,0.4,0.459192951084223,self_stable,0.003,0.5,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,20,10.8281052473581,0,0,0.983571998180662,0.0104604231482654,20,10.8281052473581,16825.4198873064,1634.70059172621,477.801708333542,31.8599851848643,16347.6181789729,1609.19662318199,16825.4198873064,1634.70059172621,2284.66666666667,229.363857663493,73012.6583333333,9109.54351721266,131201.465,31379.0002254526,2284.66666666667,229.363857663493,73012.6583333333,9109.54351721266,131201.465,31379.0002254526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1229,110.565059935915,2449.33333333333,216.922741508298,1229,110.565059935915,NaN,NaN,0.199745833333333,0.0180231192290628,0,0,0,0,0.199745833333333,0.0180231192290628,0.263966630812315,0.822055443255896,1,0,9.1207930227222e+16,5.85799523867261e+15,0.967939724063135,0.0367028777271787,896.333333333333,30.8606831807361,138.666666666667,84.8373338770921,0.606011961158819,0.081858688163902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,60.2333333333333,5.94422197842366,3.8782763,0,0
sb_cb,fixed_packet,30,30,2,325,0.421716332650875,0.421716332650875,self_stable,0.0003,0.7,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,20,10.8281052473581,0,0,0.983571998180662,0.0104604231482654,20,10.8281052473581,16530.2875565014,1581.94677000794,244.487195510973,21.1084202236725,16285.8003609904,1575.97896536034,16530.2875565014,1581.94677000794,1778.66666666667,449.390971220211,72727,9841.1706195687,131020.57,31841.9300448358,1778.66666666667,449.390971220211,72727,9841.1706195687,131020.57,31841.9300448358,0,0,21.4763201807375,1.40296379213721,0,0,15984.3743210898,1583.73029460827,37.8204157998252,7.58808016116829,79.629303920045,0.246300717847349,162.5,0,0,0,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1228.33333333333,115.407737474339,2449.33333333333,216.922741508298,1228.33333333333,115.407737474339,NaN,NaN,0.199567833333333,0.0189091865190808,21.4849451666667,1.68695369575723,21.280069,1.68923020274227,0.204876166666667,0.0215932506515874,-1.10108136440813,3.18288916114429,1,0,0.0737366842501283,0.0309461475042311,0.967821421952179,0.0369265814174019,1088,71.0046344942224,314.666666666667,63.883084091553,0.751092429111168,0.0387959766446613,4886.5,180.099984101899,NaN,NaN,4886.5,180.099984101899,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,60.2333333333333,5.94422197842366,337.3729825,0,0
unslotted,fixed_packet,30,30,2,325,0.09,0.09,self_stable,0.0003,0.1,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,20,10.8281052473581,0,0,0.983571998180662,0.0104604231482654,20,10.8281052473581,16546.4711605251,1570.06134183117,250.5456905996,18.5524541410435,16295.9254699255,1579.52671903188,16546.4711605251,1570.06134183117,1747.34467054851,274.22048942581,72692.2230595914,9561.77334415141,131090.03297201,31649.8494444386,1747.34467054851,274.22048942581,72692.2230595914,9561.77334415141,131090.03297201,31649.8494444386,0,0,0,0,68.5519674493427,3.8055370476868,15962.4605357371,1589.25186991098,22.7836628190181,11.1669030693487,79.629303920045,0.246300717847349,162.5,0,0,0,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1228.66666666667,113.981954887105,2449.33333333333,216.922741508298,1228.66666666667,113.981954887105,NaN,NaN,0.199658333333333,0.0185220676691546,21.5036423686938,1.73332424500576,21.2979173686938,1.73414721887638,0.205725,0.0219769860687645,-0.746536929269066,5.34100110534642,1,0,0.0736119253166992,0.0311100513220171,0.967982804554528,0.0367253145152327,956,122.782762786992,185,99.3655084700132,0.642928294874816,0.0705273553693489,2880.66666666667,800.854496460764,NaN,NaN,2880.66666666667,800.854496460764,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,60.2333333333333,5.94422197842366,87.9552131,0,0
s7_clean,fixed_packet,30,30,2,325,0.625732474567597,0.625732474567597,self_stable,0.0003,0.9,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,20,10.8281052473581,0,0,0.983571998180662,0.0104604231482654,20,10.8281052473581,16275.6315695554,1596.60376138944,192.759130210838,6.10007021259823,16082.8724393445,1591.31979686597,16275.6315695554,1596.60376138944,976.899999999946,154.221743453693,72554.9,9588.51657382623,130916.72,31761.2643303344,976.899999999946,154.221743453693,72554.9,9588.51657382623,130916.72,31761.2643303344,3.16358616532209,0.0367951056765455,17.876158325772,0.952756673371767,2.64216834854797,0.460900835431416,15810.3095705747,1594.87629695944,2.98095593019817,2.21102909162502,40.8682089041953,0.126409106882877,162.5,0,0,0,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1228,116.833726543835,2449.33333333333,216.922741508298,1228,116.833726543835,NaN,NaN,0.1995712,0.0190393709443776,21.2050421999999,1.74376358286711,21.0054709999999,1.74537178380373,0.1995712,0.0190393709443776,-1.33715333715334,5.13028010834784,1,0,0.0759454606876962,0.0350007577166376,0.967857284947849,0.0368808203342109,774,78.9080390865128,43.3333333333333,35.5095589233205,0.525769362522705,0.0280222550991695,1290.5,626.893401971896,605.2,251.107988824096,1290.5,626.893401971896,542.899999999441,405.261467988295,1156.99999999882,948.105223252976,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,60.2333333333333,5.94422197842366,58.521156,0,0
s7_busy,fixed_packet,30,30,2,325,0.524148278841779,0.524148278841779,self_stable,0.006,0.761166261102025,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,1204.66666666667,118.884439568473,20,10.8281052473581,0,0,0.983571998180662,0.0104604231482654,20,10.8281052473581,17193.6559865617,1620.37496425821,687.352777769394,91.7751160083747,16506.3032087922,1577.44723650639,17193.6559865617,1620.37496425821,3193.7333333333,382.785658559674,73741.9999999999,10096.5340394041,132496.49,32421.5951073919,3193.7333333333,382.785658559674,73741.9999999999,10096.5340394041,132496.49,32421.5951073919,3.2433490409472,0.12887939396106,40.6283787934235,6.26110520899963,9.84990510279277,1.08542861168312,16147.8907614836,1577.01918764231,58.7908143714376,15.362899073487,40.8682089041953,0.126409106882877,162.5,0,0,0,1224.66666666667,108.461370754149,1204.66666666667,118.884439568473,1229.33333333333,111.13104094765,2449.33333333333,216.922741508298,1229.33333333333,111.13104094765,NaN,NaN,0.199766666666667,0.0180587941539931,22.3316947333333,1.85144839136034,22.1319280666667,1.85146235573628,0.199766666666667,0.0180587941539931,-1.24548924548925,5.45001653529177,1,0,0.0730356528675249,0.0341642502889579,0.967583685042244,0.0377621783612824,1748.33333333333,312.056874427552,850.666666666667,279.488492900544,1.19495231745363,0.184150153205872,142471.199999995,9414.8559095956,64338.0999999972,3813.82048432585,142471.199999995,9414.8559095956,35608.8999999633,5698.03244588044,80242.3999999177,12598.5974579711,1,0,1,0,1,0,0,0,11.6666666666667,1.43421757658315,60.2333333333333,5.94422197842366,208.2753794,0,0
