protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cb,saturation_throughput,1,162.5,162.5,18.0555555555556,1,0,0.025,fixed_theoretical_q,0,3,0.270725,0.00366390380377725,0.270725,0.00366390380377725,1666,22.5471003309369,1666,22.5471003309369,NaN,0.974648612930749,NaN,NaN,NaN,0.5749005,0
sb_cb,saturation_throughput,1,162.5,162.5,18.0555555555556,1,0,0.00237137370566166,maximum_effective_payload_throughput,0,3,0.314028666666667,0.0039659898686933,0.314028666666667,0.0039659898686933,1932,23.9515956323025,1932,23.9515956323025,NaN,0.982812757617365,0.0339928333333333,NaN,NaN,120.7718185,0
unslotted,saturation_throughput,1,162.5,162.5,18.0555555555556,1,0,0.00249804953296681,maximum_effective_payload_throughput,0,3,0.309995637980719,0.00396207505031945,0.309995637980719,0.00396207505031945,1907.33333333333,23.7457682779714,1907.33333333333,23.7457682779714,NaN,0.976532139747402,0.047792,NaN,NaN,18.6121717,0
sf_cb,saturation_throughput,2,325,325,36.1111111111111,2,0,0.025,fixed_theoretical_q,0,3,0.4257625,0.00573123726461691,0.4257625,0.00573123726461691,2620.33333333333,35.7188751844798,5240.66666666667,71.4377503689595,NaN,0.96911524411331,NaN,NaN,NaN,0.3175198,0
sb_cb,saturation_throughput,2,325,325,36.1111111111111,2,0,0.00249804953296681,maximum_effective_payload_throughput,0,3,0.438025833333333,0.00287943597850535,0.438025833333333,0.00287943597850535,2695.33333333333,19.2484019538708,5390.66666666667,38.4968039077416,NaN,0.973389057408905,0.0292271666666667,NaN,NaN,103.8731857,0
unslotted,saturation_throughput,2,325,325,36.1111111111111,2,0,0.00171906475047432,maximum_effective_payload_throughput,0,3,0.443668131543667,0.00639886392185121,0.443668131543667,0.00639886392185121,2730.66666666667,40.252968972625,5461.33333333333,80.50593794525,NaN,0.972525962363924,0.0230791666666667,NaN,NaN,14.5193933,0
sf_cb,saturation_throughput,3,487.5,487.5,54.1666666666667,3,0,0.025,fixed_theoretical_q,0,3,0.525866666666667,0.00823953532434393,0.525866666666667,0.00823953532434393,3236.66666666667,50.3575500242461,9710,151.072650072738,NaN,0.965814248562371,NaN,NaN,NaN,0.2876583,0
sb_cb,saturation_throughput,3,487.5,487.5,54.1666666666667,3,0,0.00173205080756888,maximum_effective_payload_throughput,0,3,0.525982833333333,0.00955803276667562,0.525982833333333,0.00955803276667562,3237,59.4820443495346,9711,178.446133048604,NaN,0.970003043513368,0.0152443333333333,NaN,NaN,93.8807797,0
unslotted,saturation_throughput,3,487.5,487.5,54.1666666666667,3,0,0.00156278032353728,maximum_effective_payload_throughput,0,3,0.517221341157671,0.00196633286932684,0.517221341157671,0.00196633286932684,3183,12.2401960768609,9549,36.7205882305826,NaN,0.962045510090524,0.0170955,NaN,NaN,11.6428719,0
sf_cb,saturation_throughput,4,650,650,72.2222222222222,4,0,0.025,fixed_theoretical_q,0,3,0.601754166666667,0.00815720418471368,0.601754166666667,0.00815720418471368,3703.66666666667,50.4210820105153,14814.6666666667,201.684328042061,NaN,0.963035074124848,NaN,NaN,NaN,0.2219409,0
sb_cb,saturation_throughput,4,650,650,72.2222222222222,4,0,0.001200936955176,maximum_effective_payload_throughput,0,3,0.570399666666667,0.0121451934207204,0.570399666666667,0.0121451934207204,3508,72.8459342265121,14032,291.383736906049,NaN,0.949632103204315,0.00778166666666667,NaN,NaN,86.0990456,0
unslotted,saturation_throughput,4,650,650,72.2222222222222,4,0,0.00156278032353728,maximum_effective_payload_throughput,0,3,0.558485727705747,0.00121595260655466,0.558485727705747,0.00121595260655466,3438.66666666667,6.91423009291546,13754.6666666667,27.6569203716619,NaN,0.953913051533101,0.015689,NaN,NaN,10.5297861,0
sf_cb,saturation_throughput,5,812.5,812.5,90.2777777777778,5,0,0.025,fixed_theoretical_q,0,3,0.649029166666667,0.00450094481130847,0.649029166666667,0.00450094481130847,3994.33333333333,27.8185006385639,19971.6666666667,139.092503192819,NaN,0.953224300188126,NaN,NaN,NaN,0.2023704,0
sb_cb,saturation_throughput,5,812.5,812.5,90.2777777777778,5,0,0.00146779926762207,maximum_effective_payload_throughput,0,3,0.604382333333333,0.00497648240387168,0.604382333333333,0.00497648240387168,3721.66666666667,32.1729354858673,18608.3333333333,160.864677429336,NaN,0.957011140946135,0.009715,NaN,NaN,71.8552641,0
unslotted,saturation_throughput,5,812.5,812.5,90.2777777777778,5,0,0.001,maximum_effective_payload_throughput,0,3,0.604575624818987,0.00510207874602812,0.604575624818987,0.00510207874602812,3721.66666666667,33.1530457793013,18608.3333333333,165.765228896506,NaN,0.954608424787265,0.007366,NaN,NaN,9.3671737,0
sf_cb,saturation_throughput,6,975,975,108.333333333333,6,0,0.025,fixed_theoretical_q,0,3,0.6916375,0.00564012846337153,0.6916375,0.00564012846337153,4256.33333333333,34.7005501077112,25538,208.203300646267,NaN,0.952333153677448,NaN,NaN,NaN,0.1818067,0
sb_cb,saturation_throughput,6,975,975,108.333333333333,6,0,0.000825404185268018,maximum_effective_payload_throughput,0,3,0.6316915,0.0122902159460443,0.6316915,0.0122902159460443,3884,75.7077750300456,23304,454.246650180274,NaN,0.936932492731155,0.0040165,NaN,NaN,68.5523118,0
unslotted,saturation_throughput,6,975,975,108.333333333333,6,0,0.000970345578465104,maximum_effective_payload_throughput,0,3,0.63102176146989,0.0100865152494657,0.63102176146989,0.0100865152494657,3882,64.7690296360846,23292,388.614177816507,NaN,0.949069282027417,0.00644766666666667,NaN,NaN,8.3319674,0
s7_clean,saturation_throughput,1,162.5,162.5,18.0555555555556,1,0,0.0126514899795262,maximum_effective_payload_throughput,0,3,0.502125,0.00150517227696142,0.502125,0.00150517227696142,3090,9.26259862745511,3090,9.26259862745511,NaN,0.985141313698279,0.023451499999976,0,0,30.0651654,0
s7_busy,saturation_throughput,1,162.5,162.5,18.0555555555556,1,0,0.0292401773821287,maximum_effective_payload_throughput,0,3,0.2291433,0.00469840790893654,0.2291433,0.00469840790893654,1410.33333333333,29.3418684552372,1410.33333333333,29.3418684552372,NaN,0.972449597098408,0.0908178333332398,1991.33333333333,0.323591666666667,90.0533973,0
s7_clean,saturation_throughput,2,325,325,36.1111111111111,2,0,0.0126514899795262,maximum_effective_payload_throughput,0,3,0.668294066666667,0.00178620150447193,0.668294066666667,0.00178620150447193,4113.33333333333,11.3912559057863,8226.66666666667,22.7825118115726,NaN,0.976654823262418,0.0160110999999838,0,0,27.0961332,0
