protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded
sf_cb,fixed_packet,30,30,5,812.5,0.2,0.3,self_stable,0.003,0.3,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,1844.31881485036,183.931898243112,91.9159830908471,48.2908524606887,1752.40283175951,153.973595281617,1844.31881485036,183.931898243112,1293.08333333333,19.5831105642903,5116.59166666666,1326.70518140176,8554.195,3832.70548931007,1293.08333333333,19.5831105642903,5116.59166666666,1326.70518140176,8554.195,3832.70548931007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1225.66666666667,103.452729478092,6123.33333333333,542.306853770744,1225.66666666667,103.452729478092,NaN,NaN,0.1990875,0.016880230987275,0,0,0,0,0.1990875,0.016880230987275,0.810922863845414,4.37663545811282,1,0,1.01626097487419e+16,205014783586505,0.968856947985695,0.0336692208456263,2179.33333333333,188.946939294993,656.333333333333,222.872058401125,1.49368092108661,0.232936054322686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00191819578135763,0.0013662914956447,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,7.4979097,0
sb_cb,fixed_packet,30,30,5,812.5,0.0660385449778925,0.07,self_stable,0.0003,0.0894427190999916,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,954.150974448117,418.286681956121,42.6263401819649,131.244261070327,911.524634266152,287.520044334243,954.150974448117,418.286681956121,610,25.8159163784968,2455.9,1385.47495716201,7191.76,9876.91276894914,610,25.8159163784968,2455.9,1385.47495716201,7191.76,9876.91276894914,0,0,66.8698475056966,16.2169694598159,0,0,450.848468539314,209.24488772052,71.491425315523,65.4653001872765,159.814892905618,3.30362683829133,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1222.33333333333,102.101787098831,6123.33333333333,542.306853770744,1222.33333333333,102.101787098831,NaN,NaN,0.198629166666667,0.0165915404035599,1.162687,0.418546233178075,0.957503666666667,0.426254831524871,0.205183333333333,0.00792405211062189,-0.0147704966712128,1.82336810908578,1,0,0.00650428988639981,0.0117841941362738,0.968935056875382,0.0332400440516359,2250.33333333333,290.91292594921,695.333333333333,493.101857221651,1.55564915603739,0.440432289498594,10575.3333333333,5573.48589777587,NaN,NaN,10575.3333333333,5573.48589777587,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00238983752179422,0.00860877809708647,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,1243.2896096,0
unslotted,fixed_packet,30,30,5,812.5,0.025,0.0559344471040699,self_stable,0.0559344471040699,0.0559344471040699,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,1167.94074650353,169.41451302438,35.799821372002,48.3499327024255,1132.14092513153,121.299329098646,1167.94074650353,169.41451302438,830.41422229235,76.3174262947758,3097.48336841937,597.408877234633,5397.40735179967,2340.34285339588,830.41422229235,76.3174262947758,3097.48336841937,597.408877234633,5397.40735179967,2340.34285339588,0,0,0,0,785.657837753277,104.984713747096,-18.7841973854499,18.0619612242745,44.6093190615611,15.0531044264106,158.157965702138,1.90082213713979,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,105.432064515119,6123.33333333333,542.306853770744,1224.66666666667,105.432064515119,NaN,NaN,0.199008333333333,0.0171327104837069,1.43624125419468,0.253921286389277,1.23365792086135,0.241816055593483,0.202583333333333,0.0201688121563045,1.31510517624749,3.75780960470955,1,0,0.00400853553062461,0.00527839036372782,0.96876170831483,0.0337279579346113,1973.66666666667,220.183929847214,472.666666666667,114.764294555595,1.35873188276327,0.0637982178711433,7003.5,1452.90576367487,NaN,NaN,7003.5,1452.90576367487,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00161600154426267,0.00190732429239468,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,147.6674636,0
s7_clean,fixed_packet,30,30,5,812.5,0.528840463202608,0.528840463202608,self_stable,0.0002,0.9,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,377.914761233566,4.53149593750037,2.71035332700428,1.78184310448771,375.204407906562,3.45975690075803,377.914761233566,4.53149593750037,290.900000000023,0,713.899999999948,116.171623703248,1272.82999999994,153.091812422479,290.900000000023,0,713.899999999948,116.171623703248,1272.82999999994,153.091812422479,0.0715670738542072,0.0466068046890748,36.5921459524474,0.867661929246006,8.95139322906126,0.341525610765459,76.7614545132514,3.14515285138199,6.92784713794753,1.92969044457559,82.8305344042325,0.370912308237631,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.062369877195,6123.33333333333,542.306853770744,1224.66666666667,108.062369877195,NaN,NaN,0.199029533333333,0.017617179140402,0.464258533333266,0.0415640910512232,0.265228999999933,0.0242863840976196,0.199029533333333,0.017617179140402,0.162176162176162,0.229909676005085,1,0,0.00309647059341811,0.00289307415871197,0.969071091030079,0.0338009683870979,1604.66666666667,156.664884514323,102,36.7618810377801,1.07623958683669,0.0255194685072353,3818.1,1306.48007903797,1842.3,589.522621735978,3818.1,1306.48007903797,1308.29999999849,403.448208476755,2723.39999999688,981.542223708629,1,0,1,0,1,0,0.0005335659757852,0.00114793658427433,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,49.8262253,0
s7_busy,fixed_packet,30,30,5,812.5,0.251984209978975,0.282842712474619,self_stable,0.004,0.3,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,3617.88366004966,2456.34311327165,508.66201943989,924.811023978963,3109.22164060977,1536.05067343786,3617.88366004966,2456.34311327165,1808.98333333326,93.3295805870059,11492.6166666666,6611.01273024781,39501.5766666666,74325.5213787681,1808.98333333326,93.3295805870059,11492.6166666666,6611.01273024781,39501.5766666666,74325.5213787681,0.51205866873937,0.0920865004550939,156.898088356214,148.724437974533,124.754045408616,115.810382970162,2272.95632807475,911.2399821569,308.201120101448,364.380887751853,76.6606613370309,1.10946838835676,162.5,0,0,0,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1210.33333333333,80.8140562087541,6123.33333333333,542.306853770744,1210.33333333333,80.8140562087541,NaN,NaN,0.1966525,0.0131599762064382,3.88563229999992,1.21923626824035,3.68897979999992,1.20788328480679,0.1966525,0.0131599762064382,7.35963535963536,24.0028453578976,1,0,0.142788420854714,0.590611066329847,0.968558382449341,0.0318072162097001,6297.33333333333,5781.5551989511,4566.66666666667,5698.42583201387,4.61464965753571,4.37424817572155,219767.699999997,165185.940924853,79156.5999999956,33651.608116499,219767.699999997,165185.940924853,63321.599999929,14899.5468471351,168663.299999802,63458.703107546,1,0,1,0,1,0,0.0125005501108685,0.0501682605479627,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,295.8594136,0
sf_cf,fixed_packet,30,30,5,812.5,0.0625732474567597,0.0625732474567597,self_stable,0.02,0.0827677252914336,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,39464.5998297372,9543.28074361492,17028.8025009827,7856.14766553183,22435.7973287546,2059.4793104049,39464.5998297372,9543.28074361492,32527.0833333333,7841.92303883029,99504.6666666666,26150.9371201872,136138.923333333,26845.4129926385,32527.0833333333,7841.92303883029,99504.6666666666,26150.9371201872,136138.923333333,26845.4129926385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1221.66666666667,137.243456608198,6123.33333333333,542.306853770744,1221.66666666667,137.243456608198,NaN,NaN,0.1984375,0.0224018533054097,0,0,0,0,0.1984375,0.0224018533054097,-7.44094231025192,28.7710416494829,1,0,2.18160101283952e+17,7.06648328500276e+16,0.967035894750622,0.0431437473581744,2535.33333333333,582.143949850531,1297.66666666667,419.314302558933,1.68129463540167,0.246302092601362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00696976964630372,0.0180062961795244,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,1.1877775,0
sf_cb,fixed_packet,35,35,5,812.5,0.144224957030741,0.20800838230519,self_stable,0.20800838230519,0.20800838230519,0,1,1,0,0,0,1,NaN,1,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,0,0,0,0,1,0,0,0,3053.65046703744,1010.20136855978,308.028973103914,486.787640828242,2745.62149393352,523.583791399053,3053.65046703744,1010.20136855978,1966.75,60.4703872572578,8876.075,4051.47929269215,19032.0233333333,28238.1802075214,1966.75,60.4703872572578,8876.075,4051.47929269215,19032.0233333333,28238.1802075214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1427.66666666667,39.6166099442618,7163.33333333333,118.051005442732,1427.66666666667,39.6166099442618,NaN,NaN,0.231954166666667,0.0062592393957565,0,0,0,0,0.231954166666667,0.0062592393957565,-0.121995702471262,4.0283220317138,1,0,1.9691681624703e+16,6.19491533221553e+15,0.979375122031082,0.00972693271835868,2903,602.86291336231,1115.66666666667,647.118271245726,1.70566707776618,0.449151061202259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00535408213895905,0.0081964180326093,14,0,71.6333333333333,1.18051005442732,4.4836655,0
sb_cb,fixed_packet,35,35,5,812.5,0.03,0.0459192951084223,self_stable,0.0005,0.0629469038052989,0,1,1,0,0,0,1,NaN,1,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,0,0,0,0,1,0,0,0,1366.45903828011,185.851425749636,62.8961149392982,23.0282662521938,1303.56292334081,164.665762699458,1366.45903828011,185.851425749636,925,56.264485314382,3890.41666666666,632.404945404056,7357.6,3388.06430268647,925,56.264485314382,3890.41666666666,632.404945404056,7357.6,3388.06430268647,0,0,91.7839875435494,12.2468935309709,0,0,833.397050738977,139.046252603437,58.97507015839,16.4930794839543,156.906814899891,2.90508226403403,162.5,0,0,0,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1430,31.0268700752536,7163.33333333333,118.051005442732,1430,31.0268700752536,NaN,NaN,0.2323505,0.0049396022768889,1.96334166666667,0.292118111616281,1.72481616666667,0.287686777467498,0.2385255,0.00456868703342675,-0.0049920049920054,1.03340974288042,1,0,0.00427360349067403,0.00835279489490923,0.980144413857097,0.00927985474722242,2501,232.383083368599,709.333333333333,202.975992573638,1.46072219262651,0.128035272579774,11073.1666666667,3328.74924557048,NaN,NaN,11073.1666666667,3328.74924557048,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00279334718718132,0.00458783558039091,14,0,71.6333333333333,1.18051005442732,1719.5819704,0
unslotted,fixed_packet,35,35,5,812.5,0.025,0.0355689330449006,self_stable,0.0002,0.04,0,1,1,0,0,0,1,NaN,1,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,0,0,0,0,1,0,0,0,1304.94430953733,218.664471376777,42.156243617437,30.5204080794016,1262.78806591989,188.678488656091,1304.94430953733,218.664471376777,934.203622366127,72.9693218885728,3461.22181074968,899.873590996359,5734.08635849127,1002.31637627949,934.203622366127,72.9693218885728,3461.22181074968,899.873590996359,5734.08635849127,1002.31637627949,0,0,0,0,917.143747160881,186.758986228733,-32.0289051546023,20.4825632543578,57.662027826599,27.0307627898482,157.511196087012,1.15565128873264,162.5,0,0,0,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1430.66666666667,35.1602760831739,7163.33333333333,118.051005442732,1430.66666666667,35.1602760831739,NaN,NaN,0.232483333333333,0.00571354486351582,1.87532625720899,0.368194831740019,1.63683042387565,0.359157081510819,0.238495833333333,0.00948701659091494,-1.04979304979305,2.79417331006047,1,0,0.00614390970029067,0.00787032493345492,0.979862316322211,0.00975338878990546,2545.33333333333,139.650377443915,704,285.611025907016,1.46035700883139,0.184817122515345,11542,1574.61365631912,NaN,NaN,11542,1574.61365631912,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00371617137694036,0.00781311055197738,14,0,71.6333333333333,1.18051005442732,131.6434295,0
s7_clean,fixed_packet,35,35,5,812.5,0.5,0.5,self_stable,0.0002,0.8,0,1,1,0,0,0,1,NaN,1,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,0,0,0,0,1,0,0,0,418.566144174655,27.9655224254775,3.88689070785103,8.5648707485314,414.679253466804,19.6434356047292,418.566144174655,27.9655224254775,299.899999999984,1.66964910699658e-10,937.099999999906,282.905224684602,1597.90999999995,285.097877039164,299.899999999984,1.66964910699658e-10,937.099999999906,282.905224684602,1597.90999999995,285.097877039164,0.0735772484259545,0.0686491290234598,38.9355372576036,2.34546471320812,10.1397723732806,0.840445249300866,106.885207510705,12.3498103787072,12.7451590767881,6.26536222507822,82.7614234903931,1.03092749917831,162.5,0,0,0,1432.66666666667,23.6102010885463,1432.66666666667,23.6102010885463,1431.66666666667,22.4031947253764,7163.33333333333,118.051005442732,1431.66666666667,22.4031947253764,NaN,NaN,0.232715233333333,0.00371273130288313,0.601334166666587,0.0512648572463201,0.368618933333254,0.0479644068058104,0.232715233333333,0.00371273130288313,-0.223672223672224,0.648478318633622,1,0,0.00263965629973126,0.00429219395768001,0.980179077578662,0.00931917352539393,1975.33333333333,96.7326329591119,219,109.104278512548,1.14516286051775,0.0689842562708268,7271.29999999999,3007.69426032461,3470.99999999999,1493.45076249603,7271.29999999999,3007.69426032461,2821.29999999688,1340.27632531516,5847.29999999355,2913.08423628097,1,0,1,0,1,0,0.000696384896142347,0.00173353373317417,14,0,71.6333333333333,1.18051005442732,48.1263397,0
