protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,cca_variant,cca_mode,rx_sens_dbm,q_source
sb_cf,fixed_packet,30,30,1,190,0.01,0,68,NaN,32,NaN,36,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4680.78125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,767.5,NaN,14551,NaN,86135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1360,NaN,620,NaN,1360,NaN,620,NaN,NaN,NaN,0.1178,NaN,12.0071,NaN,10.0181,NaN,1.989,NaN,1055.07803121249,NaN,0.470588235294118,NaN,NaN,NaN,0.358582089552239,NaN,2913,NaN,113,NaN,4.53125,NaN,545870,NaN,131365,NaN,545870,NaN,30710,NaN,93560,NaN,directional,directional,-62,primary_tuned
sb_cf,fixed_packet,30,30,1,190,0.01,1,68,NaN,68,NaN,0,NaN,0,NaN,1055.51470588235,NaN,17.4264705882353,NaN,1038.08823529412,NaN,1055.51470588235,NaN,710,NaN,3198.5,NaN,4205.5,NaN,710,NaN,3198.5,NaN,4205.5,NaN,0,NaN,15,NaN,583.382352941176,NaN,249.705882352941,NaN,0,NaN,0,NaN,190,NaN,0,NaN,1360,NaN,1340,NaN,1360,NaN,1340,NaN,NaN,NaN,0.2525,NaN,1.4198,NaN,1.1673,NaN,0.2525,NaN,-0.576230492196901,NaN,1,NaN,0.0110578954782364,NaN,0.581476683937824,NaN,74,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,oracle,oracle,-62,primary_tuned
sb_cf,fixed_packet,30,30,1,190,0.01,0,68,NaN,25,NaN,43,NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1876.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,580,NaN,8835,NaN,9750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1360,NaN,500,NaN,1360,NaN,500,NaN,NaN,NaN,0.095,NaN,14.5404,NaN,11.8978,NaN,2.6426,NaN,1156.0144057623,NaN,0.367647058823529,NaN,NaN,NaN,0.318877551020408,NaN,3890,NaN,45,NaN,2.8,NaN,732745,NaN,133645,NaN,732745,NaN,32580,NaN,127380,NaN,disabled,disabled,-62,primary_tuned
sb_cf,fixed_packet,30,30,1,190,0.01,1,68,NaN,68,NaN,0,NaN,0,NaN,1391.17647058824,NaN,21.6176470588235,NaN,1369.55882352941,NaN,1391.17647058824,NaN,1000,NaN,4103.5,NaN,5160.99999999999,NaN,1000,NaN,4103.5,NaN,5160.99999999999,NaN,0,NaN,24.2647058823529,NaN,864.338235294118,NaN,173.602941176471,NaN,117.352941176471,NaN,0,NaN,190,NaN,0,NaN,1360,NaN,1320,NaN,1360,NaN,1320,NaN,NaN,NaN,0.2487,NaN,1.8552,NaN,1.4469,NaN,0.4083,NaN,3.36134453781511,NaN,1,NaN,0.0198361362656317,NaN,0.591847826086957,NaN,118,NaN,42,NaN,1.61764705882353,NaN,8360,NaN,6350,NaN,8360,NaN,6055,NaN,7980,NaN,directional_-72dBm,directional,-72,primary_tuned
sb_cf,fixed_packet,30,30,1,190,0.01,1,68,NaN,68,NaN,0,NaN,0,NaN,2183.67647058824,NaN,180.588235294118,NaN,2003.08823529412,NaN,2183.67647058824,NaN,1247.5,NaN,6472.49999999999,NaN,8923.6,NaN,1247.5,NaN,6472.49999999999,NaN,8923.6,NaN,0,NaN,36.6176470588235,NaN,1352.86764705882,NaN,149.779411764706,NaN,273.823529411765,NaN,0,NaN,190,NaN,0,NaN,1360,NaN,1300,NaN,1360,NaN,1300,NaN,NaN,NaN,0.247,NaN,2.9313,NaN,2.3119,NaN,0.6194,NaN,-247.587034813926,NaN,1,NaN,0.0131341043223143,NaN,0.583563535911602,NaN,179,NaN,98,NaN,2.44117647058824,NaN,19950,NaN,13620,NaN,19950,NaN,12520,NaN,18620,NaN,directional_-67dBm,directional,-67,primary_tuned
sb_cf,fixed_packet,30,30,1,190,0.01,0,68,NaN,27,NaN,41,NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3771.66666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,655,NaN,18892.75,NaN,39705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1360,NaN,520,NaN,1360,NaN,520,NaN,NaN,NaN,0.0988,NaN,14.5058,NaN,12,NaN,2.5058,NaN,1142.47298919568,NaN,0.397058823529412,NaN,NaN,NaN,0.312962962962963,NaN,3481,NaN,116,NaN,5.2962962962963,NaN,654655,NaN,133485,NaN,654655,NaN,32590,NaN,120350,NaN,directional_-57dBm,directional,-57,primary_tuned
sb_cf,fixed_packet,30,30,1,190,0.01,0,68,NaN,25,NaN,43,NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1876.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,580,NaN,8835,NaN,9750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1360,NaN,500,NaN,1360,NaN,500,NaN,NaN,NaN,0.095,NaN,14.5404,NaN,11.932,NaN,2.6084,NaN,1156.0144057623,NaN,0.367647058823529,NaN,NaN,NaN,0.318877551020408,NaN,3772,NaN,45,NaN,2.8,NaN,710325,NaN,133640,NaN,710325,NaN,32575,NaN,125670,NaN,directional_-52dBm,directional,-52,primary_tuned
sb_cb,fixed_packet,30,30,1,190,0.05,1,68,NaN,68,NaN,0,NaN,0,NaN,712.720588235294,NaN,6.83823529411765,NaN,705.882352941176,NaN,712.720588235294,NaN,610,NaN,1459,NaN,2137.2,NaN,610,NaN,1459,NaN,2137.2,NaN,0,NaN,18.9705882352941,NaN,107.867647058824,NaN,165.955882352941,NaN,33.0882352941176,NaN,190,NaN,190,NaN,0,NaN,1360,NaN,1360,NaN,1360,NaN,1360,NaN,NaN,NaN,0.2562,NaN,0.9636,NaN,0.7074,NaN,0.2562,NaN,19.015606242497,NaN,1,NaN,0.0059153175591531,NaN,0.589795918367347,NaN,93,NaN,18,NaN,1.26470588235294,NaN,360,NaN,360,NaN,360,NaN,340,NaN,340,NaN,directional,directional,-62,primary_tuned
sb_cb,fixed_packet,30,30,1,190,0.05,1,68,NaN,68,NaN,0,NaN,0,NaN,668.382352941176,NaN,6.83823529411765,NaN,661.544117647059,NaN,668.382352941176,NaN,607.5,NaN,1221.5,NaN,1629.1,NaN,607.5,NaN,1221.5,NaN,1629.1,NaN,0,NaN,15.8823529411765,NaN,85.3676470588235,NaN,176.764705882353,NaN,3.52941176470588,NaN,190,NaN,190,NaN,0,NaN,1360,NaN,1360,NaN,1360,NaN,1360,NaN,NaN,NaN,0.2562,NaN,0.9033,NaN,0.6471,NaN,0.2562,NaN,19.015606242497,NaN,1,NaN,0.00631019594818989,NaN,0.589795918367347,NaN,79,NaN,4,NaN,1.05882352941176,NaN,100,NaN,100,NaN,100,NaN,80,NaN,80,NaN,oracle,oracle,-62,primary_tuned
sb_cb,fixed_packet,30,30,1,190,0.05,1,68,NaN,68,NaN,0,NaN,0,NaN,712.720588235294,NaN,6.83823529411765,NaN,705.882352941176,NaN,712.720588235294,NaN,610,NaN,1459,NaN,2137.2,NaN,610,NaN,1459,NaN,2137.2,NaN,0,NaN,19.1911764705882,NaN,110.441176470588,NaN,162.205882352941,NaN,34.0441176470588,NaN,190,NaN,190,NaN,0,NaN,1360,NaN,1360,NaN,1360,NaN,1360,NaN,NaN,NaN,0.2562,NaN,0.9636,NaN,0.7074,NaN,0.2562,NaN,19.015606242497,NaN,1,NaN,0.0059153175591531,NaN,0.589795918367347,NaN,94,NaN,19,NaN,1.27941176470588,NaN,380,NaN,380,NaN,380,NaN,360,NaN,360,NaN,disabled,disabled,-62,primary_tuned
