protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_source,cca_variant,cca_mode,rx_sens_dbm,n_eval_runs,stable_fraction,mean_delay_us,p95_delay_us,normalized_goodput_units_s,backlog_slope_pkt_s,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,harmful_missed_opportunities,false_alarm_opportunities,late_start_handshake,late_start_data,late_start_attempts,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,30,30,1,190,0.05,primary_tuned,directional,directional,-62,1,1,712.720588235294,1459,1360,19.015606242497,217576,202185,0.929261499430084,54,285,0,1555,0.84070796460177,0,285,0,14,3,NaN,19,18,2300,127.777777777778,0,0,NaN,360,360
sb_cb,fixed_packet,30,30,1,190,0.05,primary_tuned,directional_-52dBm,directional,-52,1,1,712.720588235294,1459,1360,19.015606242497,217572,216983,0.997292850182928,0,334,0,1555,1,0,334,0,15,3,NaN,20,19,2365,124.473684210526,0,0,NaN,380,380
sb_cb,fixed_packet,30,30,1,190,0.05,primary_tuned,directional_-57dBm,directional,-57,1,1,712.720588235294,1459,1360,19.015606242497,217572,210253,0.966360561101612,19,315,0,1555,0.94311377245509,0,315,0,15,3,NaN,20,19,2365,124.473684210526,0,0,NaN,380,380
sb_cb,fixed_packet,30,30,1,190,0.05,primary_tuned,directional_-67dBm,directional,-67,1,1,712.720588235294,1459,1360,19.015606242497,217540,178755,0.821710949710398,87,268,4,1551,0.754929577464789,0.00257234726688103,268,4,13,3,NaN,18,17,2195,129.117647058824,0,0,NaN,340,340
sb_cb,fixed_packet,30,30,1,190,0.05,primary_tuned,directional_-72dBm,directional,-72,1,1,674.779411764706,1294,1360,19.015606242497,215968,131892,0.610701585420062,159,165,8,1544,0.509259259259259,0.00515463917525773,165,8,9,1,NaN,11,11,1095,99.5454545454545,0,0,NaN,220,220
sb_cb,fixed_packet,30,30,1,190,0.05,primary_tuned,disabled,disabled,-62,1,1,712.720588235294,1459,1360,19.015606242497,217572,202179,0.929251006563345,0,334,0,1555,1,0,334,0,15,3,NaN,20,19,2365,124.473684210526,0,0,NaN,380,380
sb_cb,fixed_packet,30,30,1,190,0.05,primary_tuned,oracle,oracle,-62,1,1,668.382352941176,1221.5,1360,19.015606242497,215992,200820,0.929756657653987,327,0,0,1515,0,0,0,0,4,0,NaN,5,5,290,58,0,0,NaN,100,100
sb_cb,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,directional,directional,-62,1,0,NaN,NaN,900,1198.46338535414,956852,864372,0.903349734337181,12275,61779,129,15738,0.834242579739109,0.00813008130081301,61779,129,1456,3748,NaN,5775,5601,1013270,180.908766291734,73,55480,760,97820,153630
sb_cb,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,directional_-52dBm,directional,-52,1,0,NaN,NaN,540,1198.46338535414,942915,933999,0.99054421660489,719,61509,0,16199,0.988445715754966,0,61509,0,1898,4884,NaN,7438,7260,1326960,182.776859504132,50,38000,760,101945,173700
sb_cb,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,directional_-57dBm,directional,-57,1,0,NaN,NaN,600,1198.46338535414,960158,924109,0.962455137591938,5865,63775,0,16965,0.915781160252728,0,63775,0,1645,4199,NaN,6455,6278,1138515,181.349952214081,73,55480,760,102120,167170
