protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,15,15,1,190,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,128546,118974,0.925536383862586,0,116,0,1301,1,0,1301,126,65,33,18,116,0,NaN,NaN,6,1,NaN,2,4,45,1,0,1800,1766,2,32,0,2,1755,1723,32,1,13,10,1580,158,1,380,380,390,360,390
sb_cb,fixed_packet,15,15,2,380,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,207444,193212,0.931393532712443,72,711,0,1141,0.908045977011494,0,1141,1023,488,222,73,711,0,NaN,NaN,21,10,NaN,4,8,49,4,0,1960,1850,10,100,0,3,1911,1804,107,10,43,36,5900,163.888888888889,4,2280,570,2240,2070,2240
sb_cb,fixed_packet,15,15,3,570,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,406454,373669,0.919338965787026,1578,3683,0,2792,0.700057023379586,0,2792,8694,2542,2026,693,3683,0,NaN,NaN,141,155,NaN,87,177,76,23,0,3040,2448,24,568,0,11,2964,2383,581,170,372,338,54510,161.272189349112,23,17480,760,19870,16945,19870
sb_cb,fixed_packet,15,15,4,760,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,952497,849086,0.891431679049908,6715,27534,17,7064,0.803935881339601,0.00240079084875018,7081,113846,15184,15110,3955,27534,17,NaN,NaN,1100,3335,NaN,1664,3669,153,75,0,6120,3020,231,2869,0,62,5967,2929,3038,3686,4940,4804,865955,180.25707743547,75,71250,950,153080,98725,153080
sb_cb,fixed_packet,15,15,5,950,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,926143,834802,0.901374841682116,3744,26996,27,5315,0.878204294079375,0.00505428678397604,5342,113025,12156,15492,3092,26996,27,NaN,NaN,948,3692,NaN,1721,3735,130,55,0,5200,2419,182,2599,0,59,5070,2348,2722,3998,5034,4921,891030,181.066856330014,55,62700,1140,150670,95115,150670
sb_cb,fixed_packet,15,15,6,1140,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,919735,840040,0.913350041044431,4230,24387,12,5982,0.852185763706887,0.002002002002002,5994,111461,10961,14518,3138,24387,12,NaN,NaN,785,3611,NaN,1612,3465,112,42,0,4480,2232,177,2071,0,55,4368,2175,2193,3862,4781,4685,849445,181.311632870864,42,55860,1330,141580,93570,141580
sb_cb,fixed_packet,30,30,1,190,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,178268,166802,0.935681109340992,6,73,0,1551,0.924050632911392,0,1551,129,63,5,11,73,0,NaN,NaN,5,3,NaN,3,6,62,1,0,2480,2442,3,35,0,2,2418,2382,36,3,14,11,2005,182.272727272727,1,380,380,410,390,410
sb_cb,fixed_packet,30,30,2,380,0.025,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,283784,268177,0.94500394666366,56,622,0,3357,0.91740412979351,0,3357,1186,489,89,100,622,0,NaN,NaN,16,9,NaN,5,9,67,4,0,2680,2579,5,96,0,4,2613,2516,97,10,38,30,5210,173.666666666667,4,2280,570,2120,2005,2120
sb_cb,fixed_packet,30,30,4,760,0.01,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,848432,806297,0.950337799611519,1944,31690,0,19045,0.942201343878219,0,19045,62828,15626,15208,2800,31690,0,NaN,NaN,196,377,NaN,113,221,131,49,0,5240,4429,68,743,0,23,5109,4321,788,423,689,617,107865,174.821717990276,49,46550,950,49580,43970,49580
sb_cb,fixed_packet,5,5,1,190,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,23344,21396,0.916552433173406,0,0,0,193,NaN,0,193,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,8,0,0,320,320,0,0,0,0,312,312,0,0,0,0,0,NaN,0,0,NaN,0,0,0
