protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,condition_elapsed_s,timeout_exceeded
sf_cf,fixed_packet,5,5,1,190,0.05,1,5,NaN,5,NaN,0,NaN,0,NaN,2791,NaN,0,NaN,2791,NaN,2791,NaN,2785,NaN,5535,NaN,5535,NaN,2785,NaN,5535,NaN,5535,NaN,93,NaN,0,NaN,2508,NaN,0,NaN,0,NaN,0,NaN,190,NaN,0,NaN,100,NaN,120,NaN,100,NaN,120,NaN,NaN,NaN,0.0216,NaN,0.4001,NaN,0.3785,NaN,0.0216,NaN,-19.3997599039616,NaN,1,NaN,0.302424393901524,NaN,0.1125,NaN,8,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0.4396855,0
sf_cb,fixed_packet,5,5,1,190,0.01,0,5,NaN,5,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25420,NaN,89405,NaN,89405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,40,NaN,100,NaN,40,NaN,NaN,NaN,0.0094,NaN,2.3599,NaN,2.3505,NaN,0.0094,NaN,14.405762304922,NaN,1,NaN,NaN,NaN,0.05,NaN,10,NaN,2,NaN,1.4,NaN,190,NaN,190,NaN,380,NaN,0,NaN,0,NaN,0.08884,0
sb_cf,fixed_packet,5,5,1,190,0.025,1,5,NaN,5,NaN,0,NaN,0,NaN,360,NaN,0,NaN,360,NaN,360,NaN,310,NaN,690,NaN,690,NaN,310,NaN,690,NaN,690,NaN,0,NaN,15,NaN,155,NaN,0,NaN,0,NaN,0,NaN,190,NaN,0,NaN,100,NaN,100,NaN,100,NaN,100,NaN,NaN,NaN,0.019,NaN,0.036,NaN,0.017,NaN,0.019,NaN,0,NaN,1,NaN,1.92747052886312e-16,NaN,0.125,NaN,8,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0.4720562,0
sb_cb,fixed_packet,5,5,1,190,0.05,1,5,NaN,5,NaN,0,NaN,0,NaN,468,NaN,0,NaN,468,NaN,468,NaN,455,NaN,510,NaN,510,NaN,455,NaN,510,NaN,510,NaN,0,NaN,15,NaN,73,NaN,0,NaN,0,NaN,190,NaN,190,NaN,0,NaN,100,NaN,100,NaN,100,NaN,100,NaN,NaN,NaN,0.019,NaN,0.0468,NaN,0.0278,NaN,0.019,NaN,4.32172869147659,NaN,1,NaN,1.48266963758701e-16,NaN,0.125,NaN,8,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1.0501201,0
s7_clean,fixed_packet,5,5,1,190,0.05,1,5,NaN,5,NaN,0,NaN,0,NaN,469,NaN,0,NaN,469,NaN,469,NaN,444,NaN,642,NaN,642,NaN,444,NaN,642,NaN,642,NaN,3.6,NaN,36,NaN,77.4,NaN,0,NaN,0,NaN,162,NaN,190,NaN,0,NaN,100,NaN,100,NaN,100,NaN,100,NaN,NaN,NaN,0.019,NaN,0.0469,NaN,0.0279,NaN,0.019,NaN,-0.672268907563024,NaN,1,NaN,1.47950829507617e-16,NaN,0.125,NaN,8,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0.4071886,0
s7_busy,fixed_packet,5,5,1,190,0.025,1,5,NaN,5,NaN,0,NaN,0,NaN,9285.4,NaN,0,NaN,9285.4,NaN,9285.4,NaN,8144,NaN,23938,NaN,23938,NaN,8144,NaN,23938,NaN,23938,NaN,3.6,NaN,57.6,NaN,480.6,NaN,8294.4,NaN,97.2,NaN,162,NaN,190,NaN,0,NaN,100,NaN,120,NaN,100,NaN,120,NaN,NaN,NaN,0.0228,NaN,1.21566,NaN,1.19286,NaN,0.0228,NaN,-44.4657863145258,NaN,1,NaN,0.236184459470576,NaN,0.1125,NaN,14,NaN,3,NaN,1.6,NaN,6363,NaN,2961,NaN,6363,NaN,2646,NaN,5670,NaN,1.9337961,0
sf_cf,fixed_packet,5,5,2,380,0.025,1,5,NaN,5,NaN,0,NaN,0,NaN,11645,NaN,0,NaN,11645,NaN,11645,NaN,13045,NaN,17395,NaN,17395,NaN,13045,NaN,17395,NaN,17395,NaN,245,NaN,0,NaN,11020,NaN,0,NaN,0,NaN,0,NaN,380,NaN,0,NaN,100,NaN,140,NaN,200,NaN,280,NaN,NaN,NaN,0.0532,NaN,1.6149,NaN,1.5617,NaN,0.0532,NaN,-57.5270108043217,NaN,1,NaN,0.278902718434578,NaN,0.136111111111111,NaN,8,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0.0870246,0
sf_cb,fixed_packet,5,5,2,380,0.01,1,5,NaN,5,NaN,0,NaN,0,NaN,22627,NaN,0,NaN,22627,NaN,22627,NaN,14565,NaN,67320,NaN,67320,NaN,14565,NaN,67320,NaN,67320,NaN,169,NaN,0,NaN,21660,NaN,228,NaN,0,NaN,190,NaN,380,NaN,0,NaN,100,NaN,120,NaN,200,NaN,240,NaN,NaN,NaN,0.0456,NaN,1.6395,NaN,1.5939,NaN,0.0456,NaN,18.1512605042017,NaN,1,NaN,0.380115888990546,NaN,0.1125,NaN,8,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0.0534454,0
sb_cf,fixed_packet,5,5,2,380,0.05,1,5,NaN,5,NaN,0,NaN,0,NaN,545,NaN,0,NaN,545,NaN,545,NaN,565,NaN,700,NaN,700,NaN,565,NaN,700,NaN,700,NaN,0,NaN,15,NaN,150,NaN,0,NaN,0,NaN,0,NaN,380,NaN,0,NaN,100,NaN,100,NaN,200,NaN,200,NaN,NaN,NaN,0.038,NaN,0.0545,NaN,0.0165,NaN,0.038,NaN,4.32172869147659,NaN,1,NaN,1.27319154200133e-16,NaN,0.125,NaN,8,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0.1695062,0
sb_cb,fixed_packet,5,5,2,380,0.025,1,5,NaN,5,NaN,0,NaN,0,NaN,702,NaN,0,NaN,702,NaN,702,NaN,665,NaN,860,NaN,860,NaN,665,NaN,860,NaN,860,NaN,0,NaN,15,NaN,117,NaN,0,NaN,0,NaN,190,NaN,380,NaN,0,NaN,100,NaN,100,NaN,200,NaN,200,NaN,NaN,NaN,0.038,NaN,0.0702,NaN,0.0322,NaN,0.038,NaN,3.64945978391357,NaN,1,NaN,1.97689285011602e-16,NaN,0.125,NaN,8,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0.5160686,0
