protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,n_topology_clusters,topology_seeds,stable_topology_fraction,all_topologies_stable,stable_fraction_mean,stable_fraction_ci95,stable_fraction_n_clusters,mean_delay_us_mean,mean_delay_us_ci95,mean_delay_us_n_clusters,p95_delay_us_mean,p95_delay_us_ci95,p95_delay_us_n_clusters,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,normalized_goodput_units_s_n_clusters,goodput_pkt_s_mean,goodput_pkt_s_ci95,goodput_pkt_s_n_clusters,backlog_slope_pkt_s_mean,backlog_slope_pkt_s_ci95,backlog_slope_pkt_s_n_clusters,completion_ratio_mean,completion_ratio_ci95,completion_ratio_n_clusters,jain_fairness_mean,jain_fairness_ci95,jain_fairness_n_clusters
sb_cb,fixed_packet,5,5,1,190,2,20260326;20260327,1,1,1,0,2,483.75,0,2,646,0,2,300,0,2,300,0,2,-3.07322929171669,0,2,1,0,2,0.296052631578947,0,2
sf_cb,fixed_packet,5,5,1,190,2,20260326;20260327,1,1,1,0,2,17271.875,0,2,45785.5,0,2,160,0,2,160,0,2,94.6938775510204,0,2,1,0,2,0.16,0,2
sb_cb,fixed_packet,5,5,3,570,2,20260326;20260327,1,1,1,0,2,1075.46875,581.705935577998,2,2136.25,4545.6447443665,2,840,0,2,280,0,2,-13.1572629051621,0,2,1,0,2,0.272222222222222,0,2
sf_cb,fixed_packet,5,5,3,570,2,20260326;20260327,1,1,1,0,2,6916.875,0,2,17503,0,2,780,0,2,260,0,2,-53.4933973589436,0,2,1,0,2,0.248529411764706,0,2
sb_cb,fixed_packet,5,5,6,1140,2,20260326;20260327,1,1,1,0,2,1975.3125,0,2,4364,0,2,1680,0,2,280,0,2,-28.2352941176471,0,2,1,0,2,0.245,0,2
sf_cb,fixed_packet,5,5,6,1140,2,20260326;20260327,1,1,1,0,2,24860,0,2,68546.5,0,2,960,0,2,160,0,2,23.9135654261705,0,2,1,0,2,0.2,0,2
sb_cb,fixed_packet,30,30,1,190,2,20260326;20260327,0.5,0,0.5,6.35310236808735,2,NaN,NaN,0,NaN,NaN,0,680,7623.72284170482,2,680,7623.72284170482,2,578.919567827131,6745.72867049928,2,0.515873015873016,6.15141657862426,2,0.341767068273092,3.49548202581513,2
sf_cb,fixed_packet,30,30,1,190,2,20260326;20260327,1,1,1,0,2,6156.90476190476,0,2,14581,0,2,1200,0,2,1200,0,2,-66.8427370948379,0,2,1,0,2,0.642857142857143,0,2
sb_cb,fixed_packet,30,30,3,570,2,20260326;20260327,0,0,0,0,2,NaN,NaN,0,NaN,NaN,0,150,381.186142085241,2,50,127.062047361747,2,1109.81992797119,4.56799936986623e-12,2,0.00793650793650794,0.100842894731545,2,0.0625,0.158827559202184,2
sf_cb,fixed_packet,30,30,3,570,2,20260326;20260327,1,1,1,0,2,20798.9682539683,0,2,47887,0,2,2400,0,2,800,0,2,281.776710684274,0,2,1,0,2,0.606060606060606,0,2
sb_cb,fixed_packet,30,30,6,1140,2,20260326;20260327,0,0,0,0,2,NaN,NaN,0,NaN,NaN,0,360,3049.48913668193,2,60,508.248189446988,2,1109.81992797119,0,2,0.0238095238095238,0.302528684194636,2,0.0571428571428571,0.408413723662758,2
sf_cb,fixed_packet,30,30,6,1140,2,20260326;20260327,0,0,0,0,2,NaN,NaN,0,NaN,NaN,0,3120,0,2,520,0,2,528.499399759904,0,2,0.952380952380952,0,2,0.4225,0,2
sb_cb,fixed_payload,5,5,1,190,2,20260326;20260327,1,1,1,0,2,586.538461538462,0,2,1254,0,2,260,0,2,260,0,2,8.06722689075631,0,2,1,0,2,0.325,0,2
sf_cb,fixed_payload,5,5,1,190,2,20260326;20260327,1,1,1,0,2,3974.61538461538,0,2,15388.5,0,2,240,0,2,240,0,2,61.656662665066,0,2,1,0,2,0.3,0,2
sb_cb,fixed_payload,5,1.66666666666667,3,570,2,20260326;20260327,1,1,1,0,2,963,0,2,1480,0,2,240,0,2,80,0,2,10.8523409363746,0,2,1,0,2,0.1,0,2
sf_cb,fixed_payload,5,1.66666666666667,3,570,2,20260326;20260327,1,1,1,0,2,2479,0,2,6160,0,2,300,0,2,100,0,2,41.1044417767107,0,2,1,0,2,0.125,0,2
sb_cb,fixed_payload,5,0.833333333333333,6,1140,2,20260326;20260327,1,1,1,0,2,1631.66666666667,0,2,1895,0,2,240,0,2,40,0,2,9.21968787515006,0,2,1,0,2,0.05,0,2
sf_cb,fixed_payload,5,0.833333333333333,6,1140,2,20260326;20260327,1,1,1,0,2,10853.3333333333,0,2,25295,0,2,360,0,2,60,0,2,-35.7262905162065,0,2,1,0,2,0.075,0,2
sb_cb,fixed_payload,30,30,1,190,2,20260326;20260327,0.5,0,0.5,6.35310236808735,2,NaN,NaN,0,NaN,NaN,0,970,3938.92346821416,2,970,3938.92346821416,2,535.222088835534,7006.86939688981,2,0.793650793650794,2.62191526302018,2,0.528394757587702,0.850732243594196,2
sf_cb,fixed_payload,30,30,1,190,2,20260326;20260327,1,1,1,0,2,7048.4126984127,0,2,15817.75,0,2,1100,0,2,1100,0,2,276.494597839136,0,2,1,0,2,0.536347517730496,0,2
sb_cb,fixed_payload,30,10,3,570,2,20260326;20260327,1,1,1,0,2,1038.85416666667,223.682145876408,2,1976.25,2665.12644341264,2,1440,0,2,480,0,2,-12.1968787515006,45.1504994226616,2,1,0,2,0.342857142857143,0,2
sf_cb,fixed_payload,30,10,3,570,2,20260326;20260327,1,1,1,0,2,6794.58333333333,0,2,16056.5,0,2,1080,0,2,360,0,2,160.288115246098,0,2,1,0,2,0.289285714285714,0,2
sb_cb,fixed_payload,30,5,6,1140,2,20260326;20260327,1,1,1,0,2,2435.41666666667,0,2,6656,0,2,1440,0,2,240,0,2,50.9963985594238,0,2,1,0,2,0.225,0,2
sf_cb,fixed_payload,30,5,6,1140,2,20260326;20260327,1,1,1,0,2,8106.66666666667,0,2,24274,0,2,1320,0,2,220,0,2,86.6266506602641,0,2,1,0,2,0.232692307692308,0,2
