protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,topology_seed,q_source
sf_cb,fixed_packet,5,5,1,190,0.01,1,16,NaN,16,NaN,0,NaN,0,NaN,17271.875,NaN,2387.8125,NaN,14884.0625,NaN,17271.875,NaN,11880,NaN,45785.5,NaN,45925,NaN,11880,NaN,45785.5,NaN,45925,NaN,64.0625,NaN,0,NaN,13893.75,NaN,546.25,NaN,0,NaN,190,NaN,190,NaN,0,NaN,320,NaN,160,NaN,320,NaN,160,NaN,NaN,NaN,0.0304,NaN,4.1322,NaN,4.1018,NaN,0.0304,NaN,94.6938775510204,NaN,1,NaN,0.337544165335657,NaN,0.16,NaN,18,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,20260326,primary_tuned
sb_cb,fixed_packet,5,5,1,190,0.05,1,16,NaN,16,NaN,0,NaN,0,NaN,483.75,NaN,0,NaN,483.75,NaN,483.75,NaN,435,NaN,646,NaN,655,NaN,435,NaN,646,NaN,655,NaN,0,NaN,15,NaN,74.6875,NaN,14.0625,NaN,0,NaN,190,NaN,190,NaN,0,NaN,320,NaN,300,NaN,320,NaN,300,NaN,NaN,NaN,0.0578,NaN,0.1518,NaN,0.094,NaN,0.0578,NaN,-3.07322929171669,NaN,1,NaN,0.0197628458498024,NaN,0.296052631578947,NaN,18,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,20260326,primary_tuned
sf_cb,fixed_packet,5,5,3,570,0.05,1,16,NaN,16,NaN,0,NaN,0,NaN,6916.875,NaN,0,NaN,6916.875,NaN,6916.875,NaN,5282.5,NaN,17503,NaN,19000,NaN,5282.5,NaN,17503,NaN,19000,NaN,160,NaN,0,NaN,5118.125,NaN,855,NaN,23.75,NaN,190,NaN,570,NaN,0,NaN,320,NaN,260,NaN,960,NaN,780,NaN,NaN,NaN,0.1482,NaN,1.6228,NaN,1.4746,NaN,0.1482,NaN,-53.4933973589436,NaN,1,NaN,0.36393887108701,NaN,0.248529411764706,NaN,20,NaN,2,NaN,1.125,NaN,190,NaN,190,NaN,380,NaN,190,NaN,380,NaN,20260326,primary_tuned
sb_cb,fixed_packet,5,5,3,570,0.05,1,16,NaN,16,NaN,0,NaN,0,NaN,1029.6875,NaN,0,NaN,1029.6875,NaN,1029.6875,NaN,945,NaN,1778.5,NaN,1975,NaN,945,NaN,1778.5,NaN,1975,NaN,0,NaN,17.8125,NaN,125,NaN,92.1875,NaN,34.6875,NaN,190,NaN,570,NaN,0,NaN,320,NaN,280,NaN,960,NaN,840,NaN,NaN,NaN,0.1612,NaN,0.2896,NaN,0.1284,NaN,0.1612,NaN,-13.1572629051621,NaN,1,NaN,0.137776243093922,NaN,0.272222222222222,NaN,21,NaN,3,NaN,1.1875,NaN,60,NaN,60,NaN,60,NaN,20,NaN,20,NaN,20260326,primary_tuned
sf_cb,fixed_packet,5,5,6,1140,0.01,1,16,NaN,16,NaN,0,NaN,0,NaN,24860,NaN,1022.5,NaN,23837.5,NaN,24860,NaN,20420,NaN,68546.5,NaN,75745,NaN,20420,NaN,68546.5,NaN,75745,NaN,123.125,NaN,0,NaN,16256.875,NaN,6127.5,NaN,0,NaN,190,NaN,1140,NaN,0,NaN,320,NaN,160,NaN,1920,NaN,960,NaN,NaN,NaN,0.188,NaN,5.7706,NaN,5.5826,NaN,0.188,NaN,23.9135654261705,NaN,1,NaN,0.378574151734655,NaN,0.2,NaN,18,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,20260326,primary_tuned
sb_cb,fixed_packet,5,5,6,1140,0.05,1,16,NaN,16,NaN,0,NaN,0,NaN,1975.3125,NaN,0,NaN,1975.3125,NaN,1975.3125,NaN,1430,NaN,4364,NaN,4745,NaN,1430,NaN,4364,NaN,4745,NaN,0,NaN,15,NaN,78.125,NaN,552.1875,NaN,0,NaN,190,NaN,1140,NaN,0,NaN,320,NaN,280,NaN,1920,NaN,1680,NaN,NaN,NaN,0.3242,NaN,0.5453,NaN,0.2211,NaN,0.3242,NaN,-28.2352941176471,NaN,1,NaN,0.159178433889602,NaN,0.245,NaN,18,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,20260326,primary_tuned
sf_cb,fixed_packet,30,30,1,190,0.05,1,63,NaN,63,NaN,0,NaN,0,NaN,6156.90476190476,NaN,586.111111111111,NaN,5570.79365079365,NaN,6156.90476190476,NaN,5320,NaN,14581,NaN,16692.2,NaN,5320,NaN,14581,NaN,16692.2,NaN,124.126984126984,NaN,0,NaN,3899.52380952381,NaN,1146.03174603175,NaN,21.1111111111111,NaN,190,NaN,190,NaN,0,NaN,1260,NaN,1200,NaN,1260,NaN,1200,NaN,NaN,NaN,0.2298,NaN,7.8541,NaN,7.6243,NaN,0.2298,NaN,-66.8427370948379,NaN,1,NaN,0.0122738442342217,NaN,0.642857142857143,NaN,84,NaN,7,NaN,1.11111111111111,NaN,1140,NaN,1140,NaN,2280,NaN,890,NaN,1780,NaN,20260326,primary_tuned
sb_cb,fixed_packet,30,30,1,190,0.05,0,63,NaN,2,NaN,61,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1917.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1917.5,NaN,3125,NaN,3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1260,NaN,80,NaN,1260,NaN,80,NaN,NaN,NaN,0.0152,NaN,33.3451,NaN,33.2007,NaN,0.1444,NaN,1109.81992797119,NaN,0.0317460317460317,NaN,NaN,NaN,0.0666666666666667,NaN,12247,NaN,5,NaN,3.5,NaN,255150,NaN,122320,NaN,255150,NaN,36085,NaN,67160,NaN,20260326,primary_tuned
sf_cb,fixed_packet,30,30,3,570,0.05,1,63,NaN,63,NaN,0,NaN,0,NaN,20798.9682539683,NaN,5584.68253968254,NaN,15214.2857142857,NaN,20798.9682539683,NaN,19435,NaN,47887,NaN,62874.5,NaN,19435,NaN,47887,NaN,62874.5,NaN,195.238095238095,NaN,0,NaN,7572.85714285714,NaN,6496.19047619048,NaN,190,NaN,190,NaN,570,NaN,0,NaN,1260,NaN,800,NaN,3780,NaN,2400,NaN,NaN,NaN,0.456,NaN,17.6745,NaN,17.2185,NaN,0.456,NaN,281.776710684274,NaN,1,NaN,0.482740671589012,NaN,0.606060606060606,NaN,138,NaN,63,NaN,2,NaN,5510,NaN,5510,NaN,12540,NaN,3510,NaN,8060,NaN,20260326,primary_tuned
sb_cb,fixed_packet,30,30,3,570,0.025,0,63,NaN,0,NaN,63,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1260,NaN,40,NaN,3780,NaN,120,NaN,NaN,NaN,0.0226,NaN,35.9378,NaN,35.6919,NaN,0.2459,NaN,1109.81992797119,NaN,0,NaN,NaN,NaN,0.05,NaN,7815,NaN,0,NaN,NaN,NaN,183750,NaN,107750,NaN,183750,NaN,32335,NaN,49985,NaN,20260326,fallback_1_over_N
