protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,15,15,1,190,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,391106,363293,0.928886286582154,83,375,0,3055,0.818777292576419,0,3055,519,324,51,83,375,0,NaN,NaN,13,2,NaN,0,0,135,1,0,5400,5312,5,83,0,2,5265,5179,86,2,18,15,2470,164.666666666667,1,380,380,490,470,490
sb_cb,fixed_packet,15,15,2,380,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,610032,571013,0.936037781624571,58,500,0,3093,0.896057347670251,0,3093,810,343,128,87,500,0,NaN,NaN,23,13,NaN,10,20,141,5,0,5640,5514,8,118,0,4,5499,5377,122,15,57,48,7930,165.208333333333,5,2850,570,2860,2635,2860
sb_cb,fixed_packet,15,15,3,570,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1763953,1570733,0.890461934076475,14113,59261,279,14988,0.807656663123177,0.0182747101591668,15267,349157,43053,20139,10182,59261,279,NaN,NaN,3245,9466,NaN,4807,12788,337,84,0,13480,5547,686,7247,0,187,13143,5397,7746,10852,14067,13797,2533595,183.633760962528,84,63840,760,323820,166465,323820
sb_cb,fixed_packet,15,15,4,760,0.01,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1114428,1051384,0.943429274928483,874,10378,0,20585,0.92232492001422,0,20585,17445,6291,4011,950,10378,0,NaN,NaN,67,72,NaN,22,43,158,17,0,6320,5969,25,326,0,9,6162,5820,342,79,189,163,27480,168.588957055215,17,16150,950,16180,15205,16180
sb_cb,fixed_packet,15,15,5,950,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1935975,1732580,0.894939242500549,13548,49997,204,10346,0.786796758202848,0.0193364928909953,10550,376812,31701,24331,7513,49997,204,NaN,NaN,2382,11872,NaN,5235,13946,244,59,0,9760,4184,464,5112,0,123,9516,4063,5453,12857,15155,14974,2749950,183.648323761186,59,67260,1140,355530,175645,355530
sb_cb,fixed_packet,15,15,6,1140,0.01,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1924640,1799453,0.934955628065508,8902,116890,31,30310,0.9292323836174,0.00102171978510926,30341,342752,45405,72804,7583,116890,31,NaN,NaN,651,2474,NaN,864,1768,220,89,0,8800,6440,170,2190,0,55,8580,6275,2305,2675,3418,3275,588395,179.662595419847,89,118370,1330,166960,131905,166960
sb_cb,fixed_packet,30,30,1,190,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2600842,2273110,0.873990038610573,41464,141594,1150,44922,0.773492554272416,0.0249609307171384,46072,599336,129141,18905,35012,141594,1150,NaN,NaN,9486,9502,NaN,7661,21563,913,248,0,36520,13891,1825,20804,0,528,35607,13506,22101,13407,23483,22708,4137275,182.194601021666,248,94240,380,501280,251030,501280
sb_cb,fixed_packet,5,5,1,190,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,131298,122327,0.931674511416777,0,13,0,1465,1,0,1465,29,9,0,4,13,0,NaN,NaN,2,1,NaN,0,0,45,0,0,1800,1787,1,12,0,0,1755,1742,13,1,3,3,500,166.666666666667,0,0,NaN,60,60,60
sb_cb,fixed_packet,5,5,2,380,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,201400,189209,0.939468718967229,0,29,0,1092,1,0,1092,36,11,0,18,29,0,NaN,NaN,4,2,NaN,2,4,47,0,0,1880,1862,1,17,0,2,1833,1817,16,2,10,8,1350,168.75,0,0,NaN,160,160,160
sb_cb,fixed_packet,5,5,3,570,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,264722,249989,0.944345388747441,0,5,0,993,1,0,993,6,1,0,4,5,0,NaN,NaN,2,0,NaN,0,0,45,0,0,1800,1791,0,9,0,0,1755,1746,9,0,2,2,260,130,0,0,NaN,40,40,40
sb_cb,fixed_packet,5,5,4,760,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,331376,313752,0.946815701800975,0,24,0,915,1,0,915,35,16,0,8,24,0,NaN,NaN,1,0,NaN,0,0,45,0,0,1800,1800,0,0,0,0,1755,1755,0,0,1,1,120,120,0,0,NaN,20,20,20
sb_cb,fixed_packet,5,5,5,950,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,398142,377622,0.948460599484606,3,11,0,1019,0.785714285714286,0,1019,9,8,0,6,11,0,NaN,NaN,1,0,NaN,1,2,45,0,0,1800,1792,0,8,0,0,1755,1747,8,0,2,2,225,112.5,0,0,NaN,40,40,40
sb_cb,fixed_packet,5,5,6,1140,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,466228,442704,0.949543999931364,16,25,0,930,0.609756097560976,0,930,47,32,0,9,25,0,NaN,NaN,1,0,NaN,1,2,46,0,0,1840,1835,0,5,0,1,1794,1790,4,0,3,2,395,197.5,0,0,NaN,40,40,40
sb_cb,fixed_payload,15,15,1,190,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,470024,436119,0.927865385597331,100,555,0,3951,0.847328244274809,0,3951,1129,488,57,110,555,0,NaN,NaN,32,12,NaN,14,26,163,4,0,6520,6366,15,139,0,5,6357,6208,149,14,69,60,9910,165.166666666667,4,1520,380,1960,1830,1960
sb_cb,fixed_payload,15,7.5,2,380,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,303636,283112,0.932405907072943,4,27,0,1671,0.870967741935484,0,1671,36,31,0,0,27,0,NaN,NaN,1,0,NaN,0,0,69,0,0,2760,2755,0,5,0,0,2691,2686,5,0,1,1,105,105,0,0,NaN,20,20,20
sb_cb,fixed_payload,15,5,3,570,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,252922,237734,0.939949865966583,0,4,0,905,1,0,905,6,4,0,0,4,0,NaN,NaN,1,0,NaN,0,0,43,0,0,1720,1720,0,0,0,0,1677,1677,0,0,1,1,55,55,0,0,NaN,20,20,20
