protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,condition_elapsed_s,timeout_exceeded
sf_cf,fixed_packet,5,5,1,190,0.05,1,19,0,19,0,0,0,0,0,4447.36842105263,3236.73846963608,0,0,4447.36842105263,3236.73846963608,4447.36842105263,3236.73846963608,2592.5,4161.28205109721,14217.5,22150.0914063365,14600,17661.6245832828,2592.5,4161.28205109721,14217.5,22150.0914063365,14600,17661.6245832828,92.3684210526316,3.34373808846703,0,0,4135,3113.0201603628,0,0,30,127.062047361747,0,0,190,0,0,0,190,0,190,127.062047361747,190,0,190,127.062047361747,NaN,NaN,0.0361,0.0241417889987319,0.8035,0.0216005480514974,0.7617,0.0216005480514974,0.0418,0,-33.1593159315932,200.981432250564,1,0,0.0580117054065016,0.654703686273888,0.392424242424242,0.308029205725447,25.5,6.35310236808735,3,12.7062047361747,1.15789473684211,0.668747617693404,285,1207.0894499366,285,1207.0894499366,570,2414.17889987319,285,1207.0894499366,570,2414.17889987319,0.5904225,0
sf_cb,fixed_packet,5,5,1,190,0.05,1,19,0,19,0,0,0,0,0,4817.36842105263,8954.5306009147,115.789473684211,1471.24475892549,4701.57894736842,7483.2858419892,4817.36842105263,8954.5306009147,3975,8195.50205483268,12909.625,33863.6238974976,13547.5,36879.7592467471,3975,8195.50205483268,12909.625,33863.6238974976,13547.5,36879.7592467471,106.578947368421,50.1560713270053,0,0,4075,7814.31591274744,140,381.186142085241,0,0,190,0,190,0,0,0,190,0,195,190.59307104262,190,0,195,190.59307104262,NaN,NaN,0.03705,0.0362126834980979,0.94765,0.918023292188622,0.9106,0.95423597568672,0.03705,0.0362126834980979,-25.5445544554456,42.0109139491884,1,0,0.0680538951806727,0.499678978647465,0.404590909090909,0.462621363348906,22.5,6.35310236808735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.239226,0
sb_cf,fixed_packet,5,5,1,190,0.05,0.5,19,0,9.5,120.70894499366,9.5,120.70894499366,9.5,120.70894499366,NaN,NaN,NaN,NaN,NaN,NaN,315.526315789474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,265,NaN,619.5,NaN,750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190,0,95,1207.0894499366,190,0,95,1207.0894499366,NaN,NaN,0.01805,0.229346995487953,4.823875,60.531406397781,2.768775,34.8775790354443,2.0551,25.6538273623367,80.6300630063007,1019.62241786297,0.5,6.35310236808735,NaN,NaN,0.392391304347826,NaN,2836.5,35736.2008204913,0,0,1,NaN,535930,6807222.12535823,98375,1247558.71202131,535930,6807222.12535823,48280,613455.564662514,203705,2588317.43578247,1.8857027,0
sb_cb,fixed_packet,5,5,1,190,0.05,1,19,0,19,0,0,0,0,0,570,635.310236808735,0,0,570,635.310236808735,570,635.310236808735,527.5,730.606772330045,934.625,589.250244640102,1010,889.434331532229,527.5,730.606772330045,934.625,589.250244640102,1010,889.434331532229,0,0,15.3947368421053,5.01560713270053,153.947368421053,481.498284739252,17.2368421052632,105.327749786711,3.42105263157895,43.4685951500713,190,0,190,0,0,0,190,0,190,0,190,0,190,0,NaN,NaN,0.0361,0,0.1083,0.12070894499366,0.0722,0.12070894499366,0.0361,0,-0.516051605160518,17.0788470501238,1,0,1.29135742628546e-16,1.43932033736515e-16,0.376695652173913,0.199432169989525,24,12.7062047361747,0.5,6.35310236808735,1.02631578947368,0.334373808846702,30,127.062047361747,30,127.062047361747,30,127.062047361747,10,127.062047361747,10,127.062047361747,1.9844368,0
s7_clean,fixed_packet,5,5,1,190,0.05,1,19,0,19,0,0,0,0,0,643.157894736842,548.373046508592,0,0,643.157894736842,548.373046508592,643.157894736842,548.373046508592,643.5,883.081229164141,1033.125,783.655177103575,1095,1461.21354466009,643.5,883.081229164141,1033.125,783.655177103575,1095,1461.21354466009,4.10526315789474,6.68747617693405,36,0,213.631578947368,264.824056606588,37.4210526315789,276.86151372507,0,0,162,0,190,0,0,0,190,0,190,0,190,0,190,0,NaN,NaN,0.0361,0,0.1222,0.104190878836632,0.0861,0.104190878836632,0.0361,0,-1.02010201020102,13.8765632282256,1,0,1.06424753127411e-16,1.35225470223374e-15,0.376695652173913,0.199432169989525,22.5,6.35310236808735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7255494,0
s7_busy,fixed_packet,5,5,1,190,0.05,1,19,0,19,0,0,0,0,0,4790.97368421053,12059.1914160563,0,0,4790.97368421053,12059.1914160563,4790.97368421053,12059.1914160563,3282,17979.2797016872,14637.8,40816.7767842508,15684.5,48976.0661555854,3282,17979.2797016872,14637.8,40816.7767842508,15684.5,48976.0661555854,4.10526315789474,6.68747617693405,54.9473684210526,120.374571184813,234.236842105263,689.144420033054,4060.42105263158,10701.2993783299,85.2631578947368,541.685570331658,162,0,190,0,0,0,190,0,190,127.062047361747,190,0,190,127.062047361747,NaN,NaN,0.0361,0.0241417889987319,0.946295,1.95986854953127,0.910195,1.98401033853,0.0361,0.0241417889987319,-0.828082808280832,79.2946470184319,1,0,0.0437071795092982,0.440706276613981,0.392424242424242,0.308029205725447,34,63.5310236808735,10,63.5310236808735,1.52631578947368,3.34373808846703,11025,0,5103,800.490898379006,11025,0,4284,800.490898379006,9292.5,400.245449189503,5.3196219,0
sf_cf,fixed_packet,5,5,2,380,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0704155,0
sf_cb,fixed_packet,5,5,2,380,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0400702,0
sb_cf,fixed_packet,5,5,2,380,0.05,0.5,19,0,9.5,120.70894499366,9.5,120.70894499366,9.5,120.70894499366,NaN,NaN,NaN,NaN,NaN,NaN,511.842105263158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440,NaN,1038,NaN,1110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190,0,95,1207.0894499366,380,0,190,2414.17889987319,NaN,NaN,0.0361,0.458693990975906,4.842525,60.2944356794514,2.417575,30.4481960644138,2.42495,29.8462396150376,79.8619861986199,1029.38175903447,0.5,6.35310236808735,NaN,NaN,0.392391304347826,NaN,1663,20812.7633578541,0.5,6.35310236808735,1.05263157894737,NaN,626142.5,7946238.08342077,99452.5,1254007.11092492,626142.5,7946238.08342077,49262.5,621111.05301606,238885,3030493.36060135,1.3944734,0
sb_cb,fixed_packet,5,5,2,380,0.05,1,19,0,19,0,0,0,0,0,802.105263157895,578.466689304796,0,0,802.105263157895,578.466689304796,802.105263157895,578.466689304796,682.5,222.358582883057,1602.25,3402.08631811077,1735,3430.67527876717,682.5,222.358582883057,1602.25,3402.08631811077,1735,3430.67527876717,0,0,17.7631578947368,25.0780356635027,116.842105263158,16.7186904423351,73.0263157894737,265.827178033128,24.4736842105263,270.842785165829,190,0,380,0,0,0,190,0,185,63.5310236808735,380,0,370,127.062047361747,NaN,NaN,0.07195,0.00317655118404368,0.15215,0.106732119783868,0.0802,0.109908670967911,0.07195,0.00317655118404368,-1.28412841284129,7.31950587862448,1,0,0.00155714730613534,0.0197854324761361,0.380286561264822,0.153805343891443,27.5,6.35310236808735,3.5,31.7655118404367,1.18421052631579,1.67186904423351,80,254.124094723494,80,254.124094723494,80,254.124094723494,60,508.248189446988,60,508.248189446988,1.9164525,0
