protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,15,15,1,190,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,406896,378213,0.929507785773269,39,331,0,1694,0.894594594594595,0,1694,459,159,141,70,331,0,NaN,NaN,23,10,NaN,11,24,140,6,0,5600,5475,6,119,0,2,5460,5337,123,13,53,45,7340,163.111111111111,6,2280,380,2040,1790,2040
sb_cb,fixed_packet,15,15,2,380,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,618856,579450,0.936324443812454,46,327,0,1051,0.876675603217158,0,1051,447,166,141,66,327,0,NaN,NaN,17,21,NaN,11,22,141,8,0,5640,5558,9,73,0,1,5499,5418,81,22,64,55,9110,165.636363636364,8,4560,570,4140,3725,4140
sb_cb,fixed_packet,15,15,3,570,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1840342,1609941,0.874805335095325,13230,35301,271,9776,0.72739073993942,0.0269732258385588,10047,259647,27692,11865,8974,35301,271,NaN,NaN,3962,12253,NaN,5762,17335,333,79,0,13320,5163,768,7389,0,188,12987,5018,7969,13958,18233,17967,3298015,183.55958145489,79,60040,760,404370,181725,404370
sb_cb,fixed_packet,15,15,4,760,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1910902,1721941,0.901114238197459,3139,15639,193,5494,0.832836297795292,0.0339370494109372,5687,106205,9256,6568,2954,15639,193,NaN,NaN,2398,10171,NaN,4729,13304,277,75,0,11080,5581,495,5004,0,119,10803,5423,5380,11383,14246,14053,2575105,183.242368177613,75,71250,950,338060,162650,338060
sb_cb,fixed_packet,15,15,5,950,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1935975,1732580,0.894939242500549,13548,49997,204,10346,0.786796758202848,0.0193364928909953,10550,376812,31701,24331,7513,49997,204,NaN,NaN,2382,11872,NaN,5235,13946,244,59,0,9760,4184,464,5112,0,123,9516,4063,5453,12857,15155,14974,2749950,183.648323761186,59,67260,1140,355530,175645,355530
sb_cb,fixed_packet,15,15,6,1140,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2109211,1857493,0.88065774358279,7617,15404,284,4190,0.669128187307241,0.0634778721502012,4474,197173,11669,7327,4025,15404,284,NaN,NaN,2830,18451,NaN,6318,22215,217,35,0,8680,3435,513,4732,0,124,8463,3342,5121,19715,22806,22648,4175105,184.347624514306,35,46550,1330,492860,197045,492860
sb_cb,fixed_packet,30,30,1,190,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2600842,2273110,0.873990038610573,41464,141594,1150,44922,0.773492554272416,0.0249609307171384,46072,599336,129141,18905,35012,141594,1150,NaN,NaN,9486,9502,NaN,7661,21563,913,248,0,36520,13891,1825,20804,0,528,35607,13506,22101,13407,23483,22708,4137275,182.194601021666,248,94240,380,501280,251030,501280
sb_cb,fixed_packet,5,5,1,190,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,131426,122474,0.931885623849162,0,3,0,135,1,0,135,0,0,0,3,3,0,NaN,NaN,0,0,NaN,1,2,45,0,0,1800,1800,0,0,0,0,1755,1755,0,0,1,1,120,120,0,0,NaN,20,20,20
sb_cb,fixed_packet,5,5,2,380,0.5,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,198116,186276,0.940237032849442,0,3,0,177,1,0,177,0,0,0,3,3,0,NaN,NaN,0,0,NaN,1,2,45,0,0,1800,1800,0,0,0,0,1755,1755,0,0,1,1,120,120,0,0,NaN,20,20,20
sb_cb,fixed_packet,5,5,3,570,0.5,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,264766,250038,0.944373522280051,0,2,0,168,1,0,168,0,0,0,2,2,0,NaN,NaN,0,0,NaN,1,2,45,0,0,1800,1800,0,0,0,0,1755,1755,0,0,1,1,115,115,0,0,NaN,20,20,20
