protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,condition_elapsed_s,timeout_exceeded
sf_cf,fixed_packet,5,5,1,190,0.5,1,19,0,19,0,0,0,0,0,502.368421052632,3.34373808846712,0,0,502.368421052632,3.34373808846712,502.368421052632,3.34373808846712,435,127.062047361747,1248.625,614.662654112451,1405,1143.55842625572,435,127.062047361747,1248.625,614.662654112451,1405,1143.55842625572,92.3684210526316,3.34373808846703,0,0,220,0,0,0,0,0,0,0,190,0,0,0,190,0,190,0,190,0,190,0,NaN,NaN,0.0361,0,0.09545,0.000635310236808753,0.05935,0.000635310236808753,0.0361,0,1.38613861386139,17.0026021972215,1,0,1.45393311848254e-16,9.67730323527817e-19,0.376695652173913,0.199432169989525,23.5,19.059307104262,0,0,1,0,95,1207.0894499366,95,1207.0894499366,190,2414.17889987319,0,0,0,0,0.8862819,0
sf_cb,fixed_packet,5,5,1,190,0.5,1,19,0,19,0,0,0,0,0,642.368421052632,3.34373808846748,0,0,642.368421052632,3.34373808846748,642.368421052632,3.34373808846748,590,635.310236808735,1115.5,2277.58719895931,1165,1905.9307104262,590,635.310236808735,1115.5,2277.58719895931,1165,1905.9307104262,112.368421052632,3.34373808846703,0,0,145,63.5310236808735,5,63.5310236808735,0,0,190,0,190,0,0,0,190,0,190,0,190,0,190,0,NaN,NaN,0.0361,0,0.12205,0.000635310236808753,0.08595,0.000635310236808665,0.0361,0,-0.150015001500152,19.1374580784869,1,0,1.13705777442821e-16,5.91875824610568e-19,0.376695652173913,0.199432169989525,22.5,6.35310236808735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2802343,0
sb_cf,fixed_packet,5,5,1,190,1,0.5,19,0,9.5,120.70894499366,9.5,120.70894499366,9.5,120.70894499366,NaN,NaN,NaN,NaN,NaN,NaN,226.578947368421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,205,NaN,430.5,NaN,615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190,0,105,1334.15149729834,190,0,105,1334.15149729834,NaN,NaN,0.01995,0.253488784486685,4.821875,60.5568188072534,1.378925,17.4713491673586,3.44295,43.0854696398948,79.6159615961597,1032.50779800347,0.5,6.35310236808735,NaN,NaN,0.441,NaN,4517,56580.7296901859,1,12.7062047361747,1.10526315789474,NaN,855337.5,10769112.058633,101697.5,1237870.23090998,855337.5,10769112.058633,49922.5,625113.507507955,342300,4333895.84243815,2.0565809,0
sb_cb,fixed_packet,5,5,1,190,1,1,19,0,19,0,0,0,0,0,409.868421052632,155.483821113717,0,0,409.868421052632,155.483821113717,409.868421052632,155.483821113717,395,0,513.875,1161.02945776796,560,1461.21354466009,395,0,513.875,1161.02945776796,560,1461.21354466009,0,0,15,0,0,0,14.8684210526316,155.483821113717,0,0,190,0,190,0,0,0,190,0,190,0,190,0,190,0,NaN,NaN,0.0361,0,0.077875,0.0295419260116061,0.041775,0.0295419260116061,0.0361,0,-0.450045004500452,5.56587426187071,1,0,8.65198741135565e-17,1.09933923423491e-15,0.376695652173913,0.199432169989525,23,12.7062047361747,0,0,1,0,10,127.062047361747,10,127.062047361747,10,127.062047361747,0,0,0,0,4.2701701,0
s7_clean,fixed_packet,5,5,1,190,1,1,19,0,19,0,0,0,0,0,407.026315789474,160.165054437571,0,0,407.026315789474,160.165054437571,407.026315789474,160.165054437571,392.5,19.059307104262,514.6,1157.53525146551,560.5,1454.860442292,392.5,19.059307104262,514.6,1157.53525146551,560.5,1454.860442292,4.10526315789474,6.68747617693405,36,0,0,0,14.9210526315789,153.477578260636,0,0,162,0,190,0,0,0,190,0,190,0,190,0,190,0,NaN,NaN,0.0361,0,0.077335,0.0304313603431383,0.041235,0.0304313603431383,0.0361,0,-0.450045004500452,5.56587426187071,1,0,8.70298997103628e-17,1.10581972388862e-15,0.376695652173913,0.199432169989525,22.5,6.35310236808735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4257464,0
s7_busy,fixed_packet,5,5,1,190,0.5,1,19,0,19,0,0,0,0,0,1495.31578947368,2442.93504743401,0,0,1495.31578947368,2442.93504743401,1495.31578947368,2442.93504743401,1361,2858.89606563931,3303.075,664.852162820342,3387,902.140536268403,1361,2858.89606563931,3303.075,664.852162820342,3387,902.140536268403,4.10526315789474,6.68747617693405,78.6315789473684,60.1872855924064,19.8947368421053,66.2060141516471,848.842105263158,2052.38643870106,191.842105263158,270.842785165829,162,0,190,0,0,0,190,0,190,0,190,0,190,0,NaN,NaN,0.0361,0,0.297255,0.631180720269478,0.261155,0.631180720269478,0.0361,0,-0.972097209720971,55.5062529129024,1,0,0.0378894877929266,0.481431589245715,0.376695652173913,0.199432169989525,51.5,95.2965355213102,22.5,31.7655118404367,2.18421052631579,1.67186904423351,13041,20012.2724594751,6016.5,10006.1362297376,13041,20012.2724594751,5082,6137.09688757238,11014.5,12674.4392243343,10.7912598,0
sf_cf,fixed_packet,5,5,2,380,0.5,1,19,0,19,0,0,0,0,0,957.368421052632,822.559569762888,0,0,957.368421052632,822.559569762888,957.368421052632,822.559569762888,870,1588.27559202184,1919.25,2814.4243490627,2115,4129.51653925678,870,1588.27559202184,1919.25,2814.4243490627,2115,4129.51653925678,167.368421052632,66.8747617693404,0,0,330,127.062047361747,0,0,80,1016.49637889398,0,0,380,0,0,0,190,0,185,63.5310236808735,380,0,370,127.062047361747,NaN,NaN,0.0718,0.00508248189446985,0.1815,0.151203836360479,0.0945,0.0368479937349067,0.087,0.188051830095386,1.12811281128113,24.550842634553,1,0,0.00206825232678401,0.0262796375101852,0.380286561264822,0.153805343891443,27.5,31.7655118404367,4,50.8248189446988,1.21052631578947,2.67499047077362,950,7242.53669961958,950,7242.53669961958,1900,14485.0733992392,760,9656.71559949277,1520,19313.4311989855,0.2202538,0
sf_cb,fixed_packet,5,5,2,380,0.5,1,19,0,19,0,0,0,0,0,897.368421052632,60.187285592406,0,0,897.368421052632,60.187285592406,897.368421052632,60.187285592406,825,444.717165766114,1449.625,1570.8045605096,1547.5,2700.06850643712,825,444.717165766114,1449.625,1570.8045605096,1547.5,2700.06850643712,122.368421052632,123.71830927328,0,0,185,317.655118404367,10,127.062047361747,10,127.062047361747,190,0,380,0,0,0,190,0,185,63.5310236808735,380,0,370,127.062047361747,NaN,NaN,0.0718,0.00508248189446985,0.1701,0.00635310236808735,0.0983,0.0114355842625572,0.0718,0.00508248189446985,-0.522052205220525,17.1550919030261,1,0,0.00234466588511152,0.0297918047741492,0.380286561264822,0.153805343891443,23.5,6.35310236808735,1,12.7062047361747,1.05263157894737,0.668747617693406,95,1207.0894499366,95,1207.0894499366,190,2414.17889987319,95,1207.0894499366,190,2414.17889987319,0.1663626,0
sb_cf,fixed_packet,5,5,2,380,1,0.5,19,0,9.5,120.70894499366,9.5,120.70894499366,9.5,120.70894499366,NaN,NaN,NaN,NaN,NaN,NaN,439.210526315789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,395,NaN,852,NaN,1185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190,0,105,1334.15149729834,380,0,210,2668.30299459669,NaN,NaN,0.0399,0.50697756897337,4.849425,60.2067628667718,1.5159,19.2028872177808,3.333525,41.003875648991,79.99399939994,1027.70437227062,0.5,6.35310236808735,NaN,NaN,0.441,NaN,2283.5,28404.7206877185,1,12.7062047361747,1.10526315789474,NaN,861907.5,10830864.2136508,102112.5,1232597.15594447,861907.5,10830864.2136508,50337.5,619840.432542442,329362.5,4151085.32179643,2.586173,0
sb_cb,fixed_packet,5,5,2,380,0.5,1,19,0,19,0,0,0,0,0,625.263157894737,290.905213696631,0,0,625.263157894737,290.905213696631,625.263157894737,290.905213696631,590,0,861.5,1629.57075741441,942.5,1429.44803281965,590,0,861.5,1629.57075741441,942.5,1429.44803281965,0,0,15,0,4.47368421052632,10.0312142654011,35.7894736842105,280.87399943123,0,0,190,0,380,0,0,0,190,0,185,63.5310236808735,380,0,370,127.062047361747,NaN,NaN,0.072175,0.000317655118404332,0.118775,0.0549543354839556,0.0466,0.0552719906023599,0.072175,0.000317655118404332,-0.324032403240326,19.5186823429986,1,0,0.000203086921202369,0.00258046400003514,0.380286561264822,0.153805343891443,23,12.7062047361747,0,0,1,0,10,127.062047361747,10,127.062047361747,10,127.062047361747,0,0,0,0,4.3273464,0
