protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,10,10,1,190,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2774710,2578957,0.929451005690685,71,629,0,6834,0.898571428571429,0,6834,912,393,190,117,629,0,NaN,NaN,62,37,NaN,42,89,953,25,0,38120,37780,34,306,0,8,37167,36835,332,37,195,162,26200,161.728395061728,25,9500,380,7990,7185,7990
sb_cb,fixed_packet,10,10,2,380,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4117820,3859984,0.937385315531033,34,652,0,7401,0.950437317784257,0,7401,1012,314,169,203,652,0,NaN,NaN,61,46,NaN,67,141,939,11,0,37560,37263,16,281,0,8,36621,36332,289,48,226,207,33330,161.014492753623,11,6270,570,8320,7220,8320
sb_cb,fixed_packet,10,10,3,570,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,5842614,5497113,0.940865338699425,86,3114,4,8716,0.973125,0.000458715596330275,8720,6072,995,1474,731,3114,4,NaN,NaN,261,481,NaN,304,706,1013,57,0,40520,39317,85,1118,0,36,39507,38340,1167,532,1202,1109,186845,168.480613165014,57,43320,760,54670,44885,54670
sb_cb,fixed_packet,10,10,4,760,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,11662168,10838086,0.929337152405968,22033,96226,110,37713,0.813688598753583,0.00290828331967321,37823,478895,54534,45861,17864,96226,110,NaN,NaN,6785,25122,NaN,12698,29298,1746,303,0,69840,48895,1431,19514,0,523,68094,47672,20422,27972,36034,35208,6431040,182.658486707566,303,287850,950,934440,578480,934440
sb_cb,fixed_packet,10,10,5,950,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,18655342,15877222,0.851081797374714,95052,138609,5992,45942,0.593205541361203,0.115377209535179,51934,2545325,127098,59396,47167,138609,5992,NaN,NaN,36120,204733,NaN,50942,258995,2174,236,0,86925,32414,6443,48068,0,1297,84752,31538,53214,221602,261071,259538,48097030,185.317872527337,236,269040,1140,5414960,1737475,5414960
sb_cb,fixed_packet,15,15,1,190,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4524036,4200674,0.928523557283806,227,1779,0,12085,0.886839481555334,0,12085,2679,1032,471,503,1779,0,NaN,NaN,221,101,NaN,156,335,1561,62,0,62440,61286,85,1069,0,31,60879,59756,1123,111,618,525,81590,155.409523809524,62,23560,380,22280,19545,22280
sb_cb,fixed_packet,15,15,2,380,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,29826514,24315781,0.815240460216035,471985,905943,25513,249556,0.657467589017714,0.0927512733168769,275069,8838431,898335,180023,299570,905943,25513,NaN,NaN,142539,323957,NaN,126422,532295,6703,942,0,268085,33337,26228,208520,0,5492,261383,32127,229256,389597,535728,529295,98249935,185.624150993302,942,536940,570,10943860,3770085,10943860
sb_cb,fixed_packet,15,15,3,570,0.025,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,28648495,25075647,0.875286712268829,654862,2348707,12212,499536,0.78197204725445,0.0238633077217693,511748,14633277,1743655,842632,417282,2348707,12212,NaN,NaN,68371,207473,NaN,110002,280982,5393,1595,0,215690,54942,13948,146800,0,3646,210298,53196,157102,235524,303271,298031,54820055,183.940781328117,1595,1212200,760,6869770,3435345,6869770
sb_cb,fixed_packet,5,5,1,190,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,23507811,18638055,0.792845195156623,18290,377763,3600,388271,0.95381931206177,0.00918669664251756,391871,1304591,131276,2562,262215,377763,3600,NaN,NaN,121158,137817,NaN,131864,589586,4440,200,0,177600,18061,30582,128957,0,4066,173160,17687,155473,186063,590168,585903,108813070,185.718574576338,200,76000,380,11756060,3110995,11756060
sb_cb,fixed_packet,5,5,2,380,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,19731463,15955399,0.80862726702019,649,260699,17,750213,0.997516721000352,2.26597176865761e-05,750230,960731,2767,1550,257031,260699,17,NaN,NaN,1493,1868,NaN,103517,594887,296,72,0,11840,10127,394,1319,0,45,11544,9876,1668,2171,595124,595007,109977165,184.833396918019,72,41040,570,11927500,2652115,11927500
sb_cb,fixed_packet,5,5,3,570,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,22507526,18237086,0.810266130537848,4428,193817,195,710290,0.977664001614164,0.000274460403808666,710485,1099654,6965,4840,186440,193817,195,NaN,NaN,3800,10402,NaN,83882,600426,391,83,0,15640,9900,741,4999,0,142,15249,9651,5598,12164,600873,600648,111045195,184.875659287969,83,63080,760,12060270,2975020,12060270
sb_cb,fixed_packet,5,5,4,760,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,3486756,3282669,0.941467943268758,10,313,0,5999,0.969040247678019,0,5999,473,159,112,52,313,0,NaN,NaN,22,19,NaN,8,16,475,4,0,19000,18869,6,125,0,2,18525,18396,129,19,58,52,7975,153.365384615385,4,3800,950,4080,3785,4080
sb_cb,fixed_packet,5,5,5,950,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4179552,3940715,0.942855837180636,20,396,0,5746,0.951923076923077,0,5746,675,200,162,54,396,0,NaN,NaN,18,33,NaN,11,22,474,3,0,18960,18865,8,87,0,2,18486,18393,93,33,73,68,11660,171.470588235294,3,3420,1140,4210,3890,4210
sb_cb,fixed_packet,5,5,6,1140,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4952832,4673816,0.943665361554763,52,819,0,5776,0.940298507462687,0,5776,1393,269,505,97,819,0,NaN,NaN,32,76,NaN,13,26,481,10,0,19240,19065,16,159,0,2,18759,18586,173,76,140,128,22045,172.2265625,10,13300,1330,13960,12975,13960
sb_cb,fixed_payload,10,10,1,190,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2734430,2543027,0.930002596519201,161,596,0,11637,0.787318361955086,0,11637,954,521,126,110,596,0,NaN,NaN,49,14,NaN,13,26,938,12,0,37520,37303,15,202,0,3,36582,36368,214,15,97,82,11770,143.536585365854,12,4560,380,3920,3620,3920
sb_cb,fixed_payload,10,5,2,380,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,14507664,11821823,0.814867438341555,1938,122262,19,236059,0.9843961352657,8.04818746346547e-05,236078,664484,11278,1728,111194,122262,19,NaN,NaN,7367,12817,NaN,61646,307879,762,142,0,30480,19228,1108,10144,0,308,29718,18774,10944,16188,308415,307965,56852720,184.607731398048,142,80940,570,6213260,1767175,6213260
sb_cb,fixed_payload,10,3.33333333333333,3,570,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1741064,1642740,0.943526487251474,0,3,0,891,1,0,891,3,3,0,0,3,0,NaN,NaN,1,0,NaN,1,2,296,0,0,11840,11838,0,2,0,0,11544,11542,2,0,2,2,175,87.5,0,0,NaN,40,40,40
sb_cb,fixed_payload,10,2.5,4,760,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1590600,1506772,0.947297875015717,0,6,0,648,1,0,648,18,6,0,0,6,0,NaN,NaN,2,4,NaN,0,0,216,0,0,8640,8633,1,6,0,0,8424,8417,7,4,6,6,995,165.833333333333,0,0,NaN,120,120,120
sb_cb,fixed_payload,10,2,5,950,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1512658,1433908,0.947939322702157,0,3,0,516,1,0,516,3,3,0,0,3,0,NaN,NaN,1,0,NaN,1,2,171,0,0,6840,6838,0,2,0,0,6669,6667,2,0,2,2,155,77.5,0,0,NaN,40,40,40
sb_cb,fixed_payload,10,1.66666666666667,6,1140,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1507888,1432128,0.949757541674183,0,0,0,438,NaN,0,438,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,146,0,0,5840,5840,0,0,0,0,5694,5694,0,0,0,0,0,NaN,0,0,NaN,0,0,0
