protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,condition_elapsed_s,timeout_exceeded
sf_cf,fixed_packet,5,5,1,190,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,505.115608431398,7.65034129724967,0,0,505.115608431398,7.65034129724967,505.115608431398,7.65034129724967,385,63.5310236808735,1144.125,783.019866866763,1925.35,690.582227411065,385,63.5310236808735,1144.125,783.019866866763,1925.35,690.582227411065,90.3244536402431,22.3233541375494,0,0,202.955773955774,187.720906827072,0,0,21.8353808353808,173.047893986772,0,0,190,0,0,0,197,152.474456834096,197,152.474456834096,197,152.474456834096,197,152.474456834096,NaN,NaN,0.03743,0.0289701467984783,0.099515,0.0785243452695596,0.05762,0.0121344255230468,0.041895,0.0663899197465128,-0.0582120582120582,0.632007255584584,1,0,0,0,0.840657163190974,0.357016513346617,261,241.417889987319,23.5,196.946173410708,1.11492305702832,0.910778389404065,2280,12070.894499366,2280,12070.894499366,5035,30177.2362484149,1995,15692.1628491757,4465,37419.7729480345,0.4680213,0
sf_cb,fixed_packet,5,5,1,190,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,696.840424156214,251.409669503766,0,0,696.840424156214,251.409669503766,696.840424156214,251.409669503766,592.5,222.358582883057,1378.25,994.260520605667,1982.075,2291.24636905069,592.5,222.358582883057,1378.25,994.260520605667,1982.075,2291.24636905069,96.1328074485969,17.8277927566915,0,0,196.700245700246,111.233924999977,13.0982800982801,16.2651908293539,10.9090909090909,138.613142576451,190,0,190,0,0,0,197,152.474456834096,197.5,146.121354466009,197,152.474456834096,197.5,146.121354466009,NaN,NaN,0.037525,0.0277630573485417,0.137645,0.154126263449799,0.10012,0.126363206101257,0.037525,0.0277630573485417,-0.0557220557220557,0.380805336748492,1,0,0.00103573278094245,0.0131602327666223,0.843894531532509,0.315881848392662,248.5,235.064787619232,12,152.474456834096,1.05741626794258,0.729542855665532,1330,14485.0733992392,1330,14485.0733992392,2660,28970.1467984783,1140,14485.0733992392,2280,28970.1467984783,0.4217306,0
sb_cf,fixed_packet,5,5,1,190,0.05,0.5,197,152.474456834096,161.5,298.595811300105,35.5,451.070268134202,35.5,451.070268134202,NaN,NaN,NaN,NaN,NaN,NaN,503.454759106933,1204.62584972335,NaN,NaN,NaN,NaN,NaN,NaN,276.25,79.4137796010918,1047.75,250.947543539452,6259.25000000001,27378.6946552725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,197,152.474456834096,161.5,298.595811300105,197,152.474456834096,161.5,298.595811300105,NaN,NaN,0.030685,0.05673320414702,6.42142,80.6312881389121,4.9858575,63.0135952585046,1.4355625,17.6176928804075,81.4928434928435,1036.38966493318,0.830143540669857,2.15823094801053,NaN,NaN,0.788996718913654,0.299391668402759,35499,446953.457799681,93.5,260.477197091581,1.61034077555817,2.74131514637094,6706442.5,84984084.4608953,677770,8459981.70641615,6706442.5,84984084.4608953,176262.5,2126033.94196859,1404877.5,17674426.0845545,13.5733896,0
sb_cb,fixed_packet,5,5,1,190,1,0,197,152.474456834096,49.5,6.35310236808735,147.5,158.827559202184,147.5,158.827559202184,NaN,NaN,NaN,NaN,NaN,NaN,2304.5693877551,17440.9255863245,NaN,NaN,NaN,NaN,NaN,NaN,395,0,14854.375,154896.57711193,35307.5,286175.496170495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,197,152.474456834096,49.5,6.35310236808735,197,152.474456834096,49.5,6.35310236808735,NaN,NaN,0.009405,0.00120708944993659,54.751515,99.9872215927401,54.723205,100.023434276238,0.02831,0.0362126834980979,204.166932166932,202.843986595399,0.25236001551791,0.227571363760532,NaN,NaN,0.513613218148616,0.223393784280301,295172.5,153624.36836272,449.5,4364.58132687601,10.0116326530612,87.0167576187376,5878030,3482516.59409076,1555497.5,261334.865911273,5878030,3482516.59409076,580395,262700.782920412,2102927.5,1895670.45010174,359.8577457,0
s7_clean,fixed_packet,5,5,1,190,1,0,197,152.474456834096,105.5,527.30749655125,91.5,374.833039717154,91.5,374.833039717154,NaN,NaN,NaN,NaN,NaN,NaN,411.006855867347,20.1390914034298,NaN,NaN,NaN,NaN,NaN,NaN,394,0,478.55,6.98841260489586,542.52,735.181006035068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,197,152.474456834096,105.5,527.30749655125,197,152.474456834096,105.5,527.30749655125,NaN,NaN,0.020045,0.100188424344737,31.9830545,78.4269331509497,31.9630095,78.5271215752945,0.020045,0.100188424344737,137.247167247167,647.452247371815,0.524647614121298,2.27061998253198,NaN,NaN,0.624417836641538,1.0860052681062,201001.5,953721.374394904,0,0,1,0,12653361,60104058.6138893,815062.5,3163139.78494464,12653361,60104058.6138893,337776,1141919.32584476,4062355.5,19680735.8123965,7.5850105,0
s7_busy,fixed_packet,5,5,1,190,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,1257.24831242726,389.569641090144,18.1624078624079,186.881110985787,1239.08590456485,202.688530104356,1257.24831242726,389.569641090144,897.5,870.375024427967,3138.625,3444.96975909537,5731.48,15408.433297417,897.5,870.375024427967,3138.625,3444.96975909537,5731.48,15408.433297417,3.96593818699082,2.42457981491004,64.2436829173671,2.12356123122104,16.4114703219966,16.4753451789926,675.368240010345,172.109018338738,127.096573128152,9.55602554049463,162,0,190,0,0,0,197,152.474456834096,197.5,146.121354466009,197,152.474456834096,197.5,146.121354466009,NaN,NaN,0.037525,0.0277630573485417,0.2483175,0.102151532976477,0.2107925,0.0743884756279349,0.037525,0.0277630573485417,0.0362700362700362,2.39560482415373,1,0,0.00419305970584071,0.0532778750934165,0.843894531532509,0.315881848392662,429.5,19.059307104262,154.5,108.002740257485,1.78454674770464,0.0589878119783616,116707.5,22013.4997054227,53581.5,11607.1180264956,116707.5,22013.4997054227,44982,1600.98179675801,97839,0,41.1895652,0
sf_cf,fixed_packet,5,5,2,380,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,1126.80356911936,614.454183955214,2.40540540540541,30.5635735545824,1124.39816371395,583.890610400632,1126.80356911936,614.454183955214,887.5,540.013701287425,2716.75,3249.61186127668,4665.62500000001,1326.21011933832,887.5,540.013701287425,2716.75,3249.61186127668,4665.62500000001,1326.21011933832,182.889564205354,59.0371054145552,0,0,476.992628992629,516.240298568513,0,0,84.5159705159705,126.687417246675,0,0,380,0,0,0,197,152.474456834096,197,152.474456834096,394,304.948913668193,394,304.948913668193,NaN,NaN,0.07486,0.0579402935969566,0.2214,0.0507612879210181,0.13001,0.00489188882342739,0.09139,0.0458693990975907,0.0319560319560318,0.258901886606182,1,0,6.38338023863962e-17,8.11085362210067e-16,0.840657163190974,0.357016513346617,291,114.355842625572,43.5,31.7655118404367,1.22241044872624,0.333387940122829,10260,0,10260,0,21470,12070.894499366,7790,12070.894499366,16530,12070.894499366,0.3638179,0
sf_cb,fixed_packet,5,5,2,380,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,939.798655114445,132.711075149536,4.10810810810811,52.1984626999609,935.690547006336,80.5126124495745,939.798655114445,132.711075149536,802.5,285.889606563931,1728.875,1224.56048144884,2517.275,1585.41669595617,802.5,285.889606563931,1728.875,1224.56048144884,2517.275,1585.41669595617,111.03207034786,128.843183522876,0,0,206.272727272727,276.071175631432,32.7960687960688,0.874136935166803,15.5896805896806,67.589516594148,190,0,380,0,0,0,197,152.474456834096,197.5,146.121354466009,394,304.948913668193,395,292.242708932018,NaN,NaN,0.07499,0.0562884869812539,0.185145,0.115499401051828,0.110155,0.059210914070574,0.07499,0.0562884869812539,0.0265200265200264,0.550433339604427,1,0,0.000738405611882679,0.00938233288292168,0.843894531532509,0.315881848392662,255,139.768252097922,16.5,82.5903307851355,1.082050950472,0.355734297863937,1900,4828.35779974638,1900,4828.35779974638,3895,10863.8050494294,1520,7242.53669961958,3135,15692.1628491757,0.3935803,0
sb_cf,fixed_packet,5,5,2,380,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9269727,0
sb_cb,fixed_packet,5,5,2,380,1,0,197,152.474456834096,52,63.5310236808735,145,88.9434331532229,145,88.9434331532229,NaN,NaN,NaN,NaN,NaN,NaN,3109.22359089212,8069.38858565206,NaN,NaN,NaN,NaN,NaN,NaN,585,0,12157.5,77418.9054575126,65311.375,91565.6761556508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,197,152.474456834096,52.5,57.1779213127861,394,304.948913668193,105,114.355842625572,NaN,NaN,0.01978,0.0238876649040084,53.28608,50.9321863747194,53.25281,50.8624293107178,0.03327,0.0697570640015991,204.166932166932,202.843986595399,0.263390663390663,0.118632869772638,NaN,NaN,0.562651515151515,0.495734502964391,297653.5,58772.5500071761,606,2528.53474249876,12.3911907428145,34.7084756473783,5963750,1215094.35892039,1326057.5,96916.5766251725,5963750,1215094.35892039,438352.5,258094.783703549,2113542.5,582357.128570727,44.8867298,0
