protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,stability_class,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,rate_threshold,rate_check_status,little_relative_error,little_threshold,little_check_status,n_aloha_probability_tests,aloha_ci95_coverage_fraction,aloha_ci95_all_inside,aloha_probability_check_status,aloha_controlled_file_status,aloha_controlled_available,aloha_controlled_K,aloha_controlled_q,aloha_controlled_trials,aloha_controlled_probability_pass,aloha_controlled_service_relative_error,aloha_controlled_preregistered_parameters_valid,aloha_controlled_probability_status,aloha_controlled_service_status,aloha_controlled_hard_gate_status,overall_status
sb_cf,fixed_packet,5,5,1,190,0.01,1,stable,197,197,0,0.05,pass,9.40038461546736e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,1,190,0.2,1,stable,197,197,0,0.05,pass,7.45516401171875e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,1,190,0.5,1,stable,197,197,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,5,5,2,380,0.005,1,stable,197,197.5,0.00253807106598985,0.05,pass,0.00836440187696867,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,2,380,0.2,1,stable,197,197.5,0.00253807106598985,0.05,pass,0.00020633021086951,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,5,5,3,570,0.002,1,stable,197,195.5,0.00761421319796954,0.05,pass,0.0113778666334398,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,3,570,0.2,1,stable,197,197.5,0.00253807106598985,0.05,pass,0.000688684612390358,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,5,5,4,760,0.001,1,stable,197,195,0.0101522842639594,0.05,pass,0.00793367654926479,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,5,5,5,950,0.0005,1,stable,197,194.5,0.0126903553299492,0.05,pass,0.0169235574646817,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,5,5,6,1140,0.0002,1,stable,197,197.5,0.00253807106598985,0.05,pass,0.00914594512952723,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,10,10,1,190,0.01,1,stable,375.5,375.5,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,10,10,2,380,0.2,1,stable,375.5,376,0.00133155792276964,0.05,pass,0.000475531126309469,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,10,10,2,380,0.002,0.5,mixed,375.5,322,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sf_cb,fixed_packet,10,10,3,570,0.5,0.5,mixed,375.5,349.5,NaN,0.05,not_applicable,NaN,0.05,not_applicable,23,1,1,diagnostic_only,present,1,40,0.025,11465,1,0.0088487396849692,1,pass,pass,pass,not_applicable
sb_cf,fixed_packet,10,10,3,570,0.0002,1,stable,375.5,364.5,0.0292942743009321,0.05,pass,0.0549666970460446,0.05,fail,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,fail
sf_cb,fixed_packet,10,10,4,760,0.5,0.5,mixed,375.5,235,NaN,0.05,not_applicable,NaN,0.05,not_applicable,35,1,1,diagnostic_only,present,1,40,0.025,11465,1,0.0088487396849692,1,pass,pass,pass,not_applicable
sb_cf,fixed_packet,10,10,4,760,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sf_cb,fixed_packet,10,10,5,950,0.2,1,stable,375.5,375,0.00133155792276964,0.05,pass,0.000429071373341192,0.05,pass,6,1,1,diagnostic_only,present,1,40,0.025,11465,1,0.0088487396849692,1,pass,pass,pass,pass
sb_cf,fixed_packet,10,10,5,950,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,10,10,5,950,0.01,1,stable,375.5,375,0.00133155792276964,0.05,pass,0.00110009415653038,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
