protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,10,10,1,190,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2774710,2578957,0.929451005690685,71,629,0,6834,0.898571428571429,0,6834,912,393,190,117,629,0,NaN,NaN,62,37,NaN,42,89,953,25,0,38120,37780,34,306,0,8,37167,36835,332,37,195,162,26200,161.728395061728,25,9500,380,7990,7185,7990
sb_cb,fixed_packet,10,10,2,380,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4117820,3859984,0.937385315531033,34,652,0,7401,0.950437317784257,0,7401,1012,314,169,203,652,0,NaN,NaN,61,46,NaN,67,141,939,11,0,37560,37263,16,281,0,8,36621,36332,289,48,226,207,33330,161.014492753623,11,6270,570,8320,7220,8320
sb_cb,fixed_packet,10,10,3,570,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,5842614,5497113,0.940865338699425,86,3114,4,8716,0.973125,0.000458715596330275,8720,6072,995,1474,731,3114,4,NaN,NaN,261,481,NaN,304,706,1013,57,0,40520,39317,85,1118,0,36,39507,38340,1167,532,1202,1109,186845,168.480613165014,57,43320,760,54670,44885,54670
sb_cb,fixed_packet,10,10,4,760,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,11662168,10838086,0.929337152405968,22033,96226,110,37713,0.813688598753583,0.00290828331967321,37823,478895,54534,45861,17864,96226,110,NaN,NaN,6785,25122,NaN,12698,29298,1746,303,0,69840,48895,1431,19514,0,523,68094,47672,20422,27972,36034,35208,6431040,182.658486707566,303,287850,950,934440,578480,934440
sb_cb,fixed_packet,10,10,5,950,0.01,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,8380660,7924068,0.945518372061389,1790,15609,4,102703,0.897120524168056,3.89457388493481e-05,102707,24885,10500,5226,1673,15609,4,NaN,NaN,121,71,NaN,25,50,962,24,0,38480,37862,41,577,0,18,37518,36918,600,77,265,223,35990,161.390134529148,24,27360,1140,27260,26215,27260
sb_cb,fixed_packet,10,10,6,1140,0.005,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,9695524,9175395,0.946353698882082,4235,24252,4,197854,0.851335696984589,2.02165189176076e-05,197858,37984,19637,6069,2781,24252,4,NaN,NaN,92,49,NaN,21,40,948,17,0,37920,37400,32,488,0,11,36972,36463,509,52,190,162,25415,156.882716049383,17,22610,1330,22620,22005,22620
sb_cb,fixed_packet,15,15,1,190,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4524036,4200674,0.928523557283806,227,1779,0,12085,0.886839481555334,0,12085,2679,1032,471,503,1779,0,NaN,NaN,221,101,NaN,156,335,1561,62,0,62440,61286,85,1069,0,31,60879,59756,1123,111,618,525,81590,155.409523809524,62,23560,380,22280,19545,22280
sb_cb,fixed_packet,15,15,2,380,0.02,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,6673364,6243629,0.93560444177779,1497,12218,4,84739,0.890849434925264,4.72015387701639e-05,84743,19046,9808,2326,1581,12218,4,NaN,NaN,231,86,NaN,75,150,1534,38,0,61360,60219,69,1072,0,28,59826,58713,1113,98,467,401,59065,147.294264339152,38,21660,570,22460,20975,22460
sb_cb,fixed_packet,15,15,3,570,0.005,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,8771694,8242921,0.939718257385632,6443,38728,9,323112,0.857364238117376,2.78533428653662e-05,323121,59668,35212,5110,4849,38728,9,NaN,NaN,183,46,NaN,46,93,1507,17,0,60280,59365,66,849,0,22,58773,57880,893,50,326,287,43285,150.81881533101,17,12920,760,15430,14790,15430
sb_cb,fixed_packet,15,15,4,760,0.005,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,11558696,10886587,0.941852523848711,12795,97460,20,343430,0.88395084123169,5.82326393943805e-05,343450,161238,71604,28324,10327,97460,20,NaN,NaN,417,287,NaN,113,231,1617,87,0,64680,62452,167,2061,0,62,63063,60897,2166,310,978,829,136960,165.211097708082,87,82650,950,82700,78750,82700
sb_cb,fixed_packet,15,15,5,950,0.002,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,13824926,13042911,0.943434416936481,33876,234551,72,856705,0.873798090356037,8.40358693102172e-05,856777,372661,186266,57006,25155,234551,72,NaN,NaN,414,208,NaN,118,233,1604,85,0,64160,62079,155,1926,0,51,62556,60526,2030,229,883,747,118455,158.574297188755,85,96900,1140,95690,92760,95690
sb_cb,fixed_packet,15,15,6,1140,0.001,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,16551420,15637790,0.944800506542641,85210,629932,160,1689526,0.880848838412511,9.46921499024079e-05,1689686,1016672,470890,181396,62856,629932,160,NaN,NaN,542,353,NaN,151,304,1649,125,0,65960,63228,166,2566,0,56,64311,61635,2676,377,1246,1065,165060,154.985915492958,125,166250,1330,163800,158605,163800
sb_cb,fixed_packet,5,5,1,190,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1377732,1278855,0.928232050935886,6,72,0,3419,0.923076923076923,0,3419,115,36,29,13,72,0,NaN,NaN,9,5,NaN,5,10,472,3,0,18880,18840,5,35,0,0,18408,18368,40,5,24,21,3130,149.047619047619,3,1140,380,990,905,990
sb_cb,fixed_packet,5,5,2,380,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2073180,1939367,0.935455194435601,6,92,0,3514,0.938775510204082,0,3514,163,55,9,34,92,0,NaN,NaN,15,7,NaN,6,12,473,1,0,18920,18848,4,68,0,3,18447,18378,69,7,36,32,5285,165.15625,1,570,570,1020,930,1020
sb_cb,fixed_packet,5,5,3,570,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2791968,2622421,0.939273301126661,18,219,0,3587,0.924050632911392,0,3587,262,69,125,43,219,0,NaN,NaN,13,15,NaN,16,32,475,5,0,19000,18931,5,64,0,1,18525,18457,68,15,60,54,8750,162.037037037037,5,3800,760,3930,3530,3930
sb_cb,fixed_packet,5,5,4,760,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,3486756,3282669,0.941467943268758,10,313,0,5999,0.969040247678019,0,5999,473,159,112,52,313,0,NaN,NaN,22,19,NaN,8,16,475,4,0,19000,18869,6,125,0,2,18525,18396,129,19,58,52,7975,153.365384615385,4,3800,950,4080,3785,4080
sb_cb,fixed_packet,5,5,5,950,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4179552,3940715,0.942855837180636,20,396,0,5746,0.951923076923077,0,5746,675,200,162,54,396,0,NaN,NaN,18,33,NaN,11,22,474,3,0,18960,18865,8,87,0,2,18486,18393,93,33,73,68,11660,171.470588235294,3,3420,1140,4210,3890,4210
sb_cb,fixed_packet,5,5,6,1140,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4952832,4673816,0.943665361554763,52,819,0,5776,0.940298507462687,0,5776,1393,269,505,97,819,0,NaN,NaN,32,76,NaN,13,26,481,10,0,19240,19065,16,159,0,2,18759,18586,173,76,140,128,22045,172.2265625,10,13300,1330,13960,12975,13960
sb_cb,fixed_payload,10,10,1,190,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2734430,2543027,0.930002596519201,161,596,0,11637,0.787318361955086,0,11637,954,521,126,110,596,0,NaN,NaN,49,14,NaN,13,26,938,12,0,37520,37303,15,202,0,3,36582,36368,214,15,97,82,11770,143.536585365854,12,4560,380,3920,3620,3920
sb_cb,fixed_payload,10,5,2,380,0.2,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2103340,1973038,0.938049958637215,13,108,0,3382,0.892561983471074,0,3382,160,54,54,13,108,0,NaN,NaN,12,9,NaN,4,8,478,4,0,19120,19060,4,56,0,0,18642,18582,60,9,29,25,3500,140,4,2280,570,2020,1860,2020
sb_cb,fixed_payload,10,3.33333333333333,3,570,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1741064,1642740,0.943526487251474,0,3,0,891,1,0,891,3,3,0,0,3,0,NaN,NaN,1,0,NaN,1,2,296,0,0,11840,11838,0,2,0,0,11544,11542,2,0,2,2,175,87.5,0,0,NaN,40,40,40
