protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,condition_elapsed_s,timeout_exceeded,result_source,rerun_replaced
sf_cf,fixed_packet,5,5,1,190,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,505.115608431398,7.65034129724967,0,0,505.115608431398,7.65034129724967,505.115608431398,7.65034129724967,385,63.5310236808735,1144.125,783.019866866763,1925.35,690.582227411065,385,63.5310236808735,1144.125,783.019866866763,1925.35,690.582227411065,90.3244536402431,22.3233541375494,0,0,202.955773955774,187.720906827072,0,0,21.8353808353808,173.047893986772,0,0,190,0,0,0,197,152.474456834096,197,152.474456834096,197,152.474456834096,197,152.474456834096,NaN,NaN,0.03743,0.0289701467984783,0.099515,0.0785243452695596,0.05762,0.0121344255230468,0.041895,0.0663899197465128,-0.0582120582120582,0.632007255584584,1,0,0,0,0.840657163190974,0.357016513346617,261,241.417889987319,23.5,196.946173410708,1.11492305702832,0.910778389404065,2280,12070.894499366,2280,12070.894499366,5035,30177.2362484149,1995,15692.1628491757,4465,37419.7729480345,0.4680213,0,original_stable,0
sf_cb,fixed_packet,5,5,1,190,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,696.840424156214,251.409669503766,0,0,696.840424156214,251.409669503766,696.840424156214,251.409669503766,592.5,222.358582883057,1378.25,994.260520605667,1982.075,2291.24636905069,592.5,222.358582883057,1378.25,994.260520605667,1982.075,2291.24636905069,96.1328074485969,17.8277927566915,0,0,196.700245700246,111.233924999977,13.0982800982801,16.2651908293539,10.9090909090909,138.613142576451,190,0,190,0,0,0,197,152.474456834096,197.5,146.121354466009,197,152.474456834096,197.5,146.121354466009,NaN,NaN,0.037525,0.0277630573485417,0.137645,0.154126263449799,0.10012,0.126363206101257,0.037525,0.0277630573485417,-0.0557220557220557,0.380805336748492,1,0,0.00103573278094245,0.0131602327666223,0.843894531532509,0.315881848392662,248.5,235.064787619232,12,152.474456834096,1.05741626794258,0.729542855665532,1330,14485.0733992392,1330,14485.0733992392,2660,28970.1467984783,1140,14485.0733992392,2280,28970.1467984783,0.4217306,0,original_stable,0
sb_cf,fixed_packet,5,5,1,190,0.01,1,197,152.474456834096,197,152.474456834096,0,0,0,0,776.571770334928,272.271473258174,0,0,776.571770334928,272.271473258174,776.571770334928,272.271473258174,585,444.717165766114,2119.375,1516.80319038086,2968.675,570.826247772636,585,444.717165766114,2119.375,1516.80319038086,2968.675,570.826247772636,0,0,16.5098926677874,2.7012803034102,548.52773826458,312.323211722758,2.40883227725333,3.13424098464415,19.1253071253071,34.2162171765294,0,0,190,0,0,0,197,152.474456834096,197,152.474456834096,197,152.474456834096,197,152.474456834096,NaN,NaN,0.03743,0.0289701467984783,0.1527275,0.0647698786426504,0.1114975,0.0261430162446793,0.04123,0.038626862397971,0.0927600927600928,0.198826890538553,1,0,9.40038461546736e-17,1.19443211522915e-15,0.840657163190974,0.357016513346617,260.5,171.533763938358,20,50.8248189446988,1.10065951118583,0.180085353560681,4940,16899.2522991123,3695,13468.5770203452,4940,16899.2522991123,2757.5,6384.86787992778,3800,9656.71559949277,26.4894725,0,corrected_q_rerun,1
sb_cb,fixed_packet,5,5,1,190,0.2,1,197,152.474456834096,197,152.474456834096,0,0,0,0,444.302599249968,13.1169833711216,0,0,444.302599249968,13.1169833711216,444.302599249968,13.1169833711216,410,0,611.625,249.359267947433,1175.25,1026.02603244609,410,0,611.625,249.359267947433,1175.25,1026.02603244609,0,0,15.9171084960559,0.709825481188093,21.7848829690935,20.2472789165282,15.7506142506143,36.6669225126221,10.8499935342041,2.59283474378426,190,0,190,0,0,0,197,152.474456834096,197,152.474456834096,197,152.474456834096,197,152.474456834096,NaN,NaN,0.03743,0.0289701467984783,0.08754,0.070328843214727,0.049825,0.0401516069663121,0.037715,0.0301772362484149,0.0107820107820108,0.16444386613944,1,0,7.45516401171875e-17,9.47268402746599e-16,0.840657163190974,0.357016513346617,246.5,82.5903307851355,12,0,1.06114056640372,0.0473216987458719,495,1080.02740257485,452.5,1111.79291441529,495,1080.02740257485,452.5,1111.79291441529,495,1080.02740257485,64.2278355,0,corrected_q_rerun,1
s7_clean,fixed_packet,5,5,1,190,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,421.716849864218,76.0048920211224,0,0,421.716849864218,76.0048920211224,421.716849864218,76.0048920211224,397.5,6.35310236808735,540.525,556.214112326047,875.79,997.310009742348,397.5,6.35310236808735,540.525,556.214112326047,875.79,997.310009742348,3.94108366739946,2.53433986616783,36.3444976076555,4.37725713399319,9.20332341911289,10.001145269323,18.6777059356007,44.4631723810045,1.55023923444976,19.6976571029694,162,0,190,0,0,0,197,152.474456834096,197,152.474456834096,197,152.474456834096,197,152.474456834096,NaN,NaN,0.03743,0.0289701467984783,0.08315,0.079274011348994,0.04572,0.0503038645505156,0.03743,0.0289701467984783,-0.0117720117720118,0.0893501210549012,1,0,0,0,0.840657163190974,0.357016513346617,236.5,108.002740257485,2,25.4124094723494,1.00956937799043,0.121590475944256,126,1600.98179675801,63,800.490898379006,126,1600.98179675801,63,800.490898379006,126,1600.98179675801,19.9422081,0,corrected_q_rerun,1
s7_busy,fixed_packet,5,5,1,190,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,1257.24831242726,389.569641090144,18.1624078624079,186.881110985787,1239.08590456485,202.688530104356,1257.24831242726,389.569641090144,897.5,870.375024427967,3138.625,3444.96975909537,5731.48,15408.433297417,897.5,870.375024427967,3138.625,3444.96975909537,5731.48,15408.433297417,3.96593818699082,2.42457981491004,64.2436829173671,2.12356123122104,16.4114703219966,16.4753451789926,675.368240010345,172.109018338738,127.096573128152,9.55602554049463,162,0,190,0,0,0,197,152.474456834096,197.5,146.121354466009,197,152.474456834096,197.5,146.121354466009,NaN,NaN,0.037525,0.0277630573485417,0.2483175,0.102151532976477,0.2107925,0.0743884756279349,0.037525,0.0277630573485417,0.0362700362700362,2.39560482415373,1,0,0.00419305970584071,0.0532778750934165,0.843894531532509,0.315881848392662,429.5,19.059307104262,154.5,108.002740257485,1.78454674770464,0.0589878119783616,116707.5,22013.4997054227,53581.5,11607.1180264956,116707.5,22013.4997054227,44982,1600.98179675801,97839,0,41.1895652,0,original_stable,0
sf_cf,fixed_packet,5,5,2,380,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,1126.80356911936,614.454183955214,2.40540540540541,30.5635735545824,1124.39816371395,583.890610400632,1126.80356911936,614.454183955214,887.5,540.013701287425,2716.75,3249.61186127668,4665.62500000001,1326.21011933832,887.5,540.013701287425,2716.75,3249.61186127668,4665.62500000001,1326.21011933832,182.889564205354,59.0371054145552,0,0,476.992628992629,516.240298568513,0,0,84.5159705159705,126.687417246675,0,0,380,0,0,0,197,152.474456834096,197,152.474456834096,394,304.948913668193,394,304.948913668193,NaN,NaN,0.07486,0.0579402935969566,0.2214,0.0507612879210181,0.13001,0.00489188882342739,0.09139,0.0458693990975907,0.0319560319560318,0.258901886606182,1,0,6.38338023863962e-17,8.11085362210067e-16,0.840657163190974,0.357016513346617,291,114.355842625572,43.5,31.7655118404367,1.22241044872624,0.333387940122829,10260,0,10260,0,21470,12070.894499366,7790,12070.894499366,16530,12070.894499366,0.3638179,0,original_stable,0
sf_cb,fixed_packet,5,5,2,380,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,939.798655114445,132.711075149536,4.10810810810811,52.1984626999609,935.690547006336,80.5126124495745,939.798655114445,132.711075149536,802.5,285.889606563931,1728.875,1224.56048144884,2517.275,1585.41669595617,802.5,285.889606563931,1728.875,1224.56048144884,2517.275,1585.41669595617,111.03207034786,128.843183522876,0,0,206.272727272727,276.071175631432,32.7960687960688,0.874136935166803,15.5896805896806,67.589516594148,190,0,380,0,0,0,197,152.474456834096,197.5,146.121354466009,394,304.948913668193,395,292.242708932018,NaN,NaN,0.07499,0.0562884869812539,0.185145,0.115499401051828,0.110155,0.059210914070574,0.07499,0.0562884869812539,0.0265200265200264,0.550433339604427,1,0,0.000738405611882679,0.00938233288292168,0.843894531532509,0.315881848392662,255,139.768252097922,16.5,82.5903307851355,1.082050950472,0.355734297863937,1900,4828.35779974638,1900,4828.35779974638,3895,10863.8050494294,1520,7242.53669961958,3135,15692.1628491757,0.3935803,0,original_stable,0
sb_cf,fixed_packet,5,5,2,380,0.005,1,197,152.474456834096,197,152.474456834096,0,0,0,0,1677.62886331307,304.010695265974,0.810810810810811,10.302328164466,1676.81805250226,314.31302343044,1677.62886331307,304.010695265974,1235,127.062047361747,4473.125,1866.22382062562,7508.65,22469.6524554513,1235,127.062047361747,4473.125,1866.22382062562,7508.65,22469.6524554513,0,0,17.642312168628,4.72724053096788,1202.27983964826,212.692961602757,9.95732574679943,22.8639388211394,66.9385749385749,119.756760117853,0,0,380,0,0,0,197,152.474456834096,197.5,146.121354466009,394,304.948913668193,395,292.242708932018,NaN,NaN,0.07505,0.0555261146970834,0.3333825,0.282617758844366,0.2444625,0.200535676248677,0.08892,0.0820820825956885,-0.374022374022374,2.60830690413938,1,0,0.00836440187696867,0.106279802744406,0.843894531532509,0.315881848392662,279.5,95.2965355213102,35,88.9434331532229,1.1761541445752,0.315149368731191,17100,4828.35779974638,12607.5,12801.501271696,17100,4828.35779974638,9935,4002.45449189503,13870,26555.9678986051,31.9326779,0,corrected_q_rerun,1
sb_cb,fixed_packet,5,5,2,380,0.2,1,197,152.474456834096,197,152.474456834096,0,0,0,0,666.213435923962,146.601143911627,0,0,666.213435923962,146.601143911627,666.213435923962,146.601143911627,602.5,31.7655118404367,1022.875,544.778528063489,1788.875,2546.00577401097,602.5,31.7655118404367,1022.875,544.778528063489,1788.875,2546.00577401097,0,0,16.23076425708,5.33601446795906,22.6664295874822,12.9321329853954,44.1092072934178,77.281427707083,13.2070347859822,51.0515687511894,190,0,380,0,0,0,197,152.474456834096,197.5,146.121354466009,394,304.948913668193,395,292.242708932018,NaN,NaN,0.074885,0.0576226384785523,0.1314075,0.130143302010269,0.0563325,0.0749348424315903,0.075075,0.0552084595786791,0.000120000120000109,0.186323972575239,1,0,0.00020633021086951,0.00262167390256609,0.843894531532509,0.315881848392662,252.5,184.239968674533,16.5,82.5903307851355,1.082050950472,0.355734297863937,510,381.186142085241,465,444.717165766114,510,381.186142085241,435,825.903307851355,480,762.372284170482,66.690674,0,corrected_q_rerun,1
s7_clean,fixed_packet,5,5,2,380,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,633.354558386137,79.5747226702638,0,0,633.354558386137,79.5747226702638,633.354558386137,79.5747226702638,589.5,6.35310236808735,952.075,172.486729293571,1221.59,698.078888205433,589.5,6.35310236808735,952.075,172.486729293571,1221.59,698.078888205433,3.94108366739946,2.53433986616783,36,0,8.77433079012026,5.33995794285454,42.6391439286176,87.4490204792864,0,0,162,0,380,0,0,0,197,152.474456834096,197.5,146.121354466009,394,304.948913668193,395,292.242708932018,NaN,NaN,0.074878,0.0577115819117055,0.124864,0.112017900954116,0.049986,0.0543063190424106,0.074878,0.0577115819117055,-0.0172080172080172,0.00594650976303978,1,0,0.000155108231076831,0.00197083694032811,0.843894531532509,0.315881848392662,234.5,82.5903307851355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.8289304,0,original_stable,0
s7_busy,fixed_packet,5,5,2,380,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,1856.65357558515,1335.99983684415,11.9243243243243,151.512906205413,1844.72925126083,1487.51274304956,1856.65357558515,1335.99983684415,1377.5,1937.69622226664,4616.5,1600.981796758,7417.67,3862.94036389177,1377.5,1937.69622226664,4616.5,1600.981796758,7417.67,3862.94036389177,3.96000258631838,2.77472752333871,66.3711884132937,49.6345467720769,16.1569377990431,22.3240113833653,1079.57077460235,1194.97345194311,136.670347859822,223.355460474346,162,0,380,0,0,0,197,152.474456834096,197.5,146.121354466009,394,304.948913668193,395,292.242708932018,NaN,NaN,0.07505,0.0555261146970834,0.3675085,0.540108997822946,0.2924585,0.484582883125863,0.07505,0.0555261146970834,0.104538104538104,0.105131243118352,1,0,0.0014953800142153,0.0190006046190034,0.843894531532509,0.315881848392662,428.5,374.833039717154,167.5,400.245449189503,1.84364412259149,1.37873741033547,86373,8805.39988216906,39690,1600.98179675801,86373,8805.39988216906,33264,9605.89078054807,72418.5,22013.4997054227,38.0007694,0,original_stable,0
sf_cf,fixed_packet,5,5,3,570,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,1583.56278287857,373.913717132142,5.37837837837838,68.3387768242909,1578.18440450019,442.252493956434,1583.56278287857,373.913717132142,1240,127.062047361747,3951.75,657.546095097032,5442.075,462.8235075152,1240,127.062047361747,3951.75,657.546095097032,5442.075,462.8235075152,276.840424156214,2.71442521972864,0,0,608.233415233415,172.610825519189,0,0,123.110565110565,272.356093656973,0,0,570,0,0,0,197,152.474456834096,197.5,146.121354466009,591,457.423370502289,592.5,438.364063398027,NaN,NaN,0.112325,0.0864657232296688,0.31235,0.314669160291366,0.175515,0.155778070065502,0.136835,0.158891090225865,0.114516114516114,0.555617476320923,1,0,0.000121703148634342,0.00154638512358505,0.843894531532509,0.315881848392662,283.5,133.415149729834,43,127.062047361747,1.21598344756239,0.477817708170129,13680,14485.0733992392,13680,14485.0733992392,27930,28970.1467984783,11970,36212.6834980979,24510,72425.3669961957,0.3611402,0,original_stable,0
sf_cb,fixed_packet,5,5,3,570,0.5,1,197,152.474456834096,197,152.474456834096,0,0,0,0,1154.06646838226,136.491881705586,0.894736842105263,1.33749523538681,1153.17173154015,137.829376940972,1154.06646838226,136.491881705586,1020,0,2042.125,439.952338990034,2928.575,779.208005445899,1020,0,2042.125,439.952338990034,2928.575,779.208005445899,134.633648002069,49.9473957804523,0,0,198.09828009828,79.7962145102274,41.3144963144963,133.461978494218,19.1253071253071,34.2162171765294,190,0,570,0,0,0,197,152.474456834096,197.5,146.121354466009,591,457.423370502289,592.5,438.364063398027,NaN,NaN,0.11242,0.0852586337797322,0.22761,0.201202751997326,0.11519,0.115944118217594,0.11242,0.0852586337797322,-0.0929280929280931,1.31097669083625,1,0,0.000613859048518499,0.00779981874962944,0.843894531532509,0.315881848392662,255.5,120.70894499366,20,50.8248189446988,1.10065951118583,0.180085353560681,1995,3621.26834980979,1995,3621.26834980979,3990,7242.53669961958,1900,4828.35779974638,3800,9656.71559949277,0.46713,0,original_stable,0
