M,q,mean_delay_us,se_delay_us,mean_p95_us,stable_fraction,mean_collision_waste_us,rate_screen_rejected_fraction,selected
3,0.05,1088.06389389502,8.87911128632572,2073,1,2080,0,0
3,0.1,1028.35985019148,55.3707197567019,1963.875,1,2257.5,0,0
3,0.2,999.356837125479,33.0524892993917,1790.25,1,2217.5,0,1
3,0.5,1065.25667380041,56.8628914169858,2123.25,1,3582.5,0,0
3,1,NaN,NaN,NaN,0,106255,1,0
4,0.05,1339.10178249606,29.2919998873619,2288.25,1,760,0,0
4,0.1,1303.38237778779,58.8715082225726,2276.375,1,2877.5,0,1
4,0.2,1311.35172617707,43.9332479161974,2793.625,1,4490,0,0
4,0.5,1455.52911691822,86.7247690921379,3995.25,1,6902.5,0,0
4,1,NaN,NaN,NaN,0,144950,1,0
5,0.0005,24339.5149266523,870.4205519685,69038.6666666666,1,1855,0,0
5,0.001,12285.710252212,314.37238433755,34278,1,6258.33333333333,0,0
5,0.002,6627.78849709246,336.788995403122,17493.9166666667,1,4945,0,0
5,0.005,3769.83419502243,133.320955357651,9538.08333333333,1,3641.66666666667,0,0
5,0.01,2691.43675855777,146.717955195349,6275.66666666666,1,8293.33333333333,0,1
5,0.02,2242.87716553149,216.386400359984,5195.75,0.666666666666667,176513.333333333,0.333333333333333,0
5,0.05,1920.02043661751,123.831806126554,4233.125,0.666666666666667,299760,0.333333333333333,0
5,0.1,NaN,NaN,NaN,0,781050,1,0
5,0.2,NaN,NaN,NaN,0,577476.666666667,1,0
