q,selected,stable_fraction,mean_delay_us,se_delay_us,mean_p95_us,mean_collision_waste_us,rate_screen_rejected_fraction
0.005,0,1,3066.59292628484,59.9251931368722,7316,8741.66666666667,0
0.0075,0,1,2483.92297693715,53.3246208759939,5959.75,9250,0
0.01,0,1,2211.86094183319,40.1845705065412,5011.16666666666,15076.6666666667,0
0.0125,0,1,2071.99972252764,41.920405218968,4681.16666666667,14466.6666666667,0
0.015,0,1,1989.8749717458,79.2672561093567,4684.16666666666,16263.3333333333,0
0.02,0,0.666666666666667,1757.98864811608,30.6180103302811,3852,69918.3333333333,0.333333333333333
0.025,0,1,1780.85428348575,65.672569660432,3884.75,28056.6666666667,0
0.03,1,1,1669.74705253625,14.7870634579466,3637.66666666666,25343.3333333333,0
0.04,0,0.666666666666667,1629.66658060572,1.8737322703322,3620.5,393160,0.333333333333333
0.05,0,1,1705.70881081084,42.1546961312619,3977.33333333333,34600,0
0.075,0,0.333333333333333,1642.97163995068,NaN,3857.75,1479856.66666667,0.666666666666667
0.1,0,0.333333333333333,1644.84356197353,NaN,3805.24999999999,988768.333333333,0.666666666666667
