protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,stability_class,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,rate_threshold,rate_check_status,little_relative_error,little_threshold,little_check_status,n_aloha_probability_tests,aloha_ci95_coverage_fraction,aloha_ci95_all_inside,aloha_probability_check_status,aloha_controlled_file_status,aloha_controlled_available,aloha_controlled_K,aloha_controlled_q,aloha_controlled_trials,aloha_controlled_probability_pass,aloha_controlled_service_relative_error,aloha_controlled_preregistered_parameters_valid,aloha_controlled_probability_status,aloha_controlled_service_status,aloha_controlled_hard_gate_status,overall_status
sf_cf,fixed_packet,5,5,1,198,0.6,1,stable,203.666666666667,203.666666666667,0,0.05,pass,1.02381851855206e-16,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,1,198,0.5,1,stable,203.666666666667,204.333333333333,0.00327332242225533,0.05,pass,0.000826983820273871,0.05,pass,2,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,1,198,0.0316227766016838,1,stable,203.666666666667,203.666666666667,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,1,198,0.5,1,stable,203.666666666667,203.666666666667,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,1,198,0.75,1,stable,203.666666666667,203.666666666667,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,1,198,0.6,1,stable,203.666666666667,203,0.00327332242226022,0.05,pass,0.0085604055278805,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,2,396,0.6,1,stable,203.666666666667,201.333333333333,0.0114566284779083,0.05,pass,0.657833112602545,0.05,fail,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,fail
sf_cb,fixed_packet,5,5,2,396,0.6,1,stable,203.666666666667,203.666666666667,0,0.05,pass,1.03560002742824e-16,0.05,pass,3,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,2,396,0.00707106781186547,1,stable,203.666666666667,203,0.00327332242226022,0.05,pass,0.00381990946719698,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,2,396,0.4,1,stable,203.666666666667,203.666666666667,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,2,396,0.75,1,stable,203.666666666667,203.666666666667,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,2,396,0.6,1,stable,203.666666666667,203,0.00327332242226022,0.05,pass,0.00318311481832984,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,3,594,0.3,1,stable,203.666666666667,203.333333333333,0.00163666121113255,0.05,pass,0.00292160846257271,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,3,594,0.5,1,stable,203.666666666667,203.666666666667,0,0.05,pass,0.000137346601015127,0.05,pass,2,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,3,594,0.00447213595499958,0.666666666666667,mixed,203.666666666667,138,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,5,5,3,594,0.6,1,stable,203.666666666667,204,0.00163666121112767,0.05,pass,0.000125108352769835,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
