protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,10,10,1,198,0.6,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2221644,2067981,0.930833652916489,80,362,0,6916,0.819004524886878,0,6916,555,295,106,41,362,0,NaN,NaN,64,26,NaN,33,72,1410,22,0,56400,56191,25,184,0,4,54990,54785,205,27,168,142,21096,148.56338028169,22,8712,396,6912,6147,6912
sb_cb,fixed_packet,10,10,2,396,0.6,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,3397350,3188141,0.938419944957099,73,317,0,7090,0.812820512820513,0,7090,574,255,63,72,317,0,NaN,NaN,61,32,NaN,66,136,1396,8,0,55840,55664,14,162,0,4,54444,54272,172,33,217,205,31680,154.536585365854,8,4752,594,6858,5958,6858
sb_cb,fixed_packet,10,10,3,594,0.5,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4597842,4331451,0.942061732438827,97,440,0,7780,0.819366852886406,0,7780,869,302,139,96,440,0,NaN,NaN,81,57,NaN,75,153,1400,9,0,56000,55726,20,254,0,7,54600,54333,267,57,266,250,37215,148.86,9,7128,792,9846,8793,9846
sb_cb,fixed_packet,10,10,4,792,0.6,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,5790994,5468290,0.944274851605787,56,404,0,7754,0.878260869565217,0,7754,729,183,122,155,404,0,NaN,NaN,99,57,NaN,159,327,1398,7,0,55920,55696,14,210,0,7,54522,54305,217,57,415,401,57942,144.493765586035,7,6930,990,12762,11034,12762
sb_cb,fixed_packet,10,10,5,990,0.6,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,7015856,6634832,0.945691017603554,62,658,0,8602,0.913888888888889,0,8602,1104,210,249,261,658,0,NaN,NaN,143,96,NaN,263,573,1404,12,0,56160,55823,18,319,0,8,54756,54427,329,96,668,648,92574,142.861111111111,12,14256,1188,23544,20178,23544
sb_cb,fixed_packet,10,10,6,1188,0.00707106781186547,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,8242908,7803091,0.946642980850933,2281,17748,4,215266,0.886115133057067,1.85813164862731e-05,215270,31857,13843,4268,1918,17748,4,NaN,NaN,126,65,NaN,18,37,1417,19,0,56680,56199,40,441,0,14,55263,54796,467,69,244,211,31635,149.928909952607,19,26334,1386,26370,25794,26370
sb_cb,fixed_packet,15,15,1,198,0.2,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,3492664,3252482,0.931232434611517,228,2108,2,19833,0.902397260273973,0.000100831862868667,19835,3621,1429,471,436,2108,2,NaN,NaN,348,100,NaN,131,272,2228,62,0,89120,87959,81,1080,0,37,86892,85768,1124,115,718,619,90756,146.617124394184,62,24552,396,23418,20988,23418
sb_cb,fixed_packet,15,15,2,396,0.4,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,10400632,9197156,0.884288185564108,67693,173371,2428,67160,0.719190754322504,0.0348910731735357,69588,1487129,155047,30279,55738,173371,2428,NaN,NaN,57712,121634,NaN,56757,191875,4295,417,0,171800,93313,8395,70092,0,2022,167505,91040,76465,144325,197742,195303,34835679,178.367352268014,417,247698,594,3680586,1360683,3680586
sb_cb,fixed_packet,15,15,3,594,0.01,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,7122618,6711603,0.942294392314736,4633,27804,5,236962,0.857169281992786,2.10999843860116e-05,236967,48858,24477,4633,3327,27804,5,NaN,NaN,316,69,NaN,53,106,2189,25,0,87560,86357,79,1124,0,35,85371,84203,1168,74,500,440,61227,139.152272727273,25,19800,792,22770,21798,22770
sb_cb,fixed_packet,15,15,4,792,0.00707106781186547,3,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,9096878,8593935,0.944712570620382,9025,53821,25,341303,0.856394997294975,7.32433319270614e-05,341328,94231,46663,9903,6280,53821,25,NaN,NaN,400,117,NaN,87,175,2214,56,0,88560,87131,81,1348,0,29,86346,84946,1400,123,692,607,79686,131.2784184514,56,55440,990,55278,53433,55278
