protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,condition_elapsed_s,timeout_exceeded
sf_cf,fixed_packet,5,5,1,198,0.6,neighbor_stable,0.2,0.8,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,486.445662898663,182.756471997053,1.48514851485149,6.3900783115091,484.960514383812,176.420811134907,486.445662898663,182.756471997053,372,12.9079581892484,1107.45,734.51527894251,2388.38999999999,4606.45410863594,372,12.9079581892484,1107.45,734.51527894251,2388.38999999999,4606.45410863594,94.2034508030296,13.9236871176697,0,0,155.002093124059,51.8473729183453,0,0,37.7549704567231,112.820954148323,0,0,198,0,0,0,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,NaN,NaN,0.040326,0.00618909338458201,0.099081,0.0394943086240575,0.051099,0.0172042165269939,0.047982,0.0231348207886527,-0.00686400686400686,0.184726163934454,1,0,1.02381851855206e-16,2.22478151178794e-16,0.862691051918784,0.0566646134417911,291.333333333333,105.461325461475,38.6666666666667,114.844922070399,1.19068166897335,0.569802798728902,3960,8519.25240490393,3960,8519.25240490393,8844,21014.1559320964,3366,9384.07672602904,7656,22739.2945699391,1.6508316,0
sf_cb,fixed_packet,5,5,1,198,0.5,neighbor_stable,0.2,0.6,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,736.224902472966,51.9831754283507,2.01906339827531,5.28855954331684,734.205839074691,47.6665724509946,736.224902472966,51.9831754283507,625.5,51.2268709535562,1396.8,130.536414017758,2439.86999999999,1275.46454507306,625.5,51.2268709535562,1396.8,130.536414017758,2439.86999999999,1275.46454507306,100.745356059223,12.557500976121,0,0,207.125333645116,16.7679162349946,13.526014338185,5.1939354372226,16.8091350321668,23.6899444254169,198,0,198,0,0,0,203.666666666667,31.2580473968789,204.333333333333,29.94734219999,203.666666666667,31.2580473968789,204.333333333333,29.94734219999,NaN,NaN,0.0404446666666667,0.00595568653255643,0.150217666666667,0.0323925985717095,0.109773,0.026498573166232,0.0404446666666667,0.00595568653255643,0.00420400420400416,0.300243310547485,1,0,0.000826983820273871,0.00178520939276286,0.861229899134252,0.0527140328421364,267,68.6179812470998,17.6666666666667,26.5620812351773,1.08489462137458,0.119646183966752,1980,3443.01486848596,1980,3443.01486848596,4026,7133.3726191106,1716,2524.02572216565,3498,5259.29208456511,1.16935,0
sb_cf,fixed_packet,5,5,1,198,0.0316227766016838,self_stable_fallback,0.02,0.0316227766016838,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,647.896272014874,19.3585625447126,0,0,647.896272014874,19.3585625447126,647.896272014874,19.3585625447126,454.5,84.3967279715729,1548,598.456152239949,3809.39999999999,3710.09763112674,454.5,84.3967279715729,1548,598.456152239949,3809.39999999999,3710.09763112674,0,0,44.9109081991148,7.13698964967579,354.213920700826,25.426498459408,1.76144801980198,3.861280286792,49.0099950951316,39.2534430732168,0,0,198,0,0,0,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,NaN,NaN,0.040326,0.00618909338458201,0.132009,0.0235730170615603,0.081585,0.00891426059749206,0.050424,0.0151148387405836,0.112864294784078,0.619070192814743,1,0,0,0,0.862691051918784,0.0566646134417911,300.333333333333,77.6599351471885,51,46.5403051128804,1.24752522775319,0.198249712490994,10626,9388.37248122132,7776,6470.01666862672,10626,9388.37248122132,7272,6246.11815450204,10098,9214.98041235031,22.5316708,0
sb_cb,fixed_packet,5,5,1,198,0.5,neighbor_stable,0.2,0.8,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,472.187899946389,5.03367141111039,0.649769585253456,2.79573287969896,471.538130361135,6.01122839188204,472.187899946389,5.03367141111039,441,0,636.149999999999,333.445940146222,1215.20999999999,616.142249072639,441,0,636.149999999999,333.445940146222,1215.20999999999,616.142249072639,0,0,37.7658666788338,0.825857167900904,10.9860938426792,0.560168047481145,18.634214451111,2.32720838781067,8.1519553885112,6.83230601189801,198,0,198,0,0,0,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,NaN,NaN,0.040326,0.00618909338458201,0.096174,0.0150663410953025,0.055584,0.00890500380512162,0.04059,0.00616297895002583,-1.20000120000333e-05,0.138724797691899,1,0,0,0,0.862691051918784,0.0566646134417911,257,36.0841845698136,10,4.96827542350066,1.04905185218983,0.0229404768861362,426,329.595556355408,387,285.438124778249,426,329.595556355408,381,291.788384858722,420,338.572569201027,40.4821395,0
s7_clean,fixed_packet,5,5,1,198,0.75,neighbor_stable,0.5,0.875,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,419.377464553771,13.2798494066831,0.400921658986175,1.72502667045255,418.976542894785,11.6805677523713,419.377464553771,13.2798494066831,396,0,521.55,285.08987044574,893.009999999998,321.403208231555,396,0,521.55,285.08987044574,893.009999999998,321.403208231555,0,0,36.4506091162112,1.25283476463372,3.24113060067527,0.408058584646989,17.2570621549482,4.83064347510595,2.02774102295022,5.63775644085173,162,0,198,0,0,0,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,NaN,NaN,0.040326,0.00618909338458201,0.085458,0.015848907038269,0.045132,0.0096608198648737,0.040326,0.00618909338458201,0.00259200259200261,0.201309018171225,1,0,0,0,0.862691051918784,0.0566646134417911,249.333333333333,40.3879336582745,2.66666666666667,7.58916606719352,1.01251691989475,0.0348009656842701,168,478.117462233192,84,239.058731116596,168,478.117462233192,84,239.058731116596,168,478.117462233192,17.5666364,0
s7_busy,fixed_packet,5,5,1,198,0.6,neighbor_stable,0.2,0.8,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,1316.48599617306,297.148584278575,7.06659784642059,22.6761380741985,1309.41939832664,274.4947014082,1316.48599617306,297.148584278575,991.5,161.349477365605,3583.65,1063.99928227998,4938.96,2062.45306108265,991.5,161.349477365605,3583.65,1063.99928227998,4938.96,2062.45306108265,0,0,73.4916759821143,16.7069634649181,12.5127305573299,3.94577576598103,694.702449867683,188.472215620738,168.712541919515,75.1813355921315,162,0,198,0,0,0,203.666666666667,31.2580473968789,203,32.5791606614061,203.666666666667,31.2580473968789,203,32.5791606614061,NaN,NaN,0.040194,0.0064506738109584,0.265745333333333,0.0666152007691185,0.225551333333333,0.062870581272245,0.040194,0.0064506738109584,-0.0465800465800467,1.30996676505687,1,0,0.0085604055278805,0.0279501696815749,0.863890249656799,0.0644612921876694,500.666666666667,132.414870787604,212.666666666667,107.144788478048,2.04143544394762,0.464082318469948,124236,5116.87808967688,56595,2344.02976484121,124236,5116.87808967688,47145,4438.47983331785,103467,9088.27510925689,128.106864,0
sf_cf,fixed_packet,5,5,2,396,0.6,neighbor_stable,0.2,0.8,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,2660.46892537756,6866.33129802986,203.475452844824,843.548349525714,2456.99347253274,6022.86837571354,2660.46892537756,6866.33129802986,769.5,58.0858118516177,5197.04999999996,11240.3932741046,45411.24,173280.82562361,769.5,58.0858118516177,5197.04999999996,11240.3932741046,45411.24,173280.82562361,190.31635545467,8.48453364990966,0,0,915.444911484236,2424.84656981567,0,0,955.232205593831,3607.08786602953,0,0,396,0,0,0,203.666666666667,31.2580473968789,201.333333333333,41.144800241277,407.333333333333,62.5160947937577,402.666666666667,82.2896004825539,NaN,NaN,0.0797213333333333,0.0162908662728606,0.274954333333333,0.223850054259173,0.135237,0.088870052885357,0.139717333333333,0.138610378722995,1.58360958360958,6.57155336412302,1,0,0.657833112602545,2.82660352110457,0.864473869054609,0.0637292092840617,717,1712.45758822021,466.333333333333,1741.9852233927,3.41220253937836,9.10880774249881,53196,176933.567319228,53196,176933.567319228,186252,688135.079993411,19708,37141.0127639003,59996,153582.935513098,0.8967556,0
sf_cb,fixed_packet,5,5,2,396,0.6,neighbor_stable,0.2,0.8,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,892.998020942647,74.177862642508,2.60538908153488,6.33123670085282,890.392631861112,71.6156633125989,892.998020942647,74.177862642508,778.5,19.3619372838726,1560.75,544.453101392014,2612.52,1301.27638033999,778.5,19.3619372838726,1560.75,544.453101392014,2612.52,1301.27638033999,114.969390199389,16.2503280709008,0,0,143.705081956928,50.5237923109484,17.4752731897614,9.13641410176835,20.242886515034,44.1022991086087,198,0,396,0,0,0,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,407.333333333333,62.5160947937577,407.333333333333,62.5160947937577,NaN,NaN,0.080652,0.012378186769164,0.181977,0.0363038085287523,0.101325,0.0252159961410335,0.080652,0.012378186769164,-0.027892027892028,0.288491009552652,1,0,1.03560002742824e-16,2.24840975812688e-16,0.862691051918784,0.0566646134417911,267,33.4206548550469,20.3333333333333,44.7374741736901,1.10223680058098,0.222738884386912,1848,4183.21414887937,1848,4183.21414887937,4026,8858.01988639065,1848,4183.21414887937,4026,8858.01988639065,1.0879786,0
sb_cf,fixed_packet,5,5,2,396,0.00707106781186547,neighbor_stable,0.005,0.01,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,2083.48836305722,712.379191157321,31.4772964479628,100.598925305627,2052.01106660925,613.069746274563,2083.48836305722,712.379191157321,1455,390.665704033119,6188.39999999999,5170.37590464988,9660.44999999998,6898.22411342894,1455,390.665704033119,6188.39999999999,5170.37590464988,9660.44999999998,6898.22411342894,0,0,44.365851850162,11.6255975170465,1507.90343397819,470.303838442718,11.7174104291189,9.29503284960673,92.0243703517817,127.881572687512,0,0,396,0,0,0,203.666666666667,31.2580473968789,203,28.648473654543,407.333333333333,62.5160947937577,406,57.2969473090859,NaN,NaN,0.0803746666666667,0.0113513801000864,0.425063666666667,0.211528821687134,0.325549,0.171610790741202,0.0995146666666667,0.0402140923841282,-0.297980325686423,0.892525248882266,1,0,0.00381990946719698,0.00567947536366131,0.860172705682044,0.0728002775967985,299.333333333333,104.69788309057,48.3333333333333,74.6206741744204,1.23238477361561,0.322933264362404,20856,28668.8279495343,15624,21409.0501100676,20856,28668.8279495343,14073,21852.6356938752,19140,29549.7869730705,17.0358737,0
sb_cb,fixed_packet,5,5,2,396,0.4,neighbor_stable,0.2,0.8,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,697.517842884519,4.84412239147866,1.80086234429895,6.19091316777684,695.71698054022,3.03548037039537,697.517842884519,4.84412239147866,639,0,1059.15,240.707464490696,1747.46999999999,256.924307171148,639,0,1059.15,240.707464490696,1747.46999999999,256.924307171148,0,0,37.8857479353926,0.612726454131869,14.0431136503627,6.20717230820915,41.1343071303098,4.02707633797977,8.65381182415477,7.71060396374911,198,0,396,0,0,0,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,407.333333333333,62.5160947937577,407.333333333333,62.5160947937577,NaN,NaN,0.080652,0.012378186769164,0.142077,0.0227643507839645,0.061161,0.0109064455818919,0.080916,0.011859147511196,0.00110000110000107,0.202464977854268,1,0,0,0,0.862691051918784,0.0566646134417911,257.333333333333,34.8074884695988,10.6666666666667,3.79458303359676,1.05238188709424,0.0170201792814408,438,518.250904485462,399,433.715078399136,438,518.250904485462,399,433.715078399136,438,518.250904485462,36.5788201,0
s7_clean,fixed_packet,5,5,2,396,0.75,neighbor_stable,0.5,0.875,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,642.78597164872,7.68551921407784,1.49260847743761,5.22586655132636,641.293363171283,5.6344477324235,642.78597164872,7.68551921407784,594,0,946.199999999999,307.4940074463,1562.96999999999,430.257061283832,594,0,946.199999999999,307.4940074463,1562.96999999999,430.257061283832,0,0,37.2600150568052,2.20532474715479,2.82606110553452,1.60673208045922,37.5372192533193,7.29165383420889,5.67006775562349,9.92396136219656,162,0,396,0,0,0,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,407.333333333333,62.5160947937577,407.333333333333,62.5160947937577,NaN,NaN,0.080652,0.012378186769164,0.130926,0.020913477682328,0.050274,0.00860283215440839,0.080652,0.012378186769164,-0.00431600431600434,0.216024904974797,1,0,0,0,0.862691051918784,0.0566646134417911,253.666666666667,28.6843515316631,7,11.3837491007903,1.03500041824459,0.0612590207542997,441,717.176193349787,210,393.851397200674,441,717.176193349787,210,393.851397200674,441,717.176193349787,16.9771035,0
s7_busy,fixed_packet,5,5,2,396,0.6,neighbor_stable,0.2,0.8,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,1833.96645725921,158.147355122349,7.22739340466305,6.55694926500624,1826.73906385454,152.408068010871,1833.96645725921,158.147355122349,1371,401.549546708172,4594.65,445.796196536216,7680.44999999997,4059.47833869737,1371,401.549546708172,4594.65,445.796196536216,7680.44999999997,4059.47833869737,0,0,72.17151925446,6.80188205637617,12.0210445943788,3.32673509856711,1021.77466336063,129.268671995811,162.77183664507,30.6084692536928,162,0,396,0,0,0,203.666666666667,31.2580473968789,203,32.5791606614061,407.333333333333,62.5160947937577,406,65.1583213228121,NaN,NaN,0.080491,0.0125530857520147,0.372068333333333,0.0495331055730922,0.291577333333333,0.0398476915335469,0.080491,0.0125530857520147,-0.0916680916680918,1.52969826169189,1,0,0.00318311481832984,0.0131870870505393,0.863890249656799,0.0644612921876694,488.666666666667,12.5032189587515,204,7.45241313525099,2.004764423735,0.188941168232671,91140,9950.21073607527,41664,4708.91089809032,91140,9950.21073607527,34818,3717.78327253465,76167,8618.91152328145,107.9130098,0
sf_cf,fixed_packet,5,5,3,594,0.3,neighbor_stable,0.1,0.4,0,1,1,203.666666666667,31.2580473968789,203.666666666667,31.2580473968789,0,0,0,0,2699.18036370169,96.6342410402113,17.2798997353652,23.0164670051183,2681.90046396633,73.7390064873625,2699.18036370169,96.6342410402113,1953,373.941120416652,7340.1,960.306112253155,11522.37,2167.78064884162,1953,373.941120416652,7340.1,960.306112253155,11522.37,2167.78064884162,282.767329584341,17.4038849174709,0,0,1697.10328597664,116.968085644302,0,0,108.029848405347,64.9236652172442,0,0,594,0,0,0,203.666666666667,31.2580473968789,203.333333333333,31.4548471210306,611,93.7741421906366,610,94.3645413630918,NaN,NaN,0.12082,0.0185510926957182,0.549901666666667,0.102563576457063,0.407103666666667,0.0845189751094046,0.142798,0.0233609287793935,-0.469172469172469,1.67028313989318,1,0,0.00292160846257271,0.00633954336430632,0.863174946769344,0.060162480458056,288,38.7238745677451,37,22.0794989414224,1.18186843165883,0.10929909969233,11484,6143.32027490021,11484,6143.32027490021,24552,14926.9360862528,10296,5182.05893147026,21978,13115.2223712049,0.8601402,0
