protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,10,10,1,198,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2213424,2060822,0.931056137459429,69,346,0,7256,0.833734939759036,0,7256,580,259,79,77,346,0,NaN,NaN,62,21,NaN,27,54,0,27,54,1404,50,6,21,17,0,56160,55992,20,148,0,3,54756,54591,165,23,153,133,20259,152.323308270677,17,6732,396,5760,5112,5760
sb_cb,fixed_packet,10,10,2,396,0.3,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,3395904,3187131,0.938522113699327,84,421,0,9307,0.833663366336634,0,9307,779,274,86,145,421,0,NaN,NaN,77,29,NaN,30,64,0,30,64,1396,62,6,21,8,0,55840,55653,16,171,0,4,54444,54261,183,30,180,168,25092,149.357142857143,8,4752,594,6192,5454,6192
sb_cb,fixed_packet,10,10,3,594,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,4662520,4391833,0.941944056004049,110,1000,0,8978,0.900900900900901,0,8978,1531,348,373,389,1000,0,NaN,NaN,148,100,NaN,178,384,0,178,384,1414,361,6,21,25,0,56560,56256,32,272,0,5,55146,54847,299,102,639,609,97812,160.610837438424,25,19800,792,25812,21681,25812
sb_cb,fixed_packet,10,10,4,792,0.0223606797749979,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,5806228,5484136,0.944526463652478,582,4461,0,69956,0.88459250446163,0,69956,7390,3083,920,1040,4461,0,NaN,NaN,87,21,NaN,23,46,0,23,46,1400,46,6,21,14,0,56000,55761,20,219,0,2,54600,54363,237,21,170,154,21537,139.850649350649,14,13860,990,13860,13248,13860
sb_cb,fixed_packet,10,10,5,990,0.02,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,7076572,6692967,0.945792256476723,1002,8519,0,82360,0.894758953891398,0,82360,15156,5381,2335,1805,8519,0,NaN,NaN,143,81,NaN,25,51,0,25,51,1420,45,6,21,27,0,56800,56360,41,399,0,9,55380,54949,431,84,305,269,40752,151.494423791822,27,32076,1188,31572,30357,31572
sb_cb,fixed_packet,10,10,6,1188,0.01,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,8267612,7827666,0.946786810992098,2157,14731,0,153382,0.872276172430128,0,153382,26368,10220,3156,3512,14731,0,NaN,NaN,161,72,NaN,34,68,0,34,68,1419,60,6,21,23,0,56760,56323,38,399,0,12,55341,54916,425,74,328,293,41913,143.047781569966,23,31878,1386,32598,31320,32598
sb_cb,fixed_packet,15,15,1,198,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,3550962,3304398,0.930564168245112,490,2671,0,15956,0.844985763998735,0,15956,4398,1283,443,1435,2671,0,NaN,NaN,436,139,NaN,436,1093,0,436,1093,2236,1007,6,21,82,0,89440,88395,112,933,0,25,87204,86184,1020,148,1689,1582,249516,157.721871049305,82,32472,396,44712,33489,44712
sb_cb,fixed_packet,15,15,2,396,0.0875,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,14016500,12731390,0.908314486498056,256675,1443836,0,280981,0.849060076647549,0,280981,3486010,434813,181814,1083884,1443836,0,NaN,NaN,53766,81190,NaN,65969,168486,0,65969,168486,5519,59015,6,21,1649,0,220760,141705,8951,70104,0,2288,215241,138474,76767,99656,197908,193971,33741828,173.952951729898,1649,979506,594,4144482,2165184,4144482
sb_cb,fixed_packet,15,15,3,594,0.02,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,11836352,11070110,0.935263669076418,141442,1162310,0,453343,0.891511575821168,0,453343,2634646,481583,430442,391727,1162310,0,NaN,NaN,14601,22445,NaN,11744,25264,0,11744,25264,3930,7152,6,21,1410,0,157200,128127,2850,26223,0,810,153270,125007,28263,25971,46418,44198,7393527,167.281935834201,1410,1116720,792,1633104,1238571,1633104
sb_cb,fixed_packet,15,15,4,792,0.01,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,9408432,8886739,0.944550484076412,10483,75474,0,266076,0.87804367299929,0,266076,132734,49031,19473,17453,75474,0,NaN,NaN,718,300,NaN,188,375,0,188,375,2302,272,6,21,124,0,92080,90112,174,1794,0,49,89778,87859,1919,331,1463,1290,189234,146.693023255814,124,122760,990,121428,115281,121428
