protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,stability_class,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,rate_threshold,rate_check_status,little_relative_error,little_threshold,little_check_status,n_aloha_probability_tests,aloha_ci95_coverage_fraction,aloha_ci95_all_inside,aloha_probability_check_status,aloha_controlled_file_status,aloha_controlled_available,aloha_controlled_K,aloha_controlled_q,aloha_controlled_trials,aloha_controlled_probability_pass,aloha_controlled_service_relative_error,aloha_controlled_preregistered_parameters_valid,aloha_controlled_probability_status,aloha_controlled_service_status,aloha_controlled_hard_gate_status,overall_status
sf_cf,fixed_packet,5,5,1,198,0.7,1,stable,192,192,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,1,198,0.625,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000225318912922891,0.05,pass,3,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,1,198,0.0159693021024534,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.00347776229293117,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,1,198,0.775,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000355483641623472,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,1,198,0.775,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.00018859028760019,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,1,198,0.6,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000756240055296494,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,2,396,0.5875,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000513541875990798,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,2,396,0.7,0.666666666666667,mixed,192,131.333333333333,NaN,0.05,not_applicable,NaN,0.05,not_applicable,32,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,not_applicable
sb_cf,fixed_packet,5,5,2,396,0.00307529122036138,1,stable,192,192.333333333333,0.00173611111110938,0.05,pass,0.00728203463995275,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,2,396,0.45,1,stable,192,192,0,0.05,pass,0.000601237568832699,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,2,396,0.7,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000694480615309872,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,2,396,0.6,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.00545776612649418,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,3,594,0.325,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.00482398293484658,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,3,594,0.55,1,stable,192,192,0,0.05,pass,0.00015043780471337,0.05,pass,5,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,3,594,0.00105737126344056,1,stable,192,191,0.00520833333333333,0.05,pass,0.0181575206687524,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,3,594,0.55,1,stable,192,192,0,0.05,pass,0.000460061176730063,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,3,594,0.775,1,stable,192,192,0,0.05,pass,0.000523790742468105,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,3,594,0.7,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.00449646821689336,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,4,792,0.275,1,stable,192,192,0,0.05,pass,0.00320377764811134,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,4,792,0.55,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.000750250068573062,0.05,pass,3,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,4,792,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,5,5,4,792,0.4,1,stable,192,192,0,0.05,pass,0.000381460435950605,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,4,792,0.7,1,stable,192,192,0,0.05,pass,0.000421462832651755,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,4,792,0.45,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.00614594196550445,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,5,990,0.275,1,stable,192,190.333333333333,0.00868055555555728,0.05,pass,0.0113213728538792,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,5,990,0.5,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.00117274626790302,0.05,pass,3,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,5,990,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,5,5,5,990,0.5,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.000807748942745114,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,5,990,0.6,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.000765425268581687,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,5,990,0.5,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.0155054215466175,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,6,1188,0.221875,1,stable,192,190,0.0104166666666667,0.05,pass,0.0131908081560005,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,6,1188,0.5,1,stable,192,191,0.00520833333333333,0.05,pass,0.00412573631202886,0.05,pass,4,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,6,1188,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,5,5,6,1188,0.45,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.00130450335562408,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,6,1188,0.55,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.00121027078532829,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,6,1188,0.5,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.0060090158036757,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,10,10,1,198,0.4,1,stable,384.333333333333,384,0.000867302688637399,0.05,pass,0.000682179252870755,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,10,10,1,198,0.45,1,stable,384.333333333333,384.666666666667,0.000867302688640209,0.05,pass,0.00364307755039416,0.05,pass,4,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
