protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,10,10,1,198,0.4,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2200362,2048712,0.931079522369501,115,490,0,8195,0.809917355371901,0,8195,866,361,96,148,490,0,NaN,NaN,95,22,NaN,41,83,0,41,83,1393,77,6,21,16,0,55720,55503,23,194,0,1,54327,54111,216,23,211,194,28440,146.59793814433,16,6336,396,6660,5832,6660
sb_cb,fixed_packet,10,10,2,396,0.275,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,3403918,3194285,0.938414203867426,126,848,0,10372,0.870636550308008,0,10372,1452,498,179,297,848,0,NaN,NaN,137,47,NaN,58,119,0,58,119,1404,111,6,21,15,0,56160,55829,27,304,0,13,54756,54438,318,49,323,295,45252,153.396610169492,15,8910,594,11250,10062,11250
sb_cb,fixed_packet,10,10,3,594,0.4625,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,4660790,4391089,0.942134058818355,123,1282,0,9684,0.912455516014235,0,9684,1952,409,407,589,1282,0,NaN,NaN,192,123,NaN,221,485,0,221,485,1417,448,6,21,29,0,56680,56255,36,389,0,12,55263,54850,413,127,804,763,123174,161.433813892529,29,22968,792,30960,25803,30960
sb_cb,fixed_packet,10,10,4,792,0.0223606797749979,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,5763786,5443229,0.944384298792495,683,5461,0,73539,0.888834635416667,0,73539,8783,3749,1147,1248,5461,0,NaN,NaN,110,26,NaN,26,52,0,26,52,1393,50,6,21,11,0,55720,55458,19,243,0,6,54327,54071,256,26,203,186,24498,131.709677419355,11,10890,990,12060,11430,12060
sb_cb,fixed_packet,10,10,5,990,0.0153764561018069,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,6994370,6614516,0.945691463276893,1266,8508,0,98519,0.870472682627379,0,98519,14711,5884,1963,1927,8508,0,NaN,NaN,128,53,NaN,25,50,0,25,50,1401,48,6,21,19,0,56040,55699,28,313,0,6,54639,54304,335,54,254,229,32085,140.109170305677,19,22572,1188,22932,22014,22932
sb_cb,fixed_packet,10,10,6,1188,0.00668740304976422,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,8134834,7701965,0.946788219648981,2503,17154,0,220115,0.87266622577199,0,220115,29338,12731,2968,3958,17154,0,NaN,NaN,96,14,NaN,26,52,0,26,52,1387,50,6,21,10,0,55480,55233,25,222,0,1,54093,53847,246,16,171,160,22050,137.8125,10,13860,1386,14760,14256,14760
sb_cb,fixed_packet,15,15,1,198,0.189148321800635,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,3453028,3213900,0.930748317129198,414,2351,0,20297,0.850271247739602,0,20297,3969,1424,473,868,2351,0,NaN,NaN,325,82,NaN,116,239,0,116,239,2190,206,6,21,61,0,87600,86791,77,732,0,17,85410,84618,792,90,691,613,90423,147.508972267537,61,24156,396,23112,20385,23112
sb_cb,fixed_packet,15,15,2,396,0.0422948505376226,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,5268644,4942878,0.938168910254707,992,7096,0,61899,0.877349159248269,0,61899,11715,4961,1348,1779,7096,0,NaN,NaN,269,75,NaN,60,119,0,60,119,2173,109,6,21,44,0,86920,86193,67,660,0,17,84747,84037,710,81,514,453,64233,141.794701986755,44,26136,594,25578,23868,25578
sb_cb,fixed_packet,15,15,3,594,0.0153764561018069,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,7073868,6663630,0.942006551436922,3236,18510,0,151384,0.851191023636531,0,151384,31391,14011,3350,4385,18510,0,NaN,NaN,253,50,NaN,46,92,0,46,92,2158,86,6,21,31,0,86320,85669,60,591,0,15,84162,83526,636,53,435,389,53280,136.966580976864,31,24552,792,25416,24192,25416
sb_cb,fixed_packet,15,15,4,792,0.00668740304976422,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,8958594,8458559,0.944183763657556,7565,47920,0,344671,0.863656844192124,0,344671,81005,36846,7295,11344,47920,0,NaN,NaN,334,70,NaN,52,102,0,52,102,2169,94,6,21,42,0,86760,85814,82,864,0,15,84591,83660,931,73,555,498,68094,136.734939759036,42,41580,990,42228,40743,42228
