load_mode,lambda_base,lambda_effective,M,Tp_us,n_nodes,q_opt,ps_opt,service_cycle_us,capacity_system_pkt_s,capacity_per_node_pkt_s,offered_aggregate_pkt_s,offered_normalized_units_s,rho,theory_stable
fixed_packet,5,5,1,198,40,0.025,0.372546092192698,729.477860456486,1370.84352275507,34.2710880688767,200,200,0.145895572091297,1
fixed_packet,5,5,2,396,40,0.025,0.372546092192698,927.477860456486,1078.19285250412,26.9548213126031,200,400,0.185495572091297,1
fixed_packet,5,5,3,594,40,0.025,0.372546092192698,1125.47786045649,888.511480442988,22.2127870110747,200,600,0.225095572091297,1
fixed_packet,5,5,4,792,40,0.025,0.372546092192698,1323.47786045649,755.584985498047,18.8896246374512,200,800,0.264695572091297,1
fixed_packet,5,5,5,990,40,0.025,0.372546092192698,1521.47786045649,657.255702491768,16.4313925622942,200,1000,0.304295572091297,1
fixed_packet,5,5,6,1188,40,0.025,0.372546092192698,1719.47786045649,581.57189632818,14.5392974082045,200,1200,0.343895572091297,1
fixed_packet,10,10,1,198,40,0.025,0.372546092192698,729.477860456486,1370.84352275507,34.2710880688767,400,400,0.291791144182595,1
fixed_packet,10,10,2,396,40,0.025,0.372546092192698,927.477860456486,1078.19285250412,26.9548213126031,400,800,0.370991144182595,1
fixed_packet,10,10,3,594,40,0.025,0.372546092192698,1125.47786045649,888.511480442988,22.2127870110747,400,1200,0.450191144182595,1
fixed_packet,10,10,4,792,40,0.025,0.372546092192698,1323.47786045649,755.584985498047,18.8896246374512,400,1600,0.529391144182595,1
fixed_packet,10,10,5,990,40,0.025,0.372546092192698,1521.47786045649,657.255702491768,16.4313925622942,400,2000,0.608591144182595,1
fixed_packet,10,10,6,1188,40,0.025,0.372546092192698,1719.47786045649,581.57189632818,14.5392974082045,400,2400,0.687791144182595,1
fixed_packet,15,15,1,198,40,0.025,0.372546092192698,729.477860456486,1370.84352275507,34.2710880688767,600,600,0.437686716273892,1
fixed_packet,15,15,2,396,40,0.025,0.372546092192698,927.477860456486,1078.19285250412,26.9548213126031,600,1200,0.556486716273892,1
fixed_packet,15,15,3,594,40,0.025,0.372546092192698,1125.47786045649,888.511480442988,22.2127870110747,600,1800,0.675286716273892,1
fixed_packet,15,15,4,792,40,0.025,0.372546092192698,1323.47786045649,755.584985498047,18.8896246374512,600,2400,0.794086716273892,1
fixed_packet,15,15,5,990,40,0.025,0.372546092192698,1521.47786045649,657.255702491768,16.4313925622942,600,3000,0.912886716273892,1
fixed_packet,15,15,6,1188,40,0.025,0.372546092192698,1719.47786045649,581.57189632818,14.5392974082045,600,3600,1.03168671627389,0
fixed_payload,5,5,1,198,40,0.025,0.372546092192698,729.477860456486,1370.84352275507,34.2710880688767,200,200,0.145895572091297,1
fixed_payload,5,2.5,2,396,40,0.025,0.372546092192698,927.477860456486,1078.19285250412,26.9548213126031,100,200,0.0927477860456487,1
fixed_payload,5,1.66666666666667,3,594,40,0.025,0.372546092192698,1125.47786045649,888.511480442988,22.2127870110747,66.6666666666667,200,0.0750318573637658,1
fixed_payload,5,1.25,4,792,40,0.025,0.372546092192698,1323.47786045649,755.584985498047,18.8896246374512,50,200,0.0661738930228243,1
fixed_payload,5,1,5,990,40,0.025,0.372546092192698,1521.47786045649,657.255702491768,16.4313925622942,40,200,0.0608591144182595,1
fixed_payload,5,0.833333333333333,6,1188,40,0.025,0.372546092192698,1719.47786045649,581.57189632818,14.5392974082045,33.3333333333333,200,0.0573159286818829,1
fixed_payload,10,10,1,198,40,0.025,0.372546092192698,729.477860456486,1370.84352275507,34.2710880688767,400,400,0.291791144182595,1
fixed_payload,10,5,2,396,40,0.025,0.372546092192698,927.477860456486,1078.19285250412,26.9548213126031,200,400,0.185495572091297,1
fixed_payload,10,3.33333333333333,3,594,40,0.025,0.372546092192698,1125.47786045649,888.511480442988,22.2127870110747,133.333333333333,400,0.150063714727532,1
fixed_payload,10,2.5,4,792,40,0.025,0.372546092192698,1323.47786045649,755.584985498047,18.8896246374512,100,400,0.132347786045649,1
fixed_payload,10,2,5,990,40,0.025,0.372546092192698,1521.47786045649,657.255702491768,16.4313925622942,80,400,0.121718228836519,1
fixed_payload,10,1.66666666666667,6,1188,40,0.025,0.372546092192698,1719.47786045649,581.57189632818,14.5392974082045,66.6666666666667,400,0.114631857363766,1
fixed_payload,15,15,1,198,40,0.025,0.372546092192698,729.477860456486,1370.84352275507,34.2710880688767,600,600,0.437686716273892,1
fixed_payload,15,7.5,2,396,40,0.025,0.372546092192698,927.477860456486,1078.19285250412,26.9548213126031,300,600,0.278243358136946,1
fixed_payload,15,5,3,594,40,0.025,0.372546092192698,1125.47786045649,888.511480442988,22.2127870110747,200,600,0.225095572091297,1
fixed_payload,15,3.75,4,792,40,0.025,0.372546092192698,1323.47786045649,755.584985498047,18.8896246374512,150,600,0.198521679068473,1
fixed_payload,15,3,5,990,40,0.025,0.372546092192698,1521.47786045649,657.255702491768,16.4313925622942,120,600,0.182577343254778,1
fixed_payload,15,2.5,6,1188,40,0.025,0.372546092192698,1719.47786045649,581.57189632818,14.5392974082045,100,600,0.171947786045649,1
