protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded,result_source,rerun_replaced
sf_cf,fixed_packet,5,5,1,198,0.7,0.7,wide_neighbor_stable_validated,0.4,0.8,0,1,2,2,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,384.248242293362,35.9820778214633,1.53280127693535,4.56474188455716,382.715441016427,38.9296511751186,384.248242293362,35.9820778214633,330,25.8159163784968,756.6,56.6187248178559,1167.99,519.271820903668,330,25.8159163784968,756.6,56.6187248178559,1167.99,519.271820903668,94.81863804943,6.15210462619351,0,0,82.8521947326416,46.9097260642585,0,0,7.0446082343552,17.0295154117272,0,0,198,0,0,0,192,39.978412978425,192,39.978412978425,192,39.978412978425,192,39.978412978425,NaN,NaN,0.038016,0.00791572576972815,0.073929,0.0223980302396301,0.034593,0.0159085596843576,0.039336,0.00720088238182814,-0.034948034948035,0.280277526720109,1,0,0,0,0.824403073879348,0.140168567362443,241.666666666667,27.4756561507033,6.66666666666667,15.9707710228882,1.03557882946644,0.086007653594582,1254,2839.75080163464,1254,2839.75080163464,2508,5679.50160326929,660,1581.10633126594,1320,3162.21266253187,1,0,1,0,1,0,0,0,1.33333333333333,1.43421757658315,9.6,1.99892064892125,3.531548,0,original_stable,0
sf_cb,fixed_packet,5,5,1,198,0.625,0.625,wide_neighbor_stable_validated,0.4,0.775,0,1,2,2,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,707.077818369603,140.572807920976,3.37981742214407,8.19865228258687,703.698000947459,146.82238386894,707.077818369603,140.572807920976,558,0,1287.45,663.640109547335,3916.05,7457.86022273558,558,0,1287.45,663.640109547335,3916.05,7457.86022273558,100.033562658177,9.70392904355832,0,0,143.277846110511,70.3007525785838,13.0425426036336,18.4379487298962,51.3440495751373,73.2444297186041,198,0,198,0,0,0,192,39.978412978425,191.666666666667,40.9945448389503,192,39.978412978425,191.666666666667,40.9945448389503,NaN,NaN,0.03799,0.00799438434954218,0.136273,0.05396434138368,0.098283,0.0461542578100872,0.03799,0.00799438434954218,-0.0171520171520172,0.451414592105366,1,0,0.000225318912922891,0.000969469035751858,0.825433585583104,0.138474473130842,281.666666666667,101.343482397742,51.3333333333333,82.2896004825539,1.25931338169261,0.369921362215172,4554,5963.47668343275,4554,5963.47668343275,10428,16761.7478802182,4422,5700.75994934008,10164,16293.3408955457,1,0,1,0,1,0,0.00186219739292365,0.00801238869599527,1.33333333333333,1.43421757658315,9.6,1.99892064892125,2.446176,0,original_stable,0
sb_cf,fixed_packet,5,5,1,198,0.0159693021024534,0.0159693021024534,wide_neighbor_stable_validated,0.01,0.019257517959341,0,2,2,2,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,935.625131555924,72.4967542386104,18.3261630909347,11.391352575556,917.298968464989,65.424306044935,935.625131555924,72.4967542386104,690,64.5397909462419,2481.45,540.282862881168,3490.92,1639.83430361823,690,64.5397909462419,2481.45,540.282862881168,3490.92,1639.83430361823,0,0,42.6939307160142,11.5174919450076,637.490099483166,23.7437671303346,2.29831932773109,7.69975280189668,36.816618938078,63.3462056975417,0,0,198,0,0,0,192,39.978412978425,191.333333333333,40.8437366827623,192,39.978412978425,191.333333333333,40.8437366827623,NaN,NaN,0.0379063333333333,0.00805938286362238,0.178736333333333,0.0248869939747594,0.134032,0.0277282344560789,0.0447043333333333,0.00341878394017955,-0.0891476172584239,0.885856629257323,1,0,0.00347776229293117,0.0148622770499181,0.825601923671135,0.138693656726577,266.666666666667,46.7607720270934,34.3333333333333,56.7740059295427,1.18594251988928,0.319930331805766,7458,12696.5763283469,5334,9116.99421621301,7458,12696.5763283469,4857,8049.76536686246,6798,11241.2531740494,1,0,1,0,1,0,0.0035650623885918,0.0153392254180016,1.33333333333333,1.43421757658315,9.6,1.99892064892125,95.4509216,0,original_stable,0
sb_cb,fixed_packet,5,5,1,198,0.775,0.775,wide_neighbor_stable_validated,0.4,0.925,0,1,2,2,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,457.260565231679,9.87226045026828,2.21412609736632,4.89258496762941,455.046439134313,14.3115277441956,457.260565231679,9.87226045026828,432,0,624.3,149.815748376258,869.760000000001,161.871354048636,432,0,624.3,149.815748376258,869.760000000001,161.871354048636,0,0,36.9733798242507,1.66165243514626,2.93056749363026,0.404274632388268,15.6283405388565,15.6316749426637,3.51415127757553,6.88184306012522,198,0,198,0,0,0,192,39.978412978425,191.666666666667,40.9945448389503,192,39.978412978425,191.666666666667,40.9945448389503,NaN,NaN,0.037987,0.00800351121343562,0.087742,0.0173350183436407,0.049755,0.00938488454910341,0.037987,0.00800351121343562,-0.0150200150200151,0.242412300829475,1,0,0.000355483641623472,0.00152952266101251,0.825433585583104,0.138474473130842,241.666666666667,37.9458303359676,5.33333333333333,9.40479358891743,1.02703832845141,0.046157012087396,348,1159.41921800396,291,969.472735364633,348,1159.41921800396,81,135.993778138221,96,169.286284600514,1,0,1,0,1,0,0.00186219739292365,0.00801238869599527,1.33333333333333,1.43421757658315,9.6,1.99892064892125,95.2370251,0,original_stable,0
s7_clean,fixed_packet,5,5,1,198,0.775,0.775,wide_neighbor_stable_validated,0.4,0.925,0,1,2,2,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,416.214768832876,8.67140650053435,1.89872306464485,4.16117211979973,414.316045768231,12.6111827115138,416.214768832876,8.67140650053435,396,0,542.1,108.221125123873,759.06,87.6822882737613,396,0,542.1,108.221125123873,759.06,87.6822882737613,0,0,36.3569136745607,0.853849043843251,2.54613270397036,1.67052693147904,13.8068878541767,12.905192107828,1.6061115355233,3.84232069729464,162,0,198,0,0,0,192,39.978412978425,191.666666666667,40.9945448389503,192,39.978412978425,191.666666666667,40.9945448389503,NaN,NaN,0.038002,0.00795798158921964,0.079882,0.0159098920671934,0.04188,0.00801419979209979,0.038002,0.00795798158921964,-0.0243000243000243,0.294205931669045,1,0,0.00018859028760019,0.000811438515747195,0.825433585583104,0.138474473130842,231,22.0794989414224,2,4.96827542350066,1.0099142687378,0.0237180289956459,126,313.001351680542,63,156.500675840271,126,313.001351680542,63,156.500675840271,126,313.001351680542,1,0,1,0,1,0,0.00186219739292365,0.00801238869599527,1.33333333333333,1.43421757658315,9.6,1.99892064892125,67.3431715,0,original_stable,0
s7_busy,fixed_packet,5,5,1,198,0.6,0.6,wide_neighbor_stable_validated,0.2,0.9,0,1,2,2,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,1175.80950531558,175.691045897783,10.4709638045162,6.16502047510303,1165.33854151107,169.893182793496,1175.80950531558,175.691045897783,880.5,106.245904898459,2815.5,1163.31214211836,4086.6,1311.4604626141,880.5,106.245904898459,2815.5,1163.31214211836,4086.6,1311.4604626141,0,0,65.8689604841429,17.8177689489397,11.3781721728813,2.05364595275706,593.681086675401,71.1987148604481,134.410322178643,80.1799602702285,162,0,198,0,0,0,192,39.978412978425,191.666666666667,38.5908481541098,192,39.978412978425,191.666666666667,38.5908481541098,NaN,NaN,0.03795,0.00764098793451374,0.226315333333333,0.0806135132302391,0.188365333333333,0.0730089903549917,0.03795,0.00764098793451374,-0.0935240935240937,0.631444186101575,1,0,0.000756240055296494,0.00168860805430656,0.825335497390544,0.134745232543847,413.666666666667,134.266053860882,161.333333333333,128.272302060045,1.82969334678175,0.494938026359435,112581,9289.0764880046,52143,4799.07053500988,112581,9289.0764880046,44520,5333.28341643307,96096,10800.0586109521,1,0,1,0,1,0,0.00158730158730159,0.00682960750753883,1.33333333333333,1.43421757658315,9.6,1.99892064892125,302.6202227,0,original_stable,0
sf_cf,fixed_packet,5,5,2,396,0.5875,0.5875,wide_neighbor_stable_validated,0.4,0.625,0,2,2,2,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,1044.16102573076,184.596052390013,7.59960650588321,16.5149345537827,1036.56141922488,168.207207285443,1044.16102573076,184.596052390013,790.5,101.432243394297,2706.9,1460.53589690697,4774.74,1927.76311999963,790.5,101.432243394297,2706.9,1460.53589690697,4774.74,1927.76311999963,187.238307633871,26.9878159106558,0,0,346.071564715272,48.4854339939914,0,0,107.251546875734,143.067868849474,0,0,396,0,0,0,192,39.978412978425,191.666666666667,40.9945448389503,384,79.9568259568501,383.333333333333,81.9890896779006,NaN,NaN,0.07594,0.0161108509508025,0.200161,0.0452332908823941,0.103761,0.0184741293247528,0.0964,0.0295813655411992,-0.112152112152112,0.620923816622212,1,0,0.000513541875990798,0.00220959235457247,0.825433585583104,0.138474473130842,285.333333333333,49.7654899363403,51.6666666666667,66.2074353938022,1.27083723958519,0.361282497094632,10164,8191.09369986694,10164,8191.09369986694,22308,22003.9461076347,9240,10048.0640615302,20460,26218.1444159457,1,0,1,0,1,0,0.00186219739292365,0.00801238869599527,1.33333333333333,1.43421757658315,9.6,1.99892064892125,2.4782312,0,original_stable,0
sf_cb,fixed_packet,5,5,2,396,0.704375,0.704375,neighbor_stable,0.703125,0.705,0,2,1,1,0,0,1,NaN,1,1995.4,23.2125692002088,1995.4,23.2125692002088,0,0,0,0,856.486304388725,8.38797352101132,2.80508916601628,0.427479360166173,853.681215222709,8.45972117244455,856.486304388725,8.38797352101132,750.6,4.50163591548994,1419.615,33.1889160022961,2289.393,123.972270021553,750.6,4.50163591548994,1419.615,33.1889160022961,2289.393,123.972270021553,118.816830170168,2.12251675637039,0,0,93.85781087958,2.64374605492156,20.0271264346126,1.54385920533857,26.9794477383485,5.04803220673097,198,0,396,0,0,0,199.54,2.32125692002088,199.52,2.31330688248113,399.08,4.64251384004176,399.04,4.62661376496227,NaN,NaN,0.0790125,0.000918924643833039,0.17088663,0.0021868827193669,0.09187413,0.00170390847903269,0.0790125,0.000918924643833039,0.000379616403796177,0.00222752971145838,1,0,3.90692879684881e-05,7.04751005569772e-05,0.97961840907687,0.0021805661225799,2378.1,51.4807972322908,271.6,50.3266562196595,1.13625983706237,0.0254951121552069,26274.6,4044.99228877681,26274.6,4044.99228877681,56548.8,9928.59656177266,24928.2,4081.96618949016,53776.8,9964.67793149259,1,0,1,0,1,0,9.94242338663636e-05,0.000149961629608773,19.4,0.36940871778918,9.977,0.116062846001044,133.2197783,0,original_stable,0
sb_cf,fixed_packet,5,5,2,396,0.00307529122036138,0.00307529122036138,wide_neighbor_stable_validated,0.001,0.005,0,1,2,2,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,4286.03364545412,930.020692207689,80.9288688964667,119.295623837312,4205.10477655765,955.141850569331,4286.03364545412,930.020692207689,3066,1347.63039899955,12344.4,1797.3722290097,20512.65,11950.3598989519,3066,1347.63039899955,12344.4,1797.3722290097,20512.65,11950.3598989519,0,0,44.6288172556986,1.33009397130119,3640.34836520693,1001.92958028715,29.2106042823427,35.9605891159203,94.9169898126848,14.631033684313,0,0,396,0,0,0,192,39.978412978425,192.333333333333,38.5108117427122,384,79.9568259568501,384.666666666667,77.0216234854244,NaN,NaN,0.0760343333333333,0.0146999483157027,0.818076333333333,0.280686407014616,0.723694,0.267502503144675,0.0943823333333333,0.0176160089799525,-0.351276341425973,3.88504083028623,1,0,0.00728203463995275,0.0028345718449436,0.825060811610557,0.135234611557667,280,13.1448212154569,46,10.8281052473581,1.23968936821385,0.0369470547583661,20196,1703.85048098079,14562,1554.75271345639,20196,1703.85048098079,13077,4713.24332231899,18348,3724.2982612113,1,0,1,0,1,0,0.0055069259801432,0.0138820968597831,1.33333333333333,1.43421757658315,9.6,1.99892064892125,48.2401009,0,original_stable,0
sb_cb,fixed_packet,5,5,2,396,0.45,0.45,wide_neighbor_stable_validated,0.1,0.8,0,1,2,2,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,725.210369978362,140.375132118362,7.16202397668057,5.92738729441808,718.048346001682,134.468056045466,725.210369978362,140.375132118362,639,0,1075.95,524.355913698672,2420.07,2963.46918072253,639,0,1075.95,524.355913698672,2420.07,2963.46918072253,0,0,40.0790556141197,8.92664985309862,12.9465880816522,3.32598420530148,50.5872451570776,83.8183965244079,20.4354571488321,41.6592806076302,198,0,396,0,0,0,192,39.978412978425,192,39.978412978425,384,79.9568259568501,384,79.9568259568501,NaN,NaN,0.0759543333333333,0.0160669995094438,0.138744333333333,0.021770084404523,0.062262,0.0208151662200721,0.0764823333333333,0.0147267981238305,-0.0175920175920176,0.384165457389896,1,0,0.000601237568832699,0.00258691646676594,0.826005138297928,0.137587497581622,253.333333333333,49.0158413837068,21,46.006874254099,1.11330710039221,0.247962495919406,1056,2161.3025986837,915,1852.59555966549,1056,2161.3025986837,747,1630.23985965256,870,1835.65507066593,1,0,1,0,1,0,0,0,1.33333333333333,1.43421757658315,9.6,1.99892064892125,66.3252634,0,original_stable,0
