protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,stability_class,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,rate_threshold,rate_check_status,little_relative_error,little_threshold,little_check_status,n_aloha_probability_tests,aloha_ci95_coverage_fraction,aloha_ci95_all_inside,aloha_probability_check_status,aloha_controlled_file_status,aloha_controlled_available,aloha_controlled_K,aloha_controlled_q,aloha_controlled_trials,aloha_controlled_probability_pass,aloha_controlled_service_relative_error,aloha_controlled_preregistered_parameters_valid,aloha_controlled_probability_status,aloha_controlled_service_status,aloha_controlled_hard_gate_status,overall_status
sf_cf,fixed_packet,1,1,1,198,0.9,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,1,1,1,198,0.9,1,stable,35,35,0,0.05,pass,0,0.05,pass,1,1,1,diagnostic_only,present,1,40,0.025,13392,1,0.0114443786273514,1,pass,pass,pass,pass
sb_cf,fixed_packet,1,1,1,198,0.07,1,stable,35,35,0,0.05,pass,5.59768788634013e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,1,1,1,198,0.85,1,stable,35,35,0,0.05,pass,4.85142343031241e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,1,1,1,198,1,1,stable,35,35,0,0.05,pass,4.72817124425831e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,1,1,1,198,0.65,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
unslotted,fixed_packet,1,1,1,198,0.8,1,stable,35,35,0,0.05,pass,8.06509976848607e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,1,1,2,396,0.85,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,1,1,2,396,0.9,1,stable,35,35,0,0.05,pass,0,0.05,pass,1,1,1,diagnostic_only,present,1,40,0.025,13392,1,0.0114443786273514,1,pass,pass,pass,pass
sb_cf,fixed_packet,1,1,2,396,0.03,1,stable,35,35,0,0.05,pass,3.90835524608946e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,1,1,2,396,0.75,1,stable,35,35,0,0.05,pass,1.85405707785273e-16,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,1,1,2,396,1,1,stable,35,35,0,0.05,pass,5.96764736066518e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,1,1,2,396,0.85,1,stable,35,35,0,0.05,pass,3.93430918842084e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
unslotted,fixed_packet,1,1,2,396,0.9,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,1,1,3,594,0.75,1,stable,35,35,0,0.05,pass,6.99562845064193e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,1,1,3,594,0.85,1,stable,35,35,0,0.05,pass,1.18142946206951e-16,0.05,pass,1,1,1,diagnostic_only,present,1,40,0.025,13392,1,0.0114443786273514,1,pass,pass,pass,pass
sb_cf,fixed_packet,1,1,3,594,0.015,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,1,1,3,594,0.65,1,stable,35,35,0,0.05,pass,8.89048865531179e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,1,1,3,594,1,1,stable,35,35,0,0.05,pass,1.64595184267693e-16,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,1,1,3,594,0.9,1,stable,35,35,0,0.05,pass,3.91187844854499e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
unslotted,fixed_packet,1,1,3,594,0.9,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,1,1,4,792,0.95,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,1,1,4,792,0.85,1,stable,35,35,0,0.05,pass,0,0.05,pass,1,1,1,diagnostic_only,present,1,40,0.025,13392,1,0.0114443786273514,1,pass,pass,pass,pass
sb_cf,fixed_packet,1,1,4,792,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,1,1,4,792,0.5,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,1,1,4,792,1,1,stable,35,35,0,0.05,pass,4.69717603537635e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,1,1,4,792,0.85,1,stable,35,35,0,0.05,pass,6.92523042428041e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
unslotted,fixed_packet,1,1,4,792,0.85,1,stable,35,35,0,0.05,pass,8.93014640397701e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,1,1,5,990,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sf_cb,fixed_packet,1,1,5,990,0.85,1,stable,35,35,0,0.05,pass,0,0.05,pass,1,1,1,diagnostic_only,present,1,40,0.025,13392,1,0.0114443786273514,1,pass,pass,pass,pass
sb_cf,fixed_packet,1,1,5,990,0.01,1,stable,35,35,0,0.05,pass,1.20053425866006e-16,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,1,1,5,990,0.95,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,1,1,5,990,1,1,stable,35,35,0,0.05,pass,3.9328107097801e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,1,1,5,990,0.6,1,stable,35,35,0,0.05,pass,6.85658065316614e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
unslotted,fixed_packet,1,1,5,990,0.8,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,1,1,6,1188,0.9,1,stable,35,35,0,0.05,pass,4.56963141029663e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,1,1,6,1188,0.95,1,stable,35,35,0,0.05,pass,1.00162593297715e-16,0.05,pass,1,1,1,diagnostic_only,present,1,40,0.025,13392,1,0.0114443786273514,1,pass,pass,pass,pass
sb_cf,fixed_packet,1,1,6,1188,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,1,1,6,1188,0.8,1,stable,35,35,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,1,1,6,1188,1,1,stable,35,35,0,0.05,pass,4.8209662811416e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,1,1,6,1188,0.8,1,stable,35,35,0,0.05,pass,5.89914083587944e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
unslotted,fixed_packet,1,1,6,1188,0.8,1,stable,35,35,0,0.05,pass,5.955130510371e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,1,198,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sf_cb,fixed_packet,5,5,1,198,0.75,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.00024411726221516,0.05,pass,2,1,1,diagnostic_only,present,1,40,0.025,13392,1,0.0114443786273514,1,pass,pass,pass,pass
sb_cf,fixed_packet,5,5,1,198,0.03,0.666666666666667,mixed,192,162,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,5,5,1,198,0.8,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000121081793172911,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,1,198,0.8,1,stable,192,192,0,0.05,pass,0,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,1,198,0.8,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000204222998387145,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
unslotted,fixed_packet,5,5,1,198,0.9,1,stable,192,192,0,0.05,pass,6.50213202402015e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,5,5,2,396,0.6,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.00123682500275474,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,2,396,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,present,1,40,0.025,13392,1,0.0114443786273514,1,pass,pass,pass,not_applicable
sb_cf,fixed_packet,5,5,2,396,0.009,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.0109804478486361,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,5,5,2,396,0.8,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000558123913387112,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,5,5,2,396,0.9,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000359375323000225,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,5,5,2,396,0.65,1,stable,192,192,0,0.05,pass,0.00199802575336329,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
unslotted,fixed_packet,5,5,2,396,0.75,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.00049892448356111,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
