protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,1,1,1,198,0.85,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,1,1,NaN,0,0,0,NaN,NaN,128,0,6,21,1,NaN,5120,5118,1,1,0,0,NaN,4990,NaN,NaN,2,2,NaN,NaN,1,325,325,29,NaN,NaN
sb_cb,fixed_packet,1,1,2,396,0.75,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,1,2,NaN,0,0,0,NaN,NaN,128,0,6,21,1,NaN,5120,5118,1,1,0,0,NaN,4990,NaN,NaN,3,3,NaN,NaN,1,487.5,487.5,43.5,NaN,NaN
sb_cb,fixed_packet,1,1,3,594,0.65,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,1,3,NaN,0,0,0,NaN,NaN,128,0,6,21,1,NaN,5120,5118,1,1,0,0,NaN,4990,NaN,NaN,4,4,NaN,NaN,1,650,650,58,NaN,NaN
sb_cb,fixed_packet,1,1,4,792,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,127,0,6,21,0,NaN,5080,5080,0,0,0,0,NaN,4953,NaN,NaN,0,0,NaN,NaN,0,0,NaN,0,NaN,NaN
sb_cb,fixed_packet,1,1,5,990,0.95,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,127,0,6,21,0,NaN,5080,5080,0,0,0,0,NaN,4953,NaN,NaN,0,0,NaN,NaN,0,0,NaN,0,NaN,NaN
sb_cb,fixed_packet,1,1,6,1188,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,2,5,NaN,0,0,0,NaN,NaN,128,0,6,21,1,NaN,5120,5113,1,6,0,0,NaN,4985,NaN,NaN,7,7,NaN,NaN,1,1137.5,1137.5,101.5,NaN,NaN
sb_cb,fixed_packet,5,5,1,198,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,14,8,NaN,118,66,0,NaN,NaN,694,118,6,21,6,NaN,27760,27717,7,36,0,1,NaN,27024,NaN,NaN,138,138,NaN,NaN,6,1950,325,2001,NaN,NaN
sb_cb,fixed_packet,5,5,2,396,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,15,15,NaN,56,32,0,NaN,NaN,693,56,6,21,4,NaN,27720,27673,6,41,0,2,NaN,26982,NaN,NaN,86,86,NaN,NaN,4,1950,487.5,1247,NaN,NaN
sb_cb,fixed_packet,5,5,3,594,0.7,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,22,9,NaN,167,86,0,NaN,NaN,689,167,6,21,1,NaN,27560,27501,4,55,0,1,NaN,26813,NaN,NaN,196,196,NaN,NaN,1,650,650,2842,NaN,NaN
sb_cb,fixed_packet,5,5,4,792,0.55,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,29,26,NaN,64,37,0,NaN,NaN,693,64,6,21,2,NaN,27720,27650,7,63,0,4,NaN,26961,NaN,NaN,112,112,NaN,NaN,2,1625,812.5,1624,NaN,NaN
sb_cb,fixed_packet,5,5,5,990,0.3,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,26,38,NaN,56,32,0,NaN,NaN,695,56,6,21,6,NaN,27800,27732,10,58,0,2,NaN,27039,NaN,NaN,118,118,NaN,NaN,6,5850,975,1711,NaN,NaN
sb_cb,fixed_packet,5,5,6,1188,0.3,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,27,43,NaN,75,42,0,NaN,NaN,694,75,6,21,4,NaN,27760,27691,7,62,0,3,NaN,27000,NaN,NaN,135,135,NaN,NaN,4,4550,1137.5,1957.5,NaN,NaN
sb_cf,fixed_packet,1,1,1,198,0.07,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,8,NaN,NaN,0,NaN,NaN,1300,NaN,NaN
sb_cf,fixed_packet,1,1,2,396,0.03,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
sb_cf,fixed_packet,1,1,3,594,0.015,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,0,NaN,NaN,1950,NaN,NaN
sb_cf,fixed_packet,1,1,5,990,0.01,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,17,NaN,NaN,0,NaN,NaN,13812.5,NaN,NaN
sb_cf,fixed_packet,5,5,1,198,0.03,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,598,69872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69872,69872,NaN,NaN,0,NaN,NaN,11354200,NaN,NaN
