protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded
sf_cf,fixed_packet,1,1,1,198,0.9,0.9,self_stable_validated,0.015,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,289.790883397933,95.1587918893503,0,0,289.790883397933,95.1587918893503,289.790883397933,95.1587918893503,261.333333333333,4.70239679445871,692.633333333333,1232.27113053887,793,1475.12973064142,261.333333333333,4.70239679445871,692.633333333333,1232.27113053887,793,1475.12973064142,89.2246285529716,1.15612327187945,0,0,16.3995881782946,22.1515125616137,0,0,21.6666666666667,93.224142477905,0,0,162.5,0,0,0,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,NaN,NaN,0.0056875,0.002825706647116,0.0100038333333333,0.00287745412487162,0.00366633333333333,0.00126659013657697,0.0063375,0.00245544321638455,0.00613200613200613,0.0858053000775556,1,0,0,0,0.497297654681621,0.195814871893497,46.3333333333333,9.40479358891743,4,17.2106109189978,1.13333333333333,0.573687030633261,325,1398.36213716857,325,1398.36213716857,650,2796.72427433715,325,1398.36213716857,650,2796.72427433715,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,11.041055,0
sf_cb,fixed_packet,1,1,1,198,0.9,0.9,self_stable_validated,0.015,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,435.510763888889,36.8853484462038,0,0,435.510763888889,36.8853484462038,435.510763888889,36.8853484462038,429.583333333333,22.9222565055198,595.175,121.872638570154,643.5,241.354785489396,429.583333333333,22.9222565055198,595.175,121.872638570154,643.5,241.354785489396,92.2898740310078,7.67343709410558,0,0,18.2208898578811,36.0933673677009,0,0,0,0,162.5,0,162.5,0,0,0,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,NaN,NaN,0.0056875,0.002825706647116,0.0153121666666667,0.00900031661582997,0.00962466666666667,0.00617474070680674,0.0056875,0.002825706647116,0.0127120127120127,0.0395862293252188,1,0,0,0,0.497297654681621,0.195814871893497,42.3333333333333,16.1628112417508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,10.270723,0
sb_cf,fixed_packet,1,1,1,198,0.07,0.07,self_stable_validated,0.002,0.15,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,348.256104651163,54.7715976683292,0,0,348.256104651163,54.7715976683292,348.256104651163,54.7715976683292,299,42.3215711501284,755,446.206663054067,849.5,508.514578869747,299,42.3215711501284,755,446.206663054067,849.5,508.514578869747,0,0,36.5653746770026,5.77553053866426,0,0,136.929748062016,25.6957165279635,12.2609819121447,27.6036386039101,0,0,162.5,0,0,0,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,NaN,NaN,0.0056875,0.002825706647116,0.0122305,0.00717755160591378,0.0122305,0.00717755160591378,0,0,0.0299699022113075,0.169393730570589,1,0,5.59768788634013e-17,2.40849070644469e-16,0.497297654681621,0.195814871893497,45,17.3889639822523,2.66666666666667,5.73687030633262,1.07545219638243,0.169868545254831,433.333333333333,932.24142477905,NaN,NaN,433.333333333333,932.24142477905,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,25.3590698,0
sb_cb,fixed_packet,1,1,1,198,0.85,0.85,self_stable_validated,0.002,1,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,375.10363372093,47.9165921101542,0,0,375.10363372093,47.9165921101542,375.10363372093,47.9165921101542,361,0,487,503.410369380687,646,846.726638295973,361,0,487,503.410369380687,646,846.726638295973,0,0,35.1333333333333,4.87633976038272,0,0,8.1703003875969,14.1848973524955,6.8,29.2580385622963,162.5,0,162.5,0,0,0,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,NaN,NaN,0.0056875,0.002825706647116,0.013079,0.00569785817309309,0.00733733333333333,0.00306330148719065,0.00574166666666667,0.00268778314615237,0.0114392910899296,0.0692916842445776,1,0,4.85142343031241e-17,2.08739902656042e-16,0.497297654681621,0.195814871893497,43.3333333333333,12.7476046574023,1,4.30265272974946,1.03333333333333,0.143421757658315,9.66666666666667,41.5923097209115,NaN,NaN,9.66666666666667,41.5923097209115,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,19.6932052,0
s7_clean,fixed_packet,1,1,1,198,1,1,self_stable_validated,0.001,1,1,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,285.337209302272,9.89065152497214,0,0,285.337209302272,9.89065152497214,285.337209302272,9.89065152497214,281.899999999907,0,281.900000000023,0,395.899999999946,290.930602351374,281.899999999907,0,281.900000000023,0,395.899999999946,290.930602351374,0,0,34,0,0,0,5.437209302272,9.89065152497218,0,0,83.4,2.49620856803274e-14,162.5,0,0,0,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,NaN,NaN,0.0056875,0.002825706647116,0.0099804999999981,0.00485607147310985,0.0042929999999981,0.00204204768873568,0.0056875,0.002825706647116,0.0106600106600107,0.0433796980318917,1,0,4.72817124425831e-17,2.03436789108309e-16,0.497297654681621,0.195814871893497,42.3333333333333,16.1628112417508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,60.947132,0
s7_busy,fixed_packet,1,1,1,198,0.65,0.65,self_stable_validated,0.01,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,696.48779069762,51.5097649988837,0,0,696.48779069762,51.5097649988837,696.48779069762,51.5097649988837,514.399999999907,129.562726121366,1605.34999999991,591.699662965805,2129.89999999991,1096.72077646886,514.399999999907,129.562726121366,1605.34999999991,591.699662965805,2129.89999999991,1096.72077646886,0,0,57.8955426356589,1.42665446712096,9.15101744186047,1.79761542647297,324.926870154984,46.819013470325,58.6143604651163,3.49949948699672,83.4,2.49620856803274e-14,162.5,0,0,0,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,NaN,NaN,0.0056875,0.002825706647116,0.0244734999999981,0.0141052856944179,0.0187859999999981,0.011280013879968,0.0056875,0.002825706647116,0.00842000842000842,0.125771092461975,1,0,0,0,0.497297654681621,0.195814871893497,71.6666666666667,32.3256224835017,24.6666666666667,13.6815636966388,1.70281007751938,0.0419604255035576,56541.7000000007,3025.92214077815,26566.5000000005,1260.20306117098,56541.7000000007,3025.92214077815,22570.3999999763,1223.59916785757,48006.5999999496,2872.7864671986,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,348.2917634,0
unslotted,fixed_packet,1,1,1,198,0.8,0.8,self_stable_validated,0.0005,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,359.101739710394,119.166174565335,0,0,359.101739710394,119.166174565335,359.101739710394,119.166174565335,329.171766792084,4.23490061645668,706.633939560128,1578.62698128003,847.469029232297,1879.21172703421,329.171766792084,4.23490061645668,706.633939560128,1578.62698128003,847.469029232297,1879.21172703421,0,0,0,0,6.06265490302247,5.77657461776029,4.08053044185468,11.0917799866609,23.9585543655169,103.085339341642,162.5,0,162.5,0,0,0,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,NaN,NaN,0.0056875,0.002825706647116,0.0124376946921037,0.00471851250858294,0.00664186135877038,0.00280365759581562,0.00579583333333333,0.00256366391814239,0.00856160025024378,0.107161132659308,1,0,8.06509976848607e-17,3.47013235345783e-16,0.497297654681621,0.195814871893497,46.6666666666667,10.0395230360821,4.33333333333333,18.644828495581,1.14444444444444,0.621494283186033,53.1666666666667,228.757703465013,NaN,NaN,53.1666666666667,228.757703465013,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,2.9352756,0
sf_cf,fixed_packet,1,1,2,396,0.85,0.85,self_stable_validated,0.02,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,558.180943152455,41.9954522798326,0,0,558.180943152455,41.9954522798326,558.180943152455,41.9954522798326,521.166666666667,32.6815987152846,960.266666666667,149.356460167387,1112,436.013937674191,521.166666666667,32.6815987152846,960.266666666667,149.356460167387,1112,436.013937674191,169.619089147287,25.598385812507,0,0,63.561854005168,27.1911626698785,0,0,0,0,0,0,325,0,0,0,35,17.3889639822523,35,17.3889639822523,70,34.7779279645046,70,34.7779279645046,NaN,NaN,0.011375,0.005651413294232,0.0195913333333333,0.0108246888211197,0.00821633333333333,0.00521350162416635,0.011375,0.005651413294232,0.0162520162520163,0.0704246116948834,1,0,0,0,0.497297654681621,0.195814871893497,42.3333333333333,16.1628112417508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,1.8496448,0
sf_cb,fixed_packet,1,1,2,396,0.9,0.9,self_stable_validated,0.02,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,595.003254198966,29.7460214019362,0,0,595.003254198966,29.7460214019362,595.003254198966,29.7460214019362,585.083333333333,4.13505099408057,742.508333333333,215.985973802999,884.166666666667,255.800856815567,585.083333333333,4.13505099408057,742.508333333333,215.985973802999,884.166666666667,255.800856815567,95.3551195090439,14.5489436275119,0,0,12.1481346899225,15.2749441147988,0,0,0,0,162.5,0,325,0,0,0,35,17.3889639822523,35,17.3889639822523,70,34.7779279645046,70,34.7779279645046,NaN,NaN,0.011375,0.005651413294232,0.0208371666666667,0.0106833030689466,0.00946216666666667,0.00507633622438102,0.011375,0.005651413294232,0.0114360114360114,0.0712471925428847,1,0,0,0,0.497297654681621,0.195814871893497,42.3333333333333,16.1628112417508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,3.0562371,0
sb_cf,fixed_packet,1,1,2,396,0.03,0.03,self_stable_validated,0.001,0.05,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,635.140261627907,152.291067327832,0,0,635.140261627907,152.291067327832,635.140261627907,152.291067327832,557.5,206.829640042234,1228.15,595.001920164968,1510,884.265797144727,557.5,206.829640042234,1228.15,595.001920164968,1510,884.265797144727,0,0,34,0,0,0,276.140261627907,152.291067327832,0,0,0,0,325,0,0,0,35,17.3889639822523,35,17.3889639822523,70,34.7779279645046,70,34.7779279645046,NaN,NaN,0.011375,0.005651413294232,0.022469,0.0160073279442426,0.022469,0.0160073279442426,0,0,0.0253033847286824,0.123192621102625,1,0,3.90835524608946e-17,1.68162953684174e-16,0.497297654681621,0.195814871893497,42.3333333333333,16.1628112417508,0,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,19.6852492,0
