protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded
s7_busy,fixed_packet,1,1,1,198,0.65,0.65,self_stable_validated,0.01,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,696.48779069762,51.5097649988837,0,0,696.48779069762,51.5097649988837,696.48779069762,51.5097649988837,514.399999999907,129.562726121366,1605.34999999991,591.699662965805,2129.89999999991,1096.72077646886,514.399999999907,129.562726121366,1605.34999999991,591.699662965805,2129.89999999991,1096.72077646886,0,0,57.8955426356589,1.42665446712096,9.15101744186047,1.79761542647297,324.926870154984,46.819013470325,58.6143604651163,3.49949948699672,83.4,2.49620856803274e-14,162.5,0,0,0,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,35,17.3889639822523,NaN,NaN,0.0056875,0.002825706647116,0.0244734999999981,0.0141052856944179,0.0187859999999981,0.011280013879968,0.0056875,0.002825706647116,0.00842000842000842,0.125771092461975,1,0,0,0,0.497297654681621,0.195814871893497,71.6666666666667,32.3256224835017,24.6666666666667,13.6815636966388,1.70281007751938,0.0419604255035576,56541.7000000007,3025.92214077815,26566.5000000005,1260.20306117098,56541.7000000007,3025.92214077815,22570.3999999763,1223.59916785757,48006.5999999496,2872.7864671986,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,348.2917634,0
s7_busy,fixed_packet,1,1,2,396,0.85,0.85,self_stable_validated,0.03,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,929.522965116224,190.231665765288,0,0,929.522965116224,190.231665765288,929.522965116224,190.231665765288,712.899999999946,145.894192429337,2349.84999999997,571.954744376977,3024.39999999991,2027.04267345313,712.899999999946,145.894192429337,2349.84999999997,571.954744376977,3024.39999999991,2027.04267345313,0,0,52.7247093023256,13.6276626864001,3.29549418604651,0.901815751691914,419.172151162736,143.745724207927,45.9306104651163,33.4278549425228,83.4,2.49620856803274e-14,325,0,0,0,35,17.3889639822523,35,17.3889639822523,70,34.7779279645046,70,34.7779279645046,NaN,NaN,0.011375,0.005651413294232,0.0328789999999981,0.0232299032698979,0.0215039999999981,0.0175884657386579,0.011375,0.005651413294232,0.0578640578640579,0.178689060402501,1,0,3.93430918842084e-17,1.69279661692373e-16,0.497297654681621,0.195814871893497,65,40.6670870091769,20,24.4659190831082,1.55072674418605,0.400813608423534,37308.8000000003,2604.81000704863,17470.7000000002,1187.10188813791,37308.8000000003,2604.81000704863,14782.8999999844,929.359942137344,31559.3999999664,1888.84950371634,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,214.9070443,0
s7_busy,fixed_packet,1,1,3,594,0.9,0.9,self_stable_validated,0.03,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,1406.16526162785,262.868881121356,0,0,1406.16526162785,262.868881121356,1406.16526162785,262.868881121356,1133.39999999995,91.5009457705243,3744.74999999996,3531.35745805171,4668.89999999995,3524.88899988907,1133.39999999995,91.5009457705243,3744.74999999996,3531.35745805171,4668.89999999995,3524.88899988907,0,0,66.4262919896641,18.0977553791078,1.67267441860465,1.2331588597545,687.626508397878,201.620949550845,79.5397868217054,44.3927293711056,83.4,2.49620856803274e-14,487.5,0,0,0,35,17.3889639822523,35,17.3889639822523,105,52.1668919467569,105,52.1668919467569,NaN,NaN,0.0170625,0.008477119941348,0.0491594999999981,0.0242903355254705,0.0320969999999981,0.0165658104975265,0.0170625,0.008477119941348,0.0448600448600449,0.313906712970396,1,0,3.91187844854499e-17,1.68314544850802e-16,0.497297654681621,0.195814871893497,79.3333333333333,35.3353490797373,33.3333333333333,22.2650442113236,1.95371447028424,0.532286922914936,29904.0000000002,3703.01379897307,13848.4000000001,1614.24710353842,29904.0000000002,3703.01379897307,11765.7999999876,1190.80195494177,25400.5999999731,2925.39115210214,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,179.1998129,0
s7_busy,fixed_packet,1,1,4,792,0.85,0.85,self_stable_validated,0.05,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,1834.33008720925,1003.53038704631,0,0,1834.33008720925,1003.53038704631,1834.33008720925,1003.53038704631,1444.39999999993,968.354988945324,4356.19999999995,5025.02087435405,5647.39999999995,3969.33881337757,1444.39999999993,968.354988945324,4356.19999999995,5025.02087435405,5647.39999999995,3969.33881337757,0,0,64.499515503876,44.4000478158198,3.13299418604651,3.17410286528858,958.484060077465,847.454497792675,74.8135174418605,108.910705524687,83.4,2.49620856803274e-14,650,0,0,0,35,17.3889639822523,35,17.3889639822523,140,69.5558559290092,140,69.5558559290092,NaN,NaN,0.02275,0.011302826588464,0.0628629999999981,0.0216551427944218,0.0401129999999981,0.021717548370491,0.02275,0.011302826588464,0.0241040241040241,0.316148947330143,1,0,6.92523042428041e-17,2.97968615891741e-16,0.497297654681621,0.195814871893497,77.3333333333333,22.4031947253764,29.6666666666667,33.0804079526446,1.89704457364341,1.30588375928882,23852.0000000001,4747.01766170231,11142.8,1892.72725262271,23852.0000000001,4747.01766170231,9300.49999999036,2223.99841046243,19944.8999999793,5288.26286978787,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,168.472937,0
s7_busy,fixed_packet,1,1,5,990,0.6,0.6,self_stable_validated,0.07,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,2391.77863372088,351.593214460152,0,0,2391.77863372088,351.593214460152,2391.77863372088,351.593214460152,1926.39999999995,695.504216654723,5325.84999999995,2488.81476263136,6976.89999999991,1136.12032136362,1926.39999999995,695.504216654723,5325.84999999995,2488.81476263136,6976.89999999991,1136.12032136362,0,0,61.6217054263566,16.9893057415127,11.3494186046512,5.75908115922675,1355.15309108522,293.001893832268,67.7544186046512,41.6737676130047,83.4,2.49620856803274e-14,812.5,0,0,0,35,17.3889639822523,35,17.3889639822523,175,86.9448199112615,175,86.9448199112615,NaN,NaN,0.0284375,0.01412853323558,0.0838174999999981,0.0444976871105424,0.0553799999999981,0.0309795790018557,0.0284375,0.01412853323558,0.0825680825680826,0.323910642668387,1,0,6.85658065316614e-17,2.95014854640926e-16,0.497297654681621,0.195814871893497,74,35.8267435801184,28.6666666666667,23.4791536319062,1.81240310077519,0.499685462985668,20158.5,2236.4910349096,9407.29999999999,777.275376737282,20158.5,2236.4910349096,7849.79999999172,331.632384516934,16838.7999999822,966.487002839774,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,169.2108814,0
s7_busy,fixed_packet,1,1,6,1188,0.8,0.8,self_stable_validated,0.07,0.95,0,0,NaN,NaN,2,1,1,1,1,35,17.3889639822523,35,17.3889639822523,0,0,0,0,2429.80479651157,508.209682096609,0,0,2429.80479651157,508.209682096609,2429.80479651157,508.209682096609,2066.39999999997,229.366099701419,4504.50000000002,2458.50049138777,7049.39999999995,3405.37771541057,2066.39999999997,229.366099701419,4504.50000000002,2458.50049138777,7049.39999999995,3405.37771541057,0,0,57.884011627907,7.13700736425225,3.99316860465116,2.25979846220409,1250.94154069762,489.76973091894,58.5860755813954,17.5066592405481,83.4,2.49620856803274e-14,975,0,0,0,35,17.3889639822523,35,17.3889639822523,210,104.333783893514,210,104.333783893514,NaN,NaN,0.034125,0.016954239882696,0.085052999999998,0.0461466049824803,0.0509279999999981,0.0307955204763474,0.034125,0.016954239882696,-0.0781680781680782,0.176460788430189,1,0,5.89914083587944e-17,2.53819544206732e-16,0.497297654681621,0.195814871893497,72.6666666666667,12.5032189587515,24.3333333333333,8.72400493513513,1.70247093023256,0.209911981301537,17915.7,1279.25875893337,8312.59999999996,365.297750700266,17915.7,1279.25875893337,6933.09999999258,327.1807412377,14951.999999984,977.050016039665,1,0,1,0,1,0,0,0,0,0,1.75,0.869448199112615,162.2017558,0
s7_busy,fixed_packet,5,5,1,198,0.8,0.8,self_stable_validated,0.003,0.95,0,0,NaN,NaN,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,772.329854765618,127.079461170203,2.89851998222625,2.7563787545982,769.431334783392,127.150402779961,772.329854765618,127.079461170203,551.899999999907,97.4529472262225,1871.29999999991,334.104239836798,3424.00999999992,793.755816347002,551.899999999907,97.4529472262225,1871.29999999991,334.104239836798,3424.00999999992,793.755816347002,0.0529573278445539,0.0455012567230413,66.4730545680266,15.105739090758,4.42772511747208,0.601525768034216,372.92310509436,77.6038645612902,79.6544926756889,37.0534894167417,83.4,3.53017201142383e-14,162.5,0,0,0,192,39.978412978425,191.666666666667,40.9945448389503,192,39.978412978425,191.666666666667,40.9945448389503,NaN,NaN,0.0311730333333334,0.00657818315758664,0.148162833333323,0.0347309585470273,0.116989799999989,0.0301311407043904,0.0311730333333334,0.00657818315758664,-0.123760123760124,0.582859513140949,1,0,0.000204222998387145,0.000878700641488069,0.825433585583104,0.138474473130842,438.333333333333,86.9566483338605,182.666666666667,77.5406519611017,1.95508984023608,0.444286443845824,63706.2000000009,3791.64748199148,29645.9000000005,1080.39567205963,63706.2000000009,3791.64748199148,25240.3999999738,1255.53994412123,54183.1999999437,3773.23237807692,1,0,1,0,1,0,0.00186219739292365,0.00801238869599527,1.33333333333333,1.43421757658315,9.6,1.99892064892125,366.8463406,0
s7_busy,fixed_packet,5,5,2,396,0.65,0.65,self_stable_validated,0.005,0.95,0,0,NaN,NaN,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,1223.88581970111,150.56443920179,15.8277245673954,21.6617141971012,1208.05809513371,145.50804573608,1223.88581970111,150.56443920179,876.399999999965,38.7238745677451,2955.09999999991,1157.60063061489,5627.04999999997,1797.5203936749,876.399999999965,38.7238745677451,2955.09999999991,1157.60063061489,5627.04999999997,1797.5203936749,0.0585987379551962,0.0118054467329389,64.6047949567503,11.9055645200437,8.28678935261255,1.88343132551373,651.636150339544,108.147866034324,75.0717617468521,29.2036494403425,83.4,3.53017201142383e-14,325,0,0,0,192,39.978412978425,192,39.978412978425,384,79.9568259568501,384,79.9568259568501,NaN,NaN,0.0624662,0.0127953439531996,0.234797133333323,0.0179817420099478,0.172330933333323,0.00555866255144995,0.0624662,0.0127953439531996,-0.0607080607080609,0.832473613085133,1,0,0.00199802575336329,0.00859681096181828,0.826005138297928,0.137587497581622,438,64.5875805055086,171.333333333333,35.3353490797373,1.90014102813971,0.350163662354227,45559.1000000005,5645.28850858211,21021.8000000003,2545.01297936347,45559.1000000005,5645.28850858211,17675.3999999816,1179.04524346903,38207.6999999602,2410.67319068302,1,0,1,0,1,0,0,0,1.33333333333333,1.43421757658315,9.6,1.99892064892125,340.2589452,0
s7_busy,fixed_packet,5,5,3,594,0.75,0.75,self_stable_validated,0.01,0.95,0,0,NaN,NaN,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,1694.94791281667,147.828226164664,19.3728236830529,38.278107903358,1675.57508913362,110.536227571479,1694.94791281667,147.828226164664,1220.39999999997,42.3215711500138,4373.69999999991,1531.19725705086,6508.22999999995,3729.91897938624,1220.39999999997,42.3215711500138,4373.69999999991,1531.19725705086,6508.22999999995,3729.91897938624,0.089140970761871,0.0456906962495129,71.8807000572364,3.66177215399483,6.65398423462834,1.63727583124137,933.132134907063,105.121594561145,92.9191289639269,8.98211169538731,83.4,3.53017201142383e-14,487.5,0,0,0,192,39.978412978425,191.666666666667,36.1980150877958,576,119.935238935275,575,108.594045263388,NaN,NaN,0.0935307,0.0180360574304749,0.326777166666656,0.0599497357031769,0.233246466666656,0.0438116157396556,0.0935307,0.0180360574304749,-0.123104123104123,0.627102972030611,1,0,0.00735861174135821,0.0242599671218931,0.825836856667371,0.127611543294102,472.666666666667,42.7627790333518,214.333333333333,64.0278162485747,2.11413823697754,0.107699180999848,39008.7000000003,4612.43304992071,17711.0000000002,2504.0624179163,39008.7000000003,4612.43304992071,15174.4999999843,1970.16805308975,33490.6999999653,3626.99310730348,1,0,1,0,1,0,0.00503680056752683,0.0118882121221342,1.33333333333333,1.43421757658315,9.6,1.99892064892125,450.9572295,0
s7_busy,fixed_packet,5,5,4,792,0.75,0.75,self_stable_validated,0.01,0.9,0,0,NaN,NaN,2,1,1,1,1,192,39.978412978425,192,39.978412978425,0,0,0,0,2338.62992731876,394.270352083269,42.4367911972634,80.6740602934298,2296.1931361215,314.213073046689,2338.62992731876,394.270352083269,1622.89999999993,454.398630482738,6115.99999999991,1919.027928205,9918.85999999998,2597.34976774097,1622.89999999993,454.398630482738,6115.99999999991,1919.027928205,9918.85999999998,2597.34976774097,0.0812997160953501,0.0987684860774652,81.1534337791321,17.4504102478449,7.48680599715762,2.27723490087774,1358.4069973003,254.190382268536,115.664599328812,42.8048298432431,83.4,3.53017201142383e-14,650,0,0,0,192,39.978412978425,190.666666666667,38.0270558952041,768,159.9136519137,762.666666666667,152.108223580816,NaN,NaN,0.124047866666667,0.0247214264108877,0.445806266666656,0.098928030575604,0.321758399999989,0.0836901993339005,0.124047866666667,0.0247214264108877,-0.022852022852023,2.20208381448287,1,0,0.00617439233361864,0.0141993835562126,0.823784332835517,0.130996282608114,539,62.0537401505071,266.333333333333,109.593369109205,2.38686569938624,0.513247360230733,35092.7000000003,1471.69071391919,15877.6000000002,664.369290650161,35092.7000000003,1471.69071391919,13314.399999986,1943.18844184027,29547.999999969,4048.81357100765,1,0,1,0,1,0,0.00673966556319498,0.0145720353109359,1.33333333333333,1.43421757658315,9.6,1.99892064892125,399.5269637,0
