load_mode,lambda_base,lambda_effective,M,Tp_us,n_nodes,q_opt,ps_opt,service_cycle_us,capacity_system_pkt_s,capacity_per_node_pkt_s,offered_aggregate_pkt_s,offered_normalized_units_s,rho,theory_stable
fixed_packet,5,5,1,198,40,0.025,0.372546092192698,729.477860456486,1370.84352275507,34.2710880688767,200,200,0.145895572091297,1
fixed_packet,5,5,2,396,40,0.025,0.372546092192698,927.477860456486,1078.19285250412,26.9548213126031,200,400,0.185495572091297,1
fixed_packet,5,5,3,594,40,0.025,0.372546092192698,1125.47786045649,888.511480442988,22.2127870110747,200,600,0.225095572091297,1
fixed_packet,5,5,4,792,40,0.025,0.372546092192698,1323.47786045649,755.584985498047,18.8896246374512,200,800,0.264695572091297,1
fixed_packet,5,5,5,990,40,0.025,0.372546092192698,1521.47786045649,657.255702491768,16.4313925622942,200,1000,0.304295572091297,1
fixed_packet,5,5,6,1188,40,0.025,0.372546092192698,1719.47786045649,581.57189632818,14.5392974082045,200,1200,0.343895572091297,1
fixed_packet,10,10,1,198,40,0.025,0.372546092192698,729.477860456486,1370.84352275507,34.2710880688767,400,400,0.291791144182595,1
fixed_packet,10,10,2,396,40,0.025,0.372546092192698,927.477860456486,1078.19285250412,26.9548213126031,400,800,0.370991144182595,1
fixed_packet,10,10,3,594,40,0.025,0.372546092192698,1125.47786045649,888.511480442988,22.2127870110747,400,1200,0.450191144182595,1
fixed_packet,10,10,4,792,40,0.025,0.372546092192698,1323.47786045649,755.584985498047,18.8896246374512,400,1600,0.529391144182595,1
fixed_packet,10,10,5,990,40,0.025,0.372546092192698,1521.47786045649,657.255702491768,16.4313925622942,400,2000,0.608591144182595,1
fixed_packet,10,10,6,1188,40,0.025,0.372546092192698,1719.47786045649,581.57189632818,14.5392974082045,400,2400,0.687791144182595,1
