protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded
sf_cf,fixed_packet,5,5,1,198,NaN,0.94,validation_failed,0.0032,0.94,0,0,NaN,NaN,2,1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.394378,0
sf_cb,fixed_packet,5,5,1,198,NaN,0.92,validation_failed,0.0028,0.94,0,0,NaN,NaN,2,1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9904102,0
sb_cf,fixed_packet,5,5,1,198,NaN,0.072,validation_failed,0.072,0.072,0,0,NaN,NaN,2,1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,403.0700228,0
sb_cb,fixed_packet,5,5,1,198,0.96,0.96,self_stable_validated,0.0002,0.96,0,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,4553.7486631016,NaN,764.92513368984,NaN,3788.82352941176,NaN,4553.7486631016,NaN,361,NaN,28740.7,NaN,104441.95,NaN,361,NaN,28740.7,NaN,104441.95,NaN,0,NaN,609.272727272727,NaN,0,NaN,412.264705882353,NaN,2442.28609625668,NaN,162.5,NaN,162.5,NaN,0,NaN,187,NaN,187,NaN,187,NaN,187,NaN,NaN,NaN,0.0303875,NaN,0.851551,NaN,0.818726,NaN,0.032825,NaN,-0.0455365571964223,NaN,1,NaN,0,NaN,0.785467205750225,NaN,3406,NaN,3164,NaN,17.9197860962567,NaN,45776.5,NaN,NaN,NaN,45776.5,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,9.35,NaN,125.5247514,0
s7_clean,fixed_packet,5,5,1,198,0.98,0.98,self_stable_validated,0.00014,0.98,1,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,296.145989304761,NaN,0,NaN,296.145989304761,NaN,296.145989304761,NaN,281.899999999907,NaN,317.899999999924,NaN,849.080000000021,NaN,281.899999999907,NaN,317.899999999924,NaN,849.080000000021,NaN,0,NaN,36.1818181818182,NaN,0.0481283422459893,NaN,8.66417112294325,NaN,5.35187165775401,NaN,83.4000000000001,NaN,162.5,NaN,0,NaN,187,NaN,187,NaN,187,NaN,187,NaN,NaN,NaN,0.0303875,NaN,0.0553792999999904,NaN,0.0249917999999904,NaN,0.0303875,NaN,-0.0283800283800284,NaN,1,NaN,0,NaN,0.785467205750225,NaN,238,NaN,12,NaN,1.06417112299465,NaN,320.4,NaN,160.2,NaN,320.4,NaN,160.20000000007,NaN,320.40000000014,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,9.35,NaN,146.573537,0
s7_busy,fixed_packet,5,5,1,198,0.74,0.74,self_stable_validated,0.0024,0.98,0,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,740.274331550751,NaN,0,NaN,740.274331550751,NaN,740.274331550751,NaN,587.900000000023,NaN,1674.64999999991,NaN,2618.74999999998,NaN,587.900000000023,NaN,1674.64999999991,NaN,2618.74999999998,NaN,0,NaN,61.8181818181818,NaN,5.53475935828877,NaN,358.785026737917,NaN,68.2363636363637,NaN,83.4000000000001,NaN,162.5,NaN,0,NaN,187,NaN,187,NaN,187,NaN,187,NaN,NaN,NaN,0.0303875,NaN,0.13843129999999,NaN,0.10804379999999,NaN,0.0303875,NaN,-0.04012804012804,NaN,1,NaN,0,NaN,0.785467205750225,NaN,410,NaN,153,NaN,1.81818181818182,NaN,63706.2000000008,NaN,29370.0000000005,NaN,63706.2000000008,NaN,24964.4999999749,NaN,54067.4999999456,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,9.35,NaN,549.7378581,0
unslotted,fixed_packet,5,5,1,198,0.8,0.8,self_stable_validated,0.00024,0.98,0,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,397.078012632973,NaN,8.9101236399472,NaN,388.167888993026,NaN,397.078012632973,NaN,329.887581694173,NaN,447.906239849674,NaN,2011.15630362775,NaN,329.887581694173,NaN,447.906239849674,NaN,2011.15630362775,NaN,0,NaN,0,NaN,7.08443997087476,NaN,17.863736085225,NaN,38.2197129369261,NaN,162.5,NaN,162.5,NaN,0,NaN,187,NaN,187,NaN,187,NaN,187,NaN,NaN,NaN,0.0303875,NaN,0.074253588362366,NaN,0.043703588362366,NaN,0.03055,NaN,-0.00995933064542094,NaN,1,NaN,1.86897200712904e-16,NaN,0.785467205750225,NaN,283,NaN,52,NaN,1.27807486631016,NaN,783,NaN,NaN,NaN,783,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,9.35,NaN,10.675138,0
sf_cf,fixed_packet,5,5,2,396,NaN,0.84,validation_failed,0.82,0.86,0,0,NaN,NaN,2,1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9253626,0
sf_cb,fixed_packet,5,5,2,396,NaN,0.96,validation_failed,0.0034,0.96,0,0,NaN,NaN,2,1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6531895,0
sb_cf,fixed_packet,5,5,2,396,0.016,0.016,self_stable_validated,0.014,0.016,0,0,NaN,NaN,2,1,1,1,0,187,NaN,6,NaN,181,NaN,181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1148.5,NaN,6571,NaN,6571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,187,NaN,6,NaN,374,NaN,12,NaN,NaN,NaN,0.00195,NaN,94.636611,NaN,94.636611,NaN,0,NaN,163.243363243363,NaN,0.0320855614973262,NaN,NaN,NaN,0.1125,NaN,56232,NaN,9,NaN,2.5,NaN,18257850,NaN,NaN,NaN,18257850,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0.967914438502674,NaN,1,NaN,9.35,NaN,195.0131003,0
