"protocol","load_mode","lambda_base","lambda_effective","M","Tp_us","best_q","q_tuning_best_q","q_selection_mode","q_stable_basin_left","q_stable_basin_right","q_search_boundary_hit","q_refinement_passes","q_preferred_neighbor_radius","q_neighbor_radius_used","q_validation_runs","q_validation_candidates_tested","q_validation_passed","q_validation_selected_rank","stable_fraction","n_arrived","n_arrived_ci95","n_completed","n_completed_ci95","n_censored","n_censored_ci95","final_backlog","final_backlog_ci95","mean_delay_us","mean_delay_us_ci95","mean_queue_delay_us","mean_queue_delay_us_ci95","mean_access_delay_us","mean_access_delay_us_ci95","conditional_mean_delay_us","conditional_mean_delay_us_ci95","p50_delay_us","p50_delay_us_ci95","p95_delay_us","p95_delay_us_ci95","p99_delay_us","p99_delay_us_ci95","conditional_p50_delay_us","conditional_p50_delay_us_ci95","conditional_p95_delay_us","conditional_p95_delay_us_ci95","conditional_p99_delay_us","conditional_p99_delay_us_ci95","mean_boundary_wait_us","mean_boundary_wait_us_ci95","mean_difs_wait_us","mean_difs_wait_us_ci95","mean_probability_wait_us","mean_probability_wait_us_ci95","mean_busy_nav_wait_us","mean_busy_nav_wait_us_ci95","mean_collision_delay_us","mean_collision_delay_us_ci95","mean_control_delay_us","mean_control_delay_us_ci95","mean_data_delay_us","mean_data_delay_us_ci95","mean_other_access_delay_us","mean_other_access_delay_us_ci95","arrival_rate_pkt_s","arrival_rate_pkt_s_ci95","goodput_pkt_s","goodput_pkt_s_ci95","normalized_offered_units_s","normalized_offered_units_s_ci95","normalized_goodput_units_s","normalized_goodput_units_s_ci95","goodput_bit_s","goodput_bit_s_ci95","payload_airtime","payload_airtime_ci95","mean_system_packets","mean_system_packets_ci95","mean_waiting_packets","mean_waiting_packets_ci95","mean_service_packets","mean_service_packets_ci95","backlog_slope_pkt_s","backlog_slope_pkt_s_ci95","completion_ratio","completion_ratio_ci95","little_relative_error","little_relative_error_ci95","jain_fairness","jain_fairness_ci95","attempts_total","attempts_total_ci95","retransmissions_completed_cohort","retransmissions_completed_cohort_ci95","mean_attempts_completed","mean_attempts_completed_ci95","collision_waste_us_total","collision_waste_us_total_ci95","collision_channel_time_us_total","collision_channel_time_us_total_ci95","collision_tx_airtime_us_total","collision_tx_airtime_us_total_ci95","collision_channel_time_us_measure","collision_channel_time_us_measure_ci95","collision_tx_airtime_us_measure","collision_tx_airtime_us_measure_ci95","stability_rate_ok","stability_rate_ok_ci95","stability_censor_ok","stability_censor_ok_ci95","stability_slope_ok","stability_slope_ok_ci95","stability_rate_relative_error","stability_rate_relative_error_ci95","stability_allowed_censored","stability_allowed_censored_ci95","stability_slope_limit_pkt_s","stability_slope_limit_pkt_s_ci95","condition_elapsed_s","timeout_exceeded"
"sf_cf","fixed_packet","16","16","1","162.5","0.5","0.5","boundary_supplement_3seed","0.45","NaN","1","0","NaN","0","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","574.87436762226","NaN","4.73102866779089","NaN","570.143338954469","NaN","574.87436762226","NaN","385.5","NaN","1504.6","NaN","4234.45500000001","NaN","385.5","NaN","1504.6","NaN","4234.45500000001","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","593","NaN","593","NaN","593","NaN","593","NaN","NaN","NaN","0.0963625","NaN","0","NaN","0","NaN","0.0963625","NaN","-0.242389286051246","NaN","1","NaN","1.53527936477042e+15","NaN","0.938731980779498","NaN","1036","NaN","263","NaN","1.44350758853288","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","1","NaN","1","NaN","0","NaN","296","NaN","29.65","NaN","1.4414095","0"
"sf_cb","fixed_packet","16","16","1","162.5","0.35","0.35","boundary_supplement_3seed","0.3","0.45","1","0","NaN","0","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","1010.30860033727","NaN","8.25548060708263","NaN","1002.05311973019","NaN","1010.30860033727","NaN","699","NaN","2249.775","NaN","7472.19000000005","NaN","699","NaN","2249.775","NaN","7472.19000000005","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","593","NaN","595","NaN","593","NaN","595","NaN","NaN","NaN","0.0966875","NaN","0","NaN","0","NaN","0.0966875","NaN","-0.958321695492814","NaN","1","NaN","2.69816508355282e+15","NaN","0.938859128036491","NaN","1082","NaN","299","NaN","1.50421585160202","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","1","NaN","1","NaN","0.00337268128161889","NaN","296","NaN","29.65","NaN","0.7783535","0"
"sb_cf","fixed_packet","16","16","1","162.5","0.009","0.01","self_stable","0.01","0.01","0","0","NaN","NaN","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","2712.93001686341","NaN","193.329679595278","NaN","2519.60033726813","NaN","2712.93001686341","NaN","1251.5","NaN","9260.15","NaN","31967.9600000001","NaN","1251.5","NaN","9260.15","NaN","31967.9600000001","NaN","0","NaN","71.0387858347386","NaN","0","NaN","2109.03794266442","NaN","177.023608768971","NaN","0","NaN","162.5","NaN","0","NaN","593","NaN","600","NaN","593","NaN","600","NaN","NaN","NaN","0.0975","NaN","1.648898","NaN","1.648898","NaN","0","NaN","-4.47169647169647","NaN","1","NaN","0.0243377698317301","NaN","0.940045957802381","NaN","1497","NaN","646","NaN","2.0893760539629","NaN","124637.5","NaN","NaN","NaN","124637.5","NaN","NaN","NaN","NaN","NaN","1","NaN","1","NaN","1","NaN","0.0118043844856661","NaN","296","NaN","29.65","NaN","268.0919678","0"
"sb_cb","fixed_packet","16","16","1","162.5","0.15","0.15","self_stable","0.0001","0.2","0","0","NaN","NaN","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","530.831365935919","NaN","2.92411467116358","NaN","527.907251264755","NaN","530.831365935919","NaN","424","NaN","970.3","NaN","2144.98000000002","NaN","424","NaN","970.3","NaN","2144.98000000002","NaN","0","NaN","42.0657672849916","NaN","0","NaN","133.118887015177","NaN","27.7225969645868","NaN","162.5","NaN","162.5","NaN","0","NaN","593","NaN","594","NaN","593","NaN","594","NaN","NaN","NaN","0.096525","NaN","0.315142","NaN","0.217317","NaN","0.097825","NaN","-0.265338553302559","NaN","1","NaN","0.00113916900952586","NaN","0.939392971246006","NaN","879","NaN","128","NaN","1.21585160202361","NaN","1972","NaN","NaN","NaN","1972","NaN","NaN","NaN","NaN","NaN","1","NaN","1","NaN","1","NaN","0.00168634064080944","NaN","296","NaN","29.65","NaN","156.1409079","0"
"s7_clean","fixed_packet","16","16","1","162.5","0.65","0.65","self_stable","0.0001","0.95","0","0","NaN","NaN","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","324.395784148342","NaN","2.19477234401329","NaN","322.201011804328","NaN","324.395784148342","NaN","281.900000000023","NaN","523.549999999907","NaN","940.069999999911","NaN","281.900000000023","NaN","523.549999999907","NaN","940.069999999911","NaN","0.0514333895448843","NaN","35.4907251264755","NaN","4.84148397976391","NaN","32.260708263013","NaN","3.6566610455312","NaN","83.3999999999998","NaN","162.5","NaN","0","NaN","593","NaN","594","NaN","593","NaN","594","NaN","NaN","NaN","0.096525","NaN","0.192592599999967","NaN","0.0960675999999667","NaN","0.096525","NaN","0.0734760734760734","NaN","1","NaN","0.0011729422625795","NaN","0.939392971246006","NaN","784","NaN","26","NaN","1.04384485666105","NaN","1441.8","NaN","694.2","NaN","1441.8","NaN","320.399999999441","NaN","694.199999998789","NaN","1","NaN","1","NaN","1","NaN","0.00168634064080944","NaN","296","NaN","29.65","NaN","149.9106594","0"
"s7_busy","fixed_packet","16","16","1","162.5","0.4","0.4","self_stable","0.002","0.65","0","0","NaN","NaN","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","1233.36543001681","NaN","22.9001686340632","NaN","1210.46526138274","NaN","1233.36543001681","NaN","884.899999999907","NaN","3403.54999999991","NaN","5032.46000000003","NaN","884.899999999907","NaN","3403.54999999991","NaN","5032.46000000003","NaN","0.123440134908154","NaN","73.2748735244519","NaN","28.9123102866779","NaN","765.915682967904","NaN","96.3389544688026","NaN","83.3999999999998","NaN","162.5","NaN","0","NaN","593","NaN","594","NaN","593","NaN","594","NaN","NaN","NaN","0.096525","NaN","0.732242599999967","NaN","0.635717599999967","NaN","0.096525","NaN","0.647664647664647","NaN","1","NaN","0.00117024057327461","NaN","0.938793103448276","NaN","1542","NaN","685","NaN","2.15514333895447","NaN","88750.7999999993","NaN","40103.3999999998","NaN","88750.7999999993","NaN","34202.6999999643","NaN","75454.1999999212","NaN","1","NaN","1","NaN","1","NaN","0.00168634064080944","NaN","296","NaN","29.65","NaN","481.2954657","0"
"unslotted","fixed_packet","16","16","1","162.5","0.09","0.09","self_stable","0.0001","0.2","0","0","NaN","NaN","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","538.571135686913","NaN","4.2381107145143","NaN","534.333024972399","NaN","538.571135686913","NaN","412.9814935553","NaN","1122.17356024693","NaN","2472.76929686098","NaN","412.9814935553","NaN","1122.17356024693","NaN","2472.76929686098","NaN","0","NaN","0","NaN","120.902519558904","NaN","55.3034533716838","NaN","33.1270520418106","NaN","162.5","NaN","162.5","NaN","0","NaN","593","NaN","594","NaN","593","NaN","594","NaN","NaN","NaN","0.096525","NaN","0.319641055028044","NaN","0.221166055028044","NaN","0.098475","NaN","-0.371460072568121","NaN","1","NaN","0.000839602927980278","NaN","0.939392971246006","NaN","923","NaN","156","NaN","1.26306913996627","NaN","2421.5","NaN","NaN","NaN","2421.5","NaN","NaN","NaN","NaN","NaN","1","NaN","1","NaN","1","NaN","0.00168634064080944","NaN","296","NaN","29.65","NaN","5.2226765","0"
"sf_cf","fixed_packet","16","16","2","325","0.35","0.35","boundary_supplement_3seed","0.3","0.4","1","0","NaN","0","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","1360.7934232715","NaN","29.2529510961214","NaN","1331.54047217538","NaN","1360.7934232715","NaN","894.5","NaN","4100.9","NaN","5875.56000000003","NaN","894.5","NaN","4100.9","NaN","5875.56000000003","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","593","NaN","600","NaN","1186","NaN","600","NaN","NaN","NaN","0.0976","NaN","0","NaN","0","NaN","0.0976","NaN","0.149760268416411","NaN","1","NaN","3.63418197110644e+15","NaN","0.938477580813347","NaN","1023","NaN","210","NaN","1.34064080944351","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","1","NaN","1","NaN","0.0118043844856661","NaN","296","NaN","29.65","NaN","0.9124246","0"
"sf_cb","fixed_packet","16","16","2","325","0.4","0.4","boundary_supplement_3seed","0.35","0.5","1","0","NaN","0","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","768.887858347386","NaN","5.21922428330523","NaN","763.668634064081","NaN","768.887858347386","NaN","604","NaN","1745.475","NaN","3190.93500000002","NaN","604","NaN","1745.475","NaN","3190.93500000002","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","593","NaN","595","NaN","1186","NaN","595","NaN","NaN","NaN","0.0965625","NaN","0","NaN","0","NaN","0.0965625","NaN","-0.148401484498965","NaN","1","NaN","2.05341850189939e+15","NaN","0.939457064005944","NaN","859","NaN","103","NaN","1.16694772344013","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","1","NaN","1","NaN","0.00337268128161889","NaN","296","NaN","29.65","NaN","0.8441837","0"
"sb_cf","fixed_packet","16","16","2","325","0.0075","0.015","self_stable","0.0001","0.015","0","0","NaN","NaN","0","0","1","NaN","1","593","NaN","593","NaN","0","NaN","0","NaN","2421.43591905565","NaN","102.265598650927","NaN","2319.17032040472","NaN","2421.43591905565","NaN","1458.5","NaN","7632.05","NaN","15025.8200000001","NaN","1458.5","NaN","7632.05","NaN","15025.8200000001","NaN","0","NaN","55.672849915683","NaN","0","NaN","1987.00084317032","NaN","113.996627318718","NaN","0","NaN","162.5","NaN","0","NaN","593","NaN","595","NaN","1186","NaN","595","NaN","NaN","NaN","0.0966875","NaN","1.4422435","NaN","1.4422435","NaN","0","NaN","-0.111024111024111","NaN","1","NaN","0.00439038206793791","NaN","0.93925766740953","NaN","1154","NaN","392","NaN","1.63743676222597","NaN","76375","NaN","NaN","NaN","76375","NaN","NaN","NaN","NaN","NaN","1","NaN","1","NaN","1","NaN","0.00337268128161889","NaN","296","NaN","29.65","NaN","516.1346432","0"
