protocol,load_mode,lambda_base,M,hit_side,old_best_q,old_mean_delay_us,new_best_q,new_mean_delay_us,ext_stable_count,selection_source,fallback_log
sf_cf,fixed_packet,16,1,upper,0.2,1041.27403035413,0.5,574.87436762226,6,scan_min_delay,scan q=0.5 comp=1.000 stable=1
sf_cb,fixed_packet,16,1,upper,0.2,1274.19983136594,0.35,1010.30860033727,4,scan_min_delay,scan q=0.45 rejected (0/1 seeds ok) | scan q=0.35 comp=1.000 stable=1
unslotted,fixed_packet,16,1,upper,0.2,487.698353079622,0.25,599.128449441528,5,scan_min_delay,scan q=0.35 rejected (0/1 seeds ok) | scan q=0.25 comp=1.000 stable=1
sf_cf,fixed_packet,16,2,upper,0.2,2120.67959527825,0.35,1360.7934232715,4,scan_min_delay,scan q=0.35 comp=1.000 stable=1
sf_cb,fixed_packet,16,2,upper,0.2,1274.7478920742,0.4,768.887858347386,5,scan_min_delay,scan q=0.5 rejected (0/1 seeds ok) | scan q=0.4 comp=1.000 stable=1
sb_cb,fixed_packet,16,2,upper,0.2,494.787521079258,0.35,510.692242833052,6,scan_min_delay,scan q=0.35 comp=1.000 stable=1
sf_cb,fixed_packet,16,3,upper,0.2,1299.13659359191,0.4,765.599494097808,6,scan_min_delay,scan q=0.5 rejected (0/1 seeds ok) | scan q=0.4 comp=1.000 stable=1
sb_cb,fixed_packet,16,3,upper,0.2,492.451096121417,0.3,661.450252951096,6,scan_min_delay,scan q=0.3 comp=1.000 stable=1
sf_cb,fixed_packet,16,4,upper,0.2,1236.93170320405,0.5,722.850758853288,6,scan_min_delay,scan q=0.5 comp=1.000 stable=1
sf_cb,fixed_packet,16,5,upper,0.2,1289.5455311973,0.4,791.632377740304,4,scan_min_delay,scan q=0.4 comp=1.000 stable=1
sb_cb,fixed_packet,16,5,upper,0.2,526.432546374368,0.35,484.832209106239,6,scan_min_delay,scan q=0.35 comp=1.000 stable=1
sf_cb,fixed_packet,16,6,upper,0.2,1272.82967959528,0.5,865.894603709949,5,scan_min_delay,scan q=0.5 comp=1.000 stable=1
sf_cf,fixed_packet,30,1,upper,0.2,1262.90338164251,0.3,989.845813204509,2,scan_min_delay,scan q=0.3 comp=1.000 stable=1
sf_cb,fixed_packet,30,2,upper,0.2,1962.62157809984,0.25,1789.78542673108,1,scan_min_delay,scan q=0.25 comp=1.000 stable=1
sf_cb,fixed_packet,30,4,upper,0.2,1891.5768921095,0.25,1699.2459742351,1,scan_min_delay,scan q=0.25 comp=1.000 stable=1
sf_cb,fixed_packet,30,5,upper,0.2,2069.2540257649,0.2,2069.2540257649,1,left_fallback,scan q=0.25 rejected (0/1 seeds ok) | left q=0.2 comp=1.000 stable=1
sf_cb,fixed_packet,30,6,upper,0.2,1764.40297906602,0.25,1555.45571658615,1,scan_min_delay,scan q=0.25 comp=1.000 stable=1
