protocol,load_mode,lambda_base,M,hit_side,old_best_q,old_mean_delay_us,new_best_q,new_mean_delay_us,ext_stable_count,selection_source,fallback_log
unslotted,fixed_packet,16,1,full_grid,0.15,496.745641869296,0.2,512.059735450124,62,scan_min_delay,scan q=0.35 rejected (1/3 seeds ok) | scan q=0.25 rejected (2/3 seeds ok) | scan q=0.45 rejected (1/3 seeds ok) | scan q=0.2 comp=1.000 stable=1
unslotted,fixed_packet,16,2,full_grid,0.065,1082.74312676151,0.035,1063.58321354831,51,scan_min_delay,scan q=0.1 rejected (1/3 seeds ok) | scan q=0.055 rejected (2/3 seeds ok) | scan q=0.035 comp=1.000 stable=1
unslotted,fixed_packet,16,3,full_grid,0.04,1439.27608182561,0.02,1878.68473890089,42,scan_min_delay,scan q=0.035 rejected (1/3 seeds ok) | scan q=0.03 rejected (2/3 seeds ok) | scan q=0.02 comp=1.000 stable=1
unslotted,fixed_packet,16,4,full_grid,0.0095,3293.62695476253,0.015,2800.68470053863,39,scan_min_delay,scan q=0.015 comp=1.000 stable=1
unslotted,fixed_packet,16,5,full_grid,0.008,5664.73973789319,0.008,4817.50324206051,37,scan_min_delay,scan q=0.008 comp=1.000 stable=1
unslotted,fixed_packet,16,6,full_grid,0.007,8304.62398154689,0.0075,8915.79258245049,37,scan_min_delay,scan q=0.0075 comp=1.000 stable=1
unslotted,fixed_packet,30,1,full_grid,0.035,1082.55560745529,0.03,1122.16365832965,43,scan_min_delay,scan q=0.06 rejected (1/3 seeds ok) | scan q=0.045 rejected (2/3 seeds ok) | scan q=0.035 rejected (2/3 seeds ok) | scan q=0.03 comp=1.000 stable=1
unslotted,fixed_packet,30,2,full_grid,0.015,2931.57906103107,0.01,3456.43958824473,39,scan_min_delay,scan q=0.01 comp=1.000 stable=1
unslotted,fixed_packet,30,3,full_grid,0.009,119452.352133016,0.006,8041.11992347599,37,scan_min_delay,scan q=0.006 comp=1.000 stable=1
unslotted,fixed_packet,30,4,full_grid,0.0035,15056.4724230387,0.003,15160.2636034723,36,scan_min_delay,scan q=0.003 comp=1.000 stable=1
unslotted,fixed_packet,30,5,full_grid,0.0025,23114.1757670125,0.002,24805.7553489543,33,scan_min_delay,scan q=0.002 comp=1.000 stable=1
unslotted,fixed_packet,30,6,full_grid,0.002,27897.8489253466,0.002,31916.5607628501,32,scan_min_delay,scan q=0.002 comp=1.000 stable=1
