protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded,fixed_M_baseline
sf_cb,fixed_packet,50,50,1,162.5,0.026207413942089,0.026207413942089,self_stable,0.008,0.08,0,1,1,0,0,0,1,NaN,1,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,0,0,0,0,1,0,0,0,165292.15784593,36265.5830157599,144765.231738796,35512.4125529945,20526.9261071339,791.032942333348,165292.15784593,36265.5830157599,144836.416666667,42480.7742486313,378308.333333333,70438.2579513465,467061.933333333,68521.4360106197,144836.416666667,42480.7742486313,378308.333333333,70438.2579513465,467061.933333333,68521.4360106197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,1675,27.6621868476912,2047.66666666667,145.620765714947,1675,27.6621868476912,NaN,NaN,0.2721875,0.00449510536274981,0,0,0,0,0.2721875,0.00449510536274981,4.69037691033141,2.2827477740468,1,0,1.52685236275447e+18,4.47707033246252e+17,0.983034699518002,0.00467596837968036,5809.33333333333,504.942365050499,2984,265.454263126373,2.45708878162264,0.0333235636274181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,20.3333333333333,1.43421757658315,102.383333333333,7.28103828574733,6.4036956,0,0
sb_cb,fixed_packet,50,50,1,162.5,0.00489897948556636,0.00489897948556636,self_stable,0.00457885697021333,0.005,0,1,1,0,0,0,1,NaN,0,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,0,0,0,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,59322.8811568276,77316.2509144808,NaN,NaN,NaN,NaN,NaN,NaN,40178.5,61433.2742816264,187098.25,198558.113112214,254461.12,236133.825753044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,1855,106.644468844112,2047.66666666667,145.620765714947,1855,106.644468844112,NaN,NaN,0.301452833333333,0.0172685229395639,107.026744666667,131.371449005471,106.689541833333,131.370904160161,0.337202833333333,0.00690495573345055,236.484420484421,321.55839901207,1,0,NaN,NaN,0.973339721671228,0.00982252293135018,7217.66666666667,3099.08732728012,4455,2730.04700188085,3.16678980307966,1.16098614355497,62615.8333333333,38140.9814386571,NaN,NaN,62615.8333333333,38140.9814386571,NaN,NaN,NaN,NaN,1,0,1,0,0,0,0,0,20.3333333333333,1.43421757658315,102.383333333333,7.28103828574733,2218.135815,1,0
unslotted,fixed_packet,50,50,1,162.5,0.00326660066636101,0.00326660066636101,self_stable,0.003,0.00326660066636101,0,1,1,0,0,0,1,NaN,0.333333333333333,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,0,0,0,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47545.5645779569,21240.7414855087,NaN,NaN,NaN,NaN,NaN,NaN,34002.7085232334,17856.7327413859,142770.831066089,61529.3653266467,200529.654844846,95012.3423974903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,1923.66666666667,60.9669005523732,2047.66666666667,145.620765714947,1923.66666666667,60.9669005523732,NaN,NaN,0.312585319274393,0.0095998112568592,90.7638002439601,40.8286448753604,90.4263524246857,40.8123093010861,0.337447819274393,0.0164607839367063,145.760573760574,189.694802675169,1,0,NaN,NaN,0.974222955041928,0.0187764825627983,6055.66666666667,1131.39951405278,3303.33333333333,778.706184601947,2.61128352959904,0.267717133865368,47299,12789.6859614086,NaN,NaN,47299,12789.6859614086,NaN,NaN,NaN,NaN,1,0,1,0,0.333333333333333,1.43421757658315,0,0,20.3333333333333,1.43421757658315,102.383333333333,7.28103828574733,102.7674096,0,0
s7_clean,fixed_packet,50,50,1,162.5,0.20800838230519,0.20800838230519,self_stable,0.001,0.355689330449006,0,1,1,0,0,0,1,NaN,1,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,0,0,0,0,1,0,0,0,629.729305396153,102.090144093196,18.0852126788414,14.1774509847214,611.644092717311,90.674689880684,629.729305396153,102.090144093196,446.899999999907,46.5403051128804,1652.89999999991,368.950903550564,3037.0099999999,1064.55061480998,446.899999999907,46.5403051128804,1652.89999999991,368.950903550564,3037.0099999999,1064.55061480998,0.190752626428668,0.0145966773995974,39.8216385400513,2.16634155885799,40.3920508122695,5.26587869925487,271.059513849143,78.4066593080011,14.2801368894201,5.31390841202226,83.4000000000008,7.48862570409823e-14,162.5,0,0,0,2047.66666666667,145.620765714947,2047.66666666667,145.620765714947,2044,146.816531824907,2047.66666666667,145.620765714947,2044,146.816531824907,NaN,NaN,0.3322164,0.0239944904212521,1.28765259999988,0.254281632092376,0.955436199999885,0.239814613877171,0.3322164,0.0239944904212521,0.270744270744271,0.739206144907325,1,0,0.0018510332621785,0.00301754051794302,0.978346566045659,0.0190004056017615,2833.66666666667,256.652824579571,350.666666666667,132.414870787604,1.17122466294269,0.0637159282017059,10617.7,3927.4759062735,5099.69999999998,1832.10009929755,10617.7,3927.4759062735,4476.69999999462,1658.60404016247,9327.19999998872,3562.74653026808,1,0,1,0,1,0,0,0,20.3333333333333,1.43421757658315,102.383333333333,7.28103828574733,75.9825248,0,0
s7_busy,fixed_packet,50,50,1,162.5,NaN,NaN,no_stable_q,NaN,NaN,0,1,1,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102.3082064,0,0
sf_cb,fixed_packet,50,50,2,325,0.224492409661875,0.224492409661875,self_stable,0.004,0.224492409661875,0,1,1,0,0,0,1,NaN,1,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,19.3333333333333,11.4737406126652,0,0,0.990511116749832,0.00617375580980248,19.3333333333333,11.4737406126652,11749.0470191631,1304.89493951267,1225.31628512507,486.299336046366,10523.730734038,818.920786186711,11749.0470191631,1304.89493951267,4357.08333333333,850.796842642321,46495.6833333333,4263.69478317003,77595.9549999998,2964.84856786551,4357.08333333333,850.796842642321,46495.6833333333,4263.69478317003,77595.9549999998,2964.84856786551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2040.66666666667,162.08562332221,4095.33333333333,291.241531429893,2040.66666666667,162.08562332221,NaN,NaN,0.331675,0.0261955089694959,0,0,0,0,0.331675,0.0261955089694959,1.54339140696541,6.47827803644329,1,0,1.07293518831694e+17,1.1963497540903e+16,0.978045472700808,0.0204497386901319,2029,571.670202575594,729.666666666667,623.76264296432,0.855281646255637,0.320214657921691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,19.6666666666667,2.86843515316631,101.416666666667,7.85193191245535,3.3149762,0,0
sb_cb,fixed_packet,50,50,2,325,0.0355689330449006,0.04,self_stable,0.04,0.0421716332650875,0,1,1,0,0,0,1,NaN,1,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,19.3333333333333,11.4737406126652,0,0,0.990511116749832,0.00617375580980248,19.3333333333333,11.4737406126652,10962.3664824405,471.165813290472,687.628804462556,96.2814497126663,10274.7376779779,552.688610437368,10962.3664824405,471.165813290472,3050.83333333333,290.074493698751,45235.9,3049.90524266429,77577.5199999999,3265.57774774784,3050.83333333333,290.074493698751,45235.9,3049.90524266429,77577.5199999999,3265.57774774784,0,0,41.1753861084279,5.92579637333906,0,0,9955.93525044515,561.173137001885,34.7461413258709,12.5715570781068,80.3809000985045,0.24261655913503,162.5,0,0,0,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2043,159.275657407951,4095.33333333333,291.241531429893,2043,159.275657407951,NaN,NaN,0.332009166666667,0.0259754732694916,23.1712456666667,1.28056057923453,22.8266698333333,1.25381042919032,0.344575833333333,0.0324986433976125,4.35066035066035,6.2610492235775,1,0,0.0405933513330523,0.0271791220508535,0.978350557031017,0.0201466472915166,1843.66666666667,249.471418410985,512,191.472075132526,0.74646319833573,0.0744219457051014,8134.5,2341.29979332469,NaN,NaN,8134.5,2341.29979332469,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,19.6666666666667,2.86843515316631,101.416666666667,7.85193191245535,1572.7087974,0,0
unslotted,fixed_packet,50,50,2,325,0.0184201574932019,0.0292401773821287,self_stable,0.025,0.03,0,1,1,0,0,0,1,NaN,1,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,19.3333333333333,11.4737406126652,0,0,0.990511116749832,0.00617375580980248,19.3333333333333,11.4737406126652,11526.5111031137,484.759352767824,1014.54546132933,353.576008790791,10511.9656417844,508.716310751288,11526.5111031137,484.759352767824,3950.99045316811,745.355220836248,46002.2825660355,2883.84628774004,77812.7262236975,3638.42247914468,3950.99045316811,745.355220836248,46002.2825660355,2883.84628774004,77812.7262236975,3638.42247914468,0,0,0,0,760.900032009304,237.232116688355,9469.34760247668,655.256115932007,38.8371071998875,11.2155918676444,80.3809000985045,0.24261655913503,162.5,0,0,0,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2042,163.50080373048,4095.33333333333,291.241531429893,2042,163.50080373048,NaN,NaN,0.331825,0.0265688806062027,24.3092394363164,1.98774498542073,23.963656102983,1.96324534193503,0.345583333333333,0.0280873991451813,4.4001644001644,6.64399409918551,1,0,0.0382605211786205,0.025498295592745,0.9782660562791,0.0196722415905263,1849.66666666667,403.275357845002,566.666666666667,250.692863242877,0.77323208062203,0.101850978796447,8187.66666666667,3752.71209866166,NaN,NaN,8187.66666666667,3752.71209866166,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,19.6666666666667,2.86843515316631,101.416666666667,7.85193191245535,148.0965062,0,0
s7_clean,fixed_packet,50,50,2,325,0.5,0.5,self_stable,0.0005,0.9,0,1,1,0,0,0,1,NaN,1,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,19.3333333333333,11.4737406126652,0,0,0.990511116749832,0.00617375580980248,19.3333333333333,11.4737406126652,10060.2282743961,577.24911491449,264.886805473579,17.7004636992722,9795.34146892245,591.753397474281,10060.2282743961,577.24911491449,1375.89999999993,116.708216044529,44655.6499999999,3591.13437782757,76529.7799999999,3700.02305532938,1375.89999999993,116.708216044529,44655.6499999999,3591.13437782757,76529.7799999999,3700.02305532938,3.1690522753707,0.00467415019795467,19.9293566988795,1.26975834311553,5.15920948334229,0.576748551764532,9513.55226198665,591.647844460123,7.63158847823437,3.2201088996818,41.2539511890171,0.124518283273027,162.5,0,0,0,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2046,154.895498270981,4095.33333333333,291.241531429893,2046,154.895498270981,NaN,NaN,0.3325112,0.0250930030076217,21.3249740666666,1.09941475834728,20.9924628666666,1.08507598751449,0.3325112,0.0250930030076217,4.08939208939209,9.49765864335389,1,0,0.0434093956527013,0.0281104666340223,0.978170026165762,0.0208395155682505,1414.66666666667,70.452060846315,185,65.8647928727551,0.586157549967044,0.0373458336210448,5509.1,2363.99076867041,2581,1335.34378479466,5509.1,2363.99076867041,2303.19999999757,1167.89023281109,4926.79999999471,1930.71908578099,1,0,1,0,1,0,0,0,19.6666666666667,2.86843515316631,101.416666666667,7.85193191245535,95.7796705,0,0
s7_busy,fixed_packet,50,50,2,325,0.20800838230519,0.326660066636101,self_stable,0.326660066636101,0.355689330449006,0,1,1,0,0,0,1,NaN,1,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,2028.33333333333,157.038638249107,19.3333333333333,11.4737406126652,0,0,0.990511116749832,0.00617375580980248,19.3333333333333,11.4737406126652,13460.6406535679,1377.05598491299,2323.31169111636,1349.08829909821,11137.3289624514,329.80148492653,13460.6406535679,1377.05598491299,6738.23333333326,2140.74921293078,48634.8499999999,2506.98909259384,79426.5199999999,6245.60248889478,6738.23333333326,2140.74921293078,48634.8499999999,2506.98909259384,79426.5199999999,6245.60248889478,3.58909755047232,0.195207098733807,58.7700789843011,27.9725369955063,60.2753438905904,28.4463419272184,10665.88884653,371.08002460536,102.905595496004,68.6204247766519,41.2539511890171,0.124518283273027,162.5,0,0,0,2047.66666666667,145.620765714947,2028.33333333333,157.038638249107,2038.66666666667,159.920083317991,4095.33333333333,291.241531429893,2038.66666666667,159.920083317991,NaN,NaN,0.331316666666667,0.0261479358134474,28.2546498,4.58242550247104,27.9233331333334,4.55658424894441,0.331316666666667,0.0261479358134474,3.03413503413503,25.8070433126016,1,0,0.0331714028856259,0.0214673601759348,0.977972913347107,0.0179039122751191,4021,2126.09537781247,2513.66666666667,1841.5107943474,1.72853173483238,0.82272167633842,201371.399999994,64851.6603673678,85644.6999999949,22384.3097732889,201371.399999994,64851.6603673678,55153.2999999388,20420.6214457343,134692.599999847,60342.3813166766,1,0,1,0,1,0,0,0,19.6666666666667,2.86843515316631,101.416666666667,7.85193191245535,556.0577566,0,0
