protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded,fixed_M_baseline
sf_cb,fixed_packet,16,16,1,162.5,0.459192951084223,0.5,self_stable,0.459192951084223,0.5,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,760.080037477693,35.5734437061248,8.21833609954078,5.8475843814701,751.861701378153,35.5157494941918,760.080037477693,35.5734437061248,591.833333333333,43.8141145999396,1764.11666666667,557.602743985102,2877.16666666667,1434.57955029704,591.833333333333,43.8141145999396,1764.11666666667,557.602743985102,2877.16666666667,1434.57955029704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,617,71.0046344942224,616.666666666667,72.0114346728817,617,71.0046344942224,NaN,NaN,0.100220833333333,0.0116638934814548,0,0,0,0,0.100220833333333,0.0116638934814548,0.146646480462111,0.45053497153612,1,0,2.11082963934917e+15,257101992314162,0.946142908846067,0.0168551494568507,930.666666666667,145.026277214238,162.333333333333,185.13632460827,1.26333260647416,0.305509998724614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.000562113546936481,0.0024185793871554,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,6.5226735,0,0
sb_cb,fixed_packet,16,16,1,162.5,0.2,0.2,self_stable,0.0005,0.6,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,505.418559228527,29.2775154498428,2.34163814815656,3.74140850085639,503.07692108037,26.2060211882424,505.418559228527,29.2775154498428,397,0,1014.85,164.568873821171,2082.34,1164.68503880467,397,0,1014.85,164.568873821171,2082.34,1164.68503880467,0,0,41.6628417817949,1.49216652014217,0,0,108.61203027324,13.9511114796881,27.8020490253352,13.483354572705,162.5,0,162.5,0,0,0,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,617.666666666667,70.2766612525745,616.666666666667,72.0114346728817,617.666666666667,70.2766612525745,NaN,NaN,0.100340333333333,0.0114514670851875,0.311838666666667,0.0307251627390162,0.210144166666667,0.0207300995978012,0.1016945,0.0114125794092968,0.0140491190997752,0.699801540205671,1,0,0.000914387797208055,0.0022151067362225,0.945966210128854,0.015887481337605,918.333333333333,126.699141136285,134.333333333333,55.565520473825,1.21826438872328,0.0982390712401107,2218.5,1128.17942176424,NaN,NaN,2218.5,1128.17942176424,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00165860477500666,0.00408618849857984,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,355.3342119,0,0
unslotted,fixed_packet,16,16,1,162.5,0.117446029235066,0.117446029235066,self_stable,0.0004,0.2,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,534.094843620075,122.283350163046,2.88062025296435,2.30030743080868,531.214223367111,120.25870891329,534.094843620075,122.283350163046,400.975572210834,27.3950563687912,1140.84201832974,594.206704982428,2599.6977076011,2496.35320229625,400.975572210834,27.3950563687912,1140.84201832974,594.206704982428,2599.6977076011,2496.35320229625,0,0,0,0,103.153754617659,35.5222630520668,64.4552092630225,34.0022997993385,38.6052594864295,51.0371737540795,162.5,0,162.5,0,0,0,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,617.666666666667,70.2766612525745,616.666666666667,72.0114346728817,617.666666666667,70.2766612525745,NaN,NaN,0.100370833333333,0.0114199574535434,0.331075407744273,0.113136521916648,0.227833741077607,0.0973089706232033,0.103241666666667,0.0160321133169463,0.19714189159618,0.167233382818391,1,0,0.00262441034472182,0.00914568374053392,0.945966210128854,0.015887481337605,959,282.04536823637,188,243.356760375611,1.30067145097958,0.351841216959028,2639,2826.13546956045,NaN,NaN,2639,2826.13546956045,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00165860477500666,0.00408618849857984,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,55.6067371,0,0
s7_clean,fixed_packet,16,16,1,162.5,0.7,0.7,self_stable,0.0009,0.9,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,325.462470084526,12.1978636780973,1.14503568672834,2.28991283644446,324.317434397798,14.1824309317351,325.462470084526,12.1978636780973,281.900000000023,0,527.899999999911,25.8159163785051,966.229999999969,442.395500098674,281.900000000023,0,527.899999999911,25.8159163785051,966.229999999969,442.395500098674,0.0330208620950548,0.0523558899874664,35.7409627688553,2.29267450315782,4.28465767377302,1.38898935660054,34.0883138306469,5.67001297400247,4.27047926242734,5.62379569304004,83.3999999999998,5.58169204413862e-14,162.5,0,0,0,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,617.333333333333,70.6270248430205,616.666666666667,72.0114346728817,617.333333333333,70.6270248430205,NaN,NaN,0.100316666666667,0.0114768915369908,0.200907933333299,0.029547432411937,0.100591266666632,0.018250685441443,0.100316666666667,0.0114768915369908,0.122252122252122,0.249073047512914,1,0,0.000668980064854338,0.00151161663057583,0.945798782437446,0.0158675590927988,791.666666666667,48.0623408084604,32,44.1589978828448,1.05120478731927,0.067431603034053,1228.2,265.305907614936,614.1,132.652953807468,1228.2,265.305907614936,427.199999999604,589.52262173565,854.399999999208,1179.0452434713,1,0,1,0,1,0,0.00111035916097157,0.00238930380225933,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,48.7952856,0,0
s7_busy,fixed_packet,16,16,1,162.5,0.459192951084223,0.459192951084223,self_stable,0.009,0.8,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,1178.49760194331,202.347544697381,25.8402146873954,11.9052883342979,1152.65738725592,190.651988074566,1178.49760194331,202.347544697381,830.899999999946,111.786197028765,3223.24999999994,537.593214457606,5154.70999999991,1982.01324753394,830.899999999946,111.786197028765,3223.24999999994,537.593214457606,5154.70999999991,1982.01324753394,0.131998428193812,0.0293494645449919,74.4039172769298,14.2243871028834,22.8379568879172,3.63788507811192,710.275082283582,139.121746538834,99.1084323792924,34.89158483472,83.3999999999998,5.58169204413862e-14,162.5,0,0,0,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,618.666666666667,67.8644114951153,616.666666666667,72.0114346728817,618.666666666667,67.8644114951153,NaN,NaN,0.100518466666667,0.0110740185291822,0.729908133333299,0.180601927818492,0.629389666666632,0.171860566197954,0.100518466666667,0.0110740185291822,-0.0390160390160391,0.816172457038173,1,0,0.00343096574831845,0.00740075643497102,0.945601032292335,0.0159614314621449,1618.33333333333,293.510445753438,734,301.564496085241,2.18835050814499,0.418364326555395,89355.9999999992,7311.07140526053,40121.1999999998,2557.08425490151,89355.9999999992,7311.07140526053,33517.399999964,3532.98756934035,74475.1999999201,9022.67648038328,1,0,1,0,1,0,0.00333107748291471,0.007167911406778,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,290.035456,0,0
sf_cb,fixed_packet,16,16,2,325,0.489897948556636,0.524148278841779,self_stable,0.427965277573465,0.524148278841779,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,738.136181890942,100.817226860573,3.81347908033647,3.7301664933269,734.322702810605,102.382182349131,738.136181890942,100.817226860573,571.583333333333,35.9896461448238,1613.23333333333,501.024547965284,2903.61,768.65395861716,571.583333333333,35.9896461448238,1613.23333333333,501.024547965284,2903.61,768.65395861716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,617.333333333333,68.9021768270783,1233.33333333333,144.022869345763,617.333333333333,68.9021768270783,NaN,NaN,0.100416666666667,0.0111966037344002,0,0,0,0,0.100416666666667,0.0111966037344002,-0.0323610782943844,0.678166188713772,1,0,2.05033128435483e+15,379143889663178,0.945928576394848,0.0166355095778859,951.666666666667,169.94721821806,174.666666666667,152.654928074815,1.27681228141517,0.236571514303868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00217221545810886,0.0024103723335011,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,3.3215594,0,0
sb_cb,fixed_packet,16,16,2,325,0.326660066636101,0.326660066636101,self_stable,0.0003,0.7,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,521.551111787409,119.265831742559,2.93242250317035,2.45034926685235,518.618689284238,116.850639166724,521.551111787409,119.265831742559,379,0,1117.45,560.514986761833,2938.15,3050.45455757512,379,0,1117.45,560.514986761833,2938.15,3050.45455757512,0,0,43.1152084665567,6.9306040870787,0,0,103.136182721451,55.436245938317,47.8037448441775,56.2909496123755,162.063553252053,0.351919128690929,162.5,0,0,0,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,617.666666666667,70.2766612525745,1233.33333333333,144.022869345763,617.666666666667,70.2766612525745,NaN,NaN,0.100337333333333,0.0114546429246546,0.321242333333333,0.0394740350805965,0.218684166666667,0.0479838725080961,0.102558166666667,0.00910511029149169,-0.105762043019509,0.968644403128761,1,0,0.00164385361602512,0.00176042202978119,0.945966210128854,0.015887481337605,1014,191.568737524109,216.666666666667,218.29809202111,1.35354616107354,0.38858187729408,3547.66666666667,3227.02452609564,NaN,NaN,3547.66666666667,3227.02452609564,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00165860477500666,0.00408618849857984,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,689.3371991,0,0
unslotted,fixed_packet,16,16,2,325,0.2,0.2,self_stable,0.0007,0.249804953296681,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,625.207324733174,484.147315505226,15.7556753740267,52.6443665435105,609.451649359147,431.520319551144,625.207324733174,484.147315505226,372.584875146461,13.2469675127933,1703.1270052077,2789.61509522501,6579.19436541317,14650.3053197914,372.584875146461,13.2469675127933,1703.1270052077,2789.61509522501,6579.19436541317,14650.3053197914,0,0,0,0,76.4539105080328,61.1376538751422,101.134724564838,166.062987380356,107.477640858784,205.365606959027,161.885373427492,1.01742949497703,162.5,0,0,0,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,617.666666666667,70.2766612525745,1233.33333333333,144.022869345763,617.666666666667,70.2766612525745,NaN,NaN,0.100354431801061,0.0114367255583648,0.385048798662935,0.286755789135182,0.278356866861874,0.280916500356274,0.106691931801061,0.0113941561132201,-0.185574187510144,0.656282018128115,1,0,0.00158162446024658,0.00168315568595424,0.945966210128854,0.015887481337605,1275.33333333333,816.810519338129,479.666666666667,915.516250919668,1.78018036711881,1.51282822879303,6848.83333333333,11142.7808252033,NaN,NaN,6848.83333333333,11142.7808252033,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00165860477500666,0.00408618849857984,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,57.4247387,0,0
s7_clean,fixed_packet,16,16,2,325,0.692820323027551,0.692820323027551,self_stable,0.0003,0.9,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,327.272948592202,19.1813377693123,1.07505177375844,2.0736203524032,326.197896818443,21.0110899718332,327.272948592202,19.1813377693123,281.900000000023,0,527.449999999913,52.6266494351276,958.699999999941,740.324427542024,281.900000000023,0,527.449999999913,52.6266494351276,958.699999999941,740.324427542024,0.0327398053215866,0.0514470445160477,36.38742245126,5.08975221941232,4.32620056041321,0.31133526263387,33.5598880801267,3.94713659489039,5.9916459213217,12.4885946721007,83.264560915004,0.0155267286350467,162.5,0,0,0,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,617.333333333333,70.6270248430205,1233.33333333333,144.022869345763,617.333333333333,70.6270248430205,NaN,NaN,0.100316666666667,0.0114768915369908,0.202078933333299,0.0237045694244708,0.101762266666632,0.0146855368830722,0.100316666666667,0.0114768915369908,0.0892400892400892,0.27818893298313,1,0,0.00144816201853039,0.00153036183923654,0.945798782437446,0.0158675590927988,802.666666666667,49.0787494413177,44,90.389848911948,1.07021830739,0.149698594688598,1566.4,1791.22425230659,756.5,829.302020082444,1566.4,1791.22425230659,560.699999999197,1150.7213663928,1174.7999999983,2413.40896594532,1,0,1,0,1,0,0.00111035916097157,0.00238930380225933,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,59.7322215,0,0
s7_busy,fixed_packet,16,16,2,325,0.528840463202608,0.528840463202608,self_stable,0.004,0.761166261102025,0,1,1,0,0,0,1,NaN,1,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,0,0,0,0,1,0,0,0,1109.96595200552,186.408004893442,20.3946467657846,16.8671333553567,1089.57130523973,169.889471411009,1109.96595200552,186.408004893442,767.899999999907,22.357239405753,3068.14999999991,1176.46692114075,5268.59666666665,2005.3894720293,767.899999999907,22.357239405753,3068.14999999991,1176.46692114075,5268.59666666665,2005.3894720293,0.111820344931757,0.00319353461932784,77.5134502994254,16.8230827911581,17.2072490262275,3.56482149147678,640.976503788444,108.862921477664,107.862281780704,41.2130280238705,82.273652189063,0.0735527232481215,162.5,0,0,0,616.666666666667,72.0114346728817,616.666666666667,72.0114346728817,617.666666666667,69.6149769391975,1233.33333333333,144.022869345763,617.666666666667,69.6149769391975,NaN,NaN,0.100392033333333,0.0112883456138775,0.687504899999965,0.142436447969046,0.587112866666632,0.136069523031766,0.100392033333333,0.0112883456138775,0.186020186020186,1.22746691958527,1,0,0.00424073442060821,0.00497187160491819,0.94652928958984,0.0160861777524068,1705.33333333333,258.306527420935,797.333333333333,306.932614151102,2.27980736174781,0.49479655268112,91981.4999999991,6122.54818757868,40628.4999999998,2420.99212095833,91981.4999999991,6122.54818757868,33619.2999999649,2599.32321644938,76067.3999999211,7891.55838279925,1,0,1,0,1,0,0.00167247270790805,0.00418952731623379,5.66666666666667,1.43421757658315,30.8333333333333,3.60057173364409,242.2987215,0,0
