protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded
s7_busy,fixed_packet,10,10,1,162.5,0.7,0.7,self_stable,0.0015,0.9,0,0,NaN,NaN,0,0,1,NaN,1,376,NaN,376,NaN,0,NaN,0,NaN,1000.89468085101,NaN,9.8438829787226,NaN,991.05079787229,NaN,1000.89468085101,NaN,677.899999999907,NaN,2954.89999999999,NaN,5483.54000000003,NaN,677.899999999907,NaN,2954.89999999999,NaN,5483.54000000003,NaN,0.113563829788039,NaN,83.0106382978723,NaN,9.33510638297872,NaN,532.471276595693,NaN,120.220212765957,NaN,83.3999999999999,NaN,162.5,NaN,0,NaN,376,NaN,377,NaN,376,NaN,377,NaN,NaN,NaN,0.0612625,NaN,0.376679299999981,NaN,0.315416799999981,NaN,0.0612625,NaN,0.285984285984286,NaN,1,NaN,0.000910323450213623,NaN,0.912721551502697,NaN,1107,NaN,542,NaN,2.44148936170213,NaN,80206.8,NaN,35804.7000000003,NaN,80206.8,NaN,30197.6999999706,NaN,67711.1999999348,NaN,1,NaN,1,NaN,1,NaN,0.00265957446808511,NaN,188,NaN,18.8,NaN,131.8873902,0
s7_busy,fixed_packet,16,16,1,162.5,0.4,0.4,self_stable,0.002,0.65,0,0,NaN,NaN,0,0,1,NaN,1,593,NaN,593,NaN,0,NaN,0,NaN,1233.36543001681,NaN,22.9001686340632,NaN,1210.46526138274,NaN,1233.36543001681,NaN,884.899999999907,NaN,3403.54999999991,NaN,5032.46000000003,NaN,884.899999999907,NaN,3403.54999999991,NaN,5032.46000000003,NaN,0.123440134908154,NaN,73.2748735244519,NaN,28.9123102866779,NaN,765.915682967904,NaN,96.3389544688026,NaN,83.3999999999998,NaN,162.5,NaN,0,NaN,593,NaN,594,NaN,593,NaN,594,NaN,NaN,NaN,0.096525,NaN,0.732242599999967,NaN,0.635717599999967,NaN,0.096525,NaN,0.647664647664647,NaN,1,NaN,0.00117024057327461,NaN,0.938793103448276,NaN,1542,NaN,685,NaN,2.15514333895447,NaN,88750.7999999993,NaN,40103.3999999998,NaN,88750.7999999993,NaN,34202.6999999643,NaN,75454.1999999212,NaN,1,NaN,1,NaN,1,NaN,0.00168634064080944,NaN,296,NaN,29.65,NaN,162.4430901,0
s7_busy,fixed_packet,20,20,1,162.5,0.5,0.5,self_stable,0.0025,0.5,0,0,NaN,NaN,0,0,1,NaN,1,815,NaN,815,NaN,0,NaN,0,NaN,1318.79938650301,NaN,45.2503067484645,NaN,1273.54907975455,NaN,1318.79938650301,NaN,857.899999999907,NaN,3791.89999999991,NaN,6668.74999999991,NaN,857.899999999907,NaN,3791.89999999991,NaN,6668.74999999991,NaN,0.224539877302328,NaN,85.6466257668712,NaN,23.3006134969325,NaN,791.791165644116,NaN,126.686134969325,NaN,83.3999999999998,NaN,162.5,NaN,0,NaN,815,NaN,815,NaN,815,NaN,815,NaN,NaN,NaN,0.1324375,NaN,1.07482149999995,NaN,0.942383999999953,NaN,0.1324375,NaN,-1.00728100728101,NaN,1,NaN,0,NaN,0.944951061287202,NaN,2452,NaN,1238,NaN,2.51901840490798,NaN,111392.399999998,NaN,48674.0999999989,NaN,111392.399999998,NaN,40931.0999999561,NaN,93743.6999998987,NaN,1,NaN,1,NaN,1,NaN,0,NaN,407,NaN,40.75,NaN,175.117303,0
s7_busy,fixed_packet,5,5,1,162.5,0.7,0.7,self_stable,0.00085,0.95,0,0,NaN,NaN,0,0,1,NaN,1,187,NaN,187,NaN,0,NaN,0,NaN,775.311764705831,NaN,4.07379679144348,NaN,771.237967914387,NaN,775.311764705831,NaN,578.899999999907,NaN,1878.05000000001,NaN,2588.23999999995,NaN,578.899999999907,NaN,1878.05000000001,NaN,2588.23999999995,NaN,0.0652406417116035,NaN,64,NaN,8.0855614973262,NaN,379.598930481232,NaN,73.5882352941177,NaN,83.4000000000001,NaN,162.5,NaN,0,NaN,187,NaN,187,NaN,187,NaN,187,NaN,NaN,NaN,0.0303875,NaN,0.14498329999999,NaN,0.11459579999999,NaN,0.0303875,NaN,-0.204624204624205,NaN,1,NaN,0,NaN,0.785467205750225,NaN,422,NaN,165,NaN,1.88235294117647,NaN,64640.7000000009,NaN,29930.7000000006,NaN,64640.7000000009,NaN,25498.499999974,NaN,54975.2999999439,NaN,1,NaN,1,NaN,1,NaN,0,NaN,93,NaN,9.35,NaN,101.1948684,0
s7_clean,fixed_packet,10,10,1,162.5,0.95,0.95,self_stable,0.0001,0.95,1,0,NaN,NaN,0,0,1,NaN,1,376,NaN,376,NaN,0,NaN,0,NaN,301.671276595694,NaN,1.54734042553173,NaN,300.123936170162,NaN,301.671276595694,NaN,281.899999999907,NaN,452.899999999907,NaN,609.859999999907,NaN,281.899999999907,NaN,452.899999999907,NaN,609.859999999907,NaN,0.0324468085108241,NaN,34.5425531914894,NaN,0.502659574468085,NaN,17.8154255318642,NaN,1.33085106382979,NaN,83.3999999999999,NaN,162.5,NaN,0,NaN,376,NaN,377,NaN,376,NaN,377,NaN,NaN,NaN,0.0611009,NaN,0.113429299999981,NaN,0.0523283999999809,NaN,0.0611009,NaN,-0.0232320232320232,NaN,1,NaN,7.93445785207093e-06,NaN,0.912721551502697,NaN,459,NaN,6,NaN,1.01595744680851,NaN,160.2,NaN,80.1,NaN,160.2,NaN,80.0999999999767,NaN,160.199999999953,NaN,1,NaN,1,NaN,1,NaN,0.00265957446808511,NaN,188,NaN,18.8,NaN,30.5232646,0
s7_clean,fixed_packet,16,16,1,162.5,0.65,0.65,self_stable,0.0001,0.95,0,0,NaN,NaN,0,0,1,NaN,1,593,NaN,593,NaN,0,NaN,0,NaN,324.395784148342,NaN,2.19477234401329,NaN,322.201011804328,NaN,324.395784148342,NaN,281.900000000023,NaN,523.549999999907,NaN,940.069999999911,NaN,281.900000000023,NaN,523.549999999907,NaN,940.069999999911,NaN,0.0514333895448843,NaN,35.4907251264755,NaN,4.84148397976391,NaN,32.260708263013,NaN,3.6566610455312,NaN,83.3999999999998,NaN,162.5,NaN,0,NaN,593,NaN,594,NaN,593,NaN,594,NaN,NaN,NaN,0.096525,NaN,0.192592599999967,NaN,0.0960675999999667,NaN,0.096525,NaN,0.0734760734760734,NaN,1,NaN,0.0011729422625795,NaN,0.939392971246006,NaN,784,NaN,26,NaN,1.04384485666105,NaN,1441.8,NaN,694.2,NaN,1441.8,NaN,320.399999999441,NaN,694.199999998789,NaN,1,NaN,1,NaN,1,NaN,0.00168634064080944,NaN,296,NaN,29.65,NaN,34.9394161,0
s7_clean,fixed_packet,20,20,1,162.5,0.55,0.55,self_stable,0.00015,0.9,0,0,NaN,NaN,0,0,1,NaN,1,815,NaN,815,NaN,0,NaN,0,NaN,344.701226993808,NaN,4.26895705521424,NaN,340.432269938594,NaN,344.701226993808,NaN,290.899999999907,NaN,560.899999999994,NaN,1113.04999999991,NaN,290.899999999907,NaN,560.899999999994,NaN,1113.04999999991,NaN,0.0598773006139826,NaN,36.9619631901841,NaN,7.4760736196319,NaN,42.7688343557714,NaN,7.26552147239264,NaN,83.3999999999998,NaN,162.5,NaN,0,NaN,815,NaN,815,NaN,815,NaN,815,NaN,NaN,NaN,0.1324375,NaN,0.280931499999954,NaN,0.148493999999954,NaN,0.1324375,NaN,-0.24010824010824,NaN,1,NaN,0,NaN,0.944951061287202,NaN,1039,NaN,71,NaN,1.08711656441718,NaN,1949.1,NaN,961.200000000001,NaN,1949.1,NaN,934.499999999069,NaN,1895.69999999815,NaN,1,NaN,1,NaN,1,NaN,0,NaN,407,NaN,40.75,NaN,38.8302645,0
s7_clean,fixed_packet,5,5,1,162.5,0.95,0.95,self_stable,0.0001,0.95,1,0,NaN,NaN,0,0,1,NaN,1,187,NaN,187,NaN,0,NaN,0,NaN,294.220855614922,NaN,0,NaN,294.220855614922,NaN,294.220855614922,NaN,281.899999999907,NaN,317.899999999924,NaN,713.000000000022,NaN,281.899999999907,NaN,317.899999999924,NaN,713.000000000022,NaN,0,NaN,35.4545454545455,NaN,0.481283422459893,NaN,8.81711229941384,NaN,3.56791443850267,NaN,83.4000000000001,NaN,162.5,NaN,0,NaN,187,NaN,187,NaN,187,NaN,187,NaN,NaN,NaN,0.0303875,NaN,0.0550192999999904,NaN,0.0246317999999904,NaN,0.0303875,NaN,-0.0283800283800284,NaN,1,NaN,0,NaN,0.785467205750225,NaN,234,NaN,8,NaN,1.0427807486631,NaN,213.6,NaN,106.8,NaN,213.6,NaN,106.800000000047,NaN,213.600000000093,NaN,1,NaN,1,NaN,1,NaN,0,NaN,93,NaN,9.35,NaN,23.5081064,0
sb_cb,fixed_packet,10,10,1,162.5,0.2,0.2,self_stable,0.0001,0.2,1,0,NaN,NaN,0,0,1,NaN,1,376,NaN,376,NaN,0,NaN,0,NaN,454.662234042553,NaN,2.35106382978723,NaN,452.311170212766,NaN,454.662234042553,NaN,397,NaN,784.9,NaN,1188.64,NaN,397,NaN,784.9,NaN,1188.64,NaN,0,NaN,38.1436170212766,NaN,0,NaN,73.9747340425532,NaN,15.1928191489362,NaN,162.5,NaN,162.5,NaN,0,NaN,376,NaN,377,NaN,376,NaN,377,NaN,NaN,NaN,0.061234,NaN,0.171087,NaN,0.108878,NaN,0.062209,NaN,0.038805189398215,NaN,1,NaN,0.000783227246956199,NaN,0.912721551502697,NaN,497,NaN,39,NaN,1.10372340425532,NaN,536.5,NaN,NaN,NaN,536.5,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0.00265957446808511,NaN,188,NaN,18.8,NaN,26.5756861,0
sb_cb,fixed_packet,16,16,1,162.5,0.15,0.15,self_stable,0.0001,0.2,0,0,NaN,NaN,0,0,1,NaN,1,593,NaN,593,NaN,0,NaN,0,NaN,530.831365935919,NaN,2.92411467116358,NaN,527.907251264755,NaN,530.831365935919,NaN,424,NaN,970.3,NaN,2144.98000000002,NaN,424,NaN,970.3,NaN,2144.98000000002,NaN,0,NaN,42.0657672849916,NaN,0,NaN,133.118887015177,NaN,27.7225969645868,NaN,162.5,NaN,162.5,NaN,0,NaN,593,NaN,594,NaN,593,NaN,594,NaN,NaN,NaN,0.096525,NaN,0.315142,NaN,0.217317,NaN,0.097825,NaN,-0.265338553302559,NaN,1,NaN,0.00113916900952586,NaN,0.939392971246006,NaN,879,NaN,128,NaN,1.21585160202361,NaN,1972,NaN,NaN,NaN,1972,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0.00168634064080944,NaN,296,NaN,29.65,NaN,38.3761557,0
