protocol,M,q,stage,n_runs,mean_throughput,se_throughput,mean_completed_pkt_s,mean_collision_fraction,mean_jain_fairness,selected
sf_cf,1,0.025,coarse,1,0.371032,0,1874,0.263736,0.981629025044723,1
sf_cb,1,0.025,coarse,1,0.264706,0,1337,0.200376,0.970934994677037,1
sb_cf,1,1e-05,coarse,1,0.008118,0,41,0.000315,0.560333333333333,0
sb_cf,1,1.94876784266975e-05,coarse,1,0.01485,0,75,0.001575,0.76844262295082,0
sb_cf,1,3.79769610462371e-05,coarse,1,0.027126,0,137,0.00333,0.758037156704362,0
sb_cf,1,7.40082804492285e-05,coarse,1,0.059004,0,298,0.005715,0.892323151125402,0
sb_cf,1,0.000144224957030741,coarse,1,0.104148,0,526,0.019449,0.939796195652174,0
sb_cf,1,0.000281060958371934,coarse,1,0.152658,0,771,0.062496,0.961069973485093,0
sb_cf,1,0.000347269868289047,fine,1,0.165924,0,838,0.088398,0.960925013683634,0
sb_cf,1,0.000429075465052332,fine,1,0.185724,0,938,0.118566,0.95793484888076,0
sb_cf,1,0.000530151825774404,fine,1,0.190476,0,962,0.167274,0.954065979381443,0
sb_cf,1,0.000547722557505166,coarse,1,0.191664,0,968,0.176004,0.956381154568466,0
sb_cf,1,0.000655038521807941,fine,1,0.194238,0,981,0.219796,0.953021390374332,1
sb_cf,1,0.000809344501314453,fine,1,0.192258,0,971,0.291031,0.941447657466949,0
sb_cf,1,0.001,coarse,1,0.177012,0,894,0.388393,0.939305189921023,0
sb_cf,1,0.0010673841067709,coarse,1,0.172656,0,872,0.414772,0.943030062506201,0
sb_cf,1,0.0020800838230519,coarse,1,0.064152,0,324,0.74602,0.895088676671214,0
sb_cf,1,0.003,coarse,1,0.02178,0,110,0.880228,0.752487562189055,0
sb_cf,1,0.0040536004644211,coarse,1,0.007128,0,36,0.943534,0.45,0
sb_cf,1,0.00789952623209501,coarse,1,0,0,0,0.993943,NaN,0
sb_cf,1,0.01,coarse,1,0,0,0,0.997498,NaN,0
sb_cf,1,0.0153943426934329,coarse,1,0,0,0,0.999811,NaN,0
sb_cf,1,0.03,coarse,1,0,0,0,0.999991,NaN,0
sb_cf,1,0.03,coarse,1,0,0,0,0.999991,NaN,0
sb_cb,1,1e-05,coarse,1,0.009306,0,47,0,0.606868131868132,0
sb_cb,1,1.77827941003892e-05,coarse,1,0.015048,0,76,0,0.76,0
sb_cb,1,3.16227766016838e-05,coarse,1,0.025146,0,127,1.8e-05,0.81790060851927,0
sb_cb,1,5.62341325190349e-05,coarse,1,0.044946,0,227,0.000126,0.910406360424028,0
sb_cb,1,0.0001,coarse,1,0.071478,0,361,0.000324,0.913892005610098,0
sb_cb,1,0.000177827941003892,coarse,1,0.113652,0,574,0.000927,0.941790532815001,0
sb_cb,1,0.000316227766016838,coarse,1,0.166914,0,843,0.002754,0.963200054215234,0
sb_cb,1,0.000562341325190349,coarse,1,0.228888,0,1156,0.00657,0.962611652163891,0
sb_cb,1,0.001,coarse,1,0.284724,0,1438,0.015399,0.97129302570269,0
sb_cb,1,0.001200936955176,fine,1,0.29502,0,1490,0.021186,0.971546352051533,0
sb_cb,1,0.00144224957030741,fine,1,0.31086,0,1570,0.025947,0.972270432313032,0
sb_cb,1,0.00173205080756888,fine,1,0.32274,0,1630,0.034506,0.97285283262054,0
sb_cb,1,0.00177827941003892,coarse,1,0.323136,0,1632,0.037683,0.968743271161288,0
sb_cb,1,0.0020800838230519,fine,1,0.3267,0,1650,0.047763,0.972099234460695,0
sb_cb,1,0.00249804953296681,fine,1,0.328453,0,1659,0.063774,0.978053261503035,1
sb_cb,1,0.003,coarse,1,0.320335,0,1618,0.081342,0.978092775801775,0
sb_cb,1,0.00316227766016838,coarse,1,0.318355,0,1608,0.089595,0.981112831253984,0
sb_cb,1,0.00562341325190349,coarse,1,0.268884,0,1358,0.185652,0.967679036185039,0
sb_cb,1,0.01,coarse,1,0.157014,0,793,0.333457,0.937740829108261,0
s7_clean,1,0.001,coarse,1,0.319984,0,1617,0.002079,0.970603367633302,0
s7_clean,1,0.003,coarse,1,0.41623,0,2103,0.007938,0.986159324634088,0
s7_clean,1,0.005,coarse,1,0.437976,0,2212,0.015687,0.985876398336503,0
s7_clean,1,0.00600468477588001,fine,1,0.442926,0,2237,0.019278,0.985188998700634,0
