protocol,study_type,M,Tp_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cf,saturation_throughput,1,198,0.025,fixed_theoretical_q,0,3,0.368537333333333,0.00652057578158386,1861.33333333333,32.9981844618424,1861.33333333333,32.9981844618424,NaN,0.97752427134691,0.263993333333333,NaN,NaN,0.6422315,0
sf_cb,saturation_throughput,1,198,0.025,fixed_theoretical_q,0,3,0.271253333333333,0.00597060926594412,1370,30.1738164639477,1370,30.1738164639477,NaN,0.979927411909226,0.193564666666667,NaN,NaN,0.4677737,0
sb_cf,saturation_throughput,1,198,0.000655038521807941,maximum_payload_airtime,0,3,0.200244,0.00537894995314141,1011.33333333333,27.1664139047546,1011.33333333333,27.1664139047546,NaN,0.960473283366355,0.232781333333333,NaN,NaN,19.6227197,0
sb_cb,saturation_throughput,1,198,0.00249804953296681,maximum_payload_airtime,0,3,0.327137333333333,0.00424988768512508,1652.33333333333,21.6587636868877,1652.33333333333,21.6587636868877,NaN,0.974122324447626,0.061683,NaN,NaN,92.1687122,0
s7_clean,saturation_throughput,1,198,0.0104004191152595,maximum_payload_airtime,0,3,0.448615666666667,0.000809538001688483,2266,4.08006535895362,2266,4.08006535895362,NaN,0.978750542460135,0.033663,0,0,14.8362285,0
s7_busy,saturation_throughput,1,198,0.0292401773821287,maximum_payload_airtime,0,3,0.194304,0.00357324073143694,981.333333333333,18.0466703607926,981.333333333333,18.0466703607926,NaN,0.970440398032996,0.150549,1373,0.271854,89.8360867,0
sf_cf,saturation_throughput,2,396,0.025,fixed_theoretical_q,0,3,0.375929333333333,0.0122864351268616,949.333333333333,31.0384907995075,1898.66666666667,62.076981599015,NaN,0.965159492074148,0.252106666666667,NaN,NaN,0.2864999,0
sf_cb,saturation_throughput,2,396,0.025,fixed_theoretical_q,0,3,0.416512666666667,0.0162370602499399,1052,40.6591752662709,2104,81.3183505325418,NaN,0.972409874420663,0.161832,NaN,NaN,0.3212343,0
sb_cf,saturation_throughput,2,396,0.000281060958371934,maximum_payload_airtime,0,3,0.19536,0.00206976,493.333333333333,5.22666666666667,986.666666666667,10.4533333333333,NaN,0.922303378730147,0.191731,NaN,NaN,14.153477,0
sb_cb,saturation_throughput,2,396,0.00144224957030741,maximum_payload_airtime,0,3,0.454900666666667,0.00428784234544342,1149,11.1450317780316,2298,22.2900635560631,NaN,0.967448970596168,0.036327,NaN,NaN,75.2977154,0
s7_clean,saturation_throughput,2,396,0.009,maximum_payload_airtime,0,3,0.619403333333333,0.00352046143228099,1564.33333333333,8.78970104408816,3128.66666666667,17.5794020881763,NaN,0.978031198806691,0.020286,0,0,14.4596167,0
