protocol,M,q,stage,n_runs,mean_throughput,se_throughput,mean_completed_pkt_s,mean_collision_fraction,mean_jain_fairness,selected
sf_cf,0.1,0.025,coarse,1,0.374184,0,20788,0.26026,0.998739927341332,1
sf_cb,0.1,0.025,coarse,1,0.032742,0,1819,0.252054,0.974047372325518,1
sb_cf,0.1,1e-05,coarse,1,0.00072,0,40,0,0.416666666666667,0
sb_cf,0.1,1.94876784266975e-05,coarse,1,0.0018,0,100,0,0.730994152046784,0
sb_cf,0.1,3.79769610462371e-05,coarse,1,0.003564,0,198,2.7e-05,0.832003395585739,0
sb_cf,0.1,7.40082804492285e-05,coarse,1,0.006552,0,364,2.7e-05,0.888519313304721,0
sb_cf,0.1,0.000144224957030741,coarse,1,0.011592,0,644,0.000108,0.953854645814167,0
sb_cf,0.1,0.000281060958371934,coarse,1,0.022086,0,1227,0.000486,0.974654297330191,0
sb_cf,0.1,0.000547722557505166,coarse,1,0.042372,0,2354,0.001917,0.987207827375862,0
sb_cf,0.1,0.001,coarse,1,0.071298,0,3961,0.006282,0.992542796411807,0
sb_cf,0.1,0.0010673841067709,coarse,1,0.075258,0,4181,0.00684,0.992334211333008,0
sb_cf,0.1,0.0020800838230519,coarse,1,0.128556,0,7142,0.021411,0.995307660847195,0
sb_cf,0.1,0.003,coarse,1,0.164898,0,9161,0.041409,0.996039302786074,0
sb_cf,0.1,0.0040536004644211,coarse,1,0.196002,0,10889,0.068823,0.996128417130439,0
sb_cf,0.1,0.00789952623209501,coarse,1,0.249138,0,13841,0.188982,0.994691681493932,0
sb_cf,0.1,0.00882865195607039,fine,1,0.250819,0,13935,0.221463,0.994128660938136,1
sb_cf,0.1,0.00986705950095362,fine,1,0.250621,0,13924,0.257328,0.994396357353263,0
sb_cf,0.1,0.01,coarse,1,0.250405,0,13912,0.261873,0.994532101070543,0
sb_cf,0.1,0.0110276023655477,fine,1,0.245905,0,13662,0.296415,0.993353053126357,0
sb_cf,0.1,0.0123246458502536,fine,1,0.240073,0,13338,0.337581,0.990765910864939,0
sb_cf,0.1,0.0137742448720066,fine,1,0.231643,0,12869,0.381402,0.98782905434149,0
sb_cf,0.1,0.0153943426934329,coarse,1,0.222877,0,12382,0.42606,0.98725509539637,0
sb_cf,0.1,0.03,coarse,1,0.123024,0,6834,0.710845,0.968209409200896,0
sb_cf,0.1,0.03,coarse,1,0.123024,0,6834,0.710845,0.968209409200896,0
sb_cb,0.1,1e-05,coarse,1,0.000954,0,53,0,0.600213675213675,0
sb_cb,0.1,1.77827941003892e-05,coarse,1,0.001548,0,86,0,0.79017094017094,0
sb_cb,0.1,3.16227766016838e-05,coarse,1,0.002322,0,129,0,0.789421252371917,0
sb_cb,0.1,5.62341325190349e-05,coarse,1,0.004194,0,233,0.000108,0.899420145791915,0
sb_cb,0.1,0.0001,coarse,1,0.007686,0,427,0.000243,0.921039603960396,0
sb_cb,0.1,0.000177827941003892,coarse,1,0.012312,0,684,0.000783,0.930353165765192,0
sb_cb,0.1,0.000316227766016838,coarse,1,0.018936,0,1052,0.002763,0.959414661210902,0
sb_cb,0.1,0.000562341325190349,coarse,1,0.027018,0,1501,0.007173,0.974936821698717,0
sb_cb,0.1,0.001,coarse,1,0.03654,0,2030,0.016362,0.982233091165646,0
sb_cb,0.1,0.00177827941003892,coarse,1,0.044262,0,2459,0.037773,0.981406502587142,0
sb_cb,0.1,0.003,coarse,1,0.049158,0,2731,0.069255,0.980996706493889,0
sb_cb,0.1,0.00316227766016838,coarse,1,0.049482,0,2749,0.07425,0.983262421867275,0
sb_cb,0.1,0.00383118684955729,fine,1,0.050166,0,2787,0.091323,0.989055456800436,0
sb_cb,0.1,0.00464158883361278,fine,1,0.050328,0,2796,0.114543,0.982280389614306,1
sb_cb,0.1,0.00562341325190349,coarse,1,0.049806,0,2767,0.139536,0.989261312246427,0
sb_cb,0.1,0.00681292069057962,fine,1,0.048258,0,2681,0.169506,0.982111664945045,0
sb_cb,0.1,0.00825404185268018,fine,1,0.046728,0,2596,0.204003,0.982897346743519,0
sb_cb,0.1,0.01,coarse,1,0.043164,0,2398,0.244656,0.97714889683392,0
s7_clean,0.1,0.001,coarse,1,0.040986,0,2277,0.00252,0.98139863713799,0
s7_clean,0.1,0.003,coarse,1,0.060462,0,3359,0.012726,0.989938285036446,0
s7_clean,0.1,0.005,coarse,1,0.066168,0,3676,0.025389,0.992486089158651,0
s7_clean,0.1,0.00600468477588001,fine,1,0.067518,0,3751,0.030303,0.989810718938799,0
s7_clean,0.1,0.00721124785153704,fine,1,0.068562,0,3809,0.037107,0.989937267841888,0
s7_clean,0.1,0.00866025403784439,fine,1,0.0693,0,3850,0.043848,0.989517688150221,0
s7_clean,0.1,0.009,coarse,1,0.06939,0,3855,0.046116,0.986811437723611,1
s7_clean,0.1,0.0104004191152595,fine,1,0.0693,0,3850,0.054999,0.986068313295973,0
s7_clean,0.1,0.0124902476648341,fine,1,0.068778,0,3821,0.068103,0.985384028724539,0
s7_clean,0.1,0.015,coarse,1,0.067806,0,3767,0.083475,0.986639888641983,0
s7_clean,0.1,0.025,coarse,1,0.061578,0,3421,0.146475,0.98618717536462,0
s7_clean,0.1,0.05,coarse,1,0.042066,0,2337,0.30807,0.985280778472929,0
s7_clean,0.1,0.1,coarse,1,0.015336,0,852,0.518049,0.958162618796199,0
s7_clean,0.1,0.2,coarse,1,0.00108,0,60,0.628063,0.703125,0
s7_clean,0.1,0.4,coarse,1,1.8e-05,0,1,0.636237,0.025,0
s7_clean,0.1,0.6,coarse,1,0,0,0,0.636363,NaN,0
s7_clean,0.1,0.8,coarse,1,0,0,0,0.636363,NaN,0
s7_clean,0.1,1,coarse,1,0,0,0,0.318213,NaN,0
s7_busy,0.1,0.0001,coarse,1,0.000396,0,22,0.062937,0.378125,0
s7_busy,0.1,0.0003,coarse,1,0.001296,0,72,0.065646,0.563478260869565,0
s7_busy,0.1,0.0005,coarse,1,0.002484,0,138,0.067032,0.725762195121951,0
s7_busy,0.1,0.001,coarse,1,0.004896,0,272,0.068985,0.876587677725118,0
s7_busy,0.1,0.003,coarse,1,0.011988,0,666,0.081837,0.945506480218281,0
s7_busy,0.1,0.005,coarse,1,0.016596,0,922,0.095193,0.954464205515135,0
s7_busy,0.1,0.01,coarse,1,0.023094,0,1283,0.121086,0.975888093148996,0
s7_busy,0.1,0.0130766048601183,fine,1,0.025848,0,1436,0.134568,0.978223908918406,0
s7_busy,0.1,0.017099759466767,fine,1,0.02772,0,1540,0.156807,0.974619456225137,0
s7_busy,0.1,0.02,coarse,1,0.027709,0,1540,0.177093,0.96932936598764,0
s7_busy,0.1,0.0223606797749979,fine,1,0.027648,0,1536,0.190512,0.970935668663989,0
