protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,3,0.370409333333333,0.0019136350812466,0.370409333333333,0.0019136350812466,20578.3333333333,106.288719585434,1870.75757575758,9.66261087140309,NaN,0.997891518430958,0.265313333333333,NaN,NaN,12.5809644,0
sf_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,3,0.033252,0.000377970132153322,0.033252,0.000377970132153322,1847.33333333333,20.9983406751846,167.939393939394,1.90894006138042,NaN,0.979652758749757,0.253836,NaN,NaN,1.540631,0
sb_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.00882865195607039,maximum_effective_payload_throughput,0,3,0.250572,0.000978627038253091,0.250572,0.000978627038253091,13920.6666666667,54.3681687918379,1265.51515151515,4.94256079925805,NaN,0.9947400282979,0.221303666666667,NaN,NaN,39.1137618,0
sb_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.00464158883361278,maximum_effective_payload_throughput,0,3,0.049656,0.000130953817813762,0.049656,0.000130953817813762,2758.66666666667,7.27521210076456,250.787878787879,0.661382918251324,NaN,0.984081602631376,0.11433,NaN,NaN,374.4383947,0
s7_clean,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.009,maximum_effective_payload_throughput,0,3,0.0691943333333333,0.000410251197411754,0.0691943333333333,0.000410251197411754,3844.33333333333,23.0895801415078,349.484848484848,2.0990527401371,NaN,0.989251501310866,0.046788,0,0,75.7154118,0
s7_busy,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.0292401773821287,maximum_effective_payload_throughput,0,3,0.028062,0.00028516484495814,0.028062,0.00028516484495814,1559,15.8424913865633,141.727272727273,1.44022648968758,NaN,0.976511626799705,0.225683333333333,1440.33333333333,0.025926,228.4603474,0
sf_cf,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.025,fixed_theoretical_q,0,3,0.371556,0.00143221157766581,0.371556,0.00143221157766581,10321,39.7836549351615,1876.54545454545,7.23339180639304,NaN,0.996187761427476,0.267737333333333,NaN,NaN,10.9981002,0
sf_cb,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.025,fixed_theoretical_q,0,3,0.062976,0.00263549969880476,0.062976,0.00263549969880476,1749.33333333333,73.208324966799,318.060606060606,13.310604539418,NaN,0.978169415156713,0.250445333333333,NaN,NaN,2.0279599,0
sb_cf,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.00352534171408709,maximum_effective_payload_throughput,0,3,0.21804,0.00103808231812319,0.21804,0.00103808231812319,6056.66666666667,28.8356199478662,1101.21212121212,5.24283999052105,NaN,0.993798083740694,0.196211666666667,NaN,NaN,86.8127042,0
sb_cb,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.00410733974193887,maximum_effective_payload_throughput,0,3,0.09402,0.00146731627020216,0.09402,0.00146731627020216,2611.66666666667,40.7587852833935,474.848484848485,7.41068823334428,NaN,0.982675219368295,0.09738,NaN,NaN,477.7169292,0
