protocol,M,q,stage,n_runs,mean_throughput,se_throughput,mean_completed_pkt_s,mean_collision_fraction,mean_jain_fairness,selected
sf_cf,0.1,0.025,coarse,1,0.3915,0,21750,0.2745,0.921610169491525,1
sf_cb,0.1,0.025,coarse,1,0.034125,0,2100,0.21125,0.400909090909091,1
sb_cf,0.1,0.001,coarse,1,0.07475,0,4600,0.013,0.714864864864865,0
sb_cf,0.1,0.00547722557505166,fine,1,0.196625,0,12100,0.1828125,0.85820633059789,0
sb_cf,0.1,0.01,coarse,1,0.2250625,0,13850,0.417625,0.906962174940898,1
sb_cf,0.1,0.03,coarse,1,0.091,0,5600,1.5705625,0.629718875502008,0
sb_cb,0.1,0.001,coarse,1,0.0333125,0,2050,0.013775,0.506325301204819,0
sb_cb,0.1,0.00316227766016838,fine,1,0.0463125,0,2850,0.0696,0.475,0
sb_cb,0.1,0.005,coarse,1,0.0544375,0,3350,0.12035,0.620027624309392,1
sb_cb,0.1,0.01,coarse,1,0.0446875,0,2750,0.26245,0.536347517730496,0
s7_clean,0.1,0.0005,fine,1,0.0300625,0,1850,0.00133500000000004,0.543253968253968,0
s7_clean,0.1,0.00353553390593274,fine,1,0.0755625,0,4650,0.00934500000000021,0.623126801152738,0
s7_clean,0.1,0.005,coarse,1,0.082875,0,5100,0.0106800000000002,0.599308755760369,1
s7_clean,0.1,0.025,coarse,1,0.082875,0,5100,0.0881100000000015,0.788181818181818,0
s7_clean,0.1,0.1,coarse,1,0.0203125,0,1250,0.344430000000005,0.363372093023256,0
s7_busy,0.1,0.001,coarse,1,0.0056875,0,350,0.0520650000000006,0.136111111111111,0
s7_busy,0.1,0.00707106781186547,fine,1,0.0251875,0,1550,0.0734250000000011,0.511170212765957,0
s7_busy,0.1,0.01,coarse,1,0.0300625,0,1850,0.0827700000000012,0.526538461538462,1
s7_busy,0.1,0.05,coarse,1,0.0300625,0,1850,0.221610000000003,0.444480519480519,0
unslotted,0.1,0.025,coarse,1,0.0056875,0,350,1.0498,0.111363636363636,1
sf_cf,1,0.025,coarse,1,0.3366,0,1700,0.3366,0.498275862068966,1
sf_cb,1,0.025,coarse,1,0.316875,0,1950,0.1625,0.567537313432836,1
sb_cf,1,0.0001,fine,1,0.065,0,400,0,0.2,0
sb_cf,1,0.001,coarse,1,0.1625,0,1000,0.463125,0.294117647058824,1
sb_cf,1,0.01,coarse,1,0,0,0,4.68,NaN,0
sb_cf,1,0.03,coarse,1,0,0,0,9.34375,NaN,0
sb_cb,1,0.001,coarse,1,0.251875,0,1550,0.012325,0.436818181818182,0
sb_cb,1,0.00316227766016838,fine,1,0.300625,0,1850,0.0493,0.444480519480519,0
sb_cb,1,0.005,coarse,1,0.316875,0,1950,0.093525,0.585,1
sb_cb,1,0.01,coarse,1,0.186875,0,1150,0.21895,0.456034482758621,0
s7_clean,1,0.0005,fine,1,0.186875,0,1150,0,0.377857142857143,0
s7_clean,1,0.00353553390593274,fine,1,0.446875,0,2750,0.00267000000000007,0.706775700934579,0
s7_clean,1,0.005,coarse,1,0.47125,0,2900,0.00534000000000015,0.667460317460317,1
s7_clean,1,0.025,coarse,1,0.47125,0,2900,0.0547350000000008,0.627611940298507,0
s7_clean,1,0.1,coarse,1,0.13,0,800,0.324405000000004,0.290909090909091,0
s7_busy,1,0.001,coarse,1,0.024375,0,150,0.0200250000000003,0.075,0
s7_busy,1,0.01,coarse,1,0.13,0,800,0.0480600000000005,0.32,0
s7_busy,1,0.0316227766016838,fine,1,0.21125,0,1300,0.104130000000002,0.402380952380952,1
s7_busy,1,0.05,coarse,1,0.21125,0,1300,0.130830000000002,0.352083333333333,0
s7_busy,1,0.1,fine,1,0.11375,0,700,0.281685000000004,0.35,0
unslotted,1,0.025,coarse,1,0.008125,0,50,0.859125,0.025,1
