protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,1,0.3951,0,0.3951,0,21950,0,1995.45454545455,0,NaN,0.900060713618532,0.2601,NaN,NaN,0.1230185,0
sf_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,1,0.034125,0,0.034125,0,2100,0,210,0,NaN,0.580263157894737,0.21125,NaN,NaN,0.0243527,0
sb_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.01,maximum_effective_payload_throughput,0,1,0.234,0,0.234,0,14400,0,1309.09090909091,0,NaN,0.854036243822076,0.40625,NaN,NaN,1.7345135,0
sb_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.005,maximum_effective_payload_throughput,0,1,0.043875,0,0.043875,0,2700,0,270,0,NaN,0.544029850746269,0.1305,NaN,NaN,1.2861894,0
s7_clean,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.005,one_se_tie_collision_fairness_q,0,1,0.08125,0,0.08125,0,5000,0,454.545454545455,0,NaN,0.735294117647059,0.0200250000000004,0,0,0.6220079,0
s7_busy,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.01,one_se_tie_collision_fairness_q,0,1,0.0349375,0,0.0349375,0,2150,0,195.454545454545,0,NaN,0.53132183908046,0.0787650000000013,3350,0.0544375,1.5475556,0
unslotted,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,1,0.0089375,0,0.0089375,0,550,0,55,0,NaN,0.201666666666667,0.9686,NaN,NaN,0.2579451,0
sf_cf,saturation_throughput,1,198,198,22,1,0,0.025,fixed_theoretical_q,0,1,0.4059,0,0.4059,0,2050,0,2050,0,NaN,0.494411764705882,0.2574,NaN,NaN,0.0218038,0
sf_cb,saturation_throughput,1,198,198,22,1,0,0.025,fixed_theoretical_q,0,1,0.2925,0,0.2925,0,1800,0,1800,0,NaN,0.52258064516129,0.186875,NaN,NaN,0.0194759,0
sb_cf,saturation_throughput,1,198,198,22,1,0,0.001,maximum_effective_payload_throughput,0,1,0.195,0,0.195,0,1200,0,1200,0,NaN,0.423529411764706,0.455,NaN,NaN,1.4455296,0
sb_cb,saturation_throughput,1,198,198,22,1,0,0.005,maximum_effective_payload_throughput,0,1,0.284375,0,0.284375,0,1750,0,1750,0,NaN,0.457089552238806,0.081925,NaN,NaN,0.9319106,0
s7_clean,saturation_throughput,1,198,198,22,1,0,0.005,one_se_tie_collision_fairness_q,0,1,0.479375,0,0.479375,0,2950,0,2950,0,NaN,0.626079136690648,0.00534000000000005,0,0,0.530514,0
s7_busy,saturation_throughput,1,198,198,22,1,0,0.0316227766016838,one_se_tie_collision_fairness_q,0,1,0.24375,0,0.24375,0,1500,0,1500,0,NaN,0.45,0.105465000000002,1800,0.2925,2.1278662,0
unslotted,saturation_throughput,1,198,198,22,1,0,0.025,fixed_theoretical_q,0,1,0,0,0,0,0,0,0,0,NaN,NaN,0.914225,NaN,NaN,0.2013666,0
