protocol,M,q,stage,n_runs,mean_throughput,se_throughput,mean_completed_pkt_s,mean_collision_fraction,mean_jain_fairness,selected
sf_cf,0.1,0.025,coarse,1,0.374184,0,20788,0.26026,0.998739927341332,1
sf_cb,0.1,0.025,coarse,1,0.03615625,0,2225,0.2461875,0.983304797921616,1
sb_cf,0.1,1e-05,coarse,1,0.00063375,0,39,0,0.520890410958904,0
sb_cf,0.1,1.94876784266975e-05,coarse,1,0.0015925,0,98,0,0.710355029585799,0
sb_cf,0.1,3.79769610462371e-05,coarse,1,0.003185,0,196,3.25e-05,0.842456140350877,0
sb_cf,0.1,7.40082804492285e-05,coarse,1,0.00593125,0,365,0,0.900412273587456,0
sb_cf,0.1,0.000144224957030741,coarse,1,0.01035125,0,637,0.0002275,0.924471429873325,0
sb_cf,0.1,0.000281060958371934,coarse,1,0.01980875,0,1219,0.0006825,0.969214563385426,0
sb_cf,0.1,0.000547722557505166,coarse,1,0.0382525,0,2354,0.00242125,0.97879590769709,0
sb_cf,0.1,0.001,coarse,1,0.06456125,0,3973,0.00820625,0.988802504215873,0
sb_cf,0.1,0.0010673841067709,coarse,1,0.06771375,0,4167,0.0094575,0.98536409447389,0
sb_cf,0.1,0.0020800838230519,coarse,1,0.11613875,0,7147,0.03053375,0.993580367417473,0
sb_cf,0.1,0.003,coarse,1,0.149489,0,9200,0.05913375,0.996238212044313,0
sb_cf,0.1,0.0040536004644211,coarse,1,0.1782625,0,10970,0.10036,0.995670017864672,0
sb_cf,0.1,0.00789952623209501,coarse,1,0.22322625,0,13737,0.29161825,0.994627204749286,0
sb_cf,0.1,0.00882865195607039,fine,1,0.22539275,0,13871,0.34461375,0.994404393011387,1
sb_cf,0.1,0.00986705950095362,fine,1,0.2244775,0,13814,0.40768,0.994814112463805,0
sb_cf,0.1,0.01,coarse,1,0.22453825,0,13817,0.415675,0.995027346516452,0
sb_cf,0.1,0.0110276023655477,fine,1,0.2197215,0,13522,0.47841625,0.993071071382484,0
sb_cf,0.1,0.0123246458502536,fine,1,0.21305375,0,13111,0.55661125,0.990963300679073,0
sb_cf,0.1,0.0137742448720066,fine,1,0.20882875,0,12851,0.6383,0.988401675734645,0
sb_cf,0.1,0.0153943426934329,coarse,1,0.199745,0,12292,0.7322475,0.990960567586655,0
sb_cf,0.1,0.03,coarse,1,0.10764,0,6624,1.48996575,0.974477641640845,0
sb_cf,0.1,0.03,coarse,1,0.10764,0,6624,1.48996575,0.974477641640845,0
sb_cb,0.1,1e-05,coarse,1,0.00086125,0,53,0,0.536068702290076,0
sb_cb,0.1,1.77827941003892e-05,coarse,1,0.00143,0,88,0,0.762204724409449,0
sb_cb,0.1,3.16227766016838e-05,coarse,1,0.00221,0,136,0,0.808391608391608,0
sb_cb,0.1,5.62341325190349e-05,coarse,1,0.00398125,0,245,5.8e-05,0.798629590207557,0
sb_cb,0.1,0.0001,coarse,1,0.0068575,0,422,0.0002175,0.926748542880933,0
sb_cb,0.1,0.000177827941003892,coarse,1,0.01131,0,696,0.0007685,0.960990318996985,0
sb_cb,0.1,0.000316227766016838,coarse,1,0.01753375,0,1079,0.0022765,0.955894282242438,0
sb_cb,0.1,0.000562341325190349,coarse,1,0.0259025,0,1594,0.005742,0.982231328282047,0
sb_cb,0.1,0.001,coarse,1,0.03576625,0,2201,0.0138185,0.979529646314734,0
sb_cb,0.1,0.00177827941003892,coarse,1,0.04418375,0,2719,0.031726,0.983383746481721,0
sb_cb,0.1,0.003,coarse,1,0.04922125,0,3029,0.062756,0.987013262245631,0
sb_cb,0.1,0.00316227766016838,coarse,1,0.049855,0,3068,0.066874,0.983201858475114,0
sb_cb,0.1,0.00383118684955729,fine,1,0.05084625,0,3129,0.0845495,0.980833523676713,0
sb_cb,0.1,0.00464158883361278,fine,1,0.05135,0,3160,0.107648,0.988837747268853,1
sb_cb,0.1,0.00562341325190349,coarse,1,0.05055375,0,3111,0.13543,0.987402415882797,0
sb_cb,0.1,0.00681292069057962,fine,1,0.05005,0,3080,0.1682435,0.983739837398374,0
sb_cb,0.1,0.00825404185268018,fine,1,0.04837625,0,2977,0.21199,0.978156579592161,0
sb_cb,0.1,0.01,coarse,1,0.04580875,0,2819,0.263349,0.98214377524335,0
s7_clean,0.1,0.001,coarse,1,0.0442,0,2720,0.00122819999999902,0.987243127835602,0
s7_clean,0.1,0.003,coarse,1,0.0729625,0,4490,0.00688859999999317,0.990730620894091,0
s7_clean,0.1,0.005,coarse,1,0.08294,0,5104,0.0138572999999857,0.993944795631511,0
s7_clean,0.1,0.009,coarse,1,0.0897975,0,5526,0.0284888999999714,0.9929102264628,0
s7_clean,0.1,0.0106706799134702,fine,1,0.090285,0,5556,0.0350303999999638,0.991752704505324,0
s7_clean,0.1,0.0126514899795262,fine,1,0.0903175,0,5558,0.0430136999999549,0.991068394495177,1
s7_clean,0.1,0.015,coarse,1,0.08983,0,5528,0.0520382999999458,0.992611764216741,0
s7_clean,0.1,0.0177844665224503,fine,1,0.08838375,0,5439,0.0631454999999334,0.99195646925486,0
