variant,lambda_per_node,M,Tp_us,best_q,n_eval_runs,mean_total_delay_us,ci95_total_delay_us,mean_queue_delay_us,ci95_queue_delay_us,mean_access_delay_us,ci95_access_delay_us,p95_total_delay_us_mean,completion_ratio_mean,stable_fraction,final_backlog_mean,mean_attempts,delay_identity_error_us
baseline,1,1,198,1,3,490.590022338049,8.96462383453892,1.88,3.6848,488.710022338049,9.38575539766621,579,0.96078431372549,0.666666666666667,3.33333333333333,1,5.6843418860808e-14
fast_first,1,1,198,0.175,3,510.74296351452,41.271103563637,1.65882352941176,3.25129411764706,509.084139985108,38.1033146239982,585.75,1,1,0,1.0156862745098,5.6843418860808e-14
unslotted,1,1,198,0.0125,3,978.878830663809,398.650757445833,0.917647058823529,1.79858823529412,977.961183604986,397.085427943293,501.742064589887,1,1,0,1.03392901464383,1.13686837721616e-13
batch_clear,1,1,198,0.95,3,513.797244973939,29.2636015494536,1.65882352941176,3.25129411764706,512.138421444527,26.986854607215,633,1,1,0,1.05882352941176,1.13686837721616e-13
baseline,1,2,396,1,3,695.812673119881,6.98120311702706,2.76,5.4096,693.052673119881,7.87521806424628,784.2,0.96078431372549,0.666666666666667,3.33333333333333,1,1.13686837721616e-13
fast_first,1,2,396,0.5,3,700.902084884587,13.3309125186478,2.43529411764706,4.77317647058824,698.46679076694,9.54816883977354,814.2,1,1,0,1.0078431372549,0
unslotted,1,2,396,0.0125,3,1126.03528347414,113.144220161445,3.77920468725885,7.40724118702735,1122.25607878688,106.568035476736,1032.232398417,1,1,0,1.03392901464383,0
batch_clear,1,2,396,1,3,694.932673119881,6.8276240883372,2.76,5.4096,692.172673119881,8.86336671078687,784.2,0.96078431372549,0.666666666666667,3.33333333333333,0.995555555555556,1.13686837721616e-13
baseline,1,3,594,0.975,3,988.491064780343,151.939351491404,3.21176470588235,6.29505882352941,985.27930007446,145.644369233583,1196.85,1,1,0,1.3843137254902,0
fast_first,1,3,594,0.25,3,909.696500372301,19.7092336503682,3.21176470588235,6.29505882352941,906.484735666418,13.6803148951405,1046.55,1,1,0,1.0078431372549,1.13686837721616e-13
unslotted,1,3,594,0.0125,3,1464.95016513784,237.709650370048,15.9574538907534,31.2766096258766,1448.99271124709,268.98438968879,2081.51927049391,1,1,0,1.04373293621246,0
batch_clear,1,3,594,0.975,3,923.402680565897,35.6364417029164,3.21176470588235,6.29505882352941,920.190915860015,29.3961061377414,1144.05,1,1,0,1.07450980392157,1.13686837721616e-13
baseline,1,4,792,0.975,3,1172.12635889799,129.552469670978,3.98823529411765,7.81694117647059,1168.13812360387,121.73955161859,1377.9,1,1,0,1.29803921568627,0
fast_first,1,4,792,0.45,3,1114.60856291884,19.3876998786679,3.98823529411765,7.81694117647059,1110.62032762472,11.6894314862477,1355.4,1,1,0,1.0156862745098,0
unslotted,1,4,792,0.0125,3,2128.45718657831,587.225657397182,16.8070304135326,32.941779610524,2111.65015616478,561.272864586418,2020.1249717484,1,1,0,1.03392901464383,0
batch_clear,1,4,792,0.975,3,1125.73224125093,35.7831305407666,3.98823529411765,7.81694117647059,1121.74400595681,27.9883502925075,1439.55,1,1,0,1.05882352941176,0
baseline,1,5,990,0.975,3,1347.97974683544,64.4462171044197,4.76470588235294,9.33882352941177,1343.21504095309,55.1073962969652,1775.4,1,1,0,1.12549019607843,0
fast_first,1,5,990,0.4,3,1325.92650781832,29.010320338881,4.76470588235294,9.33882352941177,1321.16180193596,19.6821913326514,1659.3,1,1,0,1.0156862745098,2.27373675443232e-13
unslotted,1,5,990,0.0125,3,2210.91297381676,516.27560469094,168.845092674226,330.936381641483,2042.06788114253,192.045335709088,4801.77582384824,1,1,0,1.03392901464383,2.27373675443232e-13
batch_clear,1,5,990,1,3,1314.21121370067,6.1332928778908,5.4,10.584,1308.81121370067,4.69935945735765,1489.05,0.96078431372549,0.666666666666667,3.33333333333333,0.995555555555556,2.27373675443232e-13
baseline,1,6,1188,1,3,1523.0444527178,11.9790800691097,6.88,13.4848,1516.1644527178,5.52220565713123,1819.05,0.96078431372549,0.666666666666667,3.33333333333333,1,0
fast_first,1,6,1188,0.45,3,1538.02092330603,40.5828494391567,6.07058823529412,11.8983529411765,1531.95033507074,28.8072351046965,1989.3,1,1,0,1.0156862745098,2.27373675443232e-13
unslotted,1,6,1188,0.0125,3,2511.73438050842,458.420183125338,125.365998368717,245.717356802686,2386.36838213971,227.26338236008,8237.00064168381,1,1,0,1.03392901464383,0
batch_clear,1,6,1188,0.975,3,1539.42151898734,27.614800341682,6.07058823529412,11.8983529411765,1533.35093075205,15.8034077483013,1947.6,1,1,0,1.02745098039216,4.54747350886464e-13
baseline,3,1,198,0.825,3,608.536506950835,83.3831557664914,0.564705882352941,1.10682352941176,607.971801068482,84.1722654359877,951.75,1,1,0,1.27279668524385,1.13686837721616e-13
fast_first,3,1,198,0.9,3,559.749763215545,44.589227716,0.564705882352941,1.10682352941176,559.185057333192,45.517618664853,592.65,1,1,0,1.27723211255982,1.13686837721616e-13
unslotted,3,1,198,1,3,470.655731420509,15.95720200069,0.494117647058824,0.968470588235294,470.16161377345,16.564766793707,649.228956215586,1,1,0,1.16180811749685,0
batch_clear,3,1,198,0.925,3,543.862910351736,23.0954739783851,1.28235294117647,2.51341176470588,542.580557410559,20.8430242388912,743.55,1,1,0,1.14833081324274,0
baseline,3,2,396,0.925,3,756.541301627034,36.9997029978761,0.823529411764706,1.61411764705882,755.717772215269,35.3856739944851,1011.9,0.710035073145969,0.333333333333333,70.6666666666667,1.15288396209548,2.27373675443232e-13
fast_first,3,2,396,0.4,3,725.266030694432,5.4052419512848,0.823529411764706,1.61411764705882,724.442501282667,7.01880442018147,931.5,1,1,0,1.04343328637007,1.13686837721616e-13
unslotted,3,2,396,0.4,3,670.146857594389,20.2477329109164,0.752941176470588,1.47576470588235,669.393916417919,21.2702755208439,892.035607791393,1,1,0,1.08261379543741,1.13686837721616e-13
batch_clear,3,2,396,0.975,3,698.538334556126,59.5172046955245,0,0,698.538334556126,59.5172046955245,834.075,0.164252582753532,0,212.666666666667,1.06382978723404,0
baseline,3,3,594,0.975,3,1005.47877758913,58.7900169779286,0,0,1005.47877758913,58.7900169779286,1274.625,0.330302551127978,0,170,1.45365025466893,0
fast_first,3,3,594,0.4,3,945.251410730428,1.20274572913006,1.08235294117647,2.12141176470588,944.169057789252,3.24258930252495,1252.5,1,1,0,1.05127642362497,1.13686837721616e-13
unslotted,3,3,594,0.25,3,907.44849374383,40.8728826836212,1.01176470588235,1.98305882352941,906.436729037947,42.855490849866,1343.39709258927,1,1,0,1.08379624728197,0
batch_clear,3,3,594,0.95,3,1023.77974253531,64.7822778148912,4.64705882352941,9.10823529411765,1019.13268371178,56.6225494608633,1286.55,0.710035073145969,0.333333333333333,70.6666666666667,1.43703677215567,0
baseline,3,4,792,0.975,3,1195.27105263158,5.4312631578948,0,0,1195.27105263158,5.4312631578948,1660.5,0.166903858317521,0,212,1.46754385964912,0
fast_first,3,4,792,0.925,3,1158.93622446513,43.9232803827491,1.34117647058824,2.62870588235294,1157.59504799454,44.4817958333718,1602.75,0.793010752688172,0.666666666666667,51.3333333333333,1.12144042714337,2.27373675443232e-13
unslotted,3,4,792,0.6,3,1146.32793527025,51.906061994649,1.27058823529412,2.49035294117647,1145.05734703495,53.4405008414535,1643.05211786998,1,1,0,1.16227286382733,0
batch_clear,3,4,792,0.8,3,1213.39959707959,31.7285653389605,1.34117647058824,2.62870588235294,1212.058420609,34.302534368791,1752.45,1,1,0,1.08348702718893,2.27373675443232e-13
baseline,3,5,990,0.85,3,1438.37401743613,36.1420971229103,1.85882352941176,3.64329411764706,1436.51519390672,39.7156667133863,2172.3,1,1,0,1.12398614990784,2.27373675443232e-13
fast_first,3,5,990,0.8,3,1405.42482897769,25.3722429355542,1.6,3.136,1403.82482897769,28.4847153095176,2113.5,1,1,0,1.13597137502839,2.27373675443232e-13
