q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,variant,lambda_per_node,M,selected
0.025,coarse,2,9191.32723112128,691.064073226545,67.304347826087,9124.02288329519,1,baseline,1,1,0
0.05,coarse,2,4512.04805491991,716.004576659039,71.6086956521739,4440.43935926773,1,baseline,1,1,0
0.1,coarse,2,2184.07551487414,230.29290617849,111.068649885584,2073.00686498856,1,baseline,1,1,0
0.2,coarse,2,1220.80778032037,213.981693363844,28.5652173913043,1192.24256292906,1,baseline,1,1,0
0.4,coarse,2,814.386727688787,5.56064073226543,11.3478260869565,803.038901601831,1,baseline,1,1,0
0.6,coarse,2,701.340961098398,56.0800915331808,7.04347826086957,694.297482837529,1,baseline,1,1,0
0.8,coarse,2,576.514874141876,17.0938215102975,11.3478260869565,565.16704805492,1,baseline,1,1,0
0.825,fine,2,558.391304347826,9.39130434782606,11.3478260869565,547.04347826087,1,baseline,1,1,0
0.85,fine,2,544.572082379863,5.99313501144167,7.04347826086957,537.528604118993,1,baseline,1,1,0
0.875,fine,2,539.361556064073,11.2036613272311,7.04347826086957,532.318077803204,1,baseline,1,1,0
0.9,fine,2,530.752860411899,2.59496567505721,7.04347826086957,523.70938215103,1,baseline,1,1,0
0.925,fine,2,521.237986270023,3.50114416475975,7.04347826086957,514.194508009153,1,baseline,1,1,0
0.95,fine,2,521.237986270023,3.50114416475975,7.04347826086957,514.194508009153,1,baseline,1,1,0
0.975,fine,2,521.237986270023,3.50114416475975,7.04347826086957,514.194508009153,1,baseline,1,1,0
1,coarse,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,baseline,1,1,1
0.025,coarse,2,577.194508009153,59.4576659038902,7.04347826086957,570.151029748284,1,fast_first,1,1,0
0.05,coarse,2,577.194508009153,59.4576659038902,7.04347826086957,570.151029748284,1,fast_first,1,1,0
0.1,coarse,2,577.194508009153,59.4576659038902,7.04347826086957,570.151029748284,1,fast_first,1,1,0
0.1375,fine,2,577.194508009153,59.4576659038902,7.04347826086957,570.151029748284,1,fast_first,1,1,0
0.175,fine,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,1
0.2,coarse,2,512.629290617849,5.10755148741416,7.04347826086957,505.585812356979,1,fast_first,1,1,0
