q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.01,coarse,3,22421.2648893931,2543.86707343294,544.625070901872,21876.6398184912,1,1,baseline,1,1,0
0.025,coarse,3,7926.3845717527,703.898440093984,314.055587067499,7612.3289846852,1,1,baseline,1,1,0
0.05,coarse,3,4237.9466817924,520.236255895291,134.623936471923,4103.32274532048,1,1,baseline,1,1,0
0.1,coarse,3,2226.94951786727,150.394573802,25.1707317073171,2201.77878615995,1,1,baseline,1,1,0
0.2,coarse,3,1133.28871242201,47.8220132826803,13.9024390243902,1119.38627339762,1,1,baseline,1,1,0
0.3,coarse,3,845.591605218378,61.2333947276993,2.63414634146341,842.957458876914,1,1,baseline,1,1,0
0.4,coarse,3,739.572319909246,44.4234067489281,2.63414634146341,736.938173567782,1,1,baseline,1,1,0
0.5,coarse,3,678.813386273398,64.5462439883704,2.63414634146341,676.179239931934,1,1,baseline,1,1,0
0.5625,fine,3,643.361315938741,44.5494770900105,4.24390243902439,639.117413499716,1,1,baseline,1,1,0
0.6,coarse,3,626.252977878616,33.8548009873329,2.63414634146341,623.618831537153,1,1,baseline,1,1,0
0.625,fine,3,623.108338060125,32.7288097785354,2.63414634146341,620.474191718661,1,1,baseline,1,1,1
0.01,coarse,3,529.106069200227,27.6176971072036,2.63414634146341,526.471922858764,1,1,fast_first,1,1,0
0.025,coarse,3,529.106069200227,27.6176971072036,2.63414634146341,526.471922858764,1,1,fast_first,1,1,0
0.05,coarse,3,529.106069200227,27.6176971072036,2.63414634146341,526.471922858764,1,1,fast_first,1,1,0
0.1,coarse,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.2,coarse,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.3,coarse,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.4,coarse,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.425,fine,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.45,fine,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.475,fine,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.5,coarse,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,1
0.525,fine,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.55,fine,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.575,fine,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.6,coarse,3,500.130459444129,1.35791264889392,2.63414634146341,497.496313102666,1,1,fast_first,1,1,0
0.01,coarse,3,1686.34895093692,814.457723453019,2.26829268292683,1684.080658254,1,1,unslotted,1,1,0
0.025,coarse,3,993.12184793842,398.504862491592,2.26829268292683,990.853555255493,1,1,unslotted,1,1,0
0.05,coarse,3,660.746097351231,164.255458149495,2.26829268292683,658.477804668304,1,1,unslotted,1,1,0
0.1,coarse,3,534.677643116909,84.7529223260943,2.26829268292683,532.409350433982,1,1,unslotted,1,1,0
0.2,coarse,3,471.643415999746,45.0080654130851,2.26829268292683,469.375123316819,1,1,unslotted,1,1,0
0.3,coarse,3,450.632006960694,31.7646912704847,2.26829268292683,448.363714277767,1,1,unslotted,1,1,0
0.325,fine,3,447.399482493147,29.7278704584864,2.26829268292683,445.13118981022,1,1,unslotted,1,1,0
0.35,fine,3,444.628747235251,27.9822361641327,2.26829268292683,442.360454552324,1,1,unslotted,1,1,0
0.375,fine,3,442.227443345072,26.4695431722578,2.26829268292683,439.959150662145,1,1,unslotted,1,1,1
0.4,coarse,3,440.126302441167,25.1461079578163,2.26829268292683,437.85800975824,1,1,unslotted,1,1,0
0.425,fine,3,438.272354584779,23.9785258127008,2.26829268292683,436.004061901852,1,1,unslotted,1,1,0
0.45,fine,3,436.624400934658,22.9408155985863,2.26829268292683,434.356108251731,1,1,unslotted,1,1,0
0.475,fine,3,435.149916089813,22.0124661581875,2.26829268292683,432.881623406886,1,1,unslotted,1,1,0
0.5,coarse,3,433.822879729451,21.1770688043663,2.26829268292683,431.554587046524,1,1,unslotted,1,1,0
0.6,coarse,3,429.62059792164,18.5325501625536,2.26829268292683,427.352305238713,1,1,unslotted,1,1,0
0.7,coarse,3,426.618968058918,16.6447237260613,2.26829268292683,424.350675375991,1,1,unslotted,1,1,0
0.01,coarse,3,23262.6057855927,1330.27481321939,1548.32161089053,21714.2841747022,1,1,batch_clear,1,1,0
0.025,coarse,3,9307.10606920023,1125.87900210898,179.02155416903,9128.0845150312,1,1,batch_clear,1,1,0
0.05,coarse,3,4702.04310833806,142.02996061957,50.6154282473057,4651.42768009075,1,1,batch_clear,1,1,0
0.1,coarse,3,2426.44696539989,261.934051901398,39.3318207600681,2387.11514463982,1,1,batch_clear,1,1,0
0.2,coarse,3,1464,85.2153826407854,21.3624503686897,1442.63754963131,1,1,batch_clear,1,1,0
0.3,coarse,3,1039.9977311401,58.4540286331424,16.3085649461146,1023.68916619399,1,1,batch_clear,1,1,0
0.4,coarse,3,834.585365853658,38.2049775750249,9.07317073170732,825.512195121951,1,1,batch_clear,1,1,0
0.5,coarse,3,710.035167328418,29.7716650427236,11.8536585365854,698.181508791832,1,1,batch_clear,1,1,0
0.5625,fine,3,665.074305161656,17.5054471714047,5.56437889960295,659.509926262053,1,1,batch_clear,1,1,0
0.6,coarse,3,646.580828133863,17.8714319765553,2.63414634146341,643.946681792399,1,1,batch_clear,1,1,0
0.625,fine,3,632.841747022121,8.15491097794979,2.63414634146341,630.207600680658,1,1,batch_clear,1,1,1
0.01,coarse,3,20769.0187180942,1220.7864453028,1055.13726602382,19713.8814520703,1,1,baseline,1,2,0
0.025,coarse,3,9476.20533182076,1125.57217246703,643.905842314237,8832.29948950652,1,1,baseline,1,2,0
0.05,coarse,3,4486.74758933636,213.624534808265,131.554169030062,4355.1934203063,1,1,baseline,1,2,0
0.1,coarse,3,2528.57288712422,82.668159336967,11.644356211004,2516.92853091322,1,1,baseline,1,2,0
0.2,coarse,3,1503.42030629609,114.400727175975,17.1219512195122,1486.29835507657,1,1,baseline,1,2,0
0.3,coarse,3,1171.47362450369,59.5467701734572,4.24390243902439,1167.22972206466,1,1,baseline,1,2,0
0.4,coarse,3,1036.14180374362,22.7706570268851,4.24390243902439,1031.89790130459,1,1,baseline,1,2,0
0.5,coarse,3,941.091321610891,9.44454752182272,4.24390243902439,936.847419171866,1,1,baseline,1,2,0
0.5625,fine,3,882.690867838911,17.6365730259004,4.24390243902439,878.446965399887,1,1,baseline,1,2,0
0.6,coarse,3,853.003970504821,22.1552945724344,9.07317073170732,843.930799773114,1,1,baseline,1,2,0
0.625,fine,3,839.040272263188,22.8264845586001,9.07317073170732,829.96710153148,1,1,baseline,1,2,1
0.01,coarse,3,908.858763471356,204.765740215542,4.24390243902439,904.614861032331,1,1,fast_first,1,2,0
0.025,coarse,3,902.419739081112,198.326715825298,4.24390243902439,898.175836642087,1,1,fast_first,1,2,0
0.05,coarse,3,902.419739081112,198.326715825298,4.24390243902439,898.175836642087,1,1,fast_first,1,2,0
0.1,coarse,3,780.078275666478,75.9852524106636,4.24390243902439,775.834373227453,1,1,fast_first,1,2,0
0.2,coarse,3,730.175836642087,26.0828133862734,4.24390243902439,725.931934203063,1,1,fast_first,1,2,0
0.3,coarse,3,706.029495178673,1.93647192285876,4.24390243902439,701.785592739648,1,1,fast_first,1,2,0
0.4,coarse,3,704.419739081112,0.326715825297811,4.24390243902439,700.175836642087,1,1,fast_first,1,2,0
0.425,fine,3,704.419739081112,0.326715825297811,4.24390243902439,700.175836642087,1,1,fast_first,1,2,0
0.45,fine,3,704.419739081112,0.326715825297811,4.24390243902439,700.175836642087,1,1,fast_first,1,2,0
0.475,fine,3,704.419739081112,0.326715825297811,4.24390243902439,700.175836642087,1,1,fast_first,1,2,0
0.5,coarse,3,704.419739081112,0.326715825297811,4.24390243902439,700.175836642087,1,1,fast_first,1,2,1
0.525,fine,3,704.419739081112,0.326715825297811,4.24390243902439,700.175836642087,1,1,fast_first,1,2,0
0.55,fine,3,704.419739081112,0.326715825297811,4.24390243902439,700.175836642087,1,1,fast_first,1,2,0
0.575,fine,3,704.419739081112,0.326715825297811,4.24390243902439,700.175836642087,1,1,fast_first,1,2,0
0.6,coarse,3,704.419739081112,0.326715825297811,4.24390243902439,700.175836642087,1,1,fast_first,1,2,0
0.01,coarse,3,1108.65746129965,253.864503324375,3.87804878048781,1104.77941251916,1,1,unslotted,1,2,0
0.025,coarse,3,809.914260753554,104.336337356787,3.87804878048781,806.036211973066,1,1,unslotted,1,2,0
0.05,coarse,3,711.406364636562,55.0413742594792,3.87804878048781,707.528315856074,1,1,unslotted,1,2,0
0.1,coarse,3,662.152416578064,30.4773714936772,3.87804878048781,658.274367797576,1,1,unslotted,1,2,0
0.125,fine,3,652.301626966365,25.5917907081855,3.87804878048781,648.423578185878,1,1,unslotted,1,2,0
0.15,fine,3,645.7344338919,22.3471402653207,3.87804878048781,641.856385111412,1,1,unslotted,1,2,0
0.175,fine,3,641.043581695852,20.0387719209253,3.87804878048781,637.165532915364,1,1,unslotted,1,2,0
0.2,coarse,3,637.525442548816,18.3145555321305,3.87804878048781,633.647393768329,1,1,unslotted,1,2,0
0.225,fine,3,634.789112101122,16.9790044088646,3.87804878048781,630.911063320635,1,1,unslotted,1,2,0
0.25,fine,3,632.600047742968,15.9149309944181,3.87804878048781,628.72199896248,1,1,unslotted,1,2,1
0.275,fine,3,630.808995086296,15.0478398166366,3.87804878048781,626.930946305808,1,1,unslotted,1,2,0
0.3,coarse,3,629.316451205735,14.3281268798144,3.87804878048781,625.438402425247,1,1,unslotted,1,2,0
0.4,coarse,3,625.211955534192,12.3661983294155,3.87804878048781,621.333906753704,1,1,unslotted,1,2,0
0.5,coarse,3,635.84103908778,22.6223715522778,3.87804878048781,631.962990307292,1,1,unslotted,1,2,0
0.01,coarse,3,21013.0652297221,530.725884704118,622.002268859898,20391.0629608622,1,1,batch_clear,1,2,0
0.025,coarse,3,8982.83380601248,532.886775338199,67.3732274532048,8915.46057855927,1,1,batch_clear,1,2,0
0.05,coarse,3,4350.2178105502,224.226216221936,184.150311968236,4166.06749858196,1,1,batch_clear,1,2,0
0.1,coarse,3,2610.55813953488,108.907043785269,69.7317073170732,2540.82643221781,1,1,batch_clear,1,2,0
0.2,coarse,3,1464.37436188315,31.4579607990217,19.8275666477595,1444.54679523539,1,1,batch_clear,1,2,0
0.3,coarse,3,1185.51219512195,29.5309466794093,18.0833806012479,1167.4288145207,1,1,batch_clear,1,2,0
0.4,coarse,3,992.865570051049,19.9628845336065,7.46341463414634,985.402155416903,1,1,batch_clear,1,2,0
0.5,coarse,3,906.013613159388,19.5261959886314,10.3936471922859,895.619965967102,1,1,batch_clear,1,2,0
0.5625,fine,3,858.844015882019,6.00803183189771,4.24390243902439,854.600113442995,1,1,batch_clear,1,2,0
0.6,coarse,3,835.521270561543,6.24062308766672,4.24390243902439,831.277368122519,1,1,batch_clear,1,2,1
0.625,fine,3,853.565513329552,28.9482536030843,4.24390243902439,849.321610890527,1,1,batch_clear,1,2,0
0.01,coarse,3,19424.2359614294,1232.17901017864,795.110606920023,18629.1253545094,1,1,baseline,1,3,0
0.025,coarse,3,9975.97844583097,218.385458688354,487.497447532615,9488.48099829836,1,1,baseline,1,3,0
0.05,coarse,3,5590.55360181509,184.138508390852,126.985252410664,5463.56834940442,1,1,baseline,1,3,0
0.1,coarse,3,2891.4044242768,220.972224156501,32.4078275666478,2858.99659671015,1,1,baseline,1,3,0
0.2,coarse,3,1775.76857629041,81.1859723477536,15.2229154849688,1760.54566080545,1,1,baseline,1,3,0
0.3,coarse,3,1344.09188882586,46.1588779054665,5.85365853658537,1338.23823028928,1,1,baseline,1,3,0
0.4,coarse,3,1190.71582529779,10.0404312493928,10.3187748156551,1180.39705048213,1,1,baseline,1,3,0
0.5,coarse,3,1073.72773681225,5.79876349442547,5.85365853658537,1067.87407827567,1,1,baseline,1,3,0
0.5625,fine,3,1059.68916619399,6.01761988694306,11.8536585365854,1047.8355076574,1,1,baseline,1,3,0
0.6,coarse,3,1017.27396483267,16.5395436310515,7.46341463414634,1009.81055019853,1,1,baseline,1,3,0
0.625,fine,3,1012.66931366988,15.8950130380862,7.46341463414634,1005.20589903573,1,1,baseline,1,3,1
0.01,coarse,3,1378.7577992059,472.060124787294,5.85365853658537,1372.90414066931,1,1,fast_first,1,3,0
0.025,coarse,3,955.391945547362,48.6942711287578,5.85365853658537,949.538287010777,1,1,fast_first,1,3,0
0.05,coarse,3,937.684628474192,30.9869540555871,5.85365853658537,931.830969937606,1,1,fast_first,1,3,0
0.1,coarse,3,937.684628474192,30.9869540555871,5.85365853658537,931.830969937606,1,1,fast_first,1,3,0
0.2,coarse,3,918.36755530346,11.6698808848554,5.85365853658537,912.513896766875,1,1,fast_first,1,3,0
0.3,coarse,3,913.538287010777,6.84061259217246,5.85365853658537,907.684628474192,1,1,fast_first,1,3,0
0.4,coarse,3,910.318774815655,3.62110039705048,5.85365853658537,904.46511627907,1,1,fast_first,1,3,0
0.425,fine,3,910.318774815655,3.62110039705048,5.85365853658537,904.46511627907,1,1,fast_first,1,3,0
0.45,fine,3,910.318774815655,3.62110039705048,5.85365853658537,904.46511627907,1,1,fast_first,1,3,0
0.475,fine,3,910.318774815655,3.62110039705048,5.85365853658537,904.46511627907,1,1,fast_first,1,3,0
0.5,coarse,3,910.318774815655,3.62110039705048,5.85365853658537,904.46511627907,1,1,fast_first,1,3,1
0.525,fine,3,908.709018718094,2.01134429948953,5.85365853658537,902.855360181509,1,1,fast_first,1,3,0
0.55,fine,3,908.709018718094,2.01134429948953,5.85365853658537,902.855360181509,1,1,fast_first,1,3,0
0.575,fine,3,908.709018718094,2.01134429948953,5.85365853658537,902.855360181509,1,1,fast_first,1,3,0
0.6,coarse,3,908.709018718094,2.01134429948953,5.85365853658537,902.855360181509,1,1,fast_first,1,3,0
0.01,coarse,3,972.563718750438,130.174760075165,5.48780487804878,967.075913872389,1,1,unslotted,1,3,0
0.025,coarse,3,879.338136394106,56.9765956871908,5.48780487804878,873.850331516058,1,1,unslotted,1,3,0
0.05,coarse,3,935.562807815371,83.6982498072416,5.48780487804878,930.075002937323,1,1,unslotted,1,3,0
0.1,coarse,3,877.142719846426,43.7612210645651,5.48780487804878,871.654914968377,1,1,unslotted,1,3,0
0.125,fine,3,865.458702252638,35.8644763663196,5.48780487804878,859.97089737459,1,1,unslotted,1,3,0
0.15,fine,3,857.669357190111,30.6457434751016,5.48780487804878,852.181552312063,1,1,unslotted,1,3,0
0.175,fine,3,852.105539288307,26.954464128784,5.48780487804878,846.617734410258,1,1,unslotted,1,3,0
0.2,coarse,3,847.932675861954,24.2154733678719,5.48780487804878,842.444870983906,1,1,unslotted,1,3,0
0.225,fine,3,844.687115419235,22.1093503415631,5.48780487804878,839.199310541186,1,1,unslotted,1,3,0
0.25,fine,3,842.09066706506,20.4445533891696,5.48780487804878,836.602862187011,1,1,unslotted,1,3,1
0.275,fine,3,839.966300229825,19.0992957960477,5.48780487804878,834.478495351777,1,1,unslotted,1,3,0
0.3,coarse,3,869.949431214175,39.6714907067305,5.48780487804878,864.461626336126,1,1,unslotted,1,3,0
0.4,coarse,3,858.350048453173,32.8953194467689,5.48780487804878,852.862243575124,1,1,unslotted,1,3,0
0.01,coarse,3,20861.5609756098,1178.4087514416,596.998298355077,20264.5626772547,1,1,batch_clear,1,3,0
0.025,coarse,3,7597.09585933069,456.64371139828,241.504254112309,7355.59160521838,1,1,batch_clear,1,3,0
0.05,coarse,3,4393.94327850255,309.679092595892,97.298355076574,4296.64492342598,1,1,batch_clear,1,3,0
0.1,coarse,3,2738.51503119682,32.7068334716874,51.7759500850823,2686.73908111174,1,1,batch_clear,1,3,0
0.2,coarse,3,1737.733408962,69.8840753023047,28.677821894498,1709.0555870675,1,1,batch_clear,1,3,0
0.3,coarse,3,1326.94611457742,20.0715163733436,10.3187748156551,1316.62733976177,1,1,batch_clear,1,3,0
0.4,coarse,3,1167.54282473057,13.6234521497164,10.3936471922859,1157.14917753829,1,1,batch_clear,1,3,0
0.5,coarse,3,1120.52297220647,15.4195408936533,16.6829268292683,1103.8400453772,1,1,batch_clear,1,3,0
0.5625,fine,3,1040.74645490641,15.5080606714063,7.24900737379467,1033.49744753261,1,1,batch_clear,1,3,0
0.6,coarse,3,1033.07203630176,9.55575126853511,5.85365853658537,1027.21837776517,1,1,batch_clear,1,3,0
0.625,fine,3,1019.18321043676,10.5315391320332,5.85365853658537,1013.32955190017,1,1,batch_clear,1,3,1
0.01,coarse,3,22872.4832671583,703.088652986926,856.129892229155,22016.3533749291,1,1,baseline,1,4,0
0.025,coarse,3,9847.34770277935,235.294167256657,141.587067498582,9705.76063528077,1,1,baseline,1,4,0
