n_arrived,n_completed,n_censored,completion_ratio,mean_total_delay_us,mean_queue_delay_us,mean_access_delay_us,p95_total_delay_us,mean_attempts,final_backlog,stable,packet_conservation_ok,variant,lambda_per_node,M,Tp_us,q,run,collision_channel_time_us,mean_batch_size
68,68,0,1,546.352941176471,0,546.352941176471,798.3,1,0,1,1,baseline,1,1,198,0.625,1,0,1
79,79,0,1,645.949367088608,0,645.949367088608,1020.6,1.0253164556962,0,1,1,baseline,1,1,198,0.625,2,198,1
85,85,0,1,626.4,4.97647058823529,621.423529411765,1125,1.02352941176471,0,1,1,baseline,1,1,198,0.625,3,198,1
83,83,0,1,655.265060240964,0,655.265060240964,1232.1,1.04819277108434,0,1,1,baseline,1,1,198,0.625,4,396,1
86,86,0,1,611.895348837209,0,611.895348837209,981,1,0,1,1,baseline,1,1,198,0.625,5,0,1
68,68,0,1,482.294117647059,0,482.294117647059,567,1,0,1,1,fast_first,1,1,198,0.5,1,0,1
79,79,0,1,498.075949367089,0,498.075949367089,585,1,0,1,1,fast_first,1,1,198,0.5,2,0,1
85,85,0,1,505.270588235294,4.97647058823529,500.294117647059,605.25,1.02352941176471,0,1,1,fast_first,1,1,198,0.5,3,198,1
83,83,0,1,490.66265060241,0,490.66265060241,585,1.02409638554217,0,1,1,fast_first,1,1,198,0.5,4,198,1
86,86,0,1,492.174418604651,0,492.174418604651,577.8,1,0,1,1,fast_first,1,1,198,0.5,5,0,1
68,68,0,1,423.644201735613,0,423.644201735613,396,1.02941176470588,0,1,1,unslotted,1,1,198,0.375,1,297,1
79,79,0,1,431.966595368003,0,431.966595368003,396,1.05063291139241,0,1,1,unslotted,1,1,198,0.375,2,706.021416440373,1
85,85,0,1,447.132775609319,2.75294117647059,444.379834432848,623.290962803119,1.05882352941176,0,1,1,unslotted,1,1,198,0.375,3,759.296825835947,1
83,83,0,1,423.306459530577,0,423.306459530577,396,1.03614457831325,0,1,1,unslotted,1,1,198,0.375,4,399.157844119938,1
86,86,0,1,396,0,396,396,1,0,1,1,unslotted,1,1,198,0.375,5,0,1
68,68,0,1,619.147058823529,0,619.147058823529,1072.8,1,0,1,1,batch_clear,1,1,198,0.625,1,0,1
79,79,0,1,630.911392405063,0,630.911392405063,1082.7,1.10126582278481,0,1,1,batch_clear,1,1,198,0.625,2,792,1
85,85,0,1,617.082352941177,7.30588235294118,609.776470588235,1109.25,0.988235294117647,0,1,1,batch_clear,1,1,198,0.625,3,0,1.01086956521739
83,83,0,1,619.481927710843,0,619.481927710843,1062,1,0,1,1,batch_clear,1,1,198,0.625,4,0,1
86,86,0,1,621.104651162791,0,621.104651162791,1038.6,1,0,1,1,batch_clear,1,1,198,0.625,5,0,1
68,68,0,1,788.029411764706,0,788.029411764706,1133.1,1,0,1,1,baseline,1,2,396,0.625,1,0,1
79,79,0,1,808.860759493671,0,808.860759493671,1186.65,1,0,1,1,baseline,1,2,396,0.625,2,0,1
85,85,0,1,838.376470588235,7.30588235294118,831.070588235294,1298.25,1.02352941176471,0,1,1,baseline,1,2,396,0.625,3,198,1
83,83,0,1,815.096385542169,0,815.096385542169,1218.15,1,0,1,1,baseline,1,2,396,0.625,4,0,1
86,86,0,1,816.802325581395,0,816.802325581395,1191.6,1,0,1,1,baseline,1,2,396,0.625,5,0,1
68,68,0,1,689.029411764706,0,689.029411764706,786.599999999999,1,0,1,1,fast_first,1,2,396,0.5,1,0,1
