variant,lambda_per_node,M,Tp_us,best_q,n_eval_runs,mean_total_delay_us,ci95_total_delay_us,mean_queue_delay_us,ci95_queue_delay_us,mean_access_delay_us,ci95_access_delay_us,p95_total_delay_us_mean,completion_ratio_mean,stable_fraction,final_backlog_mean,mean_attempts,delay_identity_error_us
unslotted,1,1,198,0.025,5,402.060627887574,5.54980999992947,0.550588235294118,1.07915294117647,401.51003965228,4.53541614501212,396,1,1,0,1.00711552090716,5.6843418860808e-14
unslotted,1,2,396,0.025,5,608.379207363315,11.141864319741,1.01647058823529,1.99228235294118,607.36273677508,9.30146687981991,638.37,1,1,0,1.01652728561304,0
unslotted,1,3,594,0.005,5,825.564741332818,30.2356108572023,1.48235294117647,2.90541176470588,824.082388391642,27.5377471823231,823.23,1,1,0,1.00711552090716,0
unslotted,1,4,792,0.005,5,1034.95080733469,44.7085776791171,2.26588235294118,4.44112941176471,1032.68492498175,40.3661222781472,1121.49,1,1,0,1.0118214032601,2.27373675443232e-13
unslotted,1,5,990,0.005,5,1235.1844534793,44.8052467735424,2.71058823529412,5.31275294117647,1232.473865244,39.605568457222,1387.35,1,1,0,1.01652728561304,2.27373675443232e-13
unslotted,1,6,1188,0.0075,5,1448.40291181384,58.188716373483,8.97882352941176,17.5984941176471,1439.42408828443,41.0356869090145,1775.25,1,1,0,1.0118214032601,0
unslotted,3,1,198,0.02,5,415.313150928717,5.24213554753892,0.296470588235294,0.581082352941177,415.016680340482,5.32771453215438,418.77,1,1,0,1.0192396103273,0
unslotted,3,2,396,0.034375,5,634.122657969754,19.249135501274,0.527394957983193,0.860455057525238,633.595263011771,19.4242536592187,826.65,1,1,0,1.03883637358935,0
unslotted,3,3,594,0.0075,5,857.406289497729,12.6026644828761,1.15915966386555,1.3938851261044,856.247129833863,12.3697166621281,1203.66,1,1,0,1.02628567291503,1.13686837721616e-13
unslotted,3,4,792,0.01,5,1096.18536995814,29.0822582068304,2.25226890756303,2.9289448620119,1093.93310105057,30.0181335736182,1653.3,1,1,0,1.03033185902065,2.27373675443232e-13
unslotted,3,5,990,0.0075,5,1354.1301535212,42.8791876356618,3.93529411764706,5.73570564315442,1350.19485940356,41.0959294672787,2097.09,1,1,0,1.04553653277362,2.27373675443232e-13
unslotted,3,6,1188,0.005,5,1656.19006963216,84.1838539333382,5.65034020059637,8.34269404896329,1650.53972943157,85.3332600721191,2941.74,1,1,0,1.04759052159363,0
unslotted,5,1,198,0.02,5,435.413131312997,7.55170111313079,0.281467889908257,0.349794494941226,435.131663423088,7.41309503690264,582.39,1,1,0,1.04003030474925,1.13686837721616e-13
unslotted,5,2,396,0.02,5,661.859315022885,14.6531045272038,0.592030420086915,0.566465250896425,661.267284602798,14.4592869052568,1023.75,1,1,0,1.0486470263024,0
unslotted,5,3,594,0.02,5,914.007476936701,24.1855363601643,1.62193452745807,1.04086289737931,912.385542409243,24.42117746784,1553.94,1,1,0,1.06758414227368,1.13686837721616e-13
unslotted,5,4,792,0.02,5,1180.84887006613,20.0190348134348,2.60938177310939,1.74486902397302,1178.23948829302,20.5966642358754,1994.13,1,1,0,1.07986559927979,0
unslotted,5,5,990,0.015,5,1509.22020062734,43.8492200402089,4.27055455889811,2.69679421685131,1504.94964606844,45.9776241458828,2905.92,1,1,0,1.11935611154806,0
unslotted,5,6,1188,0.015,5,1813.47249273288,62.9309706804621,11.1249082068554,8.24798228684979,1802.34758452602,65.6459727393169,3960,1,1,0,1.13235691033258,2.27373675443232e-13
